# 2010/11/10 
# BOS , PIT 
# 7 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,63,22,33,44,30,25,87,28,44,58,1
2,1,0,20:00,4,1,11,87,1,0,0,0,0,11,63,22,33,44,30,25,87,28,44,58,1
3,1, ,19:39,3,2,0,0,0,0,0,0,0,11,63,22,33,44,30,25,87,28,44,58,1
4,1,0,19:39,4,1,11,71,1,0,0,0,0,11,63,22,21,33,30,71,45,24,4,7,1
5,1,0,19:15,7,1,71,0,3,33,1,0,0,11,63,22,21,45,30,71,45,24,4,7,1
6,1,0,19:08,5,1,45,21,3,0,0,0,0,11,63,22,21,45,30,71,45,24,4,7,1
7,1,0,19:03,8,1,71,0,3,0,0,0,0,11,63,22,21,45,30,71,45,24,4,7,1
8,1,0,19:01,13,1,4,11,2,0,0,0,0,11,63,22,21,45,30,71,45,24,4,7,1
9,1,0,18:57,1,1,7,0,3,55,1,0,0,11,63,22,21,45,30,71,45,24,4,7,1
10,1,0,18:56,1,1,71,0,3,9,1,0,0,11,63,22,21,45,30,71,45,24,4,7,1
11,1,0,18:55,2,1,45,0,3,10,1,71,24,11,63,22,21,45,30,71,45,24,4,7,1
12,1,0,18:55,4,0,37,87,1,0,0,0,0,37,18,17,33,44,30,87,9,14,3,6,1
13,1,0,18:30,13,0,18,9,2,0,0,0,0,37,18,17,33,44,30,87,9,14,3,6,1
14,1,0,18:24,5,1,3,37,2,0,0,0,0,37,18,17,33,44,30,87,9,14,3,6,1
15,1,0,18:17,5,1,87,18,2,0,0,0,0,37,18,17,33,44,30,87,9,14,3,6,1
16,1,0,18:08,5,0,44,6,2,0,0,0,0,37,18,17,33,44,30,87,9,14,6,58,1
17,1,0,17:50,5,1,17,44,3,0,0,0,0,26,28,38,33,44,30,10,17,9,44,58,1
18,1,0,17:38,1,1,48,0,3,32,2,0,0,26,28,38,33,44,30,10,17,48,44,58,1
19,1,0,17:29,5,1,58,26,2,0,0,0,0,26,28,38,48,54,30,10,17,48,44,58,1
20,1,0,17:22,5,0,28,44,3,0,0,0,0,19,28,38,48,54,30,10,17,48,44,58,1
21,1, ,17:20,3,10,0,0,0,0,0,0,0,19,28,38,48,54,30,25,27,28,4,7,1
22,1,0,17:20,4,0,19,25,1,0,0,0,0,19,73,20,48,54,30,25,27,28,4,7,1
23,1,0,16:50,5,1,27,48,3,0,0,0,0,19,73,20,48,54,30,25,27,28,4,7,1
24,1, ,16:43,3,2,0,0,0,0,0,0,0,19,73,20,44,48,30,25,27,28,4,7,1
25,1,0,16:43,4,1,11,71,1,0,0,0,0,11,63,22,44,45,30,71,45,24,3,6,1
26,1,0,16:34,5,1,24,44,3,0,0,0,0,11,63,22,44,45,30,71,45,24,3,6,1
27,1,0,16:19,13,0,63,71,2,0,0,0,0,11,63,22,44,45,30,71,45,24,3,6,1
28,1,0,16:00,1,1,71,0,3,40,2,0,0,11,63,22,44,45,30,71,45,24,44,58,1
29,1,0,15:24,13,1,87,21,2,0,0,0,0,37,18,17,21,33,30,87,9,14,44,58,1
30,1,0,15:01,8,0,33,0,2,0,0,0,0,26,28,38,21,33,30,87,9,14,44,58,1
31,1,0,14:52,1,0,26,0,3,23,1,0,0,26,28,38,48,54,30,10,9,14,44,58,1
32,1,0,14:40,9,1,10,0,1,0,0,0,0,26,28,38,48,54,30,10,17,48,4,7,1
33,1,0,14:24,13,1,4,38,2,0,0,0,0,19,38,73,48,54,30,10,17,48,4,7,1
34,1,0,14:20,5,0,54,10,2,0,0,0,0,19,38,73,48,54,30,10,17,48,4,7,1
35,1,0,13:41,5,1,28,20,1,0,0,0,0,19,73,20,44,48,30,25,27,28,3,6,1
36,1,0,13:27,6,0,22,28,1,0,0,0,0,19,20,22,44,45,30,25,27,28,3,6,1
37,1,0,13:27,6,1,28,22,1,0,0,0,0,19,20,44,45,30,0,25,27,28,3,6,1
38,1, ,13:27,3,9,0,0,0,0,0,0,0,19,20,44,45,30,0,25,27,3,6,1,0
39,1,0,13:27,4,0,63,27,2,0,0,0,0,11,63,38,44,45,30,25,71,27,3,6,1
40,1,0,13:25,6,0,11,25,1,0,0,0,0,11,63,38,44,45,30,25,71,27,3,6,1
41,1,0,13:25,6,1,25,11,1,0,0,0,0,63,38,44,45,30,0,25,71,27,3,6,1
42,1,0,13:25,4,1,37,87,3,0,0,0,0,37,18,17,44,45,30,87,9,14,44,58,1
43,1,0,13:07,1,1,14,0,3,61,2,0,0,37,18,17,33,44,30,87,9,14,44,58,1
44,1, ,13:06,3,1,0,0,0,0,0,0,0,37,18,17,33,44,30,87,9,14,44,58,1
45,1,0,13:06,4,0,37,87,2,0,0,0,0,37,18,17,21,33,30,87,9,14,44,58,1
46,1, ,12:58,3,1,0,0,0,0,0,0,0,37,18,17,21,33,30,87,9,14,44,58,1
47,1,0,12:58,1,1,9,0,3,20,3,0,0,37,18,17,21,33,30,87,9,14,44,58,1
48,1,0,12:58,4,0,37,9,2,0,0,0,0,37,18,17,21,33,30,87,9,14,44,58,1
49,1,0,12:38,1,0,17,0,3,22,3,0,0,37,18,17,21,33,30,87,9,14,44,58,1
50,1,0,12:35,6,1,58,37,2,0,0,0,0,37,18,17,21,33,30,87,9,14,44,58,1
51,1,-1,12:34,4,1,19,27,2,0,0,0,0,19,28,73,44,48,30,27,24,4,44,1,0
52,1,1,11:30,1,0,28,0,3,22,3,0,0,19,37,26,28,33,30,17,9,3,7,1,0
53,1,1,11:29,2,0,28,0,3,15,1,19,37,19,37,26,28,33,30,17,9,3,7,1,0
54,1,0,11:29,4,1,26,10,1,0,0,0,0,63,26,20,21,33,30,10,48,71,44,58,1
55,1,0,11:15,1,1,48,0,3,50,2,0,0,63,26,20,21,54,30,10,48,71,44,58,1
56,1,0,10:53,1,1,10,0,3,19,1,0,0,63,26,20,21,54,30,10,48,71,44,58,1
57,1,0,10:37,1,1,71,0,3,34,6,0,0,63,26,20,21,54,30,48,71,87,44,58,1
58,1,0,10:33,7,1,48,0,3,13,6,0,0,63,26,20,21,54,30,48,71,87,44,58,1
59,1,0,10:20,1,0,63,0,3,28,1,0,0,37,63,20,33,44,30,71,87,9,4,58,1
60,1,0,10:17,5,1,58,20,2,0,0,0,0,37,63,20,33,44,30,71,87,9,4,58,1
61,1,0,10:12,13,1,71,33,2,0,0,0,0,37,18,20,33,44,30,71,87,9,4,7,1
62,1, ,10:11,3,4,0,0,0,0,0,0,0,37,18,20,33,44,30,71,87,9,4,7,1
63,1,0,10:11,4,0,37,87,2,0,0,0,0,37,18,17,33,44,30,87,9,14,4,7,1
64,1,0,9:35,1,1,9,0,1,66,2,0,0,37,18,17,33,44,30,87,9,14,4,7,1
65,1,0,9:12,7,1,7,0,3,55,1,0,0,37,18,17,33,44,30,87,9,14,4,7,1
66,1,0,9:06,5,1,9,17,3,0,0,0,0,37,18,17,33,44,30,87,9,14,4,7,1
67,1, ,8:58,3,0,0,0,0,0,0,0,0,38,73,17,45,48,30,71,9,24,3,6,1
68,1,0,8:58,4,1,19,45,1,0,0,0,0,19,73,20,44,45,30,71,45,24,3,6,1
69,1,0,8:46,5,1,24,44,3,0,0,0,0,19,73,20,44,45,30,71,45,24,3,6,1
70,1,0,8:43,1,0,19,0,3,43,1,0,0,19,73,20,44,45,30,71,45,24,3,6,1
71,1,0,8:30,13,1,3,44,2,0,0,0,0,19,73,20,44,45,30,71,45,24,3,6,1
72,1, ,8:29,3,4,0,0,0,0,0,0,0,19,73,20,44,45,30,71,45,24,3,6,1
73,1,0,8:29,4,1,26,17,3,0,0,0,0,26,28,38,21,33,30,10,17,48,44,58,1
74,1,0,8:19,5,1,48,38,1,0,0,0,0,26,28,38,33,54,30,10,17,48,44,58,1
75,1,0,8:07,5,1,17,54,2,0,0,0,0,26,28,38,33,54,30,10,17,48,44,58,1
76,1,0,7:58,13,0,28,44,2,0,0,0,0,26,28,38,33,54,30,10,17,48,44,58,1
77,1,0,7:58,5,1,58,38,2,0,0,0,0,26,28,38,33,54,30,10,17,48,44,58,1
78,1,0,7:51,5,1,44,28,2,0,0,0,0,26,28,38,33,54,30,10,17,48,44,58,1
79,1,0,7:38,1,1,48,0,3,25,1,0,0,26,28,38,33,54,30,10,17,48,4,7,1
80,1, ,7:37,3,1,0,0,0,0,0,0,0,26,28,38,33,54,30,10,17,48,4,7,1
81,1,0,7:37,4,1,37,87,3,0,0,0,0,37,18,17,21,33,30,87,9,14,4,7,1
82,1,0,7:30,1,1,4,0,3,56,3,0,0,37,18,17,21,33,30,87,9,14,4,7,1
83,1, ,7:29,3,1,0,0,0,0,0,0,0,37,18,17,21,33,30,87,9,14,4,7,1
84,1,0,7:29,4,0,37,9,2,0,0,0,0,37,18,17,21,33,30,87,9,14,4,7,1
85,1, ,7:25,3,8,0,0,0,0,0,0,0,37,18,17,21,33,30,87,9,14,4,7,1
86,1,0,7:25,4,1,37,87,3,0,0,0,0,37,18,17,21,33,30,87,9,14,4,7,1
87,1,0,7:21,1,1,14,0,3,34,3,0,0,37,18,17,21,33,30,87,9,14,4,7,1
88,1,0,6:59,7,0,21,0,3,34,1,0,0,37,18,17,21,33,30,87,9,14,4,7,1
89,1,0,6:49,1,1,9,0,3,16,1,0,0,37,18,17,21,33,30,87,9,14,4,7,1
90,1,0,6:47,13,1,87,21,2,0,0,0,0,37,18,17,21,33,30,87,9,14,4,7,1
91,1, ,6:41,3,2,0,0,0,0,0,0,0,11,18,17,21,33,30,87,9,14,4,7,1
92,1,0,6:41,4,0,11,25,1,0,0,0,0,11,63,22,44,48,30,25,27,28,44,58,1
93,1,0,6:31,13,0,44,27,2,0,0,0,0,11,63,22,44,48,30,25,27,28,44,58,1
94,1, ,6:30,3,4,0,0,0,0,0,0,0,11,63,22,44,48,30,25,27,28,44,58,1
95,1,0,6:30,4,1,11,25,2,0,0,0,0,11,63,22,44,48,30,25,27,28,44,58,1
96,1,0,6:20,13,1,25,48,2,0,0,0,0,11,63,22,44,48,30,25,27,28,44,58,1
97,1,0,6:15,5,0,44,28,2,0,0,0,0,11,63,22,44,48,30,25,27,28,44,58,1
98,1, ,6:03,3,6,0,0,0,0,0,0,0,11,63,22,44,48,30,25,27,28,44,58,1
99,1,0,6:03,4,0,63,87,2,0,0,0,0,11,63,22,44,48,30,71,87,45,3,6,1
100,1,0,5:54,13,1,87,48,2,0,0,0,0,11,63,22,44,48,30,71,87,45,3,6,1
101,1, ,5:53,3,0,0,0,0,0,0,0,0,11,63,22,44,48,30,71,87,45,3,6,1
102,1,0,5:53,4,0,37,24,2,0,0,0,0,37,18,17,21,33,30,71,45,24,4,7,1
103,1,0,5:45,6,1,45,18,3,0,0,0,0,37,18,17,21,33,30,71,45,24,4,7,1
104,1,1,5:45,4,0,37,25,3,0,0,0,0,37,18,26,17,33,30,25,27,4,44,1,0
105,1,1,5:31,1,0,18,0,3,39,1,0,0,37,18,26,17,33,30,25,27,4,44,1,0
106,1, ,5:30,3,8,0,0,0,0,0,0,0,37,18,26,17,33,30,25,27,4,44,1,0
107,1,-1,5:30,4,1,37,27,2,0,0,0,0,37,18,26,17,33,30,27,24,4,44,1,0
108,1,1,4:48,1,0,33,0,3,58,1,0,0,37,18,26,17,33,30,27,24,4,44,1,0
109,1,1,4:20,1,0,44,0,3,57,1,0,0,19,28,73,44,48,30,25,9,7,58,1,0
110,1,1,4:16,1,0,28,0,3,16,6,0,0,19,28,73,44,48,30,25,9,7,58,1,0
111,1, ,3:55,3,2,0,0,0,0,0,0,0,19,28,73,44,48,30,25,9,7,58,1,0
112,1,-1,3:55,4,1,11,87,3,0,0,0,0,11,63,22,21,33,30,87,14,3,6,1,0
113,1,1,3:49,13,1,3,22,2,0,0,0,0,11,63,22,21,33,30,87,14,3,6,1,0
114,1,0,3:40,8,0,63,0,1,0,0,0,0,11,63,22,21,33,30,87,45,14,3,6,1
115,1,0,3:36,2,0,63,0,3,29,1,0,0,11,63,22,21,33,30,87,45,14,3,6,1
