# 2010/11/13 
# FLA , PHI 
# 2 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,14,21,5,6,30,48,19,22,6,41,35
2,1,0,20:00,4,0,19,48,1,0,0,0,0,19,14,21,5,6,30,48,19,22,6,41,35
3,1,0,19:39,1,1,19,0,3,17,3,0,0,19,14,21,5,6,30,48,19,22,6,41,35
4,1, ,19:39,3,1,0,0,0,0,0,0,0,19,14,21,5,6,30,48,19,22,6,41,35
5,1,0,19:39,4,1,85,18,3,0,0,0,0,13,10,85,7,43,30,18,15,93,5,44,35
6,1,0,19:29,1,1,5,0,3,55,2,0,0,13,10,85,7,43,30,18,15,93,5,44,35
7,1,0,19:19,1,0,13,0,3,53,1,0,0,13,10,85,7,43,30,18,15,93,5,44,35
8,1,0,18:57,5,1,93,13,2,0,0,0,0,13,10,85,7,43,30,18,15,93,5,44,35
9,1,0,18:37,5,1,36,5,3,0,0,0,0,9,18,67,5,6,30,17,36,28,20,25,35
10,1,0,18:21,9,1,17,0,2,0,0,0,0,9,18,67,5,6,30,17,36,28,20,25,35
11,1,0,18:06,5,0,61,36,2,0,0,0,0,27,16,61,5,6,30,17,36,28,20,25,35
12,1,0,17:39,5,1,45,24,1,0,0,0,0,27,16,61,4,24,30,11,13,45,6,41,35
13,1,0,17:11,7,1,48,0,3,42,2,0,0,19,14,21,4,24,30,48,19,22,5,44,35
14,1,0,17:08,5,0,19,44,2,0,0,0,0,19,14,21,4,24,30,48,19,22,5,44,35
15,1,0,17:04,1,1,19,0,3,12,1,0,0,19,14,21,4,24,30,48,19,22,5,44,35
16,1,0,16:52,7,0,19,0,3,38,1,0,0,19,14,21,7,43,30,48,19,22,5,44,35
17,1,0,16:17,5,1,25,85,2,0,0,0,0,13,10,85,7,43,30,18,15,93,20,25,35
18,1,0,16:09,1,1,93,0,3,25,3,0,0,13,10,85,7,43,30,18,15,93,20,25,35
19,1,0,15:39,5,1,36,18,2,0,0,0,0,9,18,67,5,6,30,17,36,28,6,41,35
20,1,0,15:38,1,0,6,0,3,62,1,0,0,9,18,67,5,6,30,17,36,28,6,41,35
21,1,0,15:14,1,0,9,0,3,33,1,0,0,9,18,67,5,6,30,17,36,28,5,6,35
22,1,0,15:01,7,0,18,0,3,11,0,0,0,9,18,67,5,6,30,17,36,28,5,6,35
23,1,0,14:55,5,1,5,9,2,0,0,0,0,9,18,67,5,6,30,17,36,28,5,6,35
24,1,0,14:34,13,0,27,25,2,0,0,0,0,27,16,61,4,24,30,48,19,22,25,44,35
25,1,0,14:28,1,0,16,0,3,12,1,0,0,27,16,61,4,24,30,48,19,22,25,44,35
26,1,0,14:15,9,1,22,0,3,0,0,0,0,27,16,61,4,24,30,48,19,22,20,25,35
27,1,0,14:08,13,0,16,20,3,0,0,0,0,27,16,61,4,24,30,48,19,22,20,25,35
28,1,0,13:59,5,0,24,22,2,0,0,0,0,19,21,61,4,24,30,48,19,22,20,25,35
29,1,0,13:56,7,0,61,0,3,68,2,0,0,19,21,61,4,24,30,18,15,93,6,20,35
