# 2010/11/17 
# BOS , NYR 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,37,18,17,21,33,30,17,42,24,5,18,30
2,1,0,20:00,4,0,37,42,1,0,0,0,0,37,18,17,21,33,30,17,42,24,5,18,30
3,1, ,19:46,3,2,0,0,0,0,0,0,0,37,18,17,21,33,30,17,42,24,5,18,30
4,1,0,19:46,4,0,37,42,1,0,0,0,0,37,18,17,21,33,30,17,42,24,5,18,30
5,1, ,19:31,3,6,0,0,0,0,0,0,0,37,18,17,21,33,30,17,42,24,5,18,30
6,1,0,19:31,4,0,37,26,2,0,0,0,0,37,18,17,21,33,30,26,10,31,5,18,30
7,1,0,19:17,13,1,5,37,2,0,0,0,0,37,18,17,21,33,30,26,10,31,5,18,30
8,1,0,19:11,13,0,17,5,2,0,0,0,0,37,18,17,21,33,30,26,10,31,5,18,30
9,1,0,18:44,13,0,45,44,2,0,0,0,0,26,28,38,44,45,30,26,8,19,4,44,30
10,1,0,18:32,1,1,8,0,3,38,1,0,0,26,28,38,44,45,30,22,8,19,4,44,30
11,1,0,18:23,8,1,38,0,2,0,0,0,0,26,28,38,33,54,30,22,8,19,4,38,30
12,1,0,17:56,1,0,54,0,3,48,2,0,0,11,63,73,33,54,30,22,19,94,38,97,30
13,1,0,17:25,5,1,16,48,3,0,0,0,0,19,73,20,48,54,30,21,16,94,4,44,30
14,1,0,17:20,5,0,48,16,2,0,0,0,0,19,73,20,48,54,30,21,16,94,4,44,30
15,1,0,16:45,1,0,22,0,3,34,1,0,0,19,20,22,33,48,30,17,42,24,4,44,30
16,1, ,16:45,3,1,0,0,0,0,0,0,0,19,20,22,33,48,30,17,42,24,4,44,30
17,1,0,16:45,4,1,37,17,2,0,0,0,0,37,18,17,21,33,30,17,42,24,5,18,30
18,1,0,16:28,1,0,33,0,3,44,2,0,0,37,18,17,21,33,30,17,42,24,5,18,30
19,1,0,16:18,5,1,24,33,3,0,0,0,0,37,18,17,21,33,30,17,42,24,5,18,30
20,1,0,15:30,5,1,97,26,2,0,0,0,0,26,28,38,44,45,30,26,10,31,38,97,30
21,1,0,15:14,5,0,11,31,1,0,0,0,0,11,28,38,44,45,30,26,10,31,38,97,30
22,1,0,15:09,13,1,38,45,2,0,0,0,0,11,28,38,44,45,30,26,10,31,18,38,30
23,1,0,14:56,5,1,22,44,1,0,0,0,0,11,63,73,33,44,30,22,8,19,5,18,30
24,1,0,14:45,5,0,63,18,3,0,0,0,0,11,63,73,33,54,30,22,8,19,5,18,30
25,1, ,14:38,3,6,0,0,0,0,0,0,0,11,63,73,33,54,30,22,8,19,5,18,30
26,1,0,14:38,4,0,11,22,3,0,0,0,0,11,63,73,33,54,30,22,8,19,5,18,30
27,1, ,14:17,3,1,0,0,0,0,0,0,0,11,63,73,33,54,30,22,8,19,4,5,30
28,1,0,14:17,4,1,37,17,3,0,0,0,0,19,37,20,48,54,30,17,42,24,4,44,30
29,1,0,13:47,5,1,24,21,3,0,0,0,0,37,18,17,21,33,30,17,42,24,5,18,30
30,1,0,13:30,1,1,24,0,3,14,6,0,0,37,18,17,21,33,30,17,22,24,5,18,30
31,1,0,13:24,1,1,24,0,3,9,5,0,0,37,18,17,21,33,30,17,22,24,5,18,30
32,1,0,13:23,1,1,24,0,3,9,6,0,0,37,18,17,21,33,30,17,22,24,5,18,30
33,1, ,13:22,3,0,0,0,0,0,0,0,0,37,18,17,21,33,30,17,22,24,5,18,30
34,1,0,13:22,4,0,11,21,2,0,0,0,0,11,19,22,44,48,30,21,16,94,38,97,30
35,1,0,13:19,5,1,16,44,3,0,0,0,0,11,19,22,44,48,30,21,16,94,38,97,30
36,1,0,13:13,5,1,94,48,3,0,0,0,0,11,19,22,44,48,30,21,16,94,38,97,30
37,1, ,12:59,3,2,0,0,0,0,0,0,0,19,20,22,44,48,30,21,16,94,38,97,30
38,1,0,12:59,4,1,19,42,1,0,0,0,0,19,20,22,21,33,30,17,42,24,4,44,30
39,1,0,12:33,5,1,24,33,3,0,0,0,0,26,28,38,21,33,30,17,42,24,4,44,30
40,1,0,12:26,13,0,21,17,2,0,0,0,0,26,28,38,21,33,30,17,42,24,4,44,30
41,1,0,12:17,13,0,33,42,2,0,0,0,0,26,28,38,21,33,30,17,42,24,4,44,30
42,1, ,11:56,3,6,0,0,0,0,0,0,0,26,28,38,21,45,30,26,10,31,5,18,30
43,1,0,11:56,4,1,28,26,3,0,0,0,0,26,28,38,21,45,30,26,10,31,38,97,30
44,1,0,11:47,1,1,38,0,3,48,1,0,0,26,28,38,21,45,30,26,10,31,38,97,30
45,1,0,11:42,5,1,31,21,3,0,0,0,0,26,28,38,21,45,30,26,10,31,38,97,30
46,1,0,11:29,7,0,73,0,3,15,1,0,0,11,63,73,44,45,30,26,10,31,38,97,30
47,1,0,11:28,5,0,73,97,3,0,0,0,0,11,63,73,44,45,30,26,10,31,38,97,30
48,1,0,11:19,1,1,10,0,3,22,1,0,0,11,63,73,44,45,30,26,10,31,38,97,30
49,1,0,10:55,1,0,73,0,3,7,4,0,0,11,63,73,48,54,30,26,10,31,38,97,30
50,1,0,10:32,5,0,22,5,3,0,0,0,0,19,20,22,48,54,30,22,8,19,5,18,30
51,1,0,10:20,5,1,44,22,2,0,0,0,0,19,20,22,48,54,30,22,8,19,18,44,30
52,1,0,10:04,7,0,20,0,3,10,5,0,0,19,20,22,21,33,30,22,8,19,18,44,30
53,1, ,9:56,3,0,0,0,0,0,0,0,0,19,20,22,21,33,30,22,8,19,4,5,30
54,1,0,9:56,4,0,37,42,1,0,0,0,0,37,18,17,21,33,30,17,42,24,5,18,30
55,1, ,9:46,3,10,0,0,0,0,0,0,0,37,18,17,21,33,30,17,42,24,5,18,30
56,1,0,9:46,4,0,37,42,1,0,0,0,0,37,18,17,21,33,30,17,42,24,5,18,30
57,1, ,9:43,3,11,0,0,0,0,0,0,0,37,18,17,21,33,30,17,42,24,5,18,30
58,1,0,9:43,4,0,37,42,1,0,0,0,0,37,18,17,21,33,30,17,42,24,5,18,30
59,1,0,9:37,5,1,18,18,2,0,0,0,0,37,18,17,21,33,30,17,42,24,5,18,30
60,1,0,9:31,5,0,18,18,3,0,0,0,0,37,18,17,21,33,30,17,42,24,5,18,30
61,1,0,9:24,7,0,37,0,3,16,1,0,0,37,18,17,21,33,30,17,42,24,5,18,30
62,1,0,9:05,1,0,37,0,3,12,3,0,0,37,18,17,44,45,30,17,42,24,5,18,30
63,1,0,8:39,5,1,26,44,3,0,0,0,0,26,28,38,44,45,30,26,10,31,4,44,30
64,1,0,8:27,5,1,26,44,3,0,0,0,0,26,28,38,44,45,30,26,10,31,4,44,30
65,1,0,8:14,5,1,4,28,2,0,0,0,0,26,28,38,44,45,30,26,10,31,4,44,30
66,1,0,8:12,5,1,44,28,2,0,0,0,0,26,28,38,44,45,30,26,10,31,4,44,30
67,1,0,8:02,7,1,10,0,3,17,2,0,0,26,28,38,44,45,30,26,10,31,4,44,30
68,1,0,7:49,7,1,10,0,3,36,1,0,0,11,18,38,44,45,30,22,10,19,4,44,30
69,1, ,7:49,3,8,0,0,0,0,0,0,0,11,18,38,44,45,30,22,10,19,38,97,30
70,1,0,7:49,4,1,11,22,3,0,0,0,0,11,63,73,33,48,30,22,8,19,38,97,30
71,1,0,7:42,13,1,97,73,2,0,0,0,0,11,63,73,33,48,30,22,8,19,38,97,30
72,1,0,7:36,13,1,97,73,2,0,0,0,0,11,63,73,33,48,30,22,8,19,38,97,30
73,1,0,7:24,5,0,11,19,1,0,0,0,0,11,63,73,33,48,30,22,8,19,38,97,30
74,1, ,7:22,3,2,0,0,0,0,0,0,0,11,63,73,33,48,30,22,8,19,38,97,30
75,1,0,7:22,4,0,19,16,1,0,0,0,0,19,20,22,21,33,30,21,16,94,4,44,30
76,1,0,6:59,7,0,19,0,3,23,1,0,0,19,20,22,48,54,30,21,16,94,4,44,30
77,1, ,6:55,3,2,0,0,0,0,0,0,0,19,20,22,48,54,30,21,16,94,4,44,30
78,1,0,6:55,4,0,37,42,1,0,0,0,0,37,18,17,21,33,30,17,42,24,5,18,30
79,1, ,6:23,3,1,0,0,0,0,0,0,0,37,18,17,21,33,30,17,42,24,5,18,30
80,1,0,6:23,1,1,42,0,3,19,1,0,0,37,18,17,21,33,30,17,42,24,5,18,30
81,1,0,6:23,4,1,37,26,3,0,0,0,0,37,26,20,44,45,30,26,10,31,38,97,30
82,1,0,6:17,5,0,44,97,2,0,0,0,0,37,26,20,44,45,30,26,10,31,38,97,30
83,1,0,5:09,8,0,73,0,1,0,0,0,0,11,63,73,48,54,30,22,8,19,5,18,30
84,1,0,4:58,8,1,22,0,2,0,0,0,0,11,63,73,48,54,30,22,8,19,5,18,30
85,1,0,4:13,5,1,94,44,3,0,0,0,0,19,20,22,44,45,30,21,16,94,4,44,30
86,1, ,4:01,3,0,0,0,0,0,0,0,0,19,20,22,44,45,30,21,16,94,4,44,30
87,1,0,4:01,4,1,37,17,3,0,0,0,0,37,18,17,21,33,30,17,42,24,5,18,30
88,1,0,3:49,1,0,37,0,3,18,1,0,0,37,18,17,21,33,30,17,42,24,5,18,30
89,1,0,3:43,6,1,5,17,2,0,0,0,0,37,18,26,17,33,30,17,42,24,5,18,30
90,1,-1,3:43,4,1,37,17,2,0,0,0,0,37,18,26,17,33,30,17,24,18,44,30,0
91,1,1,3:09,9,0,17,0,1,0,0,0,0,37,18,26,17,33,30,17,8,18,44,30,0
92,1,1,2:48,7,0,19,0,3,11,5,0,0,19,28,73,44,48,30,22,8,18,38,30,0
93,1,1,1:48,9,0,33,0,2,0,0,0,0,11,63,22,21,33,30,17,24,18,44,30,0
94,1,0,1:39,5,0,11,18,3,0,0,0,0,11,63,22,21,33,30,17,10,24,18,44,30
95,1,0,1:30,1,1,17,0,3,15,1,0,0,11,63,22,21,33,30,17,10,31,18,44,30
96,1, ,1:13,3,0,0,0,0,0,0,0,0,37,18,17,44,45,30,17,10,31,5,18,30
97,1,0,1:13,4,0,11,26,2,0,0,0,0,11,37,18,44,45,30,26,10,31,5,18,30
98,1,0,1:01,5,0,44,26,2,0,0,0,0,11,37,18,44,45,30,26,10,31,5,18,30
99,1,0,0:48,1,0,18,0,3,19,1,0,0,11,37,18,26,44,45,26,10,31,5,18,30
100,1,0,0:48,5,1,18,26,2,0,0,0,0,11,37,18,26,44,45,26,10,31,5,18,30
101,1,0,0:45,1,0,45,0,3,13,1,0,0,11,37,18,26,44,45,26,10,31,5,18,30
102,1,0,0:45,6,1,10,18,1,0,0,0,0,37,18,26,17,33,30,26,10,31,5,18,30
