# 2010/11/19 
# NYR , COL 
# 1 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,22,8,19,18,44,30,20,34,37,8,22,41
2,1,0,20:00,4,1,22,37,1,0,0,0,0,22,8,19,18,44,30,20,34,37,8,22,41
3,1,0,19:27,5,0,44,22,2,0,0,0,0,22,8,19,18,44,30,20,34,37,8,22,41
4,1,0,19:21,5,1,20,22,3,0,0,0,0,22,8,19,4,5,30,20,26,34,3,4,41
5,1,0,19:00,1,0,17,0,3,34,1,0,0,17,42,24,4,5,30,26,25,54,3,4,41
6,1, ,19:00,3,1,0,0,0,0,0,0,0,17,42,24,4,5,30,26,25,54,3,4,41
7,1,0,19:00,4,0,21,26,3,0,0,0,0,21,10,31,18,44,30,26,25,54,3,4,41
8,1,0,18:55,13,0,10,4,2,0,0,0,0,21,10,31,18,44,30,26,25,54,3,4,41
9,1,0,18:45,13,0,21,3,2,0,0,0,0,21,10,31,18,44,30,26,25,54,3,4,41
10,1,0,18:18,7,1,12,0,3,56,1,0,0,21,10,31,18,44,30,9,12,23,44,52,41
11,1,0,18:09,1,1,23,0,3,12,6,0,0,12,26,16,4,44,30,9,12,23,44,52,41
12,1, ,18:08,3,1,0,0,0,0,0,0,0,12,26,16,4,44,30,9,12,23,44,52,41
13,1,0,18:08,4,0,26,11,2,0,0,0,0,12,26,16,4,5,30,11,18,55,44,52,41
14,1,0,17:59,5,0,16,44,1,0,0,0,0,12,26,16,4,5,30,11,18,55,44,52,41
15,1,0,17:31,5,1,55,38,3,0,0,0,0,26,8,16,38,97,30,11,18,55,44,52,41
16,1,0,16:50,5,1,22,19,2,0,0,0,0,22,8,19,18,44,30,20,34,37,8,22,41
17,1,0,16:46,5,1,8,8,2,0,0,0,0,22,8,19,18,44,30,20,34,37,8,22,41
18,1,0,16:38,5,1,8,19,2,0,0,0,0,22,8,19,18,44,30,20,34,37,8,22,41
19,1,0,16:25,1,0,18,0,3,56,2,0,0,22,8,19,18,44,30,20,34,37,8,22,41
20,1,0,16:02,13,0,42,44,2,0,0,0,0,17,42,24,4,5,30,26,25,54,22,44,41
21,1,0,15:46,5,0,24,54,2,0,0,0,0,17,42,24,4,5,30,26,25,54,44,52,41
22,1,0,15:45,6,0,5,26,2,0,0,0,0,17,42,24,4,5,30,26,25,54,44,52,41
23,1,-1,15:45,4,0,17,26,2,0,0,0,0,17,24,18,44,30,0,26,23,25,4,8,41
24,1,-1,15:38,13,1,4,44,2,0,0,0,0,17,24,18,44,30,0,26,23,25,4,8,41
25,1,1,15:06,1,1,25,0,3,8,6,0,0,17,24,18,44,30,0,26,23,25,4,8,41
26,1,1,14:44,9,1,23,0,3,0,0,0,0,17,24,18,44,30,0,26,23,25,4,8,41
