# 2010/11/24 
# L.A , MTL 
# 1 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,23,74,3,7,45,11,13,32,26,75,31
2,1,0,20:00,4,0,11,11,1,0,0,0,0,11,23,74,3,7,45,11,13,32,26,75,31
3,1,0,19:38,5,1,32,7,3,0,0,0,0,11,23,74,3,7,45,11,13,32,26,75,31
4,1,0,19:13,5,0,23,11,1,0,0,0,0,11,23,74,3,7,45,11,13,32,26,75,31
5,1,0,18:46,9,0,8,0,2,0,0,0,0,28,14,94,8,53,45,14,21,46,6,44,31
6,1,0,18:31,5,0,94,6,3,0,0,0,0,28,14,94,8,53,45,14,21,46,6,44,31
7,1,0,18:03,1,0,44,0,3,61,1,0,0,26,17,13,2,44,45,15,40,94,45,76,31
8,1, ,18:02,3,1,0,0,0,0,0,0,0,26,17,13,2,44,45,15,40,94,45,76,31
9,1,0,18:02,4,0,26,40,3,0,0,0,0,26,17,13,2,44,45,15,40,94,45,76,31
10,1,0,17:56,1,0,44,0,3,61,2,0,0,26,17,13,2,44,45,15,40,94,45,76,31
11,1, ,17:55,3,1,0,0,0,0,0,0,0,26,17,13,2,44,45,15,40,94,45,76,31
12,1,0,17:55,4,1,26,40,2,0,0,0,0,26,17,13,2,44,45,15,40,94,45,76,31
13,1,0,17:29,13,0,13,15,2,0,0,0,0,26,17,13,2,44,45,15,40,94,45,76,31
14,1,0,17:21,5,0,2,94,2,0,0,0,0,26,17,13,2,44,45,15,40,94,45,76,31
15,1,0,17:11,5,1,81,2,3,0,0,0,0,26,17,13,2,44,45,81,52,57,6,44,31
16,1,0,17:01,5,0,11,44,1,0,0,0,0,11,23,74,3,7,45,81,52,57,6,44,31
17,1, ,16:49,3,2,0,0,0,0,0,0,0,11,23,74,3,7,45,81,52,57,26,75,31
18,1,0,16:49,4,0,22,11,1,0,0,0,0,22,15,2,5,44,45,11,13,32,45,76,31
19,1,0,15:56,1,0,94,0,3,49,2,0,0,28,14,94,3,7,45,11,13,32,6,44,31
20,1, ,15:55,3,1,0,0,0,0,0,0,0,28,14,94,3,7,45,11,13,32,6,44,31
21,1,0,15:55,4,1,22,14,2,0,0,0,0,22,15,5,8,53,45,14,21,46,45,76,31
22,1,0,15:42,9,0,45,0,2,0,0,0,0,22,13,5,8,53,45,14,21,46,45,76,31
23,1,0,15:03,8,0,17,0,1,0,0,0,0,26,17,13,8,53,45,14,21,46,45,76,31
24,1,0,14:59,1,0,13,0,3,34,1,0,0,26,17,13,2,44,45,14,21,46,75,76,31
25,1, ,14:58,3,1,0,0,0,0,0,0,0,26,17,13,2,44,45,14,21,46,75,76,31
26,1,0,14:58,4,1,11,15,2,0,0,0,0,11,23,74,2,44,45,15,40,94,26,75,31
27,1,0,14:34,1,1,40,0,3,35,1,0,0,11,23,74,2,44,45,15,40,94,26,75,31
28,1,0,14:04,7,0,3,0,3,61,1,0,0,11,23,74,3,7,45,15,40,94,26,75,31
29,1,0,13:51,1,1,94,0,3,21,1,0,0,11,23,74,3,7,45,40,81,94,6,44,31
30,1,0,13:23,5,1,52,44,1,0,0,0,0,28,14,94,2,44,45,81,52,57,6,44,31
31,1,0,13:12,13,1,81,44,2,0,0,0,0,28,14,94,2,44,45,81,52,57,6,44,31
32,1, ,13:11,3,0,0,0,0,0,0,0,0,28,14,94,2,44,45,81,52,57,6,44,31
33,1,0,13:11,4,1,26,11,3,0,0,0,0,26,17,13,8,53,45,11,13,32,45,76,31
34,1,0,12:45,7,0,26,0,3,59,1,0,0,26,17,13,8,53,45,11,13,32,45,76,31
35,1,0,12:40,13,0,17,32,2,0,0,0,0,26,17,13,8,53,45,11,13,32,45,76,31
36,1,0,12:36,5,1,11,26,2,0,0,0,0,26,17,13,8,53,45,11,13,32,45,76,31
