# 2010/12/10 
# N.J , OTT 
# 2 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,8,25,26,6,28,30,19,16,9,17,55,33
2,1,0,20:00,4,0,25,19,1,0,0,0,0,8,25,26,6,28,30,19,16,9,17,55,33
3,1,0,19:45,13,0,25,17,2,0,0,0,0,8,25,26,6,28,30,19,16,9,17,55,33
4,1,0,19:23,5,1,19,8,2,0,0,0,0,8,25,26,5,7,30,19,16,9,17,55,33
5,1,0,18:49,7,1,4,0,3,63,1,0,0,19,15,17,5,7,30,12,11,71,4,65,33
6,1,0,18:33,5,0,15,65,3,0,0,0,0,19,15,17,6,34,30,12,11,71,4,65,33
7,1,0,18:16,5,0,19,65,2,0,0,0,0,19,15,17,6,34,30,12,11,73,4,65,33
8,1,0,18:02,5,0,23,22,1,0,0,0,0,11,12,23,6,22,30,22,25,73,4,65,33
9,1,0,17:53,5,0,11,22,2,0,0,0,0,11,12,23,6,22,30,22,25,73,14,39,33
10,1,0,17:14,7,0,28,0,3,64,2,0,0,10,18,21,22,28,30,13,22,25,14,39,33
11,1,0,17:12,1,0,22,0,3,61,3,0,0,10,18,21,22,28,30,13,22,25,14,39,33
12,1,0,17:04,13,0,22,13,2,0,0,0,0,10,18,21,22,28,30,13,22,25,14,39,33
13,1,0,16:53,1,0,28,0,3,57,3,0,0,10,18,21,22,28,30,13,22,25,14,39,33
14,1, ,16:51,3,1,0,0,0,0,0,0,0,10,18,21,22,28,30,13,22,25,14,39,33
15,1,0,16:51,4,1,25,19,2,0,0,0,0,8,25,26,5,7,30,19,27,9,17,55,33
16,1,0,16:47,9,1,55,0,2,0,0,0,0,8,25,26,5,7,30,19,27,9,17,55,33
17,1,0,16:44,1,0,25,0,3,51,2,0,0,8,25,26,5,7,30,19,27,9,17,55,33
18,1, ,16:43,3,1,0,0,0,0,0,0,0,8,25,26,5,7,30,19,27,9,17,55,33
19,1,0,16:43,4,1,25,19,2,0,0,0,0,8,25,26,5,7,30,19,27,9,17,55,33
20,1,0,16:35,1,1,19,0,3,45,1,0,0,8,25,26,5,7,30,19,27,9,17,55,33
21,1,0,16:18,5,1,55,26,2,0,0,0,0,25,15,26,5,7,30,19,27,9,17,55,33
22,1,0,15:13,9,1,11,0,3,0,0,0,0,19,23,17,22,28,30,12,11,71,4,65,33
23,1,0,15:08,5,1,4,17,1,0,0,0,0,11,23,17,22,28,30,12,11,71,4,65,33
24,1,0,14:37,9,0,5,0,2,0,0,0,0,11,23,17,5,7,30,22,25,73,14,39,33
25,1,0,14:36,1,1,14,0,3,51,1,0,0,11,23,17,5,7,30,22,25,73,14,39,33
