# 2010/12/11 
# MIN , L.A 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,9,20,15,8,55,60,11,14,23,7,8,32
2,1,0,20:00,4,0,9,11,1,0,0,0,0,9,20,15,8,55,60,11,14,23,7,8,32
3,1, ,19:49,3,6,0,0,0,0,0,0,0,9,20,15,8,55,60,11,14,23,7,8,32
4,1,0,19:49,4,1,9,11,3,0,0,0,0,9,20,15,8,55,60,11,14,23,7,8,32
5,1,0,19:44,1,1,8,0,3,67,2,0,0,9,20,15,8,55,60,11,14,23,7,8,32
6,1, ,19:43,3,0,0,0,0,0,0,0,0,9,20,15,8,55,60,11,14,23,7,8,32
7,1,0,19:43,4,0,9,11,1,0,0,0,0,9,20,15,8,55,60,11,14,23,7,8,32
8,1, ,19:30,3,2,0,0,0,0,0,0,0,9,20,15,8,55,60,11,14,23,7,8,32
9,1,0,19:30,4,0,21,26,1,0,0,0,0,21,96,24,3,5,60,26,17,27,3,5,32
10,1,0,18:50,13,1,17,5,2,0,0,0,0,19,21,24,3,5,60,26,17,27,3,5,32
11,1,0,18:48,5,1,27,5,3,0,0,0,0,19,21,24,3,5,60,26,17,27,3,5,32
12,1,0,18:45,6,0,21,27,0,0,0,0,0,19,21,24,3,5,60,26,17,27,3,5,32
13,1,-1,18:45,4,0,9,11,2,0,0,0,0,9,23,8,55,60,0,11,28,23,94,8,32
14,1,1,18:06,9,1,94,0,3,0,0,0,0,20,22,8,25,60,0,11,28,23,94,8,32
15,1,-1,18:04,1,0,20,0,3,46,1,0,0,20,22,8,25,60,0,11,28,23,94,8,32
16,1, ,18:03,3,1,0,0,0,0,0,0,0,20,22,8,25,60,0,11,28,23,94,8,32
17,1,1,18:03,4,1,20,26,2,0,0,0,0,12,20,3,5,60,0,26,14,17,3,8,32
18,1, ,17:54,3,2,0,0,0,0,0,0,0,12,20,3,5,60,0,26,14,17,3,8,32
19,1,1,17:54,4,1,20,26,1,0,0,0,0,20,22,3,5,60,0,26,14,17,3,8,32
20,1,-1,17:43,5,0,3,14,2,0,0,0,0,20,22,3,5,60,0,26,14,17,3,8,32
21,1,-1,17:30,13,1,3,5,2,0,0,0,0,20,22,3,5,60,0,26,14,17,3,8,32
22,1,1,17:11,9,1,32,0,2,0,0,0,0,9,23,8,55,60,0,14,23,94,3,8,32
23,1,-1,17:10,2,0,9,0,3,20,1,0,0,9,23,8,55,60,0,14,23,94,3,8,32
24,1,1,17:10,4,1,23,28,1,0,0,0,0,12,23,8,55,60,0,22,28,94,3,53,32
25,1,1,16:49,5,1,22,55,3,0,0,0,0,9,12,8,55,60,0,22,28,94,3,53,32
26,1,0,16:33,7,0,12,0,3,36,3,0,0,9,12,15,25,46,60,22,28,94,3,53,32
27,1,0,16:24,6,1,53,12,2,0,0,0,0,9,12,15,25,46,60,22,28,94,3,53,32
28,1,-1,16:24,4,1,19,28,2,0,0,0,0,19,96,22,24,3,60,26,28,2,7,32,0
29,1,-1,15:46,9,1,22,0,2,0,0,0,0,19,96,22,24,3,60,22,26,2,7,32,0
