# 2010/12/16 
# BOS , MTL 
# 3 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,63,22,44,55,30,40,81,52,26,75,31
2,1,0,20:00,4,1,11,81,1,0,0,0,0,11,63,22,44,55,30,40,81,52,26,75,31
3,1, ,19:51,3,2,0,0,0,0,0,0,0,11,63,22,44,55,30,40,81,52,26,75,31
4,1,0,19:51,4,1,11,81,1,0,0,0,0,11,63,22,44,55,30,40,81,52,26,75,31
5,1, ,19:47,3,4,0,0,0,0,0,0,0,11,63,22,44,55,30,40,81,52,26,75,31
6,1,0,19:47,4,1,11,81,2,0,0,0,0,11,63,22,44,55,30,40,81,52,26,75,31
7,1, ,19:23,3,2,0,0,0,0,0,0,0,11,63,22,44,55,30,40,81,52,26,75,31
8,1,0,19:23,4,1,46,14,1,0,0,0,0,46,18,17,33,47,30,14,13,46,6,44,31
9,1,0,19:11,5,1,46,46,2,0,0,0,0,46,18,17,33,47,30,14,13,46,6,44,31
10,1,0,19:07,7,0,46,0,1,90,2,0,0,46,18,17,33,47,30,14,13,46,6,44,31
11,1,0,18:56,6,0,47,13,0,0,0,0,0,46,18,17,33,47,30,14,13,46,6,44,31
12,1,0,18:56,2,1,13,0,3,12,0,0,0,30,0,0,0,0,0,13,0,0,0,0,0
13,1,0,18:56,4,0,46,14,1,0,0,0,0,46,18,17,33,47,30,14,13,46,6,44,31
14,1,0,18:40,5,0,47,13,3,0,0,0,0,46,18,17,33,47,30,14,13,46,6,44,31
15,1,0,18:33,13,0,18,44,2,0,0,0,0,46,18,17,33,47,30,14,13,46,6,44,31
16,1, ,18:30,3,1,0,0,0,0,0,0,0,46,18,17,33,47,30,14,13,46,6,44,31
