# 2010/12/21 
# CGY , COL 
# 1 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,12,25,20,5,6,35,26,15,19,3,97,32
2,1,0,20:00,4,CBJ,25,26,1,0,0,0,0,12,25,20,5,6,35,26,15,19,3,97,32
3,1,0,19:44,13,0,26,97,2,0,0,0,0,25,26,20,5,6,35,26,15,19,3,97,32
4,1, ,19:43,3,4,0,0,0,0,0,0,0,25,26,20,5,6,35,26,15,19,3,97,32
5,1,0,19:43,4,CBJ,25,26,2,0,0,0,0,25,26,20,5,6,35,26,15,19,6,10,32
6,1,0,19:24,5,0,26,6,3,0,0,0,0,25,26,20,5,6,35,26,15,19,6,10,32
7,1, ,18:52,3,2,0,0,0,0,0,0,0,13,12,40,4,28,35,50,20,61,3,97,32
8,1,0,18:52,4,CBJ,13,50,1,0,0,0,0,13,12,40,4,28,35,50,20,61,3,97,32
9,1,0,18:15,5,CBJ,61,40,3,0,0,0,0,13,12,40,4,28,35,50,20,61,35,51,32
10,1,0,18:11,1,0,12,0,3,24,1,0,0,13,12,40,4,7,35,50,20,61,35,51,32
11,1, ,17:50,3,0,0,0,0,0,0,0,0,18,12,10,4,7,35,16,18,93,35,51,32
12,1,0,17:50,4,0,18,16,2,0,0,0,0,18,17,10,7,33,35,16,18,93,35,51,32
13,1,0,17:34,1,0,10,0,3,25,1,0,0,18,17,10,7,33,35,16,18,93,35,51,32
14,1,0,17:11,1,0,17,0,3,45,2,0,0,18,17,10,5,6,35,16,18,93,6,51,32
15,1, ,17:09,3,1,0,0,0,0,0,0,0,18,17,10,5,6,35,16,18,93,6,51,32
16,1,0,17:09,4,0,8,25,3,0,0,0,0,8,15,16,5,6,35,25,40,23,6,10,32
17,1,0,17:01,6,CBJ,40,15,2,0,0,0,0,8,15,16,5,6,35,25,40,23,6,10,32
18,1,0,17:01,6,0,15,40,3,0,0,0,0,8,15,16,5,6,35,25,23,6,10,32,0
19,1,0,17:01,4,CBJ,8,50,3,0,0,0,0,8,12,16,5,6,35,50,20,61,3,97,32
20,1,0,16:58,1,CBJ,61,0,3,39,1,0,0,8,12,16,5,6,35,50,20,61,3,97,32
21,1,0,16:50,5,CBJ,50,8,3,0,0,0,0,8,12,16,5,6,35,50,20,61,3,97,32
22,1,0,16:42,5,CBJ,61,6,3,0,0,0,0,13,12,40,5,6,35,50,20,61,3,97,32
23,1,0,16:33,5,CBJ,50,5,3,0,0,0,0,13,12,40,5,6,35,50,20,61,3,97,32
24,1,0,16:18,5,CBJ,61,40,3,0,0,0,0,13,12,40,4,28,35,26,19,61,35,51,32
25,1,0,16:02,5,CBJ,15,28,3,0,0,0,0,13,12,17,4,28,35,26,15,19,35,51,32
26,1,0,15:54,5,0,12,51,3,0,0,0,0,8,12,17,7,33,35,26,15,19,35,51,32
27,1,0,15:38,5,CBJ,19,33,3,0,0,0,0,8,12,17,7,33,35,26,15,19,6,10,32
28,1,0,15:23,13,CBJ,6,33,2,0,0,0,0,8,16,17,7,33,35,26,15,19,6,10,32
29,1,0,15:02,5,0,4,16,2,0,0,0,0,8,16,17,4,28,35,16,18,93,3,6,32
30,1,0,14:58,1,CBJ,6,0,3,59,2,0,0,8,16,17,4,28,35,16,18,93,3,6,32
31,1,0,14:46,2,CBJ,93,0,3,31,1,3,16,8,16,20,4,28,35,16,18,93,3,97,32
32,1,0,14:46,4,0,25,25,1,0,0,0,0,25,26,20,5,6,35,25,93,23,35,51,32
33,1,0,14:32,5,0,20,51,3,0,0,0,0,25,26,20,5,6,35,25,93,23,35,51,32
34,1,0,14:03,1,0,5,0,1,79,2,0,0,18,17,20,5,6,35,50,20,61,35,51,32
