# 2010/12/26 
# ANA , L.A 
# 1 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,15,10,39,4,17,1,26,17,13,2,7,45
2,1,0,20:00,4,0,15,26,1,0,0,0,0,15,10,39,4,17,1,26,17,13,2,7,45
3,1,0,19:17,6,1,17,3,3,0,0,0,0,15,10,39,3,4,1,26,17,13,2,7,45
4,1,-1,19:17,4,1,8,26,2,0,0,0,0,15,8,10,4,17,1,11,26,7,8,45,0
5,1,1,18:43,7,0,10,0,3,10,5,0,0,15,8,10,4,17,1,11,22,7,8,45,0
6,1,-1,18:17,5,1,2,33,2,0,0,0,0,11,8,33,5,17,1,26,23,2,44,45,0
7,1,-1,18:00,8,1,2,0,2,0,0,0,0,11,9,33,5,32,1,26,23,2,44,45,0
8,1,1,17:27,1,0,9,0,3,47,1,0,0,11,9,10,5,32,1,28,15,3,7,45,0
9,1,0,17:16,1,1,3,0,2,125,2,0,0,15,10,39,5,32,1,28,17,23,3,7,45
10,1,0,17:05,7,0,10,0,3,14,6,0,0,15,10,39,3,4,1,11,10,23,8,44,45
11,1,0,16:36,9,1,45,0,2,0,0,0,0,15,10,39,5,25,1,11,10,23,3,8,45
12,1,0,16:32,1,0,10,0,3,10,1,0,0,15,10,39,5,25,1,11,10,23,3,8,45
13,1,0,16:21,1,0,10,0,3,43,1,0,0,15,10,39,5,25,1,11,10,23,3,8,45
14,1,0,16:18,7,1,23,0,1,75,2,0,0,64,9,19,5,25,1,11,10,23,3,8,45
15,1,0,16:11,5,1,28,5,3,0,0,0,0,64,9,19,5,25,1,28,14,94,44,53,45
16,1,0,16:05,9,1,14,0,3,0,0,0,0,64,9,19,5,25,1,28,14,94,44,53,45
17,1,0,15:48,1,1,28,0,3,49,2,0,0,64,9,19,17,32,1,28,14,94,3,8,45
18,1,0,15:41,7,1,94,0,3,25,1,0,0,64,9,19,17,32,1,28,14,94,3,8,45
19,1,0,15:30,13,1,8,17,2,0,0,0,0,64,9,19,17,32,1,28,14,94,3,8,45
