# 2010/12/27 
# BOS , FLA 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,20,22,33,54,30,27,37,16,7,24,30
2,1,0,20:00,4,1,11,27,1,0,0,0,0,11,20,22,33,54,30,27,37,16,7,24,30
3,1,0,19:27,5,1,16,54,3,0,0,0,0,11,20,22,21,54,30,9,37,16,7,24,30
4,1, ,18:56,3,10,0,0,0,0,0,0,0,91,18,17,33,55,30,9,63,21,43,52,30
5,1,0,18:56,4,1,91,13,1,0,0,0,0,91,18,17,33,55,30,13,67,10,43,52,30
6,1,0,18:46,1,1,13,0,3,17,6,0,0,91,18,17,33,55,30,13,67,10,43,52,30
7,1, ,18:45,3,1,0,0,0,0,0,0,0,91,18,17,33,55,30,13,67,10,43,52,30
8,1,0,18:45,4,0,37,18,2,0,0,0,0,19,37,28,44,47,30,18,19,26,5,6,30
9,1,0,18:12,1,0,19,0,3,25,1,0,0,19,37,28,44,47,30,18,19,26,5,6,30
10,1,0,18:11,5,1,18,47,3,0,0,0,0,19,37,28,44,47,30,18,19,26,5,6,30
11,1,0,18:06,1,1,19,0,3,24,1,0,0,19,37,28,44,47,30,18,19,26,5,6,30
12,1,0,17:44,8,0,46,0,1,0,0,0,0,46,26,73,33,54,30,9,63,21,7,24,30
13,1,0,17:40,1,0,46,0,3,17,1,0,0,46,26,73,33,55,30,9,63,21,7,24,30
14,1,0,16:56,1,1,5,0,1,80,2,0,0,11,20,22,33,55,30,27,37,16,5,6,30
15,1,0,16:44,5,1,16,55,3,0,0,0,0,11,20,22,33,55,30,27,37,16,5,6,30
16,1,0,16:28,7,1,37,0,3,17,1,0,0,11,20,22,21,54,30,27,37,16,43,52,30
17,1,0,16:26,5,1,37,22,1,0,0,0,0,11,20,22,21,54,30,27,37,16,43,52,30
18,1,0,16:20,5,1,43,20,2,0,0,0,0,11,20,22,21,54,30,27,37,16,43,52,30
19,1,0,16:16,5,1,43,20,2,0,0,0,0,11,20,22,21,54,30,27,37,16,43,52,30
20,1,0,16:12,1,1,16,0,3,47,2,0,0,91,18,17,21,54,30,13,67,16,43,52,30
21,1,0,15:43,13,0,47,10,2,0,0,0,0,91,18,17,44,47,30,13,63,10,43,52,30
22,1, ,15:12,3,1,0,0,0,0,0,0,0,19,37,28,44,47,30,9,63,21,7,24,30
23,1,0,15:12,4,0,37,9,2,0,0,0,0,19,37,28,33,55,30,9,63,21,7,24,30
24,1,0,14:58,7,0,33,0,3,57,2,0,0,19,37,28,33,55,30,9,63,21,7,24,30
25,1,0,14:41,5,1,63,33,2,0,0,0,0,19,37,28,33,55,30,9,63,21,7,24,30
26,1,0,13:48,13,0,46,6,2,0,0,0,0,46,26,73,44,47,30,18,19,26,5,6,30
27,1, ,13:33,3,0,0,0,0,0,0,0,0,46,26,73,21,47,30,13,19,26,5,52,30
28,1,0,13:33,4,0,91,13,1,0,0,0,0,91,18,17,33,55,30,13,27,10,43,52,30
29,1,0,13:10,1,0,18,0,3,45,3,0,0,91,18,17,33,55,30,13,27,10,43,52,30
30,1,0,13:03,8,1,43,0,2,0,0,0,0,91,18,17,33,55,30,13,27,10,43,52,30
31,1,0,12:58,9,0,17,0,1,0,0,0,0,91,18,17,33,55,30,13,27,10,43,52,30
32,1,0,12:54,5,0,17,27,2,0,0,0,0,91,18,17,33,55,30,13,27,10,43,52,30
33,1,0,12:47,1,0,18,0,3,48,3,0,0,11,18,20,21,54,30,9,63,21,7,24,30
34,1, ,12:39,3,6,0,0,0,0,0,0,0,11,18,20,21,54,30,9,63,21,7,24,30
35,1,0,12:39,4,0,11,9,3,0,0,0,0,11,20,22,21,54,30,9,63,21,7,24,30
36,1,0,12:34,13,0,22,63,2,0,0,0,0,11,20,22,21,54,30,9,63,21,7,24,30
37,1,0,12:11,1,1,7,0,3,61,2,0,0,11,20,22,21,54,30,9,63,21,7,24,30
38,1,0,11:48,9,0,22,0,3,0,0,0,0,11,20,22,44,47,30,9,26,21,7,24,30
39,1,0,11:21,8,0,37,0,3,0,0,0,0,19,37,28,44,47,30,18,19,26,7,24,30
40,1,0,11:13,1,0,19,0,3,19,5,0,0,19,37,28,44,47,30,18,19,26,7,24,30
41,1,0,11:01,1,0,37,0,3,31,1,0,0,19,37,28,44,47,30,18,19,26,7,24,30
42,1,0,9:58,1,1,37,0,3,41,1,0,0,46,26,73,21,54,30,9,37,16,5,6,30
43,1,0,9:31,13,1,43,17,2,0,0,0,0,91,18,17,33,54,30,13,27,10,43,52,30
44,1,0,9:31,5,0,33,27,2,0,0,0,0,91,18,17,33,54,30,13,27,10,43,52,30
45,1,0,9:08,7,0,55,0,3,56,2,0,0,91,18,17,33,55,30,13,27,10,43,52,30
46,1,0,8:50,9,1,63,0,2,0,0,0,0,11,20,22,44,55,30,9,63,21,7,24,30
47,1,0,8:48,1,0,20,0,3,61,2,0,0,11,20,22,44,55,30,9,63,21,7,24,30
48,1,0,8:46,1,0,22,0,3,14,5,0,0,11,20,22,44,55,30,9,63,21,7,24,30
49,1,0,8:38,5,0,11,24,3,0,0,0,0,11,20,22,44,47,30,9,63,21,7,24,30
50,1,0,8:27,9,1,63,0,3,0,0,0,0,11,20,22,44,47,30,9,63,21,6,24,30
51,1,0,8:03,5,1,26,44,2,0,0,0,0,19,37,28,44,47,30,18,19,26,6,24,30
52,1, ,8:01,3,0,0,0,0,0,0,0,0,19,37,28,44,47,30,18,19,26,6,24,30
53,1,0,8:01,4,0,37,19,3,0,0,0,0,19,37,28,44,47,30,18,19,26,5,6,30
54,1,0,7:53,9,1,19,0,2,0,0,0,0,19,37,28,44,47,30,18,19,26,5,6,30
55,1,0,7:51,1,0,44,0,3,61,2,0,0,19,37,28,44,47,30,18,19,26,5,6,30
56,1, ,7:50,3,1,0,0,0,0,0,0,0,19,37,28,44,47,30,18,19,26,5,6,30
57,1,0,7:50,4,0,37,19,3,0,0,0,0,19,37,28,44,47,30,18,19,26,5,6,30
58,1,0,7:35,5,0,37,18,2,0,0,0,0,19,37,28,44,47,30,18,19,26,5,6,30
59,1,0,7:22,9,0,47,0,3,0,0,0,0,19,46,28,44,47,30,18,19,26,5,6,30
60,1,0,6:58,1,1,10,0,3,30,1,0,0,46,26,73,21,54,30,13,27,10,43,52,30
61,1, ,6:58,3,1,0,0,0,0,0,0,0,46,26,73,21,54,30,13,27,10,43,52,30
62,1,0,6:58,4,1,46,9,3,0,0,0,0,46,26,73,21,54,30,9,63,21,43,52,30
63,1,0,6:48,13,1,52,46,2,0,0,0,0,46,26,73,21,54,30,9,63,21,43,52,30
64,1,0,6:44,13,1,43,26,2,0,0,0,0,46,26,73,21,54,30,9,63,21,43,52,30
65,1,0,6:32,8,1,9,0,1,0,0,0,0,46,26,73,21,54,30,9,63,21,43,52,30
66,1,0,6:20,5,1,52,73,2,0,0,0,0,46,26,73,33,55,30,9,63,21,43,52,30
67,1, ,5:44,3,0,0,0,0,0,0,0,0,91,18,17,33,55,30,13,67,10,5,43,30
68,1,0,5:44,4,0,91,13,3,0,0,0,0,91,18,17,33,55,30,13,67,10,5,6,30
69,1,0,4:59,1,0,55,0,1,81,2,0,0,91,18,17,44,55,30,27,37,16,5,6,30
70,1, ,4:59,3,1,0,0,0,0,0,0,0,91,18,17,44,55,30,27,37,16,5,6,30
71,1,0,4:59,4,1,37,19,2,0,0,0,0,19,37,28,44,47,30,18,19,26,7,24,30
72,1,0,4:47,5,1,18,44,1,0,0,0,0,19,37,28,44,47,30,18,19,26,7,24,30
73,1,0,4:29,1,1,26,0,3,13,6,0,0,19,37,28,44,47,30,18,19,26,7,24,30
74,1,0,4:25,5,0,37,19,2,0,0,0,0,19,37,28,44,47,30,18,19,26,7,24,30
75,1,0,4:17,5,0,19,18,3,0,0,0,0,19,37,20,44,47,30,18,19,37,7,24,30
76,1, ,4:12,3,10,0,0,0,0,0,0,0,11,20,22,21,54,30,18,19,37,7,24,30
77,1,0,4:12,4,0,11,27,3,0,0,0,0,11,20,22,21,54,30,27,37,16,43,52,30
78,1,0,4:07,13,0,21,37,2,0,0,0,0,11,20,22,21,54,30,27,37,16,43,52,30
79,1,0,3:37,6,1,37,30,3,0,0,0,0,11,20,22,21,54,30,27,37,16,43,52,30
80,1,1,3:37,4,0,46,13,3,0,0,0,0,37,46,28,73,44,30,13,19,5,6,30,0
81,1,1,3:24,7,0,44,0,3,36,1,0,0,37,46,28,73,44,30,13,19,5,6,30,0
82,1,1,3:10,1,0,73,0,3,13,1,0,0,37,46,28,73,44,30,13,19,5,6,30,0
83,1,-1,3:08,5,1,19,28,2,0,0,0,0,37,46,28,73,44,30,13,19,5,6,30,0
84,1,1,3:02,1,0,44,0,3,52,3,0,0,37,46,28,73,44,30,13,19,5,6,30,0
85,1,-1,2:35,5,1,52,17,2,0,0,0,0,46,73,17,33,44,30,9,21,43,52,30,0
86,1, ,2:16,3,1,0,0,0,0,0,0,0,91,18,17,33,47,30,27,26,43,52,30,0
87,1,1,2:16,4,0,91,13,3,0,0,0,0,91,18,17,33,47,30,13,19,5,6,30,0
88,1,-1,1:55,6,1,19,33,2,0,0,0,0,91,18,17,33,47,30,13,19,5,6,30,0
89,1,1,1:55,6,0,33,19,3,0,0,0,0,91,18,17,33,47,30,13,5,6,30,0,0
90,1,-1,1:55,4,1,91,9,2,0,0,0,0,91,18,17,44,47,30,9,21,5,6,30,0
91,1,0,1:27,13,0,91,37,2,0,0,0,0,91,18,17,44,47,30,9,37,21,5,6,30
92,1,0,1:24,5,1,37,17,2,0,0,0,0,91,18,17,44,47,30,9,37,21,5,6,30
93,1,0,1:08,1,1,21,0,3,29,1,0,0,91,18,17,44,55,30,9,27,21,5,6,30
94,1,0,0:51,1,1,67,0,3,26,6,0,0,91,17,20,44,55,30,13,67,10,7,24,30
95,1, ,0:51,3,1,0,0,0,0,0,0,0,91,17,20,44,55,30,13,67,10,7,24,30
96,1,0,0:51,4,0,37,13,2,0,0,0,0,11,37,20,21,55,30,13,67,10,7,24,30
97,1,0,0:10,5,0,22,7,3,0,0,0,0,11,20,22,21,55,30,13,67,10,7,24,30
98,1, ,0:00,11,0,0,0,0,0,0,0,0,11,20,22,21,55,30,18,27,26,7,24,30
99,2, ,20:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2,0,20:00,4,0,11,9,1,0,0,0,0,11,20,22,21,54,30,9,63,21,7,24,30
101,2,0,19:43,5,0,11,24,2,0,0,0,0,11,20,22,21,54,30,9,63,21,7,24,30
102,2,0,19:24,5,0,22,24,3,0,0,0,0,11,20,22,44,47,30,13,67,10,7,24,30
103,2,0,18:58,2,1,10,0,3,27,3,67,0,91,18,20,44,47,30,13,67,10,43,52,30
104,2,0,18:58,4,0,91,18,1,0,0,0,0,91,18,17,33,55,30,18,19,26,43,52,30
105,2, ,18:51,3,2,0,0,0,0,0,0,0,91,18,17,33,55,30,18,19,26,43,52,30
106,2,0,18:51,4,0,91,18,1,0,0,0,0,91,18,17,33,55,30,18,19,26,43,52,30
