# 2010/12/27 
# NYI , NYR 
# 2 , 7 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,12,51,40,4,20,30,17,23,42,33,44,30
2,1,0,20:00,4,0,51,42,1,0,0,0,0,12,51,40,4,20,30,17,23,42,33,44,30
3,1,0,19:39,5,0,12,44,3,0,0,0,0,12,51,40,4,20,30,17,23,42,33,44,30
4,1,0,19:16,2,1,97,0,3,52,1,23,17,44,16,57,36,47,30,17,23,42,33,97,30
5,1,0,19:16,4,0,44,21,1,0,0,0,0,44,16,57,36,47,30,21,36,10,38,97,30
6,1, ,19:11,3,2,0,0,0,0,0,0,0,91,15,26,36,47,30,21,36,10,5,18,30
7,1,0,19:11,4,0,91,21,1,0,0,0,0,91,15,26,36,47,30,21,36,10,5,18,30
8,1,0,18:47,5,0,47,10,2,0,0,0,0,91,15,26,36,47,30,21,36,10,5,18,30
9,1,0,18:40,1,1,21,0,3,12,1,0,0,91,15,26,36,47,30,21,36,10,5,18,30
10,1,0,17:57,5,1,22,28,3,0,0,0,0,28,14,17,27,38,30,22,8,19,38,97,30
11,1,0,17:20,5,0,27,21,2,0,0,0,0,28,14,17,27,38,30,21,36,10,33,44,30
12,1,0,17:16,1,1,36,0,3,49,1,0,0,28,14,17,27,38,30,21,36,10,33,44,30
13,1,0,17:14,1,1,21,0,3,11,6,0,0,28,14,17,27,38,30,21,36,10,33,44,30
14,1, ,17:13,3,1,0,0,0,0,0,0,0,28,14,17,27,38,30,21,36,10,33,44,30
15,1,0,17:13,4,0,51,26,2,0,0,0,0,12,51,40,4,20,30,26,16,31,33,44,30
16,1,0,16:57,1,1,16,0,3,41,1,0,0,12,51,40,4,20,30,26,16,31,33,44,30
17,1,0,16:28,9,1,44,0,2,0,0,0,0,12,51,40,4,20,30,26,16,31,33,44,30
18,1,0,16:18,7,0,4,0,3,48,1,0,0,12,91,40,4,20,30,26,16,31,33,44,30
19,1,0,16:18,5,1,31,12,2,0,0,0,0,12,91,40,4,20,30,26,16,31,33,44,30
20,1,0,15:53,5,1,5,15,2,0,0,0,0,91,15,26,36,47,30,17,23,42,5,18,30
21,1,0,15:51,1,0,26,0,3,17,3,0,0,91,15,26,36,47,30,17,23,42,5,18,30
22,1, ,15:51,3,1,0,0,0,0,0,0,0,91,15,26,36,47,30,17,23,42,5,18,30
23,1,0,15:51,4,1,91,23,2,0,0,0,0,91,15,26,36,47,30,17,23,42,5,18,30
24,1,0,15:30,8,0,47,0,2,0,0,0,0,91,15,26,36,47,30,17,23,42,5,18,30
25,1,0,15:26,7,1,42,0,3,14,5,0,0,91,15,26,36,47,30,17,23,42,5,18,30
26,1, ,15:24,3,5,0,0,0,0,0,0,0,91,15,26,36,47,30,17,23,42,5,18,30
27,1,0,15:24,4,1,44,21,3,0,0,0,0,44,16,57,27,38,30,21,36,10,38,97,30
28,1,0,15:10,5,0,16,21,2,0,0,0,0,44,16,57,27,38,30,21,36,10,38,97,30
29,1,0,14:56,5,1,36,38,1,0,0,0,0,44,16,57,27,38,30,21,36,10,38,97,30
