# 2010/12/29 
# NYR , N.J 
# 3 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,22,8,19,5,18,30,10,11,14,6,28,30
2,1,0,20:00,4,0,22,14,1,0,0,0,0,22,8,19,5,18,30,10,11,14,6,28,30
3,1,0,19:50,7,0,22,0,3,39,3,0,0,22,8,19,5,18,30,10,11,14,6,28,30
4,1,0,19:48,5,1,14,8,2,0,0,0,0,22,8,19,38,97,30,10,11,14,6,28,30
5,1,0,19:31,1,0,22,0,3,41,3,0,0,22,8,19,38,97,30,10,11,14,6,28,30
6,1, ,19:30,3,1,0,0,0,0,0,0,0,22,8,19,38,97,30,10,11,14,6,28,30
7,1,0,19:30,4,0,21,17,3,0,0,0,0,21,36,10,5,18,30,19,17,21,5,7,30
8,1, ,19:01,3,1,0,0,0,0,0,0,0,21,36,10,5,18,30,19,17,21,5,7,30
9,1,0,19:01,7,1,19,0,3,42,1,0,0,21,36,10,5,18,30,19,17,21,5,7,30
10,1,0,19:01,4,0,23,25,2,0,0,0,0,17,23,42,33,44,30,25,15,26,6,28,30
11,1,0,18:49,5,1,28,17,3,0,0,0,0,17,23,42,33,44,30,25,15,26,6,28,30
12,1,0,18:38,13,1,6,23,2,0,0,0,0,17,23,42,33,44,30,25,15,26,6,28,30
13,1,0,18:07,5,1,23,97,3,0,0,0,0,26,16,31,38,97,30,8,23,17,22,29,30
14,1,0,17:52,5,1,18,38,3,0,0,0,0,26,16,31,38,97,30,8,18,23,5,7,30
15,1,0,17:33,5,0,16,5,3,0,0,0,0,22,8,16,5,18,30,19,17,21,5,7,30
16,1,0,17:28,5,0,22,7,3,0,0,0,0,22,8,16,5,18,30,19,17,21,5,7,30
17,1,0,16:51,1,1,26,0,3,16,6,0,0,22,8,19,5,44,30,25,15,26,7,28,30
18,1,0,16:48,5,1,28,8,3,0,0,0,0,22,8,19,5,44,30,25,15,26,7,28,30
19,1,0,16:32,8,1,15,0,1,0,0,0,0,21,8,19,33,44,30,25,15,26,7,28,30
20,1,0,16:25,1,1,25,0,3,51,3,0,0,21,36,10,33,44,30,25,15,26,7,28,30
21,1,0,16:24,5,0,44,25,2,0,0,0,0,21,36,10,33,44,30,25,15,26,7,28,30
22,1,0,16:18,1,1,26,0,3,34,3,0,0,21,36,10,33,44,30,25,15,26,6,28,30
23,1,0,16:13,13,1,28,33,2,0,0,0,0,21,36,10,33,44,30,25,15,26,6,28,30
24,1,0,15:47,9,1,25,0,3,0,0,0,0,21,36,10,33,44,30,11,25,26,6,29,30
25,1,0,15:41,8,1,11,0,2,0,0,0,0,21,36,10,38,97,30,11,25,26,6,29,30
26,1,0,15:13,5,0,42,25,3,0,0,0,0,17,42,10,38,97,30,25,21,26,5,7,30
27,1,0,15:06,8,1,23,0,3,0,0,0,0,17,42,10,38,97,30,8,18,23,5,7,30
28,1,0,15:05,1,1,23,0,3,27,2,0,0,17,42,10,38,97,30,8,18,23,5,7,30
29,1,0,15:04,7,1,7,0,3,33,2,0,0,17,42,10,38,97,30,8,18,23,5,7,30
30,1,0,14:51,5,1,8,17,3,0,0,0,0,17,42,10,38,97,30,8,18,23,5,7,30
31,1,0,14:35,5,0,18,23,2,0,0,0,0,26,16,31,5,18,30,8,18,23,7,28,30
32,1, ,14:19,3,6,0,0,0,0,0,0,0,26,16,31,5,18,30,19,17,21,6,29,30
33,1,0,14:19,4,1,26,19,2,0,0,0,0,26,16,31,5,18,30,19,17,21,6,29,30
34,1,0,14:15,1,1,21,0,3,17,3,0,0,26,16,31,5,18,30,19,17,21,6,29,30
35,1,0,13:34,1,1,19,0,3,16,3,0,0,22,8,16,5,18,30,19,17,21,22,29,30
36,1,0,13:29,2,1,19,0,3,172,1,21,17,22,8,16,5,18,30,19,17,21,22,29,30
37,1,0,13:29,4,0,22,14,1,0,0,0,0,22,8,19,33,44,30,10,11,14,22,29,30
38,1,0,13:22,5,1,10,33,2,0,0,0,0,22,8,19,33,44,30,10,11,14,22,29,30
39,1,0,13:16,5,0,8,22,3,0,0,0,0,22,8,19,33,44,30,10,11,14,22,29,30
40,1,0,13:01,1,1,29,0,3,50,3,0,0,22,8,19,33,44,30,10,11,14,22,29,30
41,1,0,12:56,5,1,10,44,3,0,0,0,0,22,8,19,33,44,30,10,14,26,22,28,30
42,1,0,12:42,2,0,22,0,3,24,3,19,8,22,8,19,38,97,30,25,15,26,5,7,30
43,1,0,12:42,4,1,21,25,1,0,0,0,0,21,36,10,38,97,30,25,15,26,5,7,30
44,1,0,12:27,5,0,21,25,2,0,0,0,0,21,36,10,38,97,30,25,15,26,5,7,30
45,1, ,12:15,3,0,0,0,0,0,0,0,0,21,36,10,38,97,30,25,15,26,5,7,30
46,1,0,12:15,4,1,21,19,1,0,0,0,0,21,36,10,5,18,30,19,17,21,5,7,30
47,1,0,11:58,5,1,7,21,2,0,0,0,0,21,36,10,5,18,30,19,17,21,5,7,30
48,1,0,11:45,7,0,36,0,3,24,2,0,0,21,36,10,5,18,30,19,17,21,5,7,30
49,1,0,11:32,5,0,36,5,3,0,0,0,0,21,36,10,5,18,30,19,17,21,5,7,30
50,1,0,11:05,9,0,97,0,2,0,0,0,0,17,23,42,38,97,30,8,18,23,5,7,30
51,1,0,10:54,9,0,97,0,2,0,0,0,0,17,23,42,38,97,30,8,18,23,6,28,30
52,1,0,10:48,1,1,6,0,3,58,3,0,0,17,23,42,38,97,30,8,18,23,6,28,30
53,1,0,10:20,5,0,38,8,2,0,0,0,0,17,23,42,38,97,30,8,18,23,6,28,30
54,1,0,10:15,9,1,8,0,3,0,0,0,0,17,23,42,38,97,30,8,18,23,6,28,30
55,1,0,10:03,5,0,16,11,3,0,0,0,0,26,16,31,33,44,30,10,11,14,28,29,30
56,1, ,9:36,3,0,0,0,0,0,0,0,0,26,16,31,33,44,30,10,11,14,7,28,30
57,1,0,9:36,1,0,16,0,3,19,1,0,0,26,16,31,33,44,30,10,11,14,7,28,30
58,1,0,9:36,4,0,22,25,3,0,0,0,0,22,8,19,38,97,30,25,15,26,5,7,30
59,1,0,9:18,5,0,22,15,3,0,0,0,0,22,8,19,38,97,30,25,15,26,5,7,30
60,1,0,9:15,7,1,26,0,3,34,1,0,0,22,8,19,38,97,30,25,15,26,5,7,30
61,1,0,8:56,5,0,22,15,2,0,0,0,0,22,8,19,5,18,30,25,15,26,5,7,30
62,1,0,8:30,5,0,21,22,3,0,0,0,0,21,36,10,5,18,30,19,17,21,5,22,30
63,1,0,8:21,1,1,17,0,3,25,3,0,0,21,36,10,5,18,30,19,17,21,5,22,30
64,1, ,8:03,3,1,0,0,0,0,0,0,0,21,36,10,33,44,30,8,18,23,6,28,30
65,1,0,8:03,1,0,44,0,3,32,1,0,0,21,36,10,33,44,30,8,18,23,6,28,30
66,1,0,8:03,4,0,23,8,3,0,0,0,0,17,23,42,38,97,30,8,18,23,6,28,30
67,1,0,7:44,6,1,8,42,0,0,0,0,0,17,23,42,38,97,30,8,18,23,6,28,30
68,1,1,7:44,4,0,17,19,3,0,0,0,0,17,21,26,31,18,30,19,25,5,7,30,0
69,1,1,7:07,5,0,26,19,2,0,0,0,0,17,21,26,31,18,30,10,19,6,29,30,0
70,1,1,6:36,1,0,10,0,3,24,2,0,0,17,21,10,31,18,30,10,15,6,29,30,0
71,1,-1,6:11,5,1,5,33,2,0,0,0,0,23,36,10,5,33,30,19,26,5,7,30,0
72,1,0,5:32,5,0,22,8,1,0,0,0,0,22,8,19,5,33,30,8,14,23,5,28,30
73,1, ,5:30,3,0,0,0,0,0,0,0,0,22,8,19,5,33,30,8,15,23,22,29,30
74,1,0,5:30,4,0,22,8,1,0,0,0,0,22,8,19,5,18,30,8,15,23,22,29,30
75,1,0,5:08,5,0,18,29,2,0,0,0,0,22,8,19,18,38,30,8,18,23,22,29,30
76,1,0,4:59,5,0,38,23,2,0,0,0,0,22,8,19,18,38,30,8,18,23,22,29,30
77,1,0,4:51,1,1,22,0,3,57,3,0,0,22,8,19,18,38,30,8,18,23,22,29,30
78,1,0,4:46,7,1,29,0,3,62,2,0,0,22,8,19,18,38,30,8,18,23,22,29,30
79,1,0,4:45,5,0,19,22,2,0,0,0,0,22,8,19,18,38,30,8,23,26,22,29,30
80,1,0,4:38,8,1,23,0,3,0,0,0,0,22,8,19,18,38,30,8,23,26,22,29,30
81,1,0,4:17,5,1,15,33,3,0,0,0,0,42,10,16,33,44,30,19,15,26,5,7,30
82,1,0,4:05,5,0,16,15,3,0,0,0,0,42,10,16,33,44,30,19,15,26,5,7,30
83,1,0,4:01,1,1,26,0,3,43,2,0,0,42,10,16,33,44,30,19,15,26,5,7,30
84,1, ,4:01,3,1,0,0,0,0,0,0,0,42,10,16,33,44,30,19,15,26,5,7,30
85,1,0,4:01,4,0,23,19,2,0,0,0,0,17,23,42,38,97,30,19,17,21,6,28,30
86,1,0,3:48,13,1,6,42,2,0,0,0,0,17,23,42,38,97,30,19,17,21,6,28,30
87,1,0,3:46,5,0,23,21,2,0,0,0,0,17,23,42,38,97,30,19,17,21,6,28,30
88,1,0,3:20,9,0,38,0,2,0,0,0,0,17,23,42,38,97,30,25,17,21,5,7,30
89,1,0,3:15,7,1,7,0,3,41,3,0,0,17,23,42,38,97,30,25,17,21,5,7,30
90,1,0,2:54,5,1,10,31,1,0,0,0,0,17,26,31,33,44,30,10,11,14,5,7,30
91,1,0,2:52,5,1,11,33,1,0,0,0,0,26,16,31,33,44,30,10,11,14,5,7,30
92,1,0,2:32,5,1,22,16,2,0,0,0,0,26,16,31,33,44,30,10,11,14,22,29,30
93,1,0,2:20,9,1,14,0,2,0,0,0,0,26,16,31,33,44,30,10,11,14,22,29,30
94,1,0,2:00,9,0,10,0,3,0,0,0,0,21,26,10,33,44,30,8,18,23,6,28,30
95,1,0,1:53,1,1,8,0,3,51,3,0,0,21,26,10,38,97,30,8,18,23,6,28,30
96,1, ,1:53,3,1,0,0,0,0,0,0,0,21,26,10,38,97,30,8,18,23,6,28,30
97,1,0,1:53,4,1,22,19,3,0,0,0,0,22,8,19,5,18,30,19,17,21,6,28,30
98,1,0,1:44,1,1,28,0,3,53,3,0,0,22,8,19,5,18,30,25,17,21,6,28,30
99,1,0,1:32,5,1,21,5,3,0,0,0,0,22,8,19,5,18,30,25,17,21,6,28,30
100,1,0,1:19,5,1,28,19,3,0,0,0,0,22,8,19,5,18,30,25,17,21,6,28,30
101,1, ,1:15,3,3,0,0,0,0,0,0,0,22,8,19,5,18,30,25,17,21,6,28,30
102,1,0,1:15,4,1,42,25,1,0,0,0,0,17,23,42,33,44,30,25,15,26,5,7,30
103,1,0,0:49,1,1,7,0,3,25,3,0,0,17,23,42,33,44,30,25,15,26,5,7,30
104,1, ,0:43,3,1,0,0,0,0,0,0,0,17,23,42,33,44,30,25,15,26,5,7,30
105,1,0,0:43,1,1,5,0,3,55,2,0,0,17,23,42,33,44,30,25,15,26,5,7,30
106,1,0,0:43,4,0,22,19,2,0,0,0,0,22,8,19,5,18,30,19,17,21,5,7,30
107,1, ,0:23,3,2,0,0,0,0,0,0,0,22,8,19,5,18,30,19,17,21,5,7,30
108,1,0,0:23,4,0,22,19,1,0,0,0,0,22,8,19,5,18,30,19,17,21,6,29,30
109,1, ,0:12,3,3,0,0,0,0,0,0,0,22,8,19,5,18,30,19,17,21,6,29,30
110,1,0,0:12,4,1,19,8,1,0,0,0,0,22,8,19,5,18,30,8,18,23,6,22,30
111,1,0,0:01,5,1,23,5,3,0,0,0,0,22,8,19,5,18,30,8,18,23,6,28,30
112,1, ,0:00,11,0,0,0,0,0,0,0,0,22,8,19,5,18,30,8,18,23,6,28,30
113,2, ,20:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2,0,20:00,4,1,22,10,1,0,0,0,0,22,8,19,5,18,30,10,11,14,6,28,30
115,2,0,19:41,13,0,8,6,3,0,0,0,0,22,8,19,38,97,30,10,11,14,6,28,30
