# 2010/12/29 
# S.J , MIN 
# 3 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,78,15,3,22,30,11,22,23,5,55,32
2,1,0,20:00,4,0,19,11,1,0,0,0,0,19,78,15,3,22,30,11,22,23,5,55,32
3,1,0,19:26,13,0,78,55,2,0,0,0,0,19,78,15,3,22,30,11,22,23,5,55,32
4,1,0,19:21,8,0,19,0,2,0,0,0,0,19,78,15,3,22,30,11,22,23,5,55,32
5,1,0,19:14,1,0,22,0,3,22,1,0,0,39,78,15,22,40,30,11,22,23,5,25,32
6,1, ,19:13,3,1,0,0,0,0,0,0,0,39,78,15,22,40,30,11,22,23,5,25,32
7,1,0,19:13,4,0,39,9,3,0,0,0,0,39,16,29,40,60,30,9,20,15,3,25,32
8,1,0,18:37,1,0,40,0,3,59,3,0,0,39,16,29,40,60,30,9,20,15,3,25,32
9,1,0,18:34,5,1,3,39,2,0,0,0,0,39,16,29,40,60,30,9,20,15,3,25,32
10,1,0,18:01,5,1,6,57,2,0,0,0,0,12,57,64,7,44,30,21,96,24,6,8,32
11,1,0,17:29,5,0,21,55,3,0,0,0,0,21,10,72,3,22,30,21,12,24,8,55,32
12,1,0,17:01,9,1,55,0,3,0,0,0,0,21,10,64,3,22,30,7,12,16,5,55,32
13,1,0,16:56,9,0,10,0,3,0,0,0,0,21,10,64,22,40,30,7,12,16,5,55,32
14,1, ,16:54,3,3,0,0,0,0,0,0,0,21,10,64,22,40,30,7,12,16,5,55,32
15,1,0,16:54,4,1,19,9,1,0,0,0,0,19,57,64,40,60,30,9,20,15,6,8,32
16,1, ,16:32,3,4,0,0,0,0,0,0,0,19,57,64,40,60,30,9,20,15,6,8,32
17,1,0,16:32,4,1,12,11,2,0,0,0,0,12,57,64,40,60,30,11,22,23,6,8,32
18,1,0,15:55,13,0,29,3,2,0,0,0,0,39,16,29,7,44,30,11,22,23,3,25,32
19,1,0,15:29,5,0,39,24,2,0,0,0,0,39,16,29,7,44,30,21,96,24,3,55,32
20,1,0,15:23,7,1,24,0,3,15,5,0,0,39,16,29,7,44,30,21,96,24,3,55,32
21,1,0,14:48,6,0,19,55,3,0,0,0,0,12,19,15,3,22,30,7,96,16,3,55,32
22,1,-1,14:48,4,0,21,9,2,0,0,0,0,12,21,3,22,30,0,7,9,20,15,3,32
23,1,1,14:15,9,1,3,0,1,0,0,0,0,12,15,3,22,30,0,7,9,20,15,3,32
24,1,-1,13:23,7,0,12,0,3,33,3,0,0,12,10,7,44,30,0,21,96,22,24,8,32
25,1,-1,13:20,8,0,12,0,3,0,0,0,0,12,10,7,44,30,0,21,96,22,24,8,32
26,1,1,12:55,8,1,96,0,3,0,0,0,0,21,64,3,22,30,0,21,96,22,24,8,32
27,1,1,12:52,2,1,21,0,3,13,1,24,96,21,64,3,22,30,0,21,96,22,24,8,32
28,1,0,12:52,4,0,39,11,1,0,0,0,0,39,16,29,3,22,30,11,12,23,5,55,32
29,1,0,12:25,13,1,23,22,2,0,0,0,0,39,16,29,3,22,30,11,12,23,5,55,32
30,1,0,11:59,5,1,9,29,2,0,0,0,0,39,16,29,40,60,30,9,20,15,5,55,32
31,1,0,11:53,8,0,16,0,3,0,0,0,0,39,16,29,40,60,30,9,20,15,5,55,32
32,1,0,11:51,1,0,16,0,3,31,1,0,0,19,16,29,40,60,30,9,20,15,5,55,32
33,1,0,11:19,1,0,60,0,3,58,2,0,0,19,78,15,40,60,30,9,20,15,3,25,32
34,1,0,10:46,5,1,96,7,3,0,0,0,0,12,57,64,7,44,30,21,96,24,6,8,32
35,1,0,10:44,7,1,24,0,3,39,1,0,0,12,57,64,7,44,30,21,96,24,6,8,32
36,1,0,10:15,6,0,64,96,2,0,0,0,0,12,57,64,7,44,30,7,11,96,24,6,8
37,1, ,10:15,3,9,0,0,0,0,0,0,0,12,57,7,44,30,0,7,11,96,24,6,8
38,1,-1,10:15,4,0,39,21,2,0,0,0,0,39,10,3,22,30,0,21,96,22,24,3,32
39,1,-1,9:52,1,0,10,0,3,22,1,0,0,39,10,3,22,30,0,7,21,22,24,8,32
40,1,1,9:51,6,1,8,10,2,0,0,0,0,39,10,3,22,30,0,21,96,22,24,8,32
41,1,0,9:51,4,0,12,7,3,0,0,0,0,12,16,3,22,30,0,7,20,3,25,32,0
42,1,0,9:45,7,0,3,0,3,62,2,0,0,12,16,3,22,30,0,7,20,3,25,32,0
43,1,0,9:35,13,0,16,3,2,0,0,0,0,12,16,3,22,30,0,7,20,3,25,32,0
44,1,0,9:03,6,1,7,12,3,0,0,0,0,12,15,3,22,30,0,7,20,6,55,32,0
45,1, ,9:03,3,9,0,0,0,0,0,0,0,12,15,3,22,30,0,20,6,55,32,0,0
46,1,1,9:03,4,0,19,9,3,0,0,0,0,12,19,29,22,30,0,9,5,55,32,0,0
47,1,1,8:47,7,0,22,0,3,36,2,0,0,12,19,29,22,30,0,9,5,55,32,0,0
48,1,-1,8:34,13,0,22,5,2,0,0,0,0,12,19,29,22,30,0,9,5,55,32,0,0
49,1,-1,8:24,13,0,19,55,2,0,0,0,0,12,19,29,22,30,0,9,5,55,32,0,0
50,1,1,8:18,1,0,29,0,3,16,5,0,0,12,19,29,22,30,0,9,5,55,32,0,0
51,1, ,8:17,3,1,0,0,0,0,0,0,0,12,19,29,22,30,0,9,5,55,32,0,0
52,1,-1,8:17,4,1,19,21,2,0,0,0,0,12,19,29,22,30,0,21,5,55,32,0,0
53,1,1,8:11,2,0,19,0,3,15,1,29,22,12,19,29,64,22,30,21,5,55,32,0,0
54,1,-1,8:11,4,1,19,11,1,0,0,0,0,12,19,15,22,60,30,11,23,6,8,32,0
55,1,1,7:39,7,0,22,0,3,46,2,0,0,12,19,15,22,60,30,11,23,6,8,32,0
56,1,1,7:15,1,0,22,0,3,32,3,0,0,39,16,15,22,60,30,9,20,3,25,32,0
57,1,0,7:00,8,1,3,0,2,0,0,0,0,39,16,15,22,60,30,7,9,21,3,25,32
58,1,0,6:27,8,0,21,0,3,0,0,0,0,21,78,29,7,44,30,21,96,24,5,55,32
59,1,0,6:12,7,0,29,0,3,37,1,0,0,21,78,29,7,44,30,21,96,24,5,55,32
60,1,0,5:59,13,0,44,96,2,0,0,0,0,21,78,29,7,44,30,21,96,24,5,55,32
61,1,0,5:43,1,1,24,0,3,26,5,0,0,21,57,29,7,44,30,21,96,24,6,8,32
62,1, ,5:42,3,0,0,0,0,0,0,0,0,21,57,29,7,44,30,21,96,24,6,8,32
63,1,0,5:42,4,0,12,20,2,0,0,0,0,12,57,64,40,60,30,9,20,15,6,8,32
64,1,0,4:57,1,1,11,0,3,37,3,0,0,21,57,15,3,22,30,11,22,23,8,25,32
65,1, ,4:56,3,1,0,0,0,0,0,0,0,21,57,15,3,22,30,11,22,23,8,25,32
66,1,0,4:56,4,1,21,7,3,0,0,0,0,19,21,10,3,22,30,7,12,24,3,25,32
67,1,0,4:34,9,0,19,0,2,0,0,0,0,19,21,10,3,22,30,7,12,24,3,25,32
68,1,0,4:24,5,1,25,10,2,0,0,0,0,19,10,15,3,22,30,7,12,24,3,25,32
69,1,0,4:11,13,1,24,7,2,0,0,0,0,39,78,15,7,44,30,7,12,24,3,55,32
70,1, ,3:43,3,4,0,0,0,0,0,0,0,39,78,15,7,44,30,11,12,22,5,55,32
71,1,0,3:43,4,1,12,11,1,0,0,0,0,12,16,29,40,60,30,11,22,23,6,8,32
72,1,0,3:31,13,0,16,6,2,0,0,0,0,12,16,29,40,60,30,11,22,23,6,8,32
73,1,0,3:24,5,0,16,8,3,0,0,0,0,12,16,29,40,60,30,11,22,23,6,8,32
74,1,0,2:34,9,1,9,0,3,0,0,0,0,21,10,72,3,60,30,9,20,15,3,25,32
75,1,0,2:26,1,0,21,0,3,19,3,0,0,21,10,72,3,60,30,9,20,15,3,25,32
76,1,0,1:46,7,1,24,0,3,46,2,0,0,19,78,15,22,44,30,21,96,24,5,55,32
77,1,0,1:40,1,1,96,0,3,21,1,0,0,19,78,15,22,44,30,21,96,24,5,55,32
78,1,0,1:10,5,1,23,7,3,0,0,0,0,39,16,29,7,44,30,11,22,23,6,8,32
79,1,0,1:03,5,0,29,8,3,0,0,0,0,39,16,29,40,60,30,11,22,23,6,8,32
80,1,0,0:21,6,0,60,7,2,0,0,0,0,12,57,64,40,60,30,7,12,20,3,25,32
81,1,1,0:21,4,1,19,9,3,0,0,0,0,12,19,3,22,30,0,7,9,20,15,3,32
82,1,1,0:02,1,1,9,0,1,85,3,0,0,12,19,3,22,30,0,7,9,20,15,3,32
83,1, ,0:00,11,0,0,0,0,0,0,0,0,12,19,3,22,30,0,7,9,20,15,3,32
84,2, ,20:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2,1,20:00,4,1,21,21,1,0,0,0,0,12,21,7,44,30,0,21,96,22,24,8,32
86,2,1,18:48,1,1,3,0,3,51,2,0,0,21,39,3,22,30,0,9,96,20,15,3,32
