# 2011/01/04 
# BUF , COL 
# 3 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,20,28,25,44,57,30,12,54,39,44,52,31
2,1,0,20:00,4,0,28,39,1,0,0,0,0,20,28,25,44,57,30,12,54,39,44,52,31
3,1,0,19:30,1,1,44,0,3,35,3,0,0,20,28,25,44,57,30,12,54,39,44,52,31
4,1,0,19:19,1,0,25,0,3,11,5,0,0,20,28,25,3,4,30,12,54,39,44,52,31
5,1,0,19:15,1,0,3,0,3,59,2,0,0,20,28,25,3,4,30,12,54,39,44,52,31
6,1, ,18:40,3,5,0,0,0,0,0,0,0,19,29,26,3,4,30,9,23,14,3,4,31
7,1,0,18:40,4,1,55,37,1,0,0,0,0,55,63,21,44,57,30,34,37,18,8,48,31
8,1,0,18:23,1,1,34,0,3,34,1,0,0,55,63,21,44,57,30,34,37,18,8,48,31
9,1, ,17:43,3,1,0,0,0,0,0,0,0,19,29,26,6,27,30,9,11,20,44,52,31
10,1,0,17:43,4,1,19,9,3,0,0,0,0,19,29,26,44,52,30,9,23,14,44,52,31
11,1,0,17:19,7,1,23,0,3,35,1,0,0,19,29,26,44,52,30,9,23,14,44,52,31
12,1,0,16:58,6,0,44,23,2,0,0,0,0,19,29,26,44,52,30,9,23,14,44,52,31
13,1,1,16:58,4,1,28,9,3,0,0,0,0,28,25,3,4,30,0,9,12,54,4,8,31
14,1,-1,16:51,13,1,4,4,2,0,0,0,0,28,25,3,4,30,0,9,12,54,4,8,31
15,1,1,16:08,1,1,8,0,3,57,2,0,0,28,25,3,4,30,0,9,12,54,4,8,31
16,1,-1,15:11,13,1,14,52,2,0,0,0,0,19,20,6,52,30,0,18,23,14,6,48,31
17,1,0,14:56,1,0,20,0,3,30,1,0,0,19,20,3,4,44,30,18,23,14,6,48,31
18,1, ,14:55,3,1,0,0,0,0,0,0,0,19,20,3,4,44,30,18,23,14,6,48,31
19,1,0,14:55,4,1,72,37,2,0,0,0,0,8,63,72,3,4,30,34,37,39,3,44,31
20,1, ,14:46,3,6,0,0,0,0,0,0,0,8,63,72,3,4,30,34,37,39,3,44,31
21,1,0,14:46,4,1,72,37,2,0,0,0,0,8,63,72,3,4,30,34,37,39,3,44,31
22,1,0,14:28,8,1,37,0,3,0,0,0,0,8,63,72,3,4,30,34,37,39,3,44,31
23,1,0,14:25,13,1,37,8,2,0,0,0,0,8,63,72,3,4,30,34,37,39,3,44,31
24,1,0,14:11,1,0,3,0,1,98,2,0,0,8,20,72,3,4,30,34,37,39,3,44,31
25,1,0,13:49,1,1,11,0,3,38,6,0,0,20,55,21,44,57,30,11,12,20,4,52,31
26,1,0,13:37,5,1,20,55,3,0,0,0,0,20,55,21,44,57,30,11,12,20,4,52,31
27,1,0,13:05,1,0,19,0,3,28,1,0,0,19,29,26,6,27,30,9,23,14,3,48,31
28,1,0,12:46,8,0,19,0,2,0,0,0,0,19,29,26,6,27,30,9,23,14,6,8,31
29,1,0,12:30,5,0,25,8,1,0,0,0,0,28,63,25,3,4,30,18,54,39,6,8,31
30,1, ,12:04,3,0,0,0,0,0,0,0,0,28,63,25,3,4,30,18,54,39,44,52,31
31,1,0,12:04,4,0,72,37,1,0,0,0,0,8,72,26,44,57,30,12,34,37,44,52,31
32,1, ,11:43,3,2,0,0,0,0,0,0,0,8,72,26,44,57,30,12,34,37,44,52,31
33,1,0,11:43,4,0,55,9,1,0,0,0,0,55,63,21,3,4,30,9,23,14,3,4,31
34,1,0,11:25,1,0,63,0,3,7,1,0,0,55,63,21,3,4,30,9,23,14,3,4,31
35,1, ,11:25,3,1,0,0,0,0,0,0,0,55,63,21,3,4,30,9,23,14,3,4,31
36,1,0,11:25,4,0,55,9,3,0,0,0,0,55,63,21,3,4,30,9,23,14,44,52,31
37,1,0,11:19,13,0,63,9,2,0,0,0,0,55,63,21,3,4,30,9,23,14,44,52,31
38,1,0,11:15,7,0,55,0,3,14,6,0,0,55,63,21,3,4,30,9,23,14,44,52,31
39,1, ,11:13,3,1,0,0,0,0,0,0,0,20,28,25,6,27,30,9,23,14,44,52,31
40,1,0,11:13,4,0,28,11,3,0,0,0,0,20,28,25,6,27,30,11,20,34,8,48,31
41,1,0,11:02,8,1,34,0,2,0,0,0,0,20,28,25,6,27,30,11,20,34,8,48,31
42,1,0,10:54,6,0,28,11,1,0,0,0,0,20,28,25,6,27,30,11,20,34,8,48,31
43,1,-1,10:54,4,0,19,9,2,0,0,0,0,19,25,44,57,30,0,9,23,14,4,8,31
44,1, ,10:52,3,1,0,0,0,0,0,0,0,19,25,44,57,30,0,9,23,14,4,8,31
45,1,-1,10:52,4,0,19,9,2,0,0,0,0,19,25,44,57,30,0,9,23,14,4,8,31
46,1,1,10:36,9,1,4,0,1,0,0,0,0,19,25,44,57,30,0,9,23,14,4,8,31
47,1,1,9:46,1,1,9,0,3,26,0,0,0,19,25,44,57,30,0,9,23,14,4,8,31
48,1, ,9:46,3,1,0,0,0,0,0,0,0,19,25,44,57,30,0,9,23,14,4,8,31
49,1,-1,9:46,4,0,55,54,2,0,0,0,0,55,29,3,4,30,0,12,18,54,6,48,31
50,1,-1,9:15,13,1,48,55,2,0,0,0,0,55,29,3,4,30,0,12,18,54,6,48,31
51,1,-1,8:55,13,1,12,4,2,0,0,0,0,55,29,3,4,30,0,12,18,54,6,48,31
52,1, ,8:54,3,0,0,0,0,0,0,0,0,55,29,3,4,30,0,12,18,54,6,48,31
53,1,0,8:54,4,1,72,37,3,0,0,0,0,8,63,72,6,27,30,34,37,39,44,52,31
54,1,0,8:35,8,0,8,0,2,0,0,0,0,8,63,72,6,27,30,34,37,39,44,52,31
55,1,0,8:25,9,0,63,0,3,0,0,0,0,8,63,72,6,27,30,34,37,39,44,52,31
56,1, ,8:15,3,10,0,0,0,0,0,0,0,8,63,72,6,27,30,34,37,39,44,52,31
57,1,0,8:15,4,1,19,11,1,0,0,0,0,19,29,26,44,52,30,11,20,14,3,4,31
58,1,0,7:44,5,1,20,52,3,0,0,0,0,55,63,29,44,52,30,11,20,14,3,4,31
59,1,0,7:44,9,0,52,0,2,0,0,0,0,55,63,29,44,52,30,11,20,14,3,4,31
60,1,0,7:39,1,1,11,0,3,29,1,0,0,55,63,29,44,52,30,11,20,14,3,4,31
61,1,0,7:15,9,1,9,0,3,0,0,0,0,55,63,21,3,4,30,9,12,23,8,48,31
62,1,0,7:02,5,0,21,9,3,0,0,0,0,28,63,21,3,4,30,9,12,23,8,48,31
63,1,0,6:45,8,0,4,0,2,0,0,0,0,20,28,25,3,4,30,12,23,39,8,44,31
64,1,0,6:42,5,0,20,23,2,0,0,0,0,20,28,25,3,4,30,12,23,39,8,44,31
65,1,0,6:29,5,0,25,44,3,0,0,0,0,20,28,25,6,27,30,12,23,39,6,44,31
66,1,0,6:18,13,0,20,44,2,0,0,0,0,19,20,25,6,27,30,12,23,39,6,44,31
67,1,0,6:04,1,1,54,0,3,16,1,0,0,19,25,26,6,27,30,34,54,39,4,52,31
68,1,0,5:55,9,1,4,0,2,0,0,0,0,19,29,26,44,57,30,34,54,39,4,52,31
69,1,0,5:49,1,0,19,0,3,12,1,0,0,19,29,26,44,57,30,34,54,39,4,52,31
70,1,0,5:44,2,1,34,0,3,28,1,39,31,19,29,26,44,57,30,34,54,39,4,52,31
71,1,0,5:44,4,1,72,37,1,0,0,0,0,8,63,72,3,4,30,20,37,18,3,48,31
72,1,0,5:23,6,1,3,63,2,0,0,0,0,8,63,72,3,4,30,20,37,18,3,48,31
73,1, ,5:23,3,9,0,0,0,0,0,0,0,8,63,72,3,4,30,20,37,18,48,31,0
74,1,1,5:23,4,0,19,37,3,0,0,0,0,19,21,26,3,57,30,34,37,48,52,31,0
75,1,1,5:11,2,0,26,0,3,8,1,21,19,19,21,26,3,57,30,34,37,48,52,31,0
76,1,1,5:11,4,0,19,39,1,0,0,0,0,19,21,26,3,57,30,54,39,4,44,31,0
77,1,1,5:01,13,1,39,3,2,0,0,0,0,19,21,26,3,57,30,54,39,4,44,31,0
78,1, ,4:47,3,2,0,0,0,0,0,0,0,19,21,26,3,57,30,20,39,4,44,31,0
79,1,1,4:47,4,0,55,11,1,0,0,0,0,55,63,72,29,44,30,11,20,48,52,31,0
80,1,1,4:02,9,0,44,0,2,0,0,0,0,55,63,72,29,44,30,34,37,4,44,31,0
81,1,-1,3:57,2,1,37,0,3,8,1,34,0,19,55,21,26,57,30,34,37,4,44,31,0
82,1,1,3:57,4,0,19,39,1,0,0,0,0,19,21,26,3,57,30,54,39,44,52,31,0
83,1, ,2:50,3,2,0,0,0,0,0,0,0,20,28,25,6,27,30,34,37,14,8,48,31
84,1,0,2:50,4,0,28,9,3,0,0,0,0,20,28,25,6,27,30,9,23,14,8,48,31
85,1,0,2:21,8,0,8,0,3,0,0,0,0,8,20,72,3,4,30,9,23,14,4,8,31
86,1,0,2:13,8,1,9,0,2,0,0,0,0,8,20,72,3,4,30,9,23,14,4,8,31
87,1, ,2:01,3,2,0,0,0,0,0,0,0,8,63,72,3,4,30,11,12,18,6,52,31
88,1,0,2:01,4,0,72,11,1,0,0,0,0,8,63,72,3,4,30,11,12,18,6,52,31
89,1, ,0:40,3,0,0,0,0,0,0,0,0,20,55,29,6,27,30,54,14,39,3,4,31
90,1,0,0:40,6,0,27,39,2,0,0,0,0,20,55,29,6,27,30,54,14,39,3,4,31
91,1,-1,0:40,4,0,28,9,2,0,0,0,0,28,25,44,57,30,0,9,23,14,4,8,31
92,1,1,0:35,6,1,14,44,3,0,0,0,0,28,25,44,57,30,0,9,23,14,4,8,31
93,1,0,0:35,4,1,19,37,2,0,0,0,0,19,26,44,57,30,0,34,37,4,8,31,0
94,1,0,0:23,8,0,44,0,2,0,0,0,0,19,26,44,57,30,0,34,37,4,8,31,0
95,1, ,0:00,11,0,0,0,0,0,0,0,0,19,26,44,57,30,0,34,37,4,8,31,0
96,2, ,20:00,10,0,0,0,0,0,0,0,0,55,21,44,57,30,0,9,23,8,44,31,0
97,2,0,20:00,4,0,55,9,1,0,0,0,0,55,21,44,57,30,0,9,23,8,44,31,0
98,2, ,19:49,3,6,0,0,0,0,0,0,0,55,21,44,57,30,0,9,23,8,44,31,0
99,2,0,19:49,4,1,55,9,3,0,0,0,0,55,21,44,57,30,0,9,23,8,44,31,0
