# 2011/01/20 
# DET , STL 
# 4 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,93,17,40,5,55,35,20,36,42,4,6,41
2,1,0,20:00,4,1,40,42,1,0,0,0,0,93,17,40,5,55,35,20,36,42,4,6,41
3,1, ,19:56,3,10,0,0,0,0,0,0,0,93,17,40,5,55,35,20,36,42,4,6,41
4,1,0,19:56,4,1,40,42,1,0,0,0,0,93,17,40,5,55,35,20,36,42,4,6,41
5,1,0,19:42,13,1,36,55,2,0,0,0,0,93,17,40,5,55,35,20,36,42,4,6,41
6,1,0,19:27,1,1,42,0,3,12,6,0,0,93,17,40,5,55,35,20,36,42,4,6,41
7,1,0,19:18,8,0,40,0,3,0,0,0,0,26,44,40,28,52,35,22,42,15,4,6,41
8,1,0,19:11,1,0,44,0,3,31,1,0,0,26,44,40,28,52,35,22,42,15,4,6,41
9,1, ,19:10,3,1,0,0,0,0,0,0,0,26,44,40,28,52,35,22,42,15,4,6,41
10,1,0,19:10,4,1,51,18,2,0,0,0,0,26,51,44,4,24,35,18,22,15,5,46,41
11,1,0,18:52,7,1,46,0,3,57,2,0,0,26,51,44,4,24,35,18,22,15,5,46,41
12,1,0,18:42,5,0,44,15,1,0,0,0,0,26,51,44,4,24,35,18,22,15,5,46,41
13,1,0,18:34,5,1,22,24,3,0,0,0,0,26,51,44,4,24,35,17,18,22,5,46,41
14,1,0,18:20,5,1,74,52,3,0,0,0,0,33,43,20,28,52,35,17,21,74,23,27,41
15,1,0,18:09,7,1,27,0,3,53,1,0,0,33,43,20,28,52,35,17,21,74,23,27,41
16,1,0,17:44,9,1,23,0,2,0,0,0,0,21,8,39,4,24,35,25,26,75,23,27,41
17,1,0,17:40,13,0,24,75,2,0,0,0,0,21,8,39,4,24,35,25,26,75,23,27,41
18,1,0,17:32,9,0,21,0,3,0,0,0,0,21,8,39,4,24,35,25,26,75,23,27,41
19,1,0,17:26,7,1,26,0,3,19,0,0,0,21,8,39,4,24,35,25,26,75,6,23,41
20,1, ,17:06,3,2,0,0,0,0,0,0,0,93,17,40,4,5,35,25,26,36,4,6,41
21,1,0,17:06,4,1,40,42,1,0,0,0,0,93,17,40,5,55,35,20,36,42,4,6,41
22,1, ,16:47,3,8,0,0,0,0,0,0,0,93,17,40,5,55,35,20,36,42,4,6,41
23,1,0,16:47,4,0,40,42,3,0,0,0,0,93,17,40,5,55,35,20,36,42,4,6,41
24,1,0,16:45,13,0,93,6,2,0,0,0,0,93,17,40,5,55,35,20,36,42,4,6,41
25,1, ,16:44,3,8,0,0,0,0,0,0,0,93,17,40,5,55,35,20,36,42,4,6,41
26,1,0,16:44,4,1,40,42,2,0,0,0,0,93,17,40,5,55,35,20,36,42,4,6,41
27,1,0,16:33,1,1,4,0,3,20,1,0,0,93,17,40,5,55,35,20,36,42,4,6,41
28,1,0,16:07,1,1,22,0,3,67,2,0,0,26,51,44,4,24,35,22,42,15,4,6,41
29,1,0,15:57,1,0,26,0,3,28,3,0,0,26,51,44,4,24,35,18,22,15,5,46,41
30,1,0,15:33,13,0,26,46,2,0,0,0,0,26,51,44,4,24,35,17,18,22,5,46,41
31,1,0,15:22,1,0,24,0,3,59,2,0,0,26,51,44,4,24,35,17,18,22,5,46,41
32,1,0,15:04,5,1,74,20,2,0,0,0,0,33,43,20,28,52,35,17,21,74,23,27,41
33,1,0,14:53,1,0,43,0,3,32,1,0,0,33,43,20,28,52,35,17,21,74,23,27,41
34,1,0,14:48,7,0,52,0,3,47,1,0,0,33,43,20,28,52,35,17,21,74,23,27,41
35,1,0,14:37,7,0,43,0,3,22,6,0,0,33,43,20,28,52,35,17,21,74,23,27,41
36,1, ,14:36,3,8,0,0,0,0,0,0,0,33,43,20,28,52,35,17,21,74,23,27,41
37,1,0,14:36,4,1,39,25,2,0,0,0,0,21,8,39,4,24,35,25,26,75,4,6,41
38,1,0,14:21,6,1,75,39,3,0,0,0,0,21,8,39,4,24,35,25,26,75,5,46,41
39,1,1,14:21,4,0,40,26,3,0,0,0,0,93,17,40,5,28,35,18,26,4,6,41,0
40,1,1,14:17,7,0,28,0,3,53,2,0,0,93,17,40,5,28,35,18,26,4,6,41,0
41,1,1,14:06,7,0,5,0,3,61,2,0,0,93,17,40,5,28,35,18,26,4,6,41,0
42,1,1,13:46,9,0,93,0,3,0,0,0,0,93,17,40,5,28,35,20,42,4,6,41,0
43,1,-1,13:44,1,1,20,0,3,29,1,0,0,93,17,40,5,28,35,20,42,5,46,41,0
44,1,-1,13:15,13,0,28,5,2,0,0,0,0,26,93,40,5,28,35,17,74,5,46,41,0
45,1,1,12:34,7,0,26,0,3,12,0,0,0,26,51,44,4,55,35,18,26,4,6,41,0
46,1,1,12:21,7,0,55,0,3,21,1,0,0,26,51,44,4,55,35,18,26,4,6,41,0
47,1,0,12:16,1,0,51,0,3,32,1,0,0,26,51,44,4,55,35,18,26,75,4,6,41
48,1,0,12:08,7,0,44,0,3,58,2,0,0,26,51,44,4,55,35,18,26,75,4,6,41
49,1, ,11:36,3,0,0,0,0,0,0,0,0,33,43,20,24,55,35,25,22,15,23,27,41
50,1,0,11:36,4,0,43,42,2,0,0,0,0,33,43,20,28,52,35,20,36,42,23,27,41
51,1, ,11:27,3,2,0,0,0,0,0,0,0,33,43,20,28,52,35,20,36,42,23,27,41
52,1,0,11:27,4,1,40,42,1,0,0,0,0,93,17,40,5,55,35,20,36,42,23,27,41
53,1,0,11:16,1,0,17,0,3,34,1,0,0,93,17,40,5,55,35,20,36,42,23,27,41
54,1,0,11:02,7,0,55,0,3,40,1,0,0,93,17,40,5,55,35,20,36,42,4,6,41
55,1,0,10:56,1,0,40,0,3,37,1,0,0,93,17,40,5,55,35,20,36,42,4,6,41
56,1,0,10:47,13,1,20,55,2,0,0,0,0,93,17,40,5,55,35,20,74,42,4,6,41
57,1,0,10:20,7,1,17,0,3,17,0,0,0,33,43,20,28,52,35,17,21,74,5,46,41
58,1,0,10:16,7,1,5,0,3,57,2,0,0,33,43,20,28,52,35,17,21,74,5,46,41
59,1,0,10:09,1,0,28,0,3,36,1,0,0,33,43,20,28,52,35,17,21,74,5,46,41
60,1, ,10:05,3,4,0,0,0,0,0,0,0,33,43,20,28,52,35,17,21,74,5,46,41
61,1,0,10:05,4,1,8,25,1,0,0,0,0,21,8,39,4,24,35,25,26,75,23,27,41
62,1,0,9:45,5,1,26,8,3,0,0,0,0,21,8,39,4,24,35,25,26,75,23,27,41
63,1,0,9:10,5,1,15,28,3,0,0,0,0,26,51,39,28,52,35,18,22,15,4,6,41
64,1,0,9:06,8,1,18,0,3,0,0,0,0,26,51,39,28,52,35,18,22,15,4,6,41
65,1,0,8:47,7,1,18,0,3,22,6,0,0,26,51,39,28,52,35,18,22,15,4,6,41
66,1,0,8:18,7,0,51,0,3,36,1,0,0,26,51,44,5,55,35,20,36,42,5,46,41
67,1,0,7:38,9,1,6,0,2,0,0,0,0,93,17,40,5,55,35,20,36,42,6,46,41
68,1,0,7:35,2,0,17,0,3,13,3,40,0,93,17,40,5,55,35,20,36,42,6,46,41
69,1,0,7:35,4,1,43,21,1,0,0,0,0,33,43,20,4,24,35,17,21,74,23,27,41
70,1,0,7:24,5,1,21,4,3,0,0,0,0,33,43,20,4,24,35,17,21,74,23,27,41
71,1,0,6:18,1,0,52,0,3,46,2,0,0,21,8,39,28,52,35,25,26,75,4,6,41
72,1, ,6:11,3,0,0,0,0,0,0,0,0,21,8,39,28,52,35,25,26,75,4,6,41
