# 2011/01/25 
# BUF , OTT 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,8,28,42,3,4,30,15,18,25,14,39,30
2,1,0,20:00,4,0,28,18,1,0,0,0,0,8,28,42,3,4,30,15,18,25,14,39,30
3,1,0,19:38,5,1,15,3,3,0,0,0,0,8,28,42,3,4,30,15,18,25,14,39,30
4,1,0,19:31,9,0,4,0,2,0,0,0,0,8,28,42,3,4,30,15,18,25,14,39,30
5,1,0,19:29,13,1,15,3,2,0,0,0,0,8,28,42,3,4,30,15,18,25,14,39,30
6,1,0,19:09,8,1,25,0,3,0,0,0,0,28,29,26,6,44,30,22,25,71,39,65,30
7,1,0,18:40,9,1,71,0,3,0,0,0,0,55,29,26,44,57,30,22,11,71,4,65,30
8,1,0,18:35,5,1,4,55,2,0,0,0,0,55,29,26,27,57,30,22,11,71,4,65,30
9,1, ,18:32,3,2,0,0,0,0,0,0,0,55,29,26,27,57,30,22,11,71,4,65,30
10,1,0,18:32,4,0,24,12,1,0,0,0,0,24,63,21,27,57,30,12,16,9,5,55,30
11,1,0,18:22,5,0,24,16,3,0,0,0,0,24,63,21,27,57,30,12,16,9,5,55,30
12,1,0,18:14,5,0,57,16,2,0,0,0,0,24,63,21,27,57,30,12,16,9,5,55,30
13,1,0,17:33,1,0,37,0,3,48,1,0,0,20,25,37,3,4,30,12,26,27,39,55,30
14,1,0,17:18,5,1,26,3,3,0,0,0,0,20,25,37,3,4,30,13,26,27,14,39,30
15,1,0,17:16,8,1,13,0,1,0,0,0,0,20,25,37,3,4,30,13,26,27,14,39,30
16,1,0,17:10,5,0,25,26,1,0,0,0,0,20,25,37,3,4,30,13,26,27,14,39,30
17,1,0,17:03,1,1,27,0,3,32,1,0,0,20,25,37,3,4,30,13,26,27,14,39,30
18,1,0,17:00,9,0,25,0,2,0,0,0,0,20,25,37,3,4,30,13,26,27,14,39,30
19,1,0,16:44,5,1,14,42,2,0,0,0,0,8,28,42,6,44,30,15,18,27,14,39,30
20,1,0,16:33,1,1,15,0,3,18,1,0,0,8,28,42,6,44,30,15,18,25,5,55,30
21,1,0,16:29,1,1,18,0,3,13,1,0,0,8,28,42,6,44,30,15,18,25,5,55,30
22,1,0,16:27,9,0,6,0,2,0,0,0,0,8,28,42,6,44,30,15,18,25,5,55,30
23,1,0,15:59,13,0,55,18,2,0,0,0,0,55,29,26,27,57,30,18,25,71,5,55,30
24,1,0,15:36,8,1,71,0,3,0,0,0,0,55,29,26,27,57,30,22,11,71,4,65,30
25,1,0,15:32,2,1,22,0,3,8,1,71,0,55,29,26,27,57,30,22,11,71,4,65,30
26,1,0,15:32,4,1,24,12,1,0,0,0,0,24,63,21,3,4,30,12,16,9,4,65,30
27,1, ,15:24,3,1,0,0,0,0,0,0,0,24,63,21,3,4,30,12,16,9,4,65,30
28,1,0,15:24,1,1,16,0,3,39,1,0,0,24,63,21,3,4,30,12,16,9,4,65,30
29,1,0,15:24,4,1,24,12,3,0,0,0,0,24,63,21,3,4,30,12,16,9,4,65,30
30,1,0,15:18,1,1,65,0,3,57,1,0,0,24,63,21,3,4,30,12,16,9,4,65,30
31,1,0,14:58,6,1,65,24,0,0,0,0,0,24,63,21,3,4,30,12,16,9,4,65,30
32,1,-1,14:58,4,1,29,18,2,0,0,0,0,21,29,26,3,57,30,18,22,4,39,30,0
33,1, ,14:55,3,10,0,0,0,0,0,0,0,21,29,26,3,57,30,18,22,4,39,30,0
34,1,1,14:55,4,0,29,22,3,0,0,0,0,21,29,26,3,57,30,18,22,4,39,30,0
35,1,1,14:46,1,0,29,0,3,52,1,0,0,21,29,26,3,57,30,18,22,4,39,30,0
36,1,-1,14:18,5,1,39,57,2,0,0,0,0,21,29,26,3,57,30,26,9,4,39,30,0
37,1,1,14:10,1,0,3,0,3,36,1,0,0,21,29,26,3,57,30,26,9,4,39,30,0
38,1, ,14:10,3,1,0,0,0,0,0,0,0,21,29,26,3,57,30,26,9,4,39,30,0
39,1,1,14:10,4,0,55,15,3,0,0,0,0,42,55,63,4,44,30,15,22,5,14,30,0
40,1,1,13:51,9,0,44,0,3,0,0,0,0,42,55,63,4,44,30,18,22,5,14,30,0
41,1,1,13:29,1,0,42,0,3,6,4,0,0,42,55,63,4,44,30,18,22,5,14,30,0
42,1,-1,13:25,13,0,4,22,2,0,0,0,0,42,55,63,4,44,30,18,22,5,14,30,0
43,1,1,13:03,6,0,42,5,0,0,0,0,0,42,55,63,4,44,30,18,22,5,14,30,0
44,1,0,13:03,4,0,28,12,2,0,0,0,0,28,25,3,4,30,0,12,11,71,55,30,0
45,1,-1,12:53,1,0,4,0,1,74,2,0,0,28,25,3,4,30,0,12,11,71,55,65,30
46,1,1,12:21,7,1,55,0,3,61,2,0,0,28,25,3,4,30,0,12,11,71,55,65,30
47,1,1,11:22,1,1,25,0,3,14,5,0,0,55,29,6,27,30,0,25,26,27,9,55,30
48,1,1,11:20,7,1,9,0,3,18,1,0,0,55,29,6,27,30,0,25,26,27,9,55,30
49,1,0,10:51,1,1,39,0,3,55,2,0,0,28,42,25,3,4,30,25,27,9,14,39,30
50,1, ,10:38,3,6,0,0,0,0,0,0,0,28,42,21,3,4,30,15,16,9,14,39,30
51,1,0,10:38,4,1,28,18,3,0,0,0,0,28,42,21,3,4,30,15,18,16,4,65,30
52,1,0,10:08,5,0,57,15,2,0,0,0,0,24,63,21,44,57,30,15,18,16,4,65,30
53,1,0,9:55,2,0,24,0,3,8,1,63,21,24,63,21,44,57,30,15,22,16,4,65,30
54,1,0,9:55,4,1,55,22,1,0,0,0,0,55,29,26,6,27,30,22,11,71,5,14,30
55,1,0,9:46,5,0,6,22,2,0,0,0,0,55,29,26,6,27,30,22,11,71,5,14,30
56,1, ,9:46,3,0,0,0,0,0,0,0,0,55,29,26,6,27,30,22,11,71,5,14,30
57,1,0,9:46,4,1,55,22,1,0,0,0,0,55,29,26,6,27,30,22,11,71,4,65,30
58,1,0,9:22,9,1,71,0,1,0,0,0,0,55,29,26,6,27,30,22,11,71,4,65,30
59,1,0,9:16,1,0,29,0,3,43,1,0,0,55,29,26,6,27,30,22,11,71,4,65,30
60,1, ,9:15,3,1,0,0,0,0,0,0,0,55,29,26,6,27,30,22,11,71,4,65,30
61,1,0,9:15,4,0,37,13,3,0,0,0,0,20,25,37,3,4,30,13,26,27,5,55,30
62,1,0,9:01,8,1,55,0,2,0,0,0,0,20,25,37,3,4,30,13,26,27,5,55,30
63,1,0,8:37,13,0,4,5,2,0,0,0,0,20,25,37,3,4,30,13,26,27,5,55,30
64,1,0,8:12,8,1,9,0,1,0,0,0,0,8,28,42,44,57,30,12,16,9,14,39,30
65,1,0,8:11,13,1,9,44,2,0,0,0,0,8,28,42,44,57,30,12,16,9,14,39,30
66,1, ,8:10,3,0,0,0,0,0,0,0,0,8,28,42,44,57,30,12,16,9,14,39,30
