# 2011/02/06 
# PIT , WSH 
# 0 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,15,9,14,44,58,29,19,8,25,52,55,30
2,1,0,20:00,4,1,15,19,1,0,0,0,0,15,9,14,44,58,29,19,8,25,52,55,30
3,1,0,19:34,13,1,8,9,2,0,0,0,0,15,9,14,44,58,29,19,8,25,52,55,30
4,1,0,19:27,13,0,15,52,2,0,0,0,0,15,9,14,44,58,29,19,8,25,52,55,30
5,1, ,19:25,3,1,0,0,0,0,0,0,0,15,9,14,44,58,29,19,8,25,52,55,30
6,1,0,19:25,4,1,11,85,2,0,0,0,0,11,48,24,4,7,29,83,85,21,27,74,30
7,1,0,19:10,7,1,74,0,3,55,2,0,0,11,48,24,4,7,29,83,85,21,27,74,30
8,1,0,19:03,1,0,48,0,3,41,2,0,0,11,48,24,4,7,29,83,85,21,27,74,30
9,1,0,18:45,5,0,48,21,1,0,0,0,0,11,48,24,4,7,29,83,85,21,4,74,30
10,1, ,18:43,3,10,0,0,0,0,0,0,0,11,48,24,4,7,29,83,85,21,4,74,30
11,1,0,18:43,4,0,25,90,1,0,0,0,0,17,25,18,3,5,29,26,90,22,4,23,30
12,1,0,18:30,9,1,23,0,2,0,0,0,0,17,25,18,3,5,29,26,90,22,4,23,30
13,1,0,18:19,5,1,26,5,3,0,0,0,0,17,25,18,3,5,29,26,90,22,4,23,30
14,1,0,17:50,5,0,44,90,2,0,0,0,0,26,22,27,44,58,29,15,90,10,27,74,30
15,1,0,17:31,7,1,15,0,3,19,1,0,0,26,22,27,44,58,29,15,39,10,27,74,30
16,1,0,17:25,5,1,39,27,3,0,0,0,0,26,22,27,44,58,29,15,39,10,27,74,30
17,1,0,17:21,9,0,27,0,2,0,0,0,0,26,22,27,44,58,29,15,39,10,27,74,30
18,1,0,17:19,1,1,15,0,3,43,6,0,0,26,22,27,44,58,29,15,39,10,27,74,30
19,1, ,17:19,3,1,0,0,0,0,0,0,0,26,22,27,44,58,29,15,39,10,27,74,30
20,1,0,17:19,4,1,11,19,3,0,0,0,0,11,48,24,4,7,29,19,8,25,52,55,30
21,1,0,17:15,1,1,8,0,3,44,3,0,0,11,48,24,4,7,29,19,8,25,52,55,30
22,1,0,16:50,1,1,8,0,3,38,1,0,0,11,48,24,4,7,29,19,8,25,52,55,30
23,1, ,16:50,3,1,0,0,0,0,0,0,0,11,48,24,4,7,29,19,8,25,52,55,30
24,1,0,16:50,4,0,15,85,2,0,0,0,0,15,9,14,44,58,29,83,85,21,52,55,30
25,1,0,16:34,8,1,52,0,2,0,0,0,0,15,9,14,44,58,29,83,85,21,52,55,30
26,1, ,16:31,3,10,0,0,0,0,0,0,0,15,9,14,44,58,29,83,85,21,52,55,30
27,1,0,16:31,4,1,15,83,1,0,0,0,0,15,9,14,3,5,29,83,85,21,52,55,30
28,1,0,16:18,1,0,5,0,3,61,1,0,0,15,9,14,3,5,29,83,85,21,52,55,30
29,1,0,16:14,5,1,21,5,2,0,0,0,0,15,9,14,3,5,29,83,85,21,52,55,30
30,1,0,16:09,5,0,3,83,3,0,0,0,0,15,9,14,3,5,29,83,85,21,52,55,30
