# 2011/02/09 
# MTL , BOS 
# 6 , 8 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,14,21,67,75,76,31,46,18,17,33,47,30
2,1,0,20:00,4,0,14,46,1,0,0,0,0,14,21,67,75,76,31,46,18,17,33,47,30
3,1,0,19:43,5,0,14,47,3,0,0,0,0,14,21,67,75,76,31,46,18,17,33,47,30
4,1,0,19:13,1,0,11,0,3,57,1,0,0,11,81,46,20,44,31,37,63,28,44,54,30
5,1,0,19:00,5,0,46,63,2,0,0,0,0,11,81,46,20,44,31,37,63,28,44,54,30
6,1,0,19:00,1,1,54,0,3,60,1,0,0,11,81,46,20,44,31,37,63,28,44,54,30
7,1,0,18:51,5,1,28,11,3,0,0,0,0,11,81,46,20,44,31,37,63,28,44,54,30
8,1,0,17:52,5,0,94,11,3,0,0,0,0,58,94,52,20,44,31,11,38,22,44,55,30
9,1,0,17:50,5,1,11,94,2,0,0,0,0,58,94,52,20,44,31,11,38,22,44,55,30
10,1,0,17:48,1,0,94,0,3,15,3,0,0,58,94,52,20,44,31,11,38,22,44,55,30
11,1, ,17:47,3,1,0,0,0,0,0,0,0,58,94,52,20,44,31,11,38,22,44,55,30
12,1,0,17:47,4,0,58,11,3,0,0,0,0,58,94,52,6,68,31,11,38,22,44,55,30
13,1,0,17:39,1,0,58,0,3,18,3,0,0,58,94,52,6,68,31,11,38,22,44,55,30
14,1,0,17:23,1,1,22,0,3,16,1,0,0,58,94,52,6,68,31,11,38,22,44,55,30
15,1,0,16:49,1,1,33,0,3,65,3,0,0,14,21,67,75,76,31,37,63,28,33,47,30
16,1,0,16:14,1,0,11,0,3,37,2,0,0,11,81,46,20,44,31,46,18,17,44,47,30
17,1,0,16:04,1,0,44,0,3,60,1,0,0,11,81,46,20,44,31,46,18,17,44,47,30
18,1, ,16:04,3,1,0,0,0,0,0,0,0,11,81,46,20,44,31,46,18,17,44,47,30
19,1,0,16:04,4,1,11,46,2,0,0,0,0,11,81,46,6,68,31,46,18,17,44,54,30
20,1,0,15:59,5,0,81,44,3,0,0,0,0,11,81,46,6,68,31,46,18,17,44,54,30
21,1,0,15:44,13,1,17,6,2,0,0,0,0,11,81,46,6,68,31,46,18,17,44,54,30
22,1, ,15:31,3,2,0,0,0,0,0,0,0,15,32,57,75,76,31,52,26,73,44,55,30
23,1,0,15:31,4,1,15,52,1,0,0,0,0,15,32,57,75,76,31,52,26,73,21,55,30
24,1,0,15:06,5,1,55,32,2,0,0,0,0,15,32,57,75,76,31,52,26,73,21,55,30
25,1,0,14:37,5,1,11,32,3,0,0,0,0,15,94,32,75,76,31,11,26,73,44,54,30
26,1,0,14:36,8,1,73,0,3,0,0,0,0,15,94,32,75,76,31,11,26,73,44,54,30
27,1,0,14:21,1,1,22,0,3,56,3,0,0,58,94,52,68,76,31,11,38,22,44,54,30
28,1, ,14:20,3,1,0,0,0,0,0,0,0,58,94,52,68,76,31,11,38,22,44,54,30
29,1,0,14:20,4,1,58,11,3,0,0,0,0,58,94,52,6,68,31,11,38,22,33,47,30
30,1,0,14:07,5,1,22,68,3,0,0,0,0,58,94,52,6,68,31,11,38,22,33,47,30
31,1,0,13:56,5,1,33,52,2,0,0,0,0,58,94,52,6,20,31,11,38,22,33,47,30
32,1, ,13:46,3,0,0,0,0,0,0,0,0,58,94,52,6,20,31,11,38,22,33,47,30
33,1,0,13:46,4,0,14,37,1,0,0,0,0,14,21,67,20,44,31,37,63,28,33,47,30
34,1,0,13:03,5,1,33,21,2,0,0,0,0,14,21,67,20,44,31,37,63,28,33,47,30
35,1,0,12:21,8,1,17,0,3,0,0,0,0,11,81,46,75,76,31,46,18,17,21,55,30
36,1,0,12:11,13,1,17,75,2,0,0,0,0,11,81,46,75,76,31,46,18,17,21,55,30
37,1,0,12:08,13,1,55,46,2,0,0,0,0,11,81,46,75,76,31,46,18,17,21,55,30
38,1,0,11:11,7,0,57,0,3,45,2,0,0,15,32,57,6,68,31,52,26,73,44,54,30
39,1, ,11:08,3,3,0,0,0,0,0,0,0,15,32,57,6,68,31,52,26,73,44,54,30
40,1,0,11:08,4,0,58,11,3,0,0,0,0,58,94,52,75,76,31,11,38,22,21,55,30
41,1,0,11:03,1,0,76,0,3,69,1,0,0,58,94,52,75,76,31,11,38,22,21,55,30
42,1,0,10:46,1,1,11,0,3,39,5,0,0,58,94,52,75,76,31,11,38,22,21,55,30
43,1, ,10:45,3,1,0,0,0,0,0,0,0,58,94,52,75,76,31,11,38,22,21,55,30
44,1,0,10:45,4,1,14,28,3,0,0,0,0,14,21,67,20,44,31,37,63,28,33,47,30
45,1,0,10:31,5,1,33,14,2,0,0,0,0,14,21,67,20,44,31,37,63,28,33,47,30
46,1,0,10:26,5,1,33,14,2,0,0,0,0,14,21,67,20,44,31,37,63,28,33,47,30
47,1,0,10:20,13,0,11,37,2,0,0,0,0,11,21,67,20,44,31,37,63,28,33,47,30
48,1,0,10:06,13,0,11,33,2,0,0,0,0,11,21,67,20,44,31,37,63,28,33,47,30
49,1,0,9:55,5,1,63,44,3,0,0,0,0,11,81,46,20,44,31,46,63,18,44,54,30
50,1,0,9:53,5,1,54,46,2,0,0,0,0,11,81,46,20,44,31,46,63,18,44,54,30
51,1, ,9:51,3,0,0,0,0,0,0,0,0,11,81,46,44,76,31,46,18,17,44,54,30
52,1,0,9:51,4,1,11,46,1,0,0,0,0,11,81,46,75,76,31,46,18,17,44,55,30
53,1,0,9:15,7,1,55,0,3,31,1,0,0,11,81,46,75,76,31,46,18,17,44,55,30
54,1,0,8:55,13,0,6,46,2,0,0,0,0,15,32,46,6,68,31,46,18,26,44,55,30
55,1,0,8:37,5,1,73,6,3,0,0,0,0,15,32,57,6,68,31,52,26,73,21,47,30
56,1,0,8:16,5,1,21,52,2,0,0,0,0,58,94,52,20,44,31,52,26,73,21,47,30
57,1,0,8:04,1,0,94,0,3,9,4,0,0,58,94,52,20,44,31,52,26,73,21,47,30
58,1,0,7:34,5,0,6,38,2,0,0,0,0,14,21,67,6,68,31,11,38,22,33,54,30
59,1,0,7:28,7,1,11,0,3,30,5,0,0,14,21,67,6,68,31,11,38,22,33,54,30
60,1,0,7:08,1,1,11,0,3,36,2,0,0,14,81,46,20,75,31,11,28,38,44,47,30
61,1,0,6:57,7,1,38,0,3,31,2,0,0,11,81,46,20,75,31,11,28,38,44,47,30
62,1,0,6:44,2,1,63,0,3,9,6,37,28,11,81,46,20,44,31,37,63,28,44,47,30
63,1,0,6:44,4,1,11,46,1,0,0,0,0,11,81,46,75,76,31,46,18,17,44,47,30
64,1,0,6:34,1,1,18,0,3,34,1,0,0,11,81,46,75,76,31,46,18,17,44,47,30
65,1,0,6:32,2,1,44,0,3,22,3,18,0,11,81,46,75,76,31,46,18,17,44,47,30
66,1,0,6:32,6,1,17,32,0,0,0,0,0,15,32,57,6,68,31,46,18,17,21,55,30
