# 2011/02/15 
# VAN , MIN 
# 4 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,33,14,22,3,5,35,9,20,15,8,55,32
2,1,0,19:59,4,0,33,9,1,0,0,0,0,33,14,22,3,5,35,9,20,15,8,55,32
3,1,0,19:32,5,0,14,55,3,0,0,0,0,14,21,22,3,5,35,9,20,15,8,55,32
4,1,0,18:47,1,0,29,0,3,57,1,0,0,17,26,21,6,29,35,21,22,24,4,5,32
5,1,0,18:07,5,1,25,27,2,0,0,0,0,27,36,13,5,18,35,7,96,12,25,46,32
6,1, ,18:01,3,2,0,0,0,0,0,0,0,38,10,15,3,47,35,7,96,12,25,46,32
7,1,0,18:01,4,1,15,11,1,0,0,0,0,38,10,15,3,47,35,11,16,23,4,5,32
8,1, ,17:27,3,10,0,0,0,0,0,0,0,38,10,15,3,47,35,11,16,23,4,5,32
9,1,0,17:27,4,0,33,9,1,0,0,0,0,33,14,22,3,5,35,9,20,15,8,55,32
10,1,0,16:48,5,1,55,33,2,0,0,0,0,33,14,22,3,5,35,9,20,15,8,55,32
11,1,0,16:30,5,0,3,20,2,0,0,0,0,33,14,22,3,5,35,9,20,15,25,46,32
12,1,0,16:26,1,1,25,0,3,62,1,0,0,33,14,22,3,5,35,9,20,15,25,46,32
13,1,0,15:53,1,0,26,0,3,49,1,0,0,17,27,26,21,18,29,21,22,24,25,46,32
14,1,0,15:51,6,1,24,26,2,0,0,0,0,17,27,26,21,18,29,7,21,24,4,5,32
15,1,1,15:51,4,0,33,21,3,0,0,0,0,17,33,26,22,5,35,21,22,25,46,32,0
16,1,-1,14:58,13,0,17,11,2,0,0,0,0,17,33,26,22,5,35,11,23,4,5,32,0
17,1,-1,14:54,13,0,5,5,2,0,0,0,0,17,33,26,22,5,35,11,23,4,5,32,0
18,1,1,14:50,1,0,5,0,3,61,2,0,0,17,33,26,22,5,35,11,23,4,5,32,0
19,1, ,14:49,3,1,0,0,0,0,0,0,0,17,33,26,22,5,35,11,23,4,5,32,0
20,1,1,14:49,4,0,27,21,3,0,0,0,0,27,14,21,3,6,35,9,21,8,55,32,0
21,1,1,14:45,2,0,27,0,3,28,0,6,0,27,14,21,3,6,35,9,21,8,55,32,0
22,1, ,14:45,3,0,0,0,0,0,0,0,0,27,14,21,3,6,35,9,21,8,55,32,0
23,1,0,14:45,4,0,27,7,1,0,0,0,0,27,36,13,18,29,35,7,96,12,4,5,32
24,1,0,14:17,7,0,13,0,3,19,1,0,0,27,36,13,18,29,35,7,96,12,4,5,32
25,1,0,13:49,6,0,38,4,3,0,0,0,0,38,10,15,6,47,35,11,16,23,4,5,32
26,1, ,13:49,3,9,0,0,0,0,0,0,0,10,15,6,47,35,0,11,16,23,4,5,32
27,1,-1,13:49,4,0,17,9,2,0,0,0,0,17,14,3,5,35,0,7,9,20,15,8,32
28,1,1,12:26,7,1,22,0,3,56,3,0,0,17,14,6,29,35,0,21,96,22,24,25,32
29,1,1,12:19,1,1,21,0,3,25,3,0,0,17,14,6,29,35,0,21,96,22,24,25,32
