# 2011/02/25 
# OTT , BUF 
# 2 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,16,9,4,5,41,19,29,26,34,57,30
2,1,0,20:00,4,1,19,19,1,0,0,0,0,19,16,9,4,5,41,19,29,26,34,57,30
3,1,0,19:42,9,0,16,0,2,0,0,0,0,19,16,9,4,5,41,19,29,26,34,57,30
4,1,0,19:35,9,0,4,0,2,0,0,0,0,19,16,9,4,5,41,19,29,26,34,57,30
5,1,0,19:29,8,1,26,0,3,0,0,0,0,19,16,9,4,5,41,19,29,26,34,57,30
6,1, ,19:26,3,4,0,0,0,0,0,0,0,20,26,71,17,65,41,19,29,26,34,57,30
7,1,0,19:26,4,1,71,28,3,0,0,0,0,20,26,71,17,65,41,28,42,36,3,4,30
8,1,0,18:44,5,0,71,42,2,0,0,0,0,20,26,71,17,65,41,28,42,36,3,4,30
9,1,0,18:34,5,1,36,65,3,0,0,0,0,20,26,71,17,65,41,28,42,36,3,4,30
10,1,0,18:18,7,1,63,0,3,39,3,0,0,15,52,38,14,39,41,55,63,21,6,27,30
11,1,0,18:09,13,1,21,14,2,0,0,0,0,15,52,38,14,39,41,55,63,21,6,27,30
12,1,0,16:59,1,0,9,0,3,40,1,0,0,19,16,9,4,5,41,19,25,26,3,4,30
13,1,0,16:47,7,0,9,0,3,16,0,0,0,19,16,9,4,5,41,19,25,26,3,4,30
14,1,0,16:27,1,0,16,0,3,38,1,0,0,19,16,9,17,65,41,19,29,26,3,4,30
15,1,0,16:03,13,1,6,20,2,0,0,0,0,19,20,9,17,65,41,28,29,26,6,27,30
16,1,0,15:51,1,1,29,0,3,8,6,0,0,20,9,71,17,65,41,28,29,26,6,27,30
