# 2011/03/01 
# NSH , EDM 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,12,10,74,6,20,35,10,83,91,2,37,29
2,1,0,20:00,4,0,12,10,1,0,0,0,0,12,10,74,6,20,35,10,83,91,2,37,29
3,1,0,19:40,13,0,20,37,2,0,0,0,0,12,10,74,6,20,35,10,83,91,2,37,29
4,1,0,19:31,1,0,10,0,3,30,1,0,0,12,10,74,6,20,35,10,83,91,2,37,29
5,1,0,18:58,8,0,7,0,2,0,0,0,0,13,25,29,7,20,35,13,14,4,43,77,29
6,1, ,18:27,3,8,0,0,0,0,0,0,0,11,13,27,7,8,35,67,89,28,26,43,29
7,1,0,18:27,4,1,11,89,3,0,0,0,0,11,33,27,4,55,35,67,89,28,5,77,29
8,1,0,18:24,1,1,77,0,3,54,1,0,0,11,33,27,4,55,35,67,89,28,5,77,29
9,1, ,18:23,3,1,0,0,0,0,0,0,0,11,33,27,4,55,35,67,89,28,5,77,29
10,1,0,18:23,4,1,11,67,3,0,0,0,0,11,33,27,4,55,35,67,89,28,5,77,29
11,1,0,18:06,13,1,28,55,2,0,0,0,0,11,33,27,4,55,35,67,89,28,5,77,29
12,1,0,17:57,9,1,5,0,2,0,0,0,0,11,33,27,4,55,35,67,89,28,5,77,29
13,1,0,17:54,1,0,33,0,3,23,5,0,0,11,33,27,4,55,35,67,89,28,5,77,29
14,1,0,17:08,1,0,5,0,3,33,6,0,0,5,22,24,7,8,35,22,23,85,26,43,29
15,1,0,16:30,7,1,83,0,3,20,1,0,0,12,10,74,7,20,35,10,83,91,2,37,29
16,1, ,15:59,3,4,0,0,0,0,0,0,0,13,25,29,6,20,35,13,14,4,2,37,29
17,1,0,15:58,4,0,25,28,1,0,0,0,0,13,25,29,6,20,35,67,89,28,26,43,29
18,1,0,15:47,5,0,25,43,3,0,0,0,0,13,25,29,6,20,35,67,89,28,26,43,29
19,1,0,15:46,9,1,43,0,2,0,0,0,0,13,25,29,6,20,35,67,89,28,26,43,29
20,1,0,15:45,1,0,6,0,3,61,1,0,0,13,25,29,6,20,35,67,89,28,26,43,29
21,1, ,15:44,3,1,0,0,0,0,0,0,0,13,25,29,6,20,35,67,89,28,26,43,29
22,1,0,15:44,4,0,25,89,3,0,0,0,0,13,25,29,6,20,35,67,89,28,26,43,29
23,1,0,15:37,1,0,25,0,3,20,5,0,0,13,25,29,6,20,35,67,89,28,26,43,29
24,1,0,15:28,1,0,29,0,3,24,3,0,0,13,25,29,6,20,35,67,89,28,26,43,29
25,1,0,15:26,5,1,43,13,2,0,0,0,0,13,25,29,6,20,35,67,89,28,26,43,29
