# 2011/03/03 
# STL , WSH 
# 2 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,20,21,25,12,27,29,19,22,8,23,55,30
2,1,0,20:00,4,0,21,19,1,0,0,0,0,20,21,25,12,27,29,19,22,8,23,55,30
3,1,0,19:26,1,1,23,0,3,16,1,0,0,10,36,42,12,27,29,19,22,8,23,55,30
4,1, ,19:23,3,0,0,0,0,0,0,0,0,10,36,42,12,27,29,19,22,8,27,74,30
5,1,0,19:23,4,0,10,44,2,0,0,0,0,10,36,42,5,46,29,44,28,21,27,74,30
6,1,0,19:13,5,0,42,74,2,0,0,0,0,10,36,42,5,46,29,44,28,21,27,74,30
7,1,0,18:48,13,0,36,74,2,0,0,0,0,10,36,42,5,46,29,44,28,21,27,74,30
8,1,0,18:22,13,1,28,33,2,0,0,0,0,55,75,79,28,33,29,90,28,18,4,6,30
9,1, ,18:20,3,0,0,0,0,0,0,0,0,55,75,79,28,33,29,90,28,18,4,6,30
10,1,0,18:20,4,0,74,90,2,0,0,0,0,74,26,32,28,33,29,90,18,25,4,6,30
11,1,0,18:00,7,0,74,0,3,10,6,0,0,74,26,32,28,33,29,90,18,25,4,6,30
12,1, ,18:00,3,4,0,0,0,0,0,0,0,74,26,32,28,33,29,90,18,25,4,6,30
13,1,0,18:00,4,1,79,15,2,0,0,0,0,55,75,79,28,33,29,15,26,10,4,6,30
14,1,0,17:53,9,1,4,0,2,0,0,0,0,55,75,79,28,33,29,15,26,10,4,6,30
15,1, ,17:47,3,1,0,0,0,0,0,0,0,55,75,79,28,33,29,15,26,10,4,6,30
16,1,0,17:47,4,1,79,15,2,0,0,0,0,55,75,79,28,33,29,15,26,10,4,6,30
17,1,0,17:14,8,1,10,0,2,0,0,0,0,55,75,79,28,33,29,15,26,10,4,6,30
18,1,0,17:12,5,0,28,15,1,0,0,0,0,55,75,79,28,33,29,15,26,10,4,6,30
19,1,0,17:03,8,1,8,0,3,0,0,0,0,10,36,42,27,33,29,19,26,8,23,55,30
20,1,0,16:53,5,0,42,22,2,0,0,0,0,10,36,42,27,33,29,19,22,8,23,55,30
21,1,0,16:42,7,1,23,0,3,55,2,0,0,10,36,42,27,33,29,19,22,8,23,55,30
22,1,0,16:07,7,0,5,0,3,60,2,0,0,20,21,25,5,46,29,44,28,21,23,55,30
23,1,0,16:07,9,1,28,0,2,0,0,0,0,20,21,25,5,46,29,44,28,21,23,55,30
