# 2011/03/05 
# MTL , T.B 
# 4 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,14,15,13,75,76,31,19,18,10,2,5,35
2,1,0,20:00,4,0,14,19,1,0,0,0,0,14,15,13,75,76,31,19,18,10,2,5,35
3,1,0,19:52,5,1,10,15,1,0,0,0,0,14,15,13,75,76,31,19,18,10,2,5,35
4,1,0,19:33,5,1,5,14,2,0,0,0,0,14,15,13,20,44,31,19,18,10,2,5,35
5,1,0,19:32,7,0,13,0,3,24,5,0,0,14,15,13,20,44,31,19,18,10,2,5,35
6,1,0,19:23,5,1,18,44,2,0,0,0,0,14,15,13,20,44,31,19,18,10,2,5,35
7,1, ,19:13,3,2,0,0,0,0,0,0,0,11,21,67,20,44,31,91,26,12,7,77,35
8,1,0,19:13,4,1,11,4,1,0,0,0,0,11,21,67,75,76,31,4,16,12,7,77,35
9,1,0,18:44,8,0,11,0,3,0,0,0,0,11,21,67,75,76,31,4,16,12,7,77,35
10,1,0,18:43,7,0,11,0,3,38,1,0,0,11,21,67,75,76,31,4,16,12,7,77,35
11,1,0,18:37,7,0,21,0,3,45,2,0,0,11,21,67,75,76,31,4,16,12,7,77,35
12,1,0,18:02,7,1,91,0,3,27,1,0,0,81,32,46,20,44,31,21,91,26,8,13,35
13,1,0,17:56,1,1,8,0,3,41,1,0,0,81,32,46,20,44,31,21,91,26,8,13,35
14,1,0,17:45,1,1,91,0,3,22,5,0,0,81,32,46,20,44,31,21,91,26,8,13,35
15,1, ,17:45,3,1,0,0,0,0,0,0,0,58,94,57,55,68,31,21,91,26,8,13,35
16,1,0,17:39,1,1,4,0,3,20,5,0,0,58,94,57,55,68,31,4,42,44,7,77,35
17,1,0,17:23,7,1,44,0,3,15,1,0,0,58,94,57,55,68,31,4,42,44,7,77,35
18,1, ,16:56,3,6,0,0,0,0,0,0,0,14,15,13,75,76,31,19,18,10,2,5,35
19,1,0,16:56,4,1,81,18,2,0,0,0,0,81,32,46,75,76,31,19,18,10,2,5,35
20,1,0,16:46,9,1,2,0,2,0,0,0,0,81,32,46,75,76,31,19,18,10,2,5,35
21,1,0,16:42,13,0,81,10,2,0,0,0,0,81,32,46,75,76,31,19,18,10,2,5,35
22,1,0,16:40,13,0,81,18,2,0,0,0,0,81,32,46,75,76,31,19,18,10,2,5,35
23,1, ,16:40,3,4,0,0,0,0,0,0,0,81,32,46,75,76,31,19,18,10,2,5,35
24,1,0,16:40,4,0,81,4,3,0,0,0,0,81,32,46,20,44,31,4,16,12,8,13,35
25,1,0,16:33,13,0,20,8,2,0,0,0,0,81,32,46,20,44,31,4,16,12,8,13,35
26,1,0,16:31,1,0,32,0,3,21,6,0,0,81,32,46,20,44,31,4,16,12,8,13,35
27,1,0,16:14,13,1,16,20,2,0,0,0,0,81,32,46,20,44,31,4,16,12,8,13,35
28,1,0,16:01,1,1,16,0,1,73,1,0,0,14,15,13,20,44,31,4,16,12,8,13,35
29,1,0,15:49,8,1,10,0,1,0,0,0,0,14,15,13,20,44,31,19,18,10,2,5,35
30,1,0,15:47,7,0,14,0,3,48,2,0,0,14,15,13,20,44,31,19,18,10,2,5,35
31,1,0,15:32,5,0,55,10,2,0,0,0,0,14,15,13,55,68,31,19,18,10,2,5,35
32,1,0,15:14,13,0,11,5,2,0,0,0,0,11,21,67,55,68,31,21,91,26,2,5,35
33,1,0,15:13,5,1,2,68,2,0,0,0,0,11,21,67,55,68,31,21,91,26,2,5,35
34,1,0,14:55,5,1,5,67,2,0,0,0,0,11,21,67,75,76,31,21,91,26,2,5,35
35,1,0,14:33,2,0,75,0,3,54,2,21,14,14,21,67,75,76,31,21,91,26,7,77,35
36,1,0,14:33,4,0,14,19,1,0,0,0,0,14,15,13,55,68,31,19,18,10,2,5,35
37,1,0,14:22,9,1,18,0,2,0,0,0,0,14,15,13,55,68,31,19,18,10,2,5,35
38,1,0,14:17,13,0,68,18,2,0,0,0,0,14,15,13,55,68,31,19,18,10,2,5,35
