# 2011/03/05 
# VAN , L.A 
# 3 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,33,14,22,6,29,1,26,15,23,8,33,32
2,1,0,20:00,4,0,33,26,1,0,0,0,0,33,14,22,6,29,1,26,15,23,8,33,32
3,1,0,19:51,9,1,33,0,2,0,0,0,0,33,14,22,6,29,1,26,15,23,8,33,32
4,1,0,19:51,1,0,22,0,3,12,1,0,0,33,14,22,6,29,1,26,15,23,8,33,32
5,1, ,19:50,3,1,0,0,0,0,0,0,0,33,14,22,6,29,1,26,15,23,8,33,32
6,1,0,19:50,4,1,22,26,2,0,0,0,0,33,14,22,6,29,1,26,15,23,8,33,32
7,1,0,19:39,1,0,29,0,3,57,2,0,0,33,14,22,6,29,1,26,15,23,8,33,32
8,1,0,19:26,5,1,15,6,3,0,0,0,0,33,14,22,6,29,1,26,15,23,8,33,32
9,1,0,19:20,7,0,33,0,1,87,2,0,0,33,14,22,6,29,1,26,15,23,8,33,32
10,1,0,19:09,9,1,23,0,2,0,0,0,0,17,26,21,2,5,1,11,25,23,8,33,32
11,1, ,18:50,3,2,0,0,0,0,0,0,0,17,26,21,2,5,1,11,14,25,3,7,32
12,1,0,18:50,4,1,27,94,1,0,0,0,0,27,36,13,4,18,1,28,17,94,3,7,32
13,1,0,18:46,5,0,36,3,2,0,0,0,0,27,36,13,4,18,1,28,17,94,3,7,32
14,1,0,18:40,9,1,17,0,3,0,0,0,0,27,36,13,4,18,1,28,17,94,3,7,32
15,1,0,18:38,1,0,36,0,3,30,1,0,0,27,36,13,4,18,1,28,17,94,3,7,32
16,1, ,18:34,3,11,0,0,0,0,0,0,0,27,36,13,4,18,1,28,17,94,3,7,32
17,1,0,18:34,4,0,40,11,1,0,0,0,0,40,10,15,6,29,1,11,14,25,2,53,32
18,1,0,18:27,5,1,2,15,1,0,0,0,0,40,10,15,6,29,1,11,14,25,2,53,32
19,1,0,18:19,7,0,29,0,3,67,1,0,0,40,10,15,6,29,1,11,14,25,2,53,32
20,1,0,18:17,5,0,40,25,3,0,0,0,0,40,10,15,6,29,1,11,14,25,2,53,32
21,1, ,18:17,3,7,0,0,0,0,0,0,0,40,10,15,6,29,1,11,14,25,2,53,32
22,1, ,18:17,3,9,0,0,0,0,0,0,0,40,10,15,6,29,1,11,14,25,2,53,32
23,1,0,18:17,4,1,33,26,1,0,0,0,0,33,14,22,6,29,1,26,15,23,8,33,32
24,1, ,18:09,3,1,0,0,0,0,0,0,0,33,14,22,6,29,1,26,15,23,8,33,32
25,1,0,18:09,4,0,27,22,2,0,0,0,0,27,36,13,2,5,1,22,13,27,2,53,32
26,1,0,17:45,5,1,22,5,3,0,0,0,0,27,36,13,2,5,1,22,13,27,2,53,32
27,1,0,17:35,5,0,13,53,3,0,0,0,0,27,36,13,2,5,1,22,13,27,2,53,32
28,1,0,17:29,5,0,36,22,3,0,0,0,0,27,36,13,2,5,1,22,13,27,2,53,32
29,1,0,17:24,6,1,2,27,1,0,0,0,0,27,36,13,2,5,1,22,13,27,2,53,32
30,1,0,17:24,6,0,27,2,1,0,0,0,0,27,36,13,2,5,1,22,13,27,53,32,0
31,1,0,17:24,6,1,13,27,1,0,0,0,0,36,13,2,5,1,0,22,13,27,53,32,0
32,1,-1,17:24,4,1,33,28,2,0,0,0,0,17,33,26,22,5,1,11,28,8,33,32,0
