# 2011/03/11 
# MIN , DAL 
# 0 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,20:00,4,1,11,14,1,0,0,0,0,11,20,15,8,55,60,17,15,14,3,33,32
3,1,0,19:44,5,0,8,17,2,0,0,0,0,11,20,15,8,55,60,17,15,14,3,33,32
4,1,0,19:36,6,1,14,11,3,0,0,0,0,11,20,15,8,55,60,17,15,14,3,33,32
5,1,-1,19:36,4,1,7,16,2,0,0,0,0,7,96,20,15,8,60,29,16,3,37,32,0
6,1,-1,18:43,9,1,23,0,2,0,0,0,0,7,21,96,24,3,60,23,21,2,33,32,0
7,1,1,18:41,7,0,96,0,3,13,1,0,0,7,21,96,24,3,60,23,21,2,33,32,0
8,1,1,18:09,1,0,21,0,3,23,3,0,0,7,21,96,24,3,60,23,21,2,33,32,0
9,1,-1,18:04,5,1,2,7,2,0,0,0,0,7,21,96,24,3,60,23,21,2,33,32,0
10,1,-1,17:43,5,1,3,23,2,0,0,0,0,7,12,23,3,46,60,63,10,3,37,32,0
11,1,0,17:31,13,1,14,46,2,0,0,0,0,7,12,23,3,46,60,63,10,14,3,37,32
12,1, ,17:30,3,4,0,0,0,0,0,0,0,7,12,23,3,46,60,63,10,14,6,44,32
13,1,0,17:30,4,1,11,91,3,0,0,0,0,11,15,48,46,55,60,81,91,21,6,44,32
14,1,0,17:15,5,0,15,21,2,0,0,0,0,11,15,48,46,55,60,81,91,21,6,44,32
15,1,0,16:46,6,0,15,0,1,0,0,0,0,7,11,15,8,55,60,91,16,21,6,44,32
16,1,-1,16:46,4,0,7,63,2,0,0,0,0,7,11,46,55,60,0,63,91,10,21,33,32
17,1,-1,16:24,13,1,33,11,2,0,0,0,0,7,11,46,55,60,0,63,91,10,21,33,32
