# 2011/03/12 
# COL , CAR 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,16,93,61,4,51,1,12,15,61,6,44,30
2,1,0,20:00,4,1,16,12,1,0,0,0,0,16,93,61,4,51,1,12,15,61,6,44,30
3,1,0,19:43,13,1,12,4,2,0,0,0,0,16,93,61,4,51,1,12,15,61,6,44,30
4,1,0,19:30,13,1,61,4,2,0,0,0,0,16,93,61,4,51,1,12,15,61,6,44,30
5,1,0,19:19,5,1,6,40,3,0,0,0,0,16,40,61,4,51,1,12,15,61,6,44,30
6,1, ,19:15,3,6,0,0,0,0,0,0,0,16,40,61,4,51,1,12,15,61,6,44,30
7,1,0,19:14,4,CBJ,16,16,2,0,0,0,0,16,40,61,4,51,1,16,19,59,25,77,30
8,1,0,18:42,8,1,16,0,1,0,0,0,0,18,50,40,4,10,1,16,19,59,25,77,30
9,1,0,18:28,5,1,25,50,2,0,0,0,0,18,50,40,4,10,1,53,59,36,25,77,30
10,1, ,18:20,3,0,0,0,0,0,0,0,0,18,50,40,10,52,1,53,26,36,25,33,30
11,1,0,18:20,6,CBJ,40,53,2,0,0,0,0,18,50,40,10,52,1,53,26,36,25,33,30
12,1,1,18:20,4,1,26,12,3,0,0,0,0,26,71,14,35,1,0,12,36,61,25,77,30
13,1,1,18:15,1,1,12,0,3,41,3,0,0,26,71,14,35,1,0,12,36,61,25,77,30
14,1,1,18:05,1,1,77,0,3,55,2,0,0,26,71,14,35,1,0,12,36,61,25,77,30
15,1,1,18:02,8,1,77,0,3,0,0,0,0,26,71,14,35,1,0,12,36,61,25,77,30
16,1,-1,17:50,5,CBJ,26,61,2,0,0,0,0,26,71,14,35,1,0,12,36,61,25,77,30
17,1,-1,17:07,13,1,44,50,2,0,0,0,0,24,50,15,52,1,0,53,15,59,26,44,30
18,1,1,16:57,9,1,44,0,3,0,0,0,0,24,50,15,52,1,0,53,15,59,26,44,30
19,1,1,16:43,1,1,36,0,3,6,1,0,0,18,50,14,35,1,0,12,26,36,61,44,30
20,1, ,16:42,3,0,0,0,0,0,0,0,0,18,50,14,35,1,0,12,26,36,61,44,30
21,1,-1,16:42,6,CBJ,35,36,2,0,0,0,0,18,50,14,35,1,0,12,26,36,61,44,30
22,1,1,16:42,4,1,26,12,3,0,0,0,0,18,26,51,1,0,0,12,36,61,25,77,30
23,1,1,16:29,1,1,36,0,3,30,3,0,0,18,26,51,1,0,0,12,36,61,25,77,30
24,1,-1,16:18,13,1,77,51,2,0,0,0,0,18,26,40,51,1,0,12,36,61,25,77,30
25,1,1,16:16,1,1,61,0,3,13,1,0,0,18,26,40,51,1,0,12,36,61,25,77,30
26,1,-1,15:57,8,CBJ,24,0,1,0,0,0,0,24,15,14,52,1,0,12,36,61,25,77,30
27,1,-1,15:33,8,CBJ,24,0,1,0,0,0,0,24,15,14,52,1,0,12,53,61,25,77,30
28,1,-1,15:17,1,CBJ,15,0,3,30,1,0,0,26,15,10,51,1,0,53,15,59,26,44,30
29,1,-1,15:16,2,CBJ,26,0,3,13,1,15,10,26,15,10,51,1,0,53,15,59,26,44,30
30,1,-1,15:16,4,CBJ,26,15,1,0,0,0,0,26,71,10,51,1,0,53,15,59,5,44,30
31,1,0,14:37,5,CBJ,71,53,2,0,0,0,0,16,71,4,35,52,1,53,15,59,5,44,30
32,1,0,14:29,13,1,33,52,2,0,0,0,0,16,71,4,35,52,1,53,15,59,5,33,30
33,1,0,14:20,13,1,53,4,2,0,0,0,0,16,71,4,35,52,1,53,15,59,5,33,30
34,1, ,13:31,3,0,0,0,0,0,0,0,0,16,93,61,14,35,1,16,19,39,6,44,30
35,1,0,13:31,6,1,44,93,2,0,0,0,0,16,93,61,14,35,1,16,19,39,6,44,30
36,1,1,13:31,4,CBJ,18,16,3,0,0,0,0,16,18,61,14,51,1,16,39,5,33,30,0
37,1,-1,13:27,13,CBJ,51,39,2,0,0,0,0,16,18,61,14,51,1,16,39,5,33,30,0
38,1,1,13:18,7,CBJ,61,0,3,39,3,0,0,16,18,61,14,51,1,16,39,5,33,30,0
39,1,1,13:00,7,CBJ,14,0,3,51,2,0,0,16,18,61,14,51,1,16,39,5,33,30,0
40,1,-1,12:47,8,1,12,0,1,0,0,0,0,16,18,50,14,51,1,12,26,6,77,30,0
41,1,-1,12:29,1,1,12,0,3,37,3,0,0,50,9,93,10,52,1,12,26,6,77,30,0
42,1, ,12:27,3,1,0,0,0,0,0,0,0,50,9,93,10,52,1,12,26,6,77,30,0
43,1,1,12:27,4,CBJ,50,36,2,0,0,0,0,50,9,93,10,52,1,59,36,6,77,30,0
44,1,1,12:11,8,CBJ,9,0,3,0,0,0,0,50,9,93,10,52,1,59,36,6,77,30,0
45,1,-1,12:02,7,1,59,0,3,25,1,0,0,50,9,93,10,52,1,59,36,5,33,30,0
46,1,1,11:55,1,CBJ,9,0,3,37,1,0,0,50,9,93,10,52,1,59,36,5,33,30,0
47,1,1,11:48,1,CBJ,10,0,3,60,3,0,0,50,9,93,10,52,1,59,36,5,33,30,0
48,1,1,11:46,1,CBJ,50,0,3,9,1,0,0,50,9,93,10,52,1,59,36,5,33,30,0
49,1,0,11:25,1,CBJ,9,0,3,18,3,0,0,50,9,93,10,52,1,59,36,5,33,44,30
50,1, ,11:16,3,6,0,0,0,0,0,0,0,50,93,61,4,52,1,59,36,5,33,44,30
51,1,0,11:16,4,1,24,36,2,0,0,0,0,24,15,11,4,51,1,53,59,36,5,33,30
52,1,0,10:38,9,1,12,0,2,0,0,0,0,24,15,11,4,51,1,12,15,61,25,77,30
53,1,0,10:17,13,1,77,24,2,0,0,0,0,24,9,15,4,51,1,12,15,61,25,77,30
54,1,0,10:08,5,1,12,9,3,0,0,0,0,24,9,15,4,51,1,12,59,61,25,77,30
55,1,0,9:57,7,CBJ,9,0,3,15,3,0,0,26,9,71,14,35,1,16,59,61,25,77,30
56,1,0,9:53,8,1,25,0,2,0,0,0,0,26,9,71,14,35,1,16,59,61,25,77,30
57,1,0,9:45,5,CBJ,35,59,2,0,0,0,0,26,9,71,14,35,1,16,19,59,6,44,30
58,1,0,9:38,1,1,59,0,3,40,1,0,0,26,9,71,14,35,1,16,19,59,6,44,30
59,1, ,9:37,3,0,0,0,0,0,0,0,0,26,9,71,14,35,1,16,19,59,6,44,30
60,1,0,9:37,4,CBJ,50,53,2,0,0,0,0,18,50,40,14,35,1,53,26,36,25,77,30
61,1,0,9:08,5,1,25,40,2,0,0,0,0,18,50,40,10,14,1,53,26,36,25,77,30
62,1, ,8:52,3,0,0,0,0,0,0,0,0,16,18,40,10,14,1,53,26,36,25,77,30
63,1,0,8:52,6,1,53,10,3,0,0,0,0,16,18,40,10,14,1,53,26,36,25,77,30
64,1,-1,8:52,4,1,18,16,2,0,0,0,0,16,18,61,14,51,1,16,39,6,44,30,0
65,1,-1,8:12,13,CBJ,61,6,2,0,0,0,0,16,18,61,14,51,1,16,39,6,44,30,0
