# 2011/03/12 
# NYR , S.J 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,22,8,19,5,18,30,39,15,29,7,9,31
2,1,0,20:00,4,0,22,39,1,0,0,0,0,22,8,19,5,18,30,39,15,29,7,9,31
3,1,0,19:40,1,1,9,0,1,66,2,0,0,22,8,19,5,18,30,39,15,29,7,9,31
4,1, ,19:39,3,1,0,0,0,0,0,0,0,22,8,19,5,18,30,39,15,29,7,9,31
5,1,0,19:39,4,1,17,19,3,0,0,0,0,17,42,24,5,18,30,12,19,16,44,60,31
6,1,0,19:21,5,0,17,19,2,0,0,0,0,17,42,24,5,18,30,12,19,20,3,22,31
7,1,0,18:47,1,0,27,0,1,72,2,0,0,26,10,20,27,38,30,8,17,20,3,22,31
8,1,0,18:40,5,0,20,17,1,0,0,0,0,26,10,20,27,38,30,8,17,20,7,22,31
9,1,0,18:15,8,1,29,0,3,0,0,0,0,21,36,86,27,38,30,39,15,29,7,9,31
10,1,0,18:10,5,0,21,29,2,0,0,0,0,21,36,86,27,38,30,39,15,29,7,9,31
11,1,0,18:06,7,1,39,0,3,21,5,0,0,21,36,86,27,38,30,39,15,29,7,9,31
12,1,0,18:01,1,1,15,0,3,38,1,0,0,21,36,86,27,38,30,39,15,29,7,9,31
13,1,0,17:55,7,1,9,0,3,48,2,0,0,21,36,86,27,38,30,39,15,29,7,9,31
14,1,0,17:44,8,1,3,0,2,0,0,0,0,21,36,86,28,97,30,39,15,29,3,9,31
15,1,0,17:38,5,0,28,29,1,0,0,0,0,21,36,86,28,97,30,39,15,29,3,9,31
16,1,0,17:29,5,1,10,28,3,0,0,0,0,22,8,19,28,97,30,8,10,55,3,61,31
17,1,0,17:20,5,0,28,8,2,0,0,0,0,22,8,19,28,97,30,8,10,55,3,61,31
18,1,0,17:12,5,0,19,61,2,0,0,0,0,22,8,19,28,97,30,8,10,55,3,61,31
19,1,0,17:09,1,1,55,0,3,65,2,0,0,22,8,19,28,97,30,8,10,55,3,61,31
20,1,0,17:01,5,1,3,8,3,0,0,0,0,22,8,19,28,97,30,8,10,55,3,61,31
21,1,0,17:01,5,0,22,55,2,0,0,0,0,22,8,19,28,97,30,8,10,55,3,61,31
22,1, ,16:33,3,0,0,0,0,0,0,0,0,22,8,19,28,97,30,8,10,55,3,61,31
23,1,0,16:33,4,1,17,19,3,0,0,0,0,17,42,24,5,18,30,12,19,16,44,60,31
24,1,0,16:27,13,1,12,5,2,0,0,0,0,17,42,24,5,18,30,12,19,16,44,60,31
25,1,0,16:22,5,0,24,44,2,0,0,0,0,17,42,24,5,18,30,12,19,16,44,60,31
26,1,0,16:21,13,1,44,18,2,0,0,0,0,17,42,24,5,18,30,12,19,16,44,60,31
