# 2011/03/14 
# MIN , VAN 
# 2 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,21,96,24,8,55,32,33,14,22,2,5,1
2,1,0,20:00,4,0,21,33,1,0,0,0,0,21,96,24,8,55,32,33,14,22,2,5,1
3,1,0,19:39,5,1,14,55,3,0,0,0,0,21,96,24,8,55,32,33,14,22,2,5,1
4,1,0,19:29,8,0,24,0,1,0,0,0,0,9,96,24,4,5,32,33,14,21,2,5,1
5,1,0,19:27,1,0,24,0,3,10,1,0,0,9,96,24,4,5,32,33,14,21,2,5,1
6,1,0,19:19,5,0,24,5,3,0,0,0,0,9,24,15,4,5,32,33,26,21,2,5,1
7,1,0,18:57,8,1,17,0,3,0,0,0,0,9,20,15,4,5,32,17,26,21,6,29,1
8,1,0,18:54,1,1,17,0,3,37,1,0,0,9,20,15,4,5,32,17,26,21,6,29,1
9,1,0,18:46,7,0,9,0,3,33,1,0,0,9,20,15,3,5,32,17,26,21,6,29,1
10,1,0,18:01,2,1,13,0,3,39,1,27,36,7,11,22,3,46,32,27,36,13,4,18,1
11,1,0,18:01,4,0,43,40,1,0,0,0,0,43,12,23,8,55,32,40,10,20,2,5,1
12,1,0,17:40,5,0,43,40,1,0,0,0,0,43,12,23,8,55,32,40,10,20,2,5,1
13,1, ,17:25,3,2,0,0,0,0,0,0,0,43,12,23,8,55,32,40,10,20,2,6,1
14,1,0,17:25,4,0,21,33,1,0,0,0,0,21,96,24,4,5,32,33,14,22,6,29,1
15,1,0,17:09,13,0,21,33,2,0,0,0,0,21,96,24,4,5,32,33,14,22,6,29,1
16,1,0,16:51,5,0,4,14,2,0,0,0,0,21,96,24,4,5,32,33,14,22,6,29,1
17,1,0,16:26,8,0,15,0,3,0,0,0,0,9,20,15,3,46,32,17,26,21,5,29,1
18,1,0,16:06,1,0,9,0,3,9,1,0,0,9,20,15,3,46,32,17,26,21,5,29,1
19,1,0,16:00,5,0,3,21,1,0,0,0,0,9,20,15,3,46,32,17,26,21,2,5,1
20,1,0,15:36,5,0,22,13,3,0,0,0,0,7,11,22,8,55,32,27,36,13,4,18,1
21,1,0,15:32,13,1,36,55,2,0,0,0,0,7,11,22,8,55,32,27,36,13,4,18,1
22,1,0,15:15,5,1,36,8,3,0,0,0,0,7,11,22,8,55,32,27,36,20,4,18,1
23,1,0,15:02,1,1,20,0,3,26,1,0,0,7,11,22,4,5,32,40,10,20,4,6,1
24,1,0,14:59,5,1,10,22,3,0,0,0,0,7,11,22,4,5,32,40,10,20,4,6,1
25,1,0,14:51,5,1,20,4,3,0,0,0,0,21,96,22,4,5,32,40,10,20,6,29,1
26,1,0,14:46,5,0,22,29,2,0,0,0,0,21,96,22,4,5,32,40,10,20,6,29,1
