# 2011/03/15 
# PIT , OTT 
# 5 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,72,14,4,7,1,26,38,71,4,5,41
2,1,0,20:00,4,0,11,26,1,0,0,0,0,11,72,14,4,7,1,26,38,71,4,5,41
3,1,0,19:33,13,1,38,7,2,0,0,0,0,11,72,14,4,7,1,26,38,71,4,5,41
4,1,0,19:33,1,1,38,0,3,7,1,0,0,11,72,14,4,7,1,26,38,71,4,5,41
5,1,0,19:32,1,1,26,0,3,8,1,0,0,11,72,14,4,7,1,26,38,71,4,5,41
6,1, ,19:31,3,1,0,0,0,0,0,0,0,11,72,14,4,7,1,26,38,71,4,5,41
7,1,0,19:31,4,0,10,19,2,0,0,0,0,10,48,18,6,58,1,19,52,16,17,65,41
8,1,0,19:17,5,0,48,65,3,0,0,0,0,10,48,18,6,58,1,19,52,16,17,65,41
9,1,0,18:57,5,1,16,48,1,0,0,0,0,10,48,18,6,58,1,19,52,16,17,65,41
10,1,0,18:14,5,1,15,42,3,0,0,0,0,15,9,24,5,42,1,15,18,25,47,55,41
11,1,0,18:10,8,1,25,0,3,0,0,0,0,15,9,24,5,42,1,15,18,25,47,55,41
12,1,0,18:06,1,1,15,0,3,23,3,0,0,15,9,24,5,42,1,15,18,25,47,55,41
13,1, ,18:05,3,1,0,0,0,0,0,0,0,15,9,24,5,42,1,15,18,25,47,55,41
14,1,0,18:05,6,1,15,1,2,0,0,0,0,15,9,24,5,42,1,15,18,25,47,55,41
15,1,1,18:05,4,0,10,19,3,0,0,0,0,10,72,14,18,58,1,19,26,4,5,41,0
16,1,1,17:53,1,0,18,0,3,44,1,0,0,10,72,14,18,58,1,19,26,4,5,41,0
17,1,-1,17:46,13,0,72,19,2,0,0,0,0,10,72,14,18,58,1,19,26,4,5,41,0
18,1,-1,17:02,9,1,26,0,2,0,0,0,0,48,72,14,18,58,1,19,26,17,65,41,0
19,1,1,17:00,1,0,18,0,3,43,1,0,0,48,72,14,18,58,1,19,26,17,65,41,0
20,1, ,16:59,3,1,0,0,0,0,0,0,0,48,72,14,18,58,1,19,26,17,65,41,0
21,1,-1,16:59,4,1,11,18,2,0,0,0,0,11,15,48,24,7,1,18,38,17,65,41,0
22,1,1,16:15,13,1,19,7,2,0,0,0,0,11,15,48,24,7,1,19,52,17,65,41,0
23,1,0,16:01,13,0,24,55,2,0,0,0,0,11,48,24,4,5,1,15,18,25,55,65,41
24,1,0,16:00,9,1,55,0,2,0,0,0,0,11,48,24,4,5,1,15,18,25,55,65,41
25,1,0,15:58,1,0,24,0,3,34,1,0,0,11,48,24,4,5,1,15,18,25,55,65,41
26,1, ,15:57,3,1,0,0,0,0,0,0,0,11,48,24,4,5,1,15,18,25,55,65,41
27,1,0,15:57,4,0,25,18,3,0,0,0,0,17,25,27,4,5,1,15,18,25,47,55,41
28,1,0,15:20,13,0,4,15,2,0,0,0,0,17,25,27,4,5,1,15,18,25,47,55,41
29,1,0,14:42,7,1,10,0,3,11,1,0,0,10,72,9,6,58,1,10,26,71,4,5,41
30,1,0,14:18,13,1,4,9,2,0,0,0,0,10,72,9,6,58,1,10,26,71,4,5,41
31,1,0,14:14,5,0,58,10,2,0,0,0,0,10,72,9,6,58,1,10,26,71,4,5,41
32,1,0,13:36,1,0,42,0,3,43,1,0,0,11,48,14,7,42,1,19,42,16,5,65,41
33,1,0,13:32,7,0,14,0,3,57,2,0,0,11,48,14,7,42,1,19,42,16,5,65,41
34,1,0,13:20,9,1,65,0,3,0,0,0,0,11,48,14,7,42,1,19,42,16,17,65,41
35,1,0,12:33,5,0,5,49,2,0,0,0,0,15,18,24,4,5,1,15,38,49,47,55,41
36,1,0,12:32,13,1,49,15,2,0,0,0,0,15,18,24,4,5,1,15,38,49,47,55,41
37,1,0,12:17,5,1,15,25,2,0,0,0,0,25,18,24,6,58,1,15,38,49,47,55,41
38,1,0,12:15,8,1,15,0,2,0,0,0,0,25,18,24,6,58,1,15,38,49,47,55,41
39,1, ,12:12,3,0,0,0,0,0,0,0,0,25,18,24,6,58,1,15,38,49,47,55,41
40,1,0,12:12,4,1,25,18,2,0,0,0,0,17,25,9,6,58,1,18,25,71,47,55,41
41,1,0,12:05,1,0,6,0,3,66,1,0,0,17,25,9,6,58,1,18,25,71,47,55,41
42,1, ,12:04,3,1,0,0,0,0,0,0,0,17,25,9,6,58,1,18,25,71,47,55,41
43,1,0,12:04,4,1,25,18,2,0,0,0,0,17,25,9,6,58,1,18,25,71,47,55,41
44,1,0,11:37,5,1,25,25,1,0,0,0,0,17,25,9,6,58,1,18,25,71,47,55,41
45,1,0,11:34,1,0,9,0,3,33,1,0,0,17,25,9,6,58,1,18,25,71,47,55,41
46,1, ,11:33,3,3,0,0,0,0,0,0,0,17,25,9,6,58,1,18,25,71,47,55,41
47,1,0,11:33,4,1,11,19,2,0,0,0,0,11,48,14,4,7,1,19,52,16,4,5,41
48,1,0,11:21,7,1,52,0,3,32,1,0,0,11,48,14,4,7,1,19,52,16,4,5,41
49,1,0,11:16,9,0,14,0,2,0,0,0,0,11,48,14,4,7,1,19,52,16,4,5,41
50,1,0,11:07,1,1,19,0,3,34,2,0,0,11,48,14,4,7,1,19,52,16,4,5,41
51,1,0,11:04,9,0,14,0,2,0,0,0,0,11,48,14,4,7,1,19,52,16,4,5,41
52,1,0,10:46,2,0,48,0,3,11,5,7,14,11,48,14,4,7,1,19,52,16,4,5,41
53,1,0,10:46,4,1,10,26,1,0,0,0,0,10,72,18,5,42,1,10,26,38,17,65,41
54,1,0,10:35,13,1,38,42,2,0,0,0,0,10,72,18,5,42,1,10,26,38,17,65,41
55,1, ,10:33,3,4,0,0,0,0,0,0,0,10,72,18,5,42,1,10,26,38,17,65,41
56,1,0,10:33,4,0,10,26,2,0,0,0,0,10,72,18,5,42,1,10,26,38,17,65,41
57,1,0,9:50,13,0,72,25,2,0,0,0,0,10,72,18,42,58,1,25,26,38,17,65,41
58,1,0,9:49,5,1,25,72,2,0,0,0,0,10,72,18,42,58,1,25,26,38,17,65,41
59,1,0,9:24,5,0,18,18,1,0,0,0,0,10,9,18,6,58,1,15,18,25,47,55,41
