# 2011/03/17 
# PHX , EDM 
# 3 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,22,14,38,3,53,30,16,23,91,2,58,35
2,1,0,20:00,4,1,38,16,1,0,0,0,0,22,14,38,3,53,30,16,23,91,2,58,35
3,1,0,19:37,13,1,2,14,2,0,0,0,0,22,14,38,3,53,30,16,23,91,2,58,35
4,1,0,18:51,5,1,14,6,3,0,0,0,0,20,19,28,6,32,30,13,14,28,5,77,35
5,1,0,18:40,13,0,19,28,2,0,0,0,0,20,19,28,6,32,30,13,14,28,5,77,35
6,1, ,18:40,3,4,0,0,0,0,0,0,0,20,19,28,6,32,30,42,12,85,2,58,35
7,1,0,18:40,4,0,26,42,3,0,0,0,0,26,17,13,16,33,30,42,12,85,2,58,35
8,1,0,18:36,7,0,16,0,3,54,3,0,0,26,17,13,16,33,30,42,12,85,2,58,35
9,1,0,18:29,1,1,85,0,3,29,1,0,0,26,17,13,16,33,30,42,12,85,2,58,35
10,1, ,18:29,3,1,0,0,0,0,0,0,0,26,17,13,16,33,30,42,12,85,2,58,35
11,1,0,18:29,4,1,26,42,3,0,0,0,0,26,17,13,16,33,30,42,12,85,5,77,35
12,1, ,17:47,3,2,0,0,0,0,0,0,0,91,39,89,3,53,30,54,56,33,26,43,35
13,1,0,17:47,4,0,91,54,1,0,0,0,0,91,39,89,3,53,30,54,56,33,26,43,35
14,1,0,17:30,7,1,33,0,1,66,2,0,0,91,39,89,3,53,30,54,56,33,26,43,35
15,1, ,17:28,3,4,0,0,0,0,0,0,0,91,39,89,3,53,30,54,56,33,26,43,35
16,1,0,17:28,4,1,38,42,1,0,0,0,0,22,14,38,6,32,30,42,12,85,26,43,35
17,1,0,17:14,5,0,32,85,2,0,0,0,0,22,14,38,6,32,30,42,12,85,26,43,35
18,1,0,17:03,5,1,12,32,3,0,0,0,0,22,14,38,6,32,30,42,12,85,26,77,35
19,1,0,16:58,5,1,85,6,3,0,0,0,0,22,14,38,6,32,30,42,12,85,26,77,35
20,1,0,16:57,5,1,42,22,2,0,0,0,0,22,14,38,6,32,30,42,12,85,26,77,35
21,1,0,16:32,1,1,14,0,3,18,3,0,0,22,14,38,16,33,30,13,14,28,5,77,35
22,1,0,16:31,6,0,16,14,2,0,0,0,0,22,14,38,16,33,30,13,14,28,5,77,35
23,1,-1,16:31,4,0,20,14,2,0,0,0,0,20,19,33,53,30,0,13,14,28,91,77,35
24,1,1,16:04,1,1,77,0,3,61,2,0,0,20,19,33,53,30,0,13,14,28,91,77,35
25,1,-1,15:44,5,0,38,77,1,0,0,0,0,28,38,33,53,30,0,13,14,28,91,77,35
26,1,-1,14:57,8,0,6,0,2,0,0,0,0,20,28,6,32,30,0,56,12,23,26,58,35
27,1,-1,14:53,9,0,6,0,2,0,0,0,0,20,28,6,32,30,0,56,12,23,26,58,35
28,1,0,14:30,1,0,28,0,1,86,1,0,0,26,28,3,16,53,30,42,85,91,2,43,35
29,1,0,14:09,7,1,85,0,3,27,2,0,0,26,17,13,3,53,30,42,85,91,2,43,35
30,1,0,13:47,9,0,3,0,3,0,0,0,0,26,17,13,3,33,30,42,85,91,2,43,35
31,1,0,13:43,1,1,85,0,3,16,6,0,0,26,17,13,3,33,30,42,85,91,5,77,35
32,1,0,13:42,8,1,91,0,3,0,0,0,0,26,17,13,3,33,30,42,85,91,5,77,35
33,1,0,13:15,13,1,54,16,2,0,0,0,0,91,39,89,16,32,30,54,56,33,5,77,35
34,1,0,13:13,5,0,16,54,2,0,0,0,0,91,39,89,16,32,30,54,56,33,5,77,35
35,1,0,12:55,5,0,6,54,2,0,0,0,0,91,39,89,6,32,30,54,56,33,26,43,35
36,1,0,12:32,6,0,22,23,2,0,0,0,0,22,14,38,3,53,30,16,12,23,2,58,35
37,1, ,12:32,3,9,0,0,0,0,0,0,0,14,38,3,53,30,0,16,12,23,2,58,35
38,1,-1,12:32,4,0,38,13,2,0,0,0,0,28,38,16,33,30,0,13,14,28,91,77,35
39,1,1,11:44,9,1,91,0,3,0,0,0,0,28,38,16,33,30,0,13,14,28,91,77,35
40,1,-1,11:25,9,0,32,0,2,0,0,0,0,20,19,32,53,30,0,56,12,23,26,58,35
41,1,1,11:24,7,1,56,0,3,16,5,0,0,20,19,32,53,30,0,56,12,23,26,58,35
42,1, ,11:23,3,4,0,0,0,0,0,0,0,20,19,32,53,30,0,56,12,23,26,58,35
43,1,1,11:23,4,1,20,56,1,0,0,0,0,20,19,16,33,30,0,56,12,23,26,58,35
44,1,1,11:05,8,1,58,0,2,0,0,0,0,20,19,16,33,30,0,56,12,23,26,58,35
45,1,0,10:25,1,1,14,0,3,46,3,0,0,26,22,13,3,53,30,14,16,91,2,5,35
46,1,0,10:12,9,1,91,0,3,0,0,0,0,26,22,13,3,53,30,14,16,91,2,5,35
47,1,0,9:31,8,0,13,0,3,0,0,0,0,20,17,13,6,32,30,13,23,28,43,77,35
48,1,0,9:22,5,1,13,17,2,0,0,0,0,20,17,13,6,32,30,13,23,28,43,77,35
49,1,0,9:21,1,1,23,0,3,31,1,0,0,20,17,13,6,32,30,13,23,28,43,77,35
50,1,0,9:00,8,1,42,0,1,0,0,0,0,20,19,28,16,33,30,42,12,85,2,58,35
51,1,0,8:56,1,1,85,0,3,17,6,0,0,20,19,28,16,33,30,42,12,85,2,58,35
52,1, ,8:56,3,0,0,0,0,0,0,0,0,20,19,28,16,33,30,42,12,85,2,58,35
53,1,0,8:56,4,0,20,42,2,0,0,0,0,20,19,28,6,32,30,42,12,85,5,77,35
54,1,0,8:50,9,0,6,0,2,0,0,0,0,20,19,28,6,32,30,42,12,85,5,77,35
55,1,0,8:49,1,1,42,0,3,29,6,0,0,20,19,28,6,32,30,42,12,85,5,77,35
56,1, ,8:43,3,2,0,0,0,0,0,0,0,20,19,28,6,32,30,42,12,85,5,77,35
57,1,0,8:43,4,1,38,13,1,0,0,0,0,22,14,38,3,53,30,13,14,28,26,43,35
58,1,0,8:26,5,1,13,38,3,0,0,0,0,22,14,38,3,53,30,13,14,28,26,43,35
59,1,0,8:13,8,1,14,0,1,0,0,0,0,22,14,38,3,53,30,13,14,28,26,43,35
60,1,0,8:06,1,1,14,0,3,34,2,0,0,22,14,38,3,53,30,13,14,28,26,43,35
61,1,0,8:02,6,1,28,38,3,0,0,0,0,22,14,38,3,53,30,13,14,28,26,43,35
62,1,-1,8:02,4,1,19,16,2,0,0,0,0,17,19,13,89,3,30,13,16,5,77,35,0
63,1,1,7:30,1,0,17,0,3,17,1,0,0,17,19,13,89,3,30,16,85,5,77,35,0
64,1,-1,7:17,13,0,17,43,2,0,0,0,0,17,19,13,89,3,30,13,85,5,43,35,0
65,1, ,6:38,3,2,0,0,0,0,0,0,0,91,14,39,6,32,30,16,42,2,43,35,0
66,1,1,6:38,4,0,20,13,1,0,0,0,0,20,22,14,6,32,30,13,85,5,77,35,0
67,1,1,6:20,1,0,14,0,3,15,5,0,0,20,22,14,6,32,30,13,85,5,77,35,0
68,1,1,6:16,1,0,22,0,3,23,1,0,0,20,22,14,6,32,30,13,85,5,77,35,0
69,1,1,6:04,1,0,14,0,3,10,5,0,0,20,22,14,6,32,30,13,85,5,77,35,0
70,1,0,6:00,7,0,6,0,3,39,1,0,0,20,22,14,6,32,30,13,28,85,5,77,35
71,1,0,5:56,8,1,77,0,2,0,0,0,0,20,22,14,6,32,30,13,28,85,5,77,35
72,1,0,5:38,13,1,14,26,2,0,0,0,0,26,17,13,6,32,30,14,16,54,28,2,58
73,1,0,5:32,6,0,32,28,2,0,0,0,0,26,17,13,6,32,30,14,16,54,28,2,58
74,1, ,5:32,3,9,0,0,0,0,0,0,0,26,17,13,6,30,0,14,16,54,28,2,58
75,1,-1,5:32,4,0,38,13,2,0,0,0,0,28,38,16,33,30,0,13,14,28,91,26,35
76,1,-1,4:32,1,0,19,0,3,35,3,0,0,20,19,6,53,30,0,13,14,28,91,26,35
77,1, ,4:30,3,1,0,0,0,0,0,0,0,20,19,6,53,30,0,13,14,28,91,26,35
78,1,-1,4:30,4,0,38,12,3,0,0,0,0,28,38,16,33,30,0,16,12,23,58,77,35
79,1,1,4:27,13,0,28,16,2,0,0,0,0,28,38,16,33,30,0,16,12,23,58,77,35
80,1,1,3:57,6,1,12,38,3,0,0,0,0,28,38,16,33,30,0,56,12,23,58,77,35
81,1,0,3:57,4,0,20,13,3,0,0,0,0,20,22,3,53,30,0,13,85,2,43,35,0
82,1,0,3:34,1,0,3,0,3,65,1,0,0,20,22,3,53,30,0,13,85,2,43,35,0
83,1,-1,3:20,8,1,16,0,1,0,0,0,0,20,17,13,89,3,30,16,28,2,43,35,0
84,1,-1,3:19,1,1,16,0,3,36,2,0,0,20,17,13,89,3,30,16,28,2,43,35,0
85,1, ,3:19,3,1,0,0,0,0,0,0,0,20,17,13,89,3,30,16,28,5,77,35,0
86,1,1,3:19,4,0,19,16,2,0,0,0,0,17,19,13,89,3,30,16,28,5,77,35,0
87,1,-1,3:06,8,1,28,0,3,0,0,0,0,17,19,13,89,3,30,16,28,5,77,35,0
88,1,-1,2:17,9,1,2,0,2,0,0,0,0,91,19,13,89,3,30,13,85,2,43,35,0
89,1,0,1:38,5,1,56,14,1,0,0,0,0,22,14,38,6,32,30,54,56,91,5,58,35
90,1,0,1:17,5,0,14,77,3,0,0,0,0,22,14,38,16,33,30,54,56,91,58,77,35
91,1,0,1:08,5,1,56,16,3,0,0,0,0,22,14,38,16,33,30,13,56,91,2,77,35
92,1,0,1:03,5,1,91,14,2,0,0,0,0,22,14,38,16,33,30,13,56,91,2,77,35
93,1,0,0:56,8,0,20,0,3,0,0,0,0,20,22,28,16,33,30,13,14,91,2,77,35
94,1,0,0:47,2,0,22,0,3,10,1,28,20,20,22,28,16,33,30,13,14,91,2,77,35
95,1,0,0:47,4,0,20,16,1,0,0,0,0,20,19,28,3,53,30,14,16,28,5,43,35
96,1, ,0:00,11,0,0,0,0,0,0,0,0,26,19,28,3,53,30,14,42,12,5,43,35
97,2, ,20:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,12,85,26,43,35
98,2,0,20:00,4,0,38,42,1,0,0,0,0,22,14,38,3,53,30,42,12,85,26,43,35
99,2,0,19:43,9,1,42,0,2,0,0,0,0,22,14,38,3,53,30,42,12,85,26,43,35
100,2,0,19:37,1,0,14,0,3,12,6,0,0,22,14,38,3,53,30,42,12,85,26,43,35
101,2,0,19:10,5,1,13,32,3,0,0,0,0,20,19,28,6,32,30,13,14,28,5,77,35
102,2,0,18:52,9,1,28,0,2,0,0,0,0,20,19,28,6,32,30,13,14,28,5,77,35
103,2,0,18:29,1,1,28,0,3,24,6,0,0,20,19,13,6,32,30,16,23,28,2,58,35
104,2, ,18:29,3,1,0,0,0,0,0,0,0,20,19,13,6,32,30,16,23,28,2,58,35
105,2,0,18:29,4,1,26,16,3,0,0,0,0,26,17,13,16,33,30,16,23,91,2,58,35
106,2,0,17:58,13,1,16,16,2,0,0,0,0,26,17,13,16,33,30,16,23,91,2,58,35
107,2,0,17:44,5,0,16,16,2,0,0,0,0,26,17,13,16,33,30,16,23,91,2,58,35
108,2,0,17:25,13,1,2,13,2,0,0,0,0,26,17,13,16,33,30,54,23,91,2,58,35
109,2, ,17:23,3,4,0,0,0,0,0,0,0,26,17,13,16,33,30,54,23,91,2,58,35
110,2,0,17:23,4,1,91,54,1,0,0,0,0,91,39,89,3,53,30,54,56,33,26,43,35
111,2,0,17:12,9,0,89,0,2,0,0,0,0,91,39,89,3,53,30,54,56,33,26,43,35
112,2,0,16:50,13,0,3,43,2,0,0,0,0,91,39,89,3,53,30,54,56,33,26,43,35
113,2,0,16:39,7,0,89,0,3,29,3,0,0,91,39,89,3,32,30,54,56,33,26,43,35
114,2,0,16:31,7,0,39,0,3,19,1,0,0,91,39,89,6,32,30,54,56,33,26,43,35
115,2,0,16:25,1,0,32,0,3,33,3,0,0,22,14,38,6,32,30,42,33,85,5,26,35
116,2, ,16:12,3,3,0,0,0,0,0,0,0,22,14,38,6,32,30,42,33,85,5,26,35
117,2,0,16:12,4,0,38,42,1,0,0,0,0,22,14,38,6,32,30,42,12,85,5,77,35
118,2,0,15:57,5,0,14,77,3,0,0,0,0,22,14,38,6,32,30,42,12,85,5,77,35
119,2,0,15:53,1,0,14,0,3,38,1,0,0,22,14,38,6,32,30,42,12,85,5,77,35
120,2,0,15:37,5,1,42,14,1,0,0,0,0,22,14,38,6,32,30,42,12,85,5,77,35
121,2,0,15:21,13,0,22,2,2,0,0,0,0,20,22,14,16,32,30,42,28,85,2,5,35
122,2,0,15:15,7,0,16,0,3,25,3,0,0,20,19,28,16,33,30,42,28,85,2,5,35
123,2,0,15:07,7,0,19,0,3,10,5,0,0,20,19,28,16,33,30,42,28,85,2,5,35
124,2,0,15:01,13,0,28,2,2,0,0,0,0,20,19,28,16,33,30,42,28,85,2,5,35
125,2,0,14:52,9,0,20,0,3,0,0,0,0,20,19,28,16,33,30,13,14,28,2,5,35
126,2,0,14:22,7,0,13,0,3,35,2,0,0,26,19,13,16,33,30,13,14,91,26,58,35
127,2,0,14:19,6,0,17,0,1,0,0,0,0,26,17,13,16,33,30,13,14,91,26,58,35
128,2,-1,14:19,4,0,38,56,2,0,0,0,0,28,38,6,32,30,0,56,12,23,91,77,35
129,2, ,14:14,3,10,0,0,0,0,0,0,0,28,38,6,32,30,0,56,12,23,91,77,35
130,2,-1,14:14,4,0,38,56,1,0,0,0,0,28,38,6,32,30,0,56,12,23,91,77,35
131,2,-1,13:38,13,1,56,32,2,0,0,0,0,20,19,6,32,30,0,56,12,23,91,77,35
132,2,-1,13:32,9,0,19,0,2,0,0,0,0,20,19,6,32,30,0,56,12,23,91,77,35
133,2,1,13:30,9,1,12,0,3,0,0,0,0,20,19,6,32,30,0,56,12,23,91,77,35
134,2,-1,13:07,13,1,26,33,2,0,0,0,0,26,28,16,33,30,0,13,14,28,91,26,35
135,2,1,12:45,9,1,58,0,3,0,0,0,0,20,38,16,33,30,0,13,14,28,26,58,35
136,2,-1,12:23,9,0,3,0,2,0,0,0,0,20,38,3,53,30,0,16,42,85,5,58,35
137,2,1,12:21,1,1,5,0,3,60,2,0,0,20,38,3,53,30,0,16,42,85,5,58,35
138,2, ,12:21,3,1,0,0,0,0,0,0,0,20,38,3,53,30,0,16,42,85,5,58,35
139,2,1,12:21,4,1,26,16,3,0,0,0,0,26,13,3,53,30,0,16,42,85,2,58,35
140,2,0,12:16,13,1,2,26,2,0,0,0,0,26,17,13,3,53,30,16,42,85,2,58,35
141,2,0,12:12,9,1,58,0,1,0,0,0,0,26,17,13,3,53,30,16,42,85,2,58,35
142,2,0,12:03,8,1,42,0,2,0,0,0,0,26,17,13,3,53,30,16,42,85,2,58,35
143,2,0,11:50,13,0,26,58,2,0,0,0,0,26,17,13,3,53,30,13,14,42,2,58,35
144,2, ,11:50,3,0,0,0,0,0,0,0,0,26,17,13,3,53,30,13,14,42,2,58,35
145,2,0,11:50,4,1,26,16,2,0,0,0,0,26,17,13,6,32,30,16,23,91,2,58,35
146,2, ,11:41,3,6,0,0,0,0,0,0,0,26,17,13,6,32,30,16,23,91,2,58,35
147,2,0,11:41,4,1,26,23,2,0,0,0,0,26,17,13,6,32,30,16,23,91,2,58,35
148,2,0,11:14,9,1,2,0,2,0,0,0,0,26,17,13,6,32,30,16,23,91,2,58,35
149,2,0,11:12,13,0,13,58,2,0,0,0,0,26,17,13,6,32,30,16,23,91,2,58,35
150,2,0,11:10,6,0,13,91,1,0,0,0,0,26,17,13,6,32,30,16,23,91,2,58,35
151,2,-1,11:10,4,0,38,13,2,0,0,0,0,28,38,16,33,30,0,13,14,28,91,77,35
152,2,-1,10:45,9,0,28,0,2,0,0,0,0,28,38,16,33,30,0,13,14,28,91,77,35
153,2,1,10:43,1,1,13,0,3,29,1,0,0,28,38,16,33,30,0,13,14,28,91,77,35
154,2, ,10:41,3,1,0,0,0,0,0,0,0,28,38,16,33,30,0,13,14,28,91,77,35
155,2,1,10:41,4,1,20,13,3,0,0,0,0,20,19,6,32,30,0,13,14,28,91,26,35
156,2,1,10:09,9,1,14,0,3,0,0,0,0,20,19,6,32,30,0,13,14,28,91,26,35
