# 2011/03/18 
# PHX , VAN 
# 3 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,22,14,38,3,53,1,17,26,20,2,5,1
2,1,0,20:00,4,0,38,17,1,0,0,0,0,22,14,38,3,53,1,17,26,20,2,5,1
3,1, ,19:45,3,6,0,0,0,0,0,0,0,22,14,38,3,53,1,17,26,20,2,5,1
4,1,0,19:45,4,1,38,17,2,0,0,0,0,22,14,38,3,53,1,17,26,20,2,5,1
5,1,0,18:55,4,1,19,17,2,0,0,0,0,17,19,13,89,3,1,17,14,22,2,5,1
6,1,0,18:55,6,1,2,3,3,0,0,0,0,17,19,13,89,3,1,17,14,22,2,5,1
7,1,-1,17:46,1,1,36,0,3,9,6,0,0,91,19,14,89,3,1,40,36,4,5,1,0
8,1,1,17:16,6,0,14,4,3,0,0,0,0,91,14,39,3,32,1,40,36,4,5,1,0
9,1,0,17:16,4,0,20,33,2,0,0,0,0,20,28,16,33,1,0,33,22,6,29,1,0
10,1,1,16:24,7,1,22,0,3,21,0,0,0,20,28,16,33,1,0,17,33,26,22,5,1
11,1,-1,16:13,13,1,26,28,2,0,0,0,0,20,28,16,33,1,0,17,33,26,22,5,1
12,1,1,16:02,1,1,5,0,3,27,1,0,0,20,28,16,33,1,0,17,33,26,22,5,1
13,1,1,15:56,1,1,17,0,3,19,1,0,0,20,28,16,33,1,0,17,33,26,22,5,1
14,1,-1,15:55,13,1,5,20,2,0,0,0,0,20,28,16,33,1,0,17,33,26,22,5,1
15,1,-1,15:30,8,0,38,0,2,0,0,0,0,19,38,6,33,1,0,17,33,22,2,5,1
16,1,0,15:08,8,0,14,0,2,0,0,0,0,19,14,38,6,33,1,40,36,13,2,5,1
17,1,0,15:02,5,1,40,14,3,0,0,0,0,19,14,38,6,33,1,40,36,13,2,5,1
18,1, ,14:50,3,6,0,0,0,0,0,0,0,19,14,38,6,33,1,40,36,13,2,5,1
19,1,0,14:50,4,0,38,17,2,0,0,0,0,19,14,38,6,33,1,17,26,20,4,18,1
20,1, ,14:48,3,1,0,0,0,0,0,0,0,19,14,38,6,33,1,17,26,20,4,18,1
21,1,0,14:48,4,0,26,17,2,0,0,0,0,26,17,13,3,53,1,17,26,20,4,18,1
22,1,0,14:45,1,1,20,0,3,24,1,0,0,26,17,13,3,53,1,17,26,20,4,18,1
23,1, ,14:40,3,2,0,0,0,0,0,0,0,26,17,13,3,53,1,17,26,20,4,18,1
24,1,0,14:40,4,0,26,21,1,0,0,0,0,26,17,13,3,53,1,38,10,21,4,18,1
25,1,0,14:28,8,0,13,0,1,0,0,0,0,26,17,13,3,53,1,38,10,21,4,18,1
26,1,0,14:20,5,0,17,18,3,0,0,0,0,26,17,13,3,53,1,38,10,21,4,18,1
27,1,0,14:11,13,1,2,3,2,0,0,0,0,26,17,13,3,53,1,38,10,21,2,5,1
28,1,0,14:04,1,1,38,0,3,11,0,0,0,26,17,13,3,53,1,38,10,21,2,5,1
29,1,0,13:39,7,1,14,0,3,50,2,0,0,22,14,38,16,33,1,33,14,22,2,5,1
30,1, ,13:39,3,0,0,0,0,0,0,0,0,22,14,38,16,33,1,33,14,22,2,5,1
31,1,0,13:39,4,0,38,33,2,0,0,0,0,22,14,38,16,33,1,33,14,22,2,5,1
32,1,0,13:29,1,0,16,0,3,63,3,0,0,22,14,38,16,33,1,33,14,22,2,5,1
33,1, ,13:29,3,1,0,0,0,0,0,0,0,22,14,38,16,33,1,33,14,22,2,5,1
34,1,0,13:29,4,1,38,40,2,0,0,0,0,22,14,38,3,53,1,40,36,13,6,29,1
35,1,0,13:12,5,0,53,40,2,0,0,0,0,22,14,38,3,53,1,40,36,13,6,29,1
36,1,0,13:02,8,1,40,0,3,0,0,0,0,22,14,38,3,53,1,40,36,13,6,29,1
37,1,0,12:13,9,0,6,0,2,0,0,0,0,91,39,89,6,32,1,17,26,20,4,18,1
38,1,0,12:13,1,1,20,0,3,15,6,0,0,91,39,89,6,32,1,17,26,20,4,18,1
39,1, ,12:13,3,1,0,0,0,0,0,0,0,91,39,89,6,32,1,17,26,20,4,18,1
40,1,0,12:13,4,1,20,17,3,0,0,0,0,20,19,28,16,33,1,17,26,20,4,18,1
41,1,0,12:07,1,1,26,0,3,31,1,0,0,20,19,28,16,33,1,17,26,20,4,18,1
42,1, ,11:55,3,2,0,0,0,0,0,0,0,20,19,28,16,33,1,17,26,20,4,18,1
43,1,0,11:55,4,1,26,21,1,0,0,0,0,26,17,13,16,33,1,38,10,21,2,5,1
44,1,0,11:36,9,1,2,0,1,0,0,0,0,26,17,13,16,33,1,38,10,21,2,5,1
45,1, ,11:00,3,2,0,0,0,0,0,0,0,22,14,38,3,53,1,10,14,21,2,5,1
46,1,0,11:00,4,0,38,33,1,0,0,0,0,22,14,38,16,33,1,33,14,22,6,29,1
47,1,0,10:46,6,1,1,22,2,0,0,0,0,22,14,38,16,33,1,33,14,22,6,29,1
48,1,1,10:46,4,0,19,17,3,0,0,0,0,17,19,13,89,3,1,17,14,6,29,1,0
49,1,1,10:36,7,0,17,0,3,30,1,0,0,17,19,13,89,3,1,17,14,6,29,1,0
50,1,1,9:31,8,0,3,0,3,0,0,0,0,20,19,14,3,32,1,20,21,2,5,1,0
51,1,1,9:09,1,0,32,0,3,37,2,0,0,20,22,14,6,32,1,40,20,4,6,1,0
52,1,-1,8:56,13,0,22,6,2,0,0,0,0,20,22,14,6,32,1,40,36,4,6,1,0
53,1,0,8:39,13,0,39,18,2,0,0,0,0,91,28,39,16,33,1,33,26,22,4,18,1
