# 2011/03/21 
# CGY , L.A 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,16,17,20,4,5,34,11,14,25,2,53,32
2,1,0,20:00,4,1,20,11,1,0,0,0,0,16,17,20,4,5,34,11,14,25,2,53,32
3,1,0,19:50,5,1,11,4,3,0,0,0,0,16,17,20,4,5,34,11,14,25,2,53,32
4,1, ,19:46,3,6,0,0,0,0,0,0,0,16,17,20,4,5,34,11,14,25,2,53,32
5,1,0,19:46,4,1,20,11,3,0,0,0,0,16,17,20,4,5,34,11,14,25,2,53,32
6,1,0,19:03,9,1,17,0,3,0,0,0,0,11,12,40,4,28,34,28,17,27,8,33,32
7,1,0,18:39,4,0,13,28,3,0,0,0,0,13,12,15,40,5,34,28,17,27,8,33,32
8,1,0,18:39,6,1,27,11,3,0,0,0,0,13,12,15,40,5,34,28,17,27,8,33,32
9,1,1,18:17,7,0,13,0,3,44,3,0,0,13,12,15,40,5,34,11,28,2,33,32,0
10,1,-1,18:06,5,1,2,12,2,0,0,0,0,13,12,15,40,5,34,11,28,2,33,32,0
11,1,1,17:22,1,0,33,0,3,56,2,0,0,17,26,20,4,33,34,22,26,7,8,32,0
12,1,1,17:14,1,0,17,0,3,14,1,0,0,17,26,20,4,33,34,22,26,7,8,32,0
13,1, ,16:23,3,2,0,0,0,0,0,0,0,17,26,20,4,33,34,15,23,27,2,33,32
14,1,0,16:23,4,1,18,28,1,0,0,0,0,18,10,57,6,27,34,28,17,94,3,7,32
15,1, ,15:58,3,2,0,0,0,0,0,0,0,18,10,57,6,27,34,28,17,94,3,7,32
16,1,0,15:58,4,0,11,26,1,0,0,0,0,11,12,40,4,28,34,26,23,94,8,33,32
17,1,0,15:45,5,0,11,26,3,0,0,0,0,11,12,40,4,28,34,26,23,94,8,33,32
18,1,0,15:31,1,0,28,0,3,55,2,0,0,11,12,40,4,28,34,26,23,94,8,33,32
19,1,0,15:13,6,0,12,26,3,0,0,0,0,11,17,40,4,28,34,11,14,23,94,8,33
20,1,1,15:13,4,1,16,11,3,0,0,0,0,16,20,4,28,34,0,11,14,25,3,8,32
21,1,1,15:01,9,1,14,0,3,0,0,0,0,16,20,4,28,34,0,11,14,25,3,8,32
22,1,1,14:47,7,1,8,0,3,46,1,0,0,16,20,4,28,34,0,11,14,25,3,8,32
23,1, ,14:46,3,8,0,0,0,0,0,0,0,16,20,4,28,34,0,11,14,25,3,8,32
24,1,-1,14:46,4,0,13,26,2,0,0,0,0,13,40,5,6,34,0,26,28,23,27,53,32
25,1,-1,14:20,13,1,28,5,2,0,0,0,0,17,40,5,6,34,0,26,28,23,27,53,32
26,1,1,14:08,9,1,23,0,3,0,0,0,0,17,40,5,6,34,0,26,28,23,27,53,32
27,1,1,13:39,1,1,3,0,3,55,1,0,0,18,16,4,28,34,0,11,14,25,3,8,32
28,1, ,13:37,3,1,0,0,0,0,0,0,0,18,16,4,28,34,0,11,14,25,3,8,32
29,1,-1,13:37,4,0,13,14,2,0,0,0,0,13,20,4,28,34,0,11,14,25,3,8,32
30,1,1,13:30,5,1,11,20,3,0,0,0,0,13,20,4,28,34,0,11,14,25,3,8,32
31,1,-1,13:26,7,0,13,0,3,38,1,0,0,13,20,4,28,34,0,11,14,25,3,8,32
32,1,-1,13:23,5,0,13,8,3,0,0,0,0,13,20,4,28,34,0,11,14,25,3,8,32
33,1,0,13:01,1,1,3,0,3,56,1,0,0,13,12,20,4,28,34,11,14,25,3,8,32
34,1,0,12:54,5,0,13,11,2,0,0,0,0,13,12,20,4,28,34,11,14,25,3,8,32
35,1,0,12:29,5,0,27,27,1,0,0,0,0,11,12,20,4,27,34,28,17,27,3,8,32
36,1,0,12:25,13,1,28,33,2,0,0,0,0,11,15,40,27,33,34,28,17,27,2,53,32
37,1,0,11:49,13,1,94,27,2,0,0,0,0,18,15,40,27,33,34,26,17,94,2,53,32
38,1,0,11:46,13,1,17,33,2,0,0,0,0,18,15,40,27,33,34,26,17,94,3,7,32
39,1,0,11:24,7,0,6,0,3,58,2,0,0,18,10,57,5,6,34,26,23,94,3,7,32
40,1,0,11:19,5,1,23,57,2,0,0,0,0,18,10,57,5,6,34,26,23,94,3,7,32
41,1,0,11:07,8,1,23,0,2,0,0,0,0,18,10,57,5,6,34,26,23,94,3,7,32
42,1,0,10:43,9,1,33,0,2,0,0,0,0,11,12,10,27,33,34,22,15,19,8,33,32
43,1,0,10:28,5,1,8,33,3,0,0,0,0,11,12,10,27,33,34,22,14,15,8,33,32
44,1,0,9:54,5,1,2,12,2,0,0,0,0,12,20,40,4,28,34,11,14,25,2,53,32
45,1, ,9:43,3,0,0,0,0,0,0,0,0,12,20,40,4,28,34,11,14,25,2,53,32
46,1,0,9:43,4,1,20,11,1,0,0,0,0,16,17,20,5,6,34,11,14,25,2,53,32
47,1,0,9:35,5,1,25,6,3,0,0,0,0,16,17,20,5,6,34,11,14,25,2,53,32
