# 2011/03/26 
# CGY , EDM 
# 5 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,12,20,4,28,34,42,28,85,5,77,40
2,1,0,20:00,4,0,11,42,1,0,0,0,0,11,12,20,4,28,34,42,28,85,5,77,40
3,1,0,19:29,1,0,4,0,3,39,3,0,0,11,12,20,4,28,34,54,28,85,5,77,40
4,1, ,19:28,3,1,0,0,0,0,0,0,0,13,17,40,5,6,34,54,28,85,5,77,40
5,1,0,19:28,4,1,13,13,2,0,0,0,0,13,17,40,5,6,34,13,23,91,2,58,40
6,1,0,19:01,8,0,13,0,1,0,0,0,0,13,17,40,5,6,34,13,23,91,2,58,40
7,1,0,18:01,5,0,12,77,3,0,0,0,0,18,12,26,27,33,34,54,56,28,43,77,40
8,1,0,17:49,13,1,14,33,2,0,0,0,0,18,15,26,27,33,34,14,54,56,5,58,40
9,1,0,17:42,9,1,54,0,3,0,0,0,0,18,15,26,27,33,34,14,54,56,5,58,40
10,1,0,17:24,9,0,26,0,2,0,0,0,0,18,15,26,27,33,34,14,54,56,2,58,40
11,1,0,17:06,7,1,14,0,3,11,4,0,0,18,15,26,27,33,34,14,54,56,2,58,40
12,1,0,17:02,1,1,58,0,3,60,1,0,0,18,15,26,27,33,34,14,54,56,2,58,40
13,1,0,16:29,5,1,49,57,2,0,0,0,0,16,48,57,5,6,34,16,22,33,43,49,40
14,1,0,16:22,9,1,33,0,2,0,0,0,0,16,48,57,5,6,34,16,22,33,43,49,40
15,1,0,16:04,1,1,16,0,3,64,2,0,0,13,16,40,5,6,34,16,22,85,5,77,40
16,1,0,15:54,5,1,85,6,1,0,0,0,0,13,17,40,5,6,34,13,22,85,5,77,40
17,1,0,15:40,1,1,91,0,3,46,1,0,0,13,17,40,4,28,34,13,23,91,5,77,40
18,1,0,15:36,9,0,28,0,2,0,0,0,0,13,17,40,4,28,34,13,23,91,5,77,40
19,1,0,15:31,1,1,91,0,3,27,1,0,0,13,17,40,4,28,34,13,23,91,5,77,40
20,1,0,15:25,1,1,77,0,3,65,1,0,0,13,17,40,4,28,34,13,23,91,5,77,40
21,1,0,15:14,13,1,5,28,2,0,0,0,0,13,17,40,4,28,34,13,23,91,5,77,40
22,1,0,15:07,13,1,91,28,2,0,0,0,0,13,17,40,4,28,34,13,23,91,5,77,40
23,1, ,15:05,3,6,0,0,0,0,0,0,0,13,17,40,4,28,34,13,23,91,5,77,40
24,1,0,15:05,4,0,13,54,2,0,0,0,0,13,17,40,4,28,34,14,54,56,2,58,40
25,1,0,14:52,5,0,28,54,2,0,0,0,0,13,17,40,4,28,34,14,54,56,2,58,40
26,1,0,14:33,5,1,54,6,3,0,0,0,0,11,12,20,5,6,34,14,54,56,2,58,40
27,1,0,14:14,13,0,6,56,2,0,0,0,0,11,12,20,5,6,34,14,54,56,2,58,40
28,1,0,14:10,9,0,11,0,3,0,0,0,0,11,12,20,5,6,34,14,54,56,2,58,40
29,1,0,14:04,9,1,56,0,2,0,0,0,0,11,12,20,5,6,34,14,54,56,2,58,40
30,1,0,14:00,7,0,5,0,3,64,1,0,0,11,12,20,5,6,34,14,54,56,2,58,40
31,1,0,13:34,5,1,28,33,3,0,0,0,0,18,15,26,5,33,34,42,28,85,43,49,40
32,1,0,13:29,13,0,15,49,2,0,0,0,0,18,15,26,27,33,34,42,28,85,43,49,40
33,1,0,13:28,8,1,85,0,2,0,0,0,0,18,15,26,27,33,34,42,28,85,43,49,40
34,1,0,13:24,1,1,85,0,3,56,1,0,0,18,15,26,27,33,34,42,28,85,43,49,40
35,1, ,13:23,3,0,0,0,0,0,0,0,0,18,15,26,27,33,34,42,28,85,43,49,40
36,1,0,13:23,4,1,18,54,3,0,0,0,0,18,15,26,4,28,34,14,54,56,5,77,40
37,1,0,12:50,5,1,56,4,3,0,0,0,0,18,12,26,4,28,34,14,42,56,2,58,40
38,1,0,12:26,9,0,34,0,2,0,0,0,0,12,48,57,4,28,34,42,28,85,2,58,40
39,1,0,11:55,5,0,16,91,3,0,0,0,0,16,48,57,5,6,34,13,23,91,43,49,40
40,1,0,11:37,13,1,13,6,2,0,0,0,0,13,16,40,5,6,34,13,23,91,43,77,40
41,1,0,11:32,5,0,5,13,2,0,0,0,0,13,16,40,5,6,34,13,23,91,43,77,40
