# 2011/04/02 
# EDM , VAN 
# 4 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,14,67,85,5,77,40,33,14,22,3,29,35
2,1,0,20:00,4,0,67,33,1,0,0,0,0,14,67,85,5,77,40,33,14,22,3,29,35
3,1,0,19:04,5,0,58,17,2,0,0,0,0,54,28,91,2,58,40,17,10,20,4,5,35
4,1,0,18:38,5,0,58,17,3,0,0,0,0,54,28,91,2,58,40,17,10,20,4,5,35
5,1,0,18:38,1,0,58,0,3,46,1,0,0,54,28,91,2,58,40,17,10,20,4,5,35
6,1, ,18:10,3,1,0,0,0,0,0,0,0,13,56,23,26,49,40,36,13,21,6,47,35
7,1,0,18:10,4,1,13,21,3,0,0,0,0,13,56,23,26,49,40,36,13,21,6,47,35
8,1,0,18:03,1,1,47,0,3,59,1,0,0,13,56,23,26,49,40,36,13,21,6,47,35
9,1,0,17:43,5,1,21,26,3,0,0,0,0,13,56,23,26,49,40,36,13,21,6,47,35
10,1,0,17:03,8,0,14,0,3,0,0,0,0,14,67,85,2,58,40,40,38,15,3,29,35
11,1,0,16:53,8,0,14,0,3,0,0,0,0,14,67,85,2,58,40,40,38,15,3,29,35
12,1,0,16:32,1,1,22,0,3,21,1,0,0,14,54,91,2,58,40,33,14,22,3,29,35
13,1,0,16:32,6,0,14,33,2,0,0,0,0,14,54,91,2,58,40,33,14,22,3,29,35
14,1,1,16:32,4,1,85,33,3,0,0,0,0,13,85,5,77,40,0,17,33,22,5,6,35
15,1,-1,16:22,13,1,17,5,2,0,0,0,0,13,85,5,77,40,0,17,33,22,5,6,35
16,1,-1,15:45,1,0,77,0,3,51,1,0,0,54,28,5,77,40,0,14,20,22,3,5,35
17,1,1,15:19,1,1,3,0,3,60,2,0,0,13,85,2,49,40,0,13,14,21,3,5,35
18,1, ,15:19,3,1,0,0,0,0,0,0,0,13,85,2,49,40,0,13,14,21,3,5,35
19,1,-1,15:19,4,0,42,13,2,0,0,0,0,42,85,5,77,40,0,13,14,20,21,3,35
20,1,1,14:44,1,1,20,0,3,46,2,0,0,42,85,5,77,40,0,13,14,20,21,3,35
21,1,-1,14:36,9,0,42,0,2,0,0,0,0,42,85,5,77,40,0,13,14,20,21,3,35
22,1,0,14:30,1,1,21,0,3,55,2,0,0,14,42,85,5,77,40,13,14,20,21,3,35
23,1,0,14:26,1,1,14,0,3,10,1,0,0,14,42,85,5,77,40,13,14,20,21,3,35
24,1, ,14:22,3,0,0,0,0,0,0,0,0,14,42,85,5,77,40,33,14,22,4,5,35
25,1,0,14:22,4,1,42,33,3,0,0,0,0,14,42,85,5,77,40,33,14,22,4,5,35
26,1, ,13:45,3,6,0,0,0,0,0,0,0,67,22,28,2,58,40,40,38,15,4,5,35
27,1,0,13:45,4,0,54,40,3,0,0,0,0,54,28,91,26,49,40,40,38,15,4,5,35
28,1,0,13:25,5,1,15,26,1,0,0,0,0,54,28,91,26,49,40,40,38,15,4,5,35
29,1,0,13:15,5,0,54,4,3,0,0,0,0,54,28,91,26,49,40,40,38,15,4,5,35
30,1, ,12:44,3,0,0,0,0,0,0,0,0,13,56,23,2,58,40,36,13,21,6,47,35
31,1,0,12:44,4,1,13,17,1,0,0,0,0,13,56,23,5,77,40,17,10,20,3,29,35
32,1,0,12:19,7,1,20,0,3,10,0,0,0,13,56,23,5,77,40,17,10,20,3,29,35
33,1, ,12:19,3,4,0,0,0,0,0,0,0,13,56,23,5,77,40,17,10,20,3,29,35
34,1,0,12:19,4,1,14,33,1,0,0,0,0,14,67,85,2,49,40,33,14,22,4,5,35
35,1,0,12:06,5,0,67,4,3,0,0,0,0,14,67,85,2,49,40,33,14,22,4,5,35
36,1,0,11:40,5,0,14,22,2,0,0,0,0,14,67,85,2,49,40,33,14,22,5,47,35
37,1,0,11:23,1,1,14,0,3,6,6,0,0,13,56,23,2,58,40,33,14,22,6,47,35
38,1, ,11:22,3,1,0,0,0,0,0,0,0,13,56,23,2,58,40,33,14,22,6,47,35
39,1,0,11:22,4,1,13,40,3,0,0,0,0,13,56,23,26,58,40,40,38,15,6,47,35
40,1,0,10:52,1,0,56,0,3,58,2,0,0,13,56,23,26,58,40,40,38,15,6,47,35
41,1,0,9:56,7,1,21,0,3,11,1,0,0,42,22,33,5,77,40,36,13,21,3,29,35
42,1,0,9:52,5,0,22,29,2,0,0,0,0,42,22,33,5,77,40,36,13,21,3,29,35
43,1,0,9:43,5,1,29,22,1,0,0,0,0,42,22,33,2,58,40,10,13,21,3,29,35
44,1,0,9:31,1,1,20,0,3,17,1,0,0,14,67,85,2,58,40,17,10,20,4,5,35
45,1,0,9:19,8,1,10,0,2,0,0,0,0,14,67,85,2,58,40,17,10,20,4,5,35
46,1,0,9:03,5,1,5,85,1,0,0,0,0,14,67,85,2,58,40,33,14,22,4,5,35
47,1,0,8:52,1,0,5,0,3,58,2,0,0,54,28,91,5,77,40,33,14,22,6,47,35
48,1, ,8:39,3,0,0,0,0,0,0,0,0,54,28,91,5,77,40,33,14,22,6,47,35
49,1,0,8:39,4,1,54,33,1,0,0,0,0,54,28,91,5,77,40,33,14,22,6,47,35
50,1,0,8:17,7,0,54,0,3,26,1,0,0,54,28,91,5,77,40,33,14,22,6,47,35
51,1,0,7:51,5,1,15,77,3,0,0,0,0,54,56,28,5,77,40,40,38,15,3,29,35
52,1,0,7:26,5,1,38,49,3,0,0,0,0,13,56,23,26,49,40,40,38,13,4,5,35
53,1,0,7:15,1,1,21,0,3,50,1,0,0,67,23,85,26,49,40,36,13,21,4,5,35
54,1,0,7:10,9,0,26,0,2,0,0,0,0,67,23,85,26,49,40,36,13,21,4,5,35
55,1,0,7:00,1,1,21,0,3,10,1,0,0,67,23,85,26,49,40,36,13,21,4,5,35
56,1,0,6:51,5,1,36,23,3,0,0,0,0,67,23,85,26,49,40,36,13,21,4,5,35
57,1,0,6:47,1,1,5,0,3,51,2,0,0,67,23,85,26,49,40,36,13,21,4,5,35
58,1,0,6:25,5,0,56,5,1,0,0,0,0,13,56,85,2,58,40,17,10,20,4,5,35
59,1,0,6:12,13,0,13,47,2,0,0,0,0,13,56,23,2,58,40,17,10,20,5,47,35
60,1,0,6:03,1,0,13,0,3,6,2,0,0,13,56,23,2,58,40,17,10,20,5,47,35
61,1,0,5:56,9,1,5,0,2,0,0,0,0,13,56,23,2,58,40,17,10,20,5,47,35
62,1,0,5:49,5,0,13,17,1,0,0,0,0,13,56,23,2,58,40,17,10,20,6,47,35
63,1,0,5:03,7,0,28,0,3,54,1,0,0,54,28,91,5,77,40,33,14,22,6,29,35
64,1,0,4:57,6,1,29,54,2,0,0,0,0,54,28,91,5,77,40,33,14,22,6,29,35
65,1, ,4:57,3,9,0,0,0,0,0,0,0,54,28,91,5,77,40,33,14,22,6,35,0
66,1,-1,4:57,4,1,54,17,2,0,0,0,0,54,56,23,91,77,40,17,14,3,5,35,0
67,1,-1,4:33,9,1,35,0,2,0,0,0,0,54,56,23,91,77,40,17,14,3,5,35,0
68,1,-1,4:12,13,0,91,5,2,0,0,0,0,54,56,23,91,77,40,17,14,3,5,35,0
69,1,-1,4:03,5,1,3,54,2,0,0,0,0,54,56,23,91,77,40,17,14,3,5,35,0
70,1,-1,3:31,13,0,26,4,2,0,0,0,0,14,67,28,26,58,40,36,21,4,6,35,0
71,1, ,3:31,3,1,0,0,0,0,0,0,0,14,67,28,26,58,40,40,15,4,6,35,0
72,1,1,3:31,4,0,67,40,3,0,0,0,0,14,67,28,26,58,40,40,15,4,6,35,0
73,1, ,3:14,3,0,0,0,0,0,0,0,0,14,67,28,26,58,40,40,15,4,6,35,0
74,1,1,3:14,2,0,26,0,3,57,2,28,14,14,67,28,26,58,40,40,15,4,6,35,0
75,1,0,3:14,4,1,54,33,1,0,0,0,0,54,28,91,5,77,40,33,14,22,4,5,35
76,1,0,2:46,7,0,91,0,3,26,6,0,0,54,28,91,2,5,40,33,14,22,4,5,35
77,1, ,2:45,3,0,0,0,0,0,0,0,0,54,28,91,2,5,40,33,14,22,4,5,35
78,1,0,2:45,4,0,85,17,3,0,0,0,0,14,22,85,2,49,40,17,10,20,3,29,35
79,1,0,2:37,1,0,14,0,3,11,1,0,0,14,22,85,2,49,40,17,10,20,3,29,35
80,1, ,2:34,3,1,0,0,0,0,0,0,0,14,22,85,2,49,40,17,10,20,3,29,35
81,1,0,2:34,1,0,85,0,3,9,6,0,0,14,22,85,2,58,40,36,13,21,3,29,35
82,1,0,2:34,4,1,85,21,2,0,0,0,0,14,22,85,2,58,40,36,13,21,3,29,35
83,1,0,1:47,8,1,36,0,1,0,0,0,0,13,56,23,26,49,40,36,15,21,6,29,35
84,1,0,1:45,8,0,23,0,2,0,0,0,0,13,56,23,26,49,40,36,15,21,6,29,35
85,1,0,1:27,5,1,40,49,3,0,0,0,0,13,56,23,26,49,40,40,38,15,6,29,35
86,1,0,1:11,8,0,56,0,2,0,0,0,0,13,56,23,26,49,40,40,38,15,6,47,35
87,1,0,0:45,1,0,54,0,3,40,1,0,0,54,28,91,5,77,40,33,38,22,3,47,35
88,1,0,0:10,13,1,22,54,2,0,0,0,0,54,28,91,5,77,40,33,14,22,3,29,35
89,1,0,0:03,5,1,29,5,2,0,0,0,0,14,22,85,2,5,40,33,14,22,3,29,35
90,1, ,0:00,11,0,0,0,0,0,0,0,0,14,22,85,2,5,40,33,14,22,3,29,35
91,2, ,20:00,10,0,0,0,0,0,0,0,0,14,42,85,5,77,40,33,14,22,4,5,35
92,2,0,20:00,4,1,42,33,1,0,0,0,0,14,42,85,5,77,40,33,14,22,4,5,35
93,2, ,19:48,3,6,0,0,0,0,0,0,0,14,42,85,5,77,40,33,14,22,4,5,35
94,2,0,19:48,4,1,42,33,2,0,0,0,0,14,42,85,5,77,40,33,14,22,4,5,35
95,2,0,19:35,5,1,14,14,3,0,0,0,0,14,42,85,5,77,40,33,14,22,4,5,35
96,2,0,18:54,8,1,20,0,3,0,0,0,0,54,28,91,2,58,40,17,10,20,3,29,35
97,2,0,18:41,13,1,3,2,2,0,0,0,0,54,28,91,2,58,40,17,10,20,3,29,35
98,2,0,18:36,5,1,10,2,3,0,0,0,0,54,28,91,2,58,40,17,10,20,3,29,35
99,2, ,18:36,3,6,0,0,0,0,0,0,0,54,28,91,2,58,40,36,13,21,6,47,35
100,2,0,18:36,4,1,54,21,3,0,0,0,0,54,28,91,2,58,40,36,13,21,6,47,35
101,2, ,18:13,3,10,0,0,0,0,0,0,0,54,28,91,2,58,40,36,13,21,6,47,35
102,2,0,18:13,4,1,13,40,1,0,0,0,0,13,56,23,26,49,40,40,38,15,6,47,35
103,2,0,17:53,5,1,47,26,3,0,0,0,0,13,56,23,26,49,40,40,38,15,6,47,35
104,2,0,17:39,7,0,13,0,3,13,1,0,0,13,56,23,5,49,40,40,38,15,6,47,35
105,2,0,17:30,7,0,13,0,3,21,0,0,0,13,56,23,5,77,40,40,38,15,6,47,35
106,2,0,17:21,7,0,13,0,3,11,1,0,0,13,56,23,5,77,40,40,38,15,6,47,35
107,2,0,17:19,6,1,38,13,2,0,0,0,0,13,56,23,5,77,40,40,38,15,6,47,35
108,2,-1,17:19,4,1,13,17,2,0,0,0,0,13,14,28,26,77,40,17,14,3,29,35,0
109,2,1,17:07,2,0,14,0,3,10,2,13,26,13,14,28,26,77,40,17,14,3,29,35,0
110,2,0,17:07,4,1,42,33,1,0,0,0,0,42,22,85,5,49,40,33,14,22,3,29,35
111,2,0,16:42,1,0,5,0,3,33,1,0,0,42,22,85,5,77,40,33,14,22,3,29,35
112,2,0,16:11,1,0,91,0,3,14,1,0,0,54,28,91,2,58,40,17,14,20,3,29,35
113,2,0,16:06,7,0,91,0,3,8,6,0,0,54,28,91,2,58,40,17,14,20,3,29,35
114,2,0,15:49,6,0,2,20,2,0,0,0,0,54,28,91,2,58,40,17,10,20,4,5,35
115,2,-1,15:49,4,0,13,17,2,0,0,0,0,13,85,5,77,40,0,17,33,22,5,6,35
116,2,1,15:23,13,0,85,6,2,0,0,0,0,13,85,5,77,40,0,17,33,22,5,6,35
117,2,-1,15:20,1,0,13,0,3,19,6,0,0,13,85,5,77,40,0,17,33,22,5,6,35
