# 2011/04/06 
# DET , CAR 
# 0 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,13,11,40,5,23,35,16,59,21,4,25,30
2,1,0,20:00,4,1,13,16,1,0,0,0,0,13,11,40,5,23,35,16,59,21,4,25,30
3,1,0,19:42,7,1,21,0,3,44,3,0,0,13,11,40,23,28,35,16,59,21,4,25,30
4,1,0,19:11,7,1,25,0,3,67,2,0,0,13,93,44,5,52,35,12,26,61,25,33,30
5,1,0,18:50,5,1,5,44,2,0,0,0,0,93,44,8,5,52,35,12,26,61,5,33,30
6,1,0,18:47,1,0,5,0,3,57,2,0,0,93,44,8,5,52,35,12,26,61,5,33,30
7,1, ,18:46,3,1,0,0,0,0,0,0,0,93,44,8,5,52,35,12,26,61,5,33,30
8,1,0,18:46,4,0,51,15,3,0,0,0,0,51,90,96,5,52,35,53,15,36,6,77,30
9,1, ,18:22,3,8,0,0,0,0,0,0,0,51,90,96,4,24,35,53,15,36,6,77,30
10,1,0,18:22,4,0,43,39,3,0,0,0,0,33,43,17,4,24,35,19,39,71,5,33,30
11,1,0,18:18,5,1,33,17,2,0,0,0,0,33,43,17,4,24,35,19,39,71,5,33,30
12,1,0,18:00,8,1,71,0,3,0,0,0,0,33,43,17,4,24,35,19,39,71,5,33,30
13,1,0,17:55,8,1,39,0,3,0,0,0,0,33,43,17,4,24,35,19,39,71,5,33,30
14,1,0,17:48,5,0,33,71,2,0,0,0,0,33,43,17,4,24,35,19,39,71,5,33,30
15,1,0,17:47,7,1,71,0,3,33,1,0,0,33,43,17,4,24,35,19,39,71,5,33,30
16,1,0,17:40,13,1,5,43,2,0,0,0,0,33,43,17,4,24,35,16,19,71,5,33,30
17,1, ,17:38,3,3,0,0,0,0,0,0,0,33,43,17,4,24,35,16,19,71,5,33,30
18,1,0,17:38,4,0,13,16,2,0,0,0,0,13,11,40,28,52,35,16,59,21,4,25,30
19,1,0,17:06,1,0,13,0,3,8,1,0,0,13,11,40,28,52,35,16,59,21,4,25,30
20,1,0,17:03,8,0,13,0,3,0,0,0,0,13,11,40,28,52,35,16,59,21,4,25,30
21,1,0,17:00,1,0,40,0,3,21,1,0,0,13,11,40,28,52,35,16,59,21,4,25,30
22,1,0,16:44,5,1,4,11,2,0,0,0,0,13,11,40,28,52,35,16,59,21,4,25,30
23,1,0,16:35,13,0,13,4,2,0,0,0,0,13,11,40,28,52,35,16,59,21,4,25,30
24,1,0,16:34,1,0,40,0,3,23,1,0,0,13,11,40,28,52,35,16,59,21,4,25,30
25,1,0,16:28,13,0,52,25,2,0,0,0,0,13,11,40,28,52,35,16,59,21,4,25,30
26,1,0,16:04,7,1,26,0,3,29,5,0,0,93,44,8,5,23,35,12,26,61,6,77,30
27,1,0,15:59,7,1,6,0,3,62,2,0,0,93,44,8,5,23,35,12,26,61,6,77,30
28,1, ,15:52,3,0,0,0,0,0,0,0,0,93,44,8,5,23,35,12,26,61,6,77,30
29,1,0,15:52,6,0,8,12,2,0,0,0,0,93,44,8,5,23,35,12,26,61,6,77,30
30,1,-1,15:52,4,0,33,15,2,0,0,0,0,33,43,5,23,35,0,53,15,36,4,25,30
31,1,1,15:06,9,1,4,0,3,0,0,0,0,51,11,5,52,35,0,53,15,36,4,33,30
32,1,1,14:34,1,1,33,0,3,49,2,0,0,43,17,23,24,35,0,12,26,61,33,77,30
33,1, ,14:33,3,1,0,0,0,0,0,0,0,33,43,23,24,35,0,12,26,61,33,77,30
34,1,-1,14:33,4,0,33,12,2,0,0,0,0,33,43,23,24,35,0,12,26,61,25,77,30
35,1,1,14:29,8,1,77,0,3,0,0,0,0,33,43,23,24,35,0,12,26,61,25,77,30
36,1,-1,14:25,13,1,25,23,2,0,0,0,0,33,43,23,24,35,0,12,26,61,25,77,30
37,1,1,14:15,1,1,77,0,3,50,2,0,0,33,43,23,24,35,0,12,26,61,25,77,30
38,1, ,14:14,3,1,0,0,0,0,0,0,0,33,43,23,24,35,0,12,26,61,25,77,30
39,1,1,14:14,4,1,13,12,3,0,0,0,0,13,40,23,24,35,0,12,26,61,4,25,30
40,1,0,13:09,1,0,44,0,3,42,1,0,0,93,44,8,4,28,35,16,59,21,5,33,30
41,1,0,13:00,1,1,21,0,3,29,3,0,0,93,44,8,4,28,35,15,59,21,5,33,30
42,1,0,12:48,5,1,36,28,3,0,0,0,0,13,11,40,4,28,35,53,15,36,6,77,30
43,1,0,12:16,9,1,6,0,2,0,0,0,0,13,11,40,24,52,35,53,15,26,6,77,30
44,1,0,11:31,1,1,12,0,3,29,1,0,0,93,44,8,5,23,35,12,59,61,4,25,30
45,1,0,11:28,9,0,23,0,2,0,0,0,0,93,44,8,5,23,35,12,59,61,4,25,30
46,1,0,10:45,1,1,59,0,1,81,2,0,0,90,44,8,28,52,35,16,59,21,5,33,30
47,1,0,10:34,8,0,44,0,2,0,0,0,0,90,44,8,28,52,35,16,21,36,5,33,30
48,1,0,10:26,1,0,8,0,3,8,1,0,0,90,8,96,28,52,35,16,21,36,5,33,30
49,1,0,10:06,1,0,8,0,3,35,1,0,0,90,8,96,4,24,35,53,15,36,5,77,30
50,1,0,9:37,1,0,43,0,3,33,1,0,0,33,43,17,28,52,35,12,71,61,6,77,30
51,1,0,9:32,8,0,17,0,1,0,0,0,0,33,43,17,28,52,35,12,71,61,6,77,30
52,1,0,9:27,5,1,6,17,2,0,0,0,0,33,43,17,28,52,35,12,71,61,6,77,30
53,1,0,9:19,1,0,43,0,3,30,1,0,0,33,43,17,28,52,35,12,71,61,6,77,30
54,1,0,9:08,1,1,61,0,3,55,1,0,0,43,17,40,28,52,35,12,26,61,4,6,30
55,1,0,9:00,1,1,4,0,3,64,1,0,0,43,17,40,28,52,35,12,26,61,4,25,30
56,1,0,8:59,1,1,61,0,3,10,6,0,0,43,17,40,28,52,35,12,26,61,4,25,30
57,1,0,8:58,1,1,12,0,3,9,1,0,0,43,17,40,28,52,35,12,26,61,4,25,30
58,1,0,8:37,8,0,11,0,3,0,0,0,0,13,11,40,5,23,35,16,21,26,4,25,30
59,1,0,8:32,1,0,13,0,3,16,1,0,0,13,11,40,5,23,35,16,21,26,4,25,30
60,1,0,8:23,5,1,21,11,3,0,0,0,0,13,11,40,5,23,35,39,59,21,5,33,30
61,1,0,8:17,7,0,40,0,1,70,1,0,0,13,11,40,4,23,35,39,59,21,5,33,30
62,1,0,8:16,5,1,5,40,1,0,0,0,0,13,11,40,4,23,35,39,59,21,5,33,30
63,1, ,8:14,3,0,0,0,0,0,0,0,0,13,11,40,4,23,35,39,59,21,5,33,30
64,1,0,8:14,4,1,8,15,2,0,0,0,0,93,44,8,4,24,35,53,15,36,5,33,30
65,1,0,8:02,5,1,15,24,3,0,0,0,0,93,44,8,4,24,35,53,15,36,5,33,30
66,1,0,7:58,1,0,8,0,3,26,3,0,0,93,44,8,4,24,35,53,15,36,5,33,30
67,1, ,7:57,3,1,0,0,0,0,0,0,0,93,44,8,4,24,35,53,15,36,5,33,30
68,1,0,7:57,4,1,13,12,2,0,0,0,0,13,11,40,28,52,35,12,26,61,4,25,30
69,1, ,7:42,3,0,0,0,0,0,0,0,0,13,90,11,28,52,35,12,26,61,4,25,30
70,1,0,7:42,6,1,12,28,3,0,0,0,0,13,90,11,28,52,35,12,26,61,4,25,30
71,1,-1,7:42,4,1,13,16,2,0,0,0,0,13,93,96,5,28,35,16,39,6,77,30,0
72,1, ,7:18,3,4,0,0,0,0,0,0,0,13,93,96,5,28,35,16,39,6,77,30,0
73,1,-1,7:18,4,1,13,36,1,0,0,0,0,13,93,96,5,28,35,59,36,5,33,30,0
74,1,1,6:59,1,0,28,0,3,59,2,0,0,13,93,96,5,28,35,59,36,5,33,30,0
75,1,1,6:50,1,0,93,0,3,19,1,0,0,13,93,96,5,28,35,59,36,5,33,30,0
76,1,1,6:37,7,0,96,0,3,6,5,0,0,13,93,96,5,28,35,59,36,5,33,30,0
77,1,1,6:00,1,0,4,0,3,60,1,0,0,51,90,11,44,4,35,16,39,6,77,30,0
78,1, ,5:59,3,1,0,0,0,0,0,0,0,51,90,11,44,4,35,16,39,6,77,30,0
79,1,1,5:59,4,0,11,16,3,0,0,0,0,51,90,11,44,4,35,16,39,6,77,30,0
80,1,-1,5:56,8,1,16,0,2,0,0,0,0,51,90,11,44,4,35,16,39,6,77,30,0
81,1, ,5:43,3,2,0,0,0,0,0,0,0,51,90,11,44,4,35,26,61,6,77,30,0
82,1,-1,5:43,4,1,43,61,1,0,0,0,0,33,43,17,5,23,35,26,61,4,25,30,0
83,1,0,5:27,8,0,17,0,1,0,0,0,0,33,43,17,5,23,35,12,26,61,4,25,30
84,1,0,5:23,1,0,43,0,3,34,3,0,0,33,43,17,5,23,35,12,26,61,4,25,30
85,1,0,5:15,13,0,43,61,2,0,0,0,0,33,43,17,5,23,35,12,26,61,4,25,30
86,1,0,5:09,5,0,33,25,3,0,0,0,0,33,43,17,5,23,35,12,26,61,4,25,30
87,1,0,4:59,8,1,26,0,2,0,0,0,0,33,43,17,5,23,35,12,26,61,4,25,30
88,1,0,4:55,1,1,26,0,3,18,1,0,0,33,43,17,5,23,35,12,53,26,5,33,30
89,1,0,4:34,1,1,53,0,3,36,3,0,0,13,93,96,23,28,35,53,15,36,5,33,30
90,1,0,4:30,13,1,33,23,2,0,0,0,0,13,93,96,23,28,35,53,15,36,5,33,30
91,1,0,4:17,7,1,36,0,3,8,0,0,0,13,93,96,23,28,35,53,15,36,5,33,30
92,1,0,4:15,5,1,36,28,3,0,0,0,0,13,93,96,23,28,35,53,15,36,5,33,30
93,1,0,4:02,7,1,71,0,3,58,3,0,0,13,93,96,24,52,35,19,15,71,6,77,30
94,1,0,3:56,13,1,19,24,2,0,0,0,0,13,90,96,24,52,35,19,15,71,6,77,30
95,1,0,3:43,1,1,19,0,3,44,3,0,0,13,90,17,24,52,35,19,39,71,6,77,30
96,1,0,3:37,8,1,71,0,3,0,0,0,0,13,90,17,24,52,35,19,39,71,6,77,30
97,1,0,3:27,5,0,52,71,2,0,0,0,0,13,90,17,24,52,35,19,39,71,6,77,30
98,1,0,3:25,5,1,39,24,3,0,0,0,0,13,90,17,24,52,35,19,39,71,6,77,30
99,1, ,3:21,3,0,0,0,0,0,0,0,0,13,90,17,4,28,35,19,39,71,6,77,30
100,1,0,3:21,4,1,8,12,1,0,0,0,0,11,44,8,5,23,35,12,26,61,5,33,30
101,1, ,3:03,3,2,0,0,0,0,0,0,0,11,44,8,5,23,35,12,26,61,5,33,30
102,1,0,3:03,4,0,90,15,1,0,0,0,0,51,90,93,5,23,35,53,15,36,6,77,30
103,1,0,2:52,1,0,90,0,3,11,1,0,0,51,90,93,28,52,35,53,15,36,6,77,30
104,1,0,2:47,13,0,51,6,2,0,0,0,0,51,90,93,28,52,35,53,15,36,6,77,30
105,1,0,2:46,1,0,93,0,3,9,1,0,0,51,90,93,28,52,35,53,15,36,6,77,30
106,1, ,2:45,3,1,0,0,0,0,0,0,0,51,90,93,28,52,35,53,15,36,6,77,30
107,1,0,2:45,4,0,43,12,3,0,0,0,0,33,43,17,28,52,35,12,26,61,6,77,30
108,1,0,2:37,1,0,17,0,3,6,6,0,0,33,43,17,28,52,35,12,26,61,6,77,30
109,1,0,2:31,1,1,26,0,3,12,1,0,0,33,43,17,28,52,35,12,26,61,6,77,30
110,1, ,2:30,3,0,0,0,0,0,0,0,0,33,43,17,28,52,35,12,26,61,6,77,30
111,1,0,2:30,6,0,52,26,2,0,0,0,0,33,43,17,28,52,35,12,26,61,6,77,30
112,1,1,2:30,4,1,33,61,3,0,0,0,0,33,43,23,24,35,0,12,26,61,4,25,30
113,1,1,1:40,1,1,61,0,3,10,5,0,0,51,11,23,24,35,0,12,36,61,4,25,30
114,1,-1,1:23,13,1,15,4,2,0,0,0,0,43,17,4,5,35,0,53,15,36,6,77,30
115,1, ,1:21,3,4,0,0,0,0,0,0,0,43,17,4,5,35,0,53,15,36,6,77,30
116,1,1,1:21,4,1,33,36,3,0,0,0,0,33,43,4,5,35,0,53,15,36,6,77,30
117,1,1,0:54,1,1,53,0,3,8,6,0,0,33,43,4,5,35,0,53,15,36,6,77,30
118,1, ,0:00,11,0,0,0,0,0,0,0,0,13,93,11,24,28,35,16,59,21,4,25,30
119,2, ,20:00,10,0,0,0,0,0,0,0,0,11,44,8,5,23,35,53,15,36,6,77,30
120,2,0,20:00,4,1,8,15,1,0,0,0,0,11,44,8,5,23,35,53,15,36,6,77,30
121,2,0,19:39,5,0,8,53,3,0,0,0,0,11,44,8,28,52,35,53,15,36,6,77,30
122,2,0,19:26,1,1,53,0,3,13,1,0,0,11,44,8,28,52,35,53,15,36,6,77,30
123,2,0,19:24,7,1,53,0,3,18,1,0,0,11,44,8,28,52,35,53,15,36,6,77,30
124,2,0,19:15,7,1,53,0,3,21,6,0,0,11,44,8,28,52,35,53,15,36,6,77,30
125,2, ,19:02,3,6,0,0,0,0,0,0,0,44,8,96,28,52,35,12,15,26,6,77,30
126,2,0,19:02,4,1,13,12,2,0,0,0,0,13,93,96,5,23,35,12,15,26,6,77,30
127,2,0,18:51,1,0,23,0,3,46,2,0,0,13,93,96,5,23,35,12,15,26,6,77,30
128,2, ,18:50,3,1,0,0,0,0,0,0,0,13,93,96,5,23,35,12,15,26,6,77,30
129,2,0,18:50,4,0,13,16,3,0,0,0,0,13,93,96,5,23,35,16,59,21,5,33,30
130,2,0,18:47,1,0,23,0,3,68,2,0,0,13,93,96,5,23,35,16,59,21,5,33,30
131,2,0,18:28,1,0,4,0,3,55,1,0,0,13,93,96,4,24,35,16,59,21,5,33,30
132,2, ,18:20,3,2,0,0,0,0,0,0,0,13,93,96,4,24,35,16,59,21,5,33,30
133,2,0,18:20,4,0,51,16,1,0,0,0,0,51,90,44,5,23,35,16,59,21,4,25,30
134,2,0,18:06,7,0,44,0,3,46,2,0,0,51,90,44,5,23,35,16,59,21,4,25,30
135,2, ,17:52,3,2,0,0,0,0,0,0,0,51,90,44,28,52,35,16,59,21,4,25,30
136,2,0,17:52,4,1,43,12,1,0,0,0,0,33,43,17,5,23,35,12,26,61,4,25,30
137,2,0,17:39,5,1,12,43,3,0,0,0,0,33,43,17,5,23,35,12,26,61,4,25,30
138,2,0,17:26,5,0,23,26,3,0,0,0,0,33,43,17,5,23,35,12,26,61,4,25,30
139,2, ,17:23,3,2,0,0,0,0,0,0,0,33,43,17,5,23,35,12,26,61,4,25,30
140,2,0,17:23,4,0,8,15,1,0,0,0,0,11,44,8,28,52,35,53,15,36,6,77,30
141,2,0,17:04,13,0,11,36,2,0,0,0,0,11,44,8,28,52,35,53,15,36,6,77,30
142,2, ,16:29,3,0,0,0,0,0,0,0,0,11,44,8,28,52,35,53,15,71,5,77,30
143,2,0,16:29,6,0,8,53,2,0,0,0,0,11,44,8,28,52,35,53,15,71,5,77,30
144,2,1,16:29,4,1,33,12,3,0,0,0,0,33,43,23,24,35,0,12,26,61,4,33,30
145,2,1,16:20,1,1,26,0,3,8,6,0,0,33,43,23,24,35,0,12,26,61,4,33,30
146,2,1,15:56,2,1,33,0,3,62,2,61,12,43,17,23,24,35,0,12,26,61,4,33,30
147,2,0,15:56,4,0,13,16,1,0,0,0,0,13,93,96,23,28,35,16,59,21,6,77,30
148,2,0,15:37,8,1,77,0,2,0,0,0,0,13,93,96,23,28,35,16,59,21,6,77,30
149,2,0,15:31,7,1,59,0,3,12,0,0,0,13,93,96,23,28,35,16,59,21,6,77,30
150,2,0,15:16,1,0,96,0,3,59,1,0,0,13,93,96,23,28,35,16,71,21,6,77,30
151,2,0,15:15,7,0,93,0,3,16,1,0,0,13,93,96,23,28,35,16,71,21,6,77,30
152,2,0,15:07,7,0,96,0,3,23,3,0,0,13,93,96,23,28,35,16,71,21,6,77,30
153,2, ,14:42,3,2,0,0,0,0,0,0,0,51,90,11,4,24,35,19,39,71,5,33,30
154,2,0,14:42,4,1,51,36,1,0,0,0,0,51,90,11,4,24,35,53,15,36,5,33,30
155,2,0,14:37,5,1,5,90,2,0,0,0,0,51,90,11,4,24,35,53,15,36,5,33,30
156,2,0,14:34,7,1,53,0,1,68,3,0,0,51,90,11,4,24,35,53,15,36,5,33,30
157,2,0,14:17,1,1,53,0,3,14,5,0,0,51,90,11,4,24,35,53,15,36,5,33,30
158,2, ,14:16,3,1,0,0,0,0,0,0,0,51,90,11,4,24,35,53,15,36,5,33,30
159,2,0,14:16,4,0,43,39,2,0,0,0,0,33,43,17,28,52,35,19,39,71,6,77,30
160,2,0,14:08,13,0,43,6,2,0,0,0,0,33,43,17,28,52,35,19,39,71,6,77,30
161,2,0,14:04,1,0,43,0,3,25,3,0,0,33,43,17,28,52,35,19,39,71,6,77,30
162,2, ,14:03,3,1,0,0,0,0,0,0,0,33,43,17,28,52,35,19,39,71,6,77,30
163,2,0,14:03,4,0,43,12,3,0,0,0,0,33,43,17,28,52,35,12,26,61,6,77,30
164,2, ,13:57,3,0,0,0,0,0,0,0,0,33,43,17,28,52,35,12,26,61,6,77,30
165,2,0,13:57,4,0,13,16,1,0,0,0,0,13,93,96,5,23,35,16,59,21,4,25,30
166,2,0,13:46,13,0,96,21,2,0,0,0,0,13,93,96,28,52,35,16,59,21,4,25,30
167,2, ,13:41,3,10,0,0,0,0,0,0,0,13,93,96,28,52,35,16,59,21,4,25,30
168,2,0,13:41,4,0,13,12,1,0,0,0,0,13,93,96,28,52,35,12,26,61,4,25,30
169,2,0,13:04,1,1,61,0,3,31,3,0,0,13,93,96,5,23,35,12,26,61,5,33,30
170,2,0,13:02,13,1,12,93,2,0,0,0,0,13,93,96,5,23,35,12,26,61,5,33,30
171,2, ,13:01,3,8,0,0,0,0,0,0,0,13,93,96,5,23,35,12,26,61,5,33,30
172,2,0,13:01,4,1,8,36,3,0,0,0,0,11,44,8,28,52,35,53,15,36,5,33,30
173,2,0,12:57,13,1,53,28,2,0,0,0,0,11,44,8,28,52,35,53,15,36,5,33,30
174,2,0,12:07,7,0,4,0,3,30,3,0,0,11,44,8,4,24,35,16,53,59,5,33,30
175,2,0,12:01,13,0,24,5,2,0,0,0,0,51,11,8,4,24,35,16,53,59,5,33,30
176,2,0,11:59,7,0,11,0,3,13,6,0,0,51,11,8,4,24,35,16,53,59,5,33,30
177,2,0,11:45,7,0,90,0,3,41,2,0,0,51,90,93,4,24,35,16,59,21,5,77,30
178,2, ,11:43,3,3,0,0,0,0,0,0,0,51,90,93,4,24,35,16,59,21,5,77,30
179,2,0,11:43,4,0,51,12,3,0,0,0,0,13,51,90,4,24,35,12,21,26,6,77,30
180,2,0,11:36,1,0,90,0,3,29,1,0,0,13,51,90,4,24,35,12,21,26,6,77,30
181,2,0,11:33,5,1,6,90,2,0,0,0,0,13,51,90,5,23,35,12,21,26,6,77,30
182,2,0,10:56,1,0,5,0,3,50,2,0,0,13,43,90,5,23,35,39,21,26,6,77,30
183,2, ,10:49,3,11,0,0,0,0,0,0,0,33,43,17,5,23,35,39,21,26,6,77,30
184,2,0,10:49,4,0,43,39,1,0,0,0,0,33,43,17,4,24,35,19,39,71,4,25,30
185,2,0,10:35,5,0,17,25,3,0,0,0,0,33,43,17,4,24,35,19,39,71,4,25,30
186,2,0,10:23,7,1,71,0,3,13,5,0,0,33,43,17,4,24,35,19,39,71,4,25,30
187,2,0,10:18,13,1,25,17,2,0,0,0,0,33,43,17,4,24,35,19,39,71,4,25,30
188,2,0,10:10,1,1,71,0,3,48,1,0,0,33,43,17,4,24,35,19,39,71,4,25,30
189,2, ,10:09,3,1,0,0,0,0,0,0,0,33,43,17,4,24,35,19,39,71,4,25,30
190,2,0,10:09,4,1,51,36,3,0,0,0,0,51,11,44,28,52,35,53,15,36,5,33,30
191,2,0,10:00,5,0,28,53,2,0,0,0,0,51,11,44,28,52,35,53,15,36,5,33,30
192,2,0,9:58,7,1,36,0,3,13,1,0,0,51,11,44,28,52,35,53,15,36,5,33,30
193,2, ,9:57,3,0,0,0,0,0,0,0,0,51,11,44,28,52,35,53,15,36,5,33,30
194,2,0,9:57,4,0,51,15,1,0,0,0,0,51,11,44,5,23,35,53,15,36,5,33,30
195,2,0,9:45,1,0,5,0,1,91,2,0,0,51,11,44,5,23,35,53,15,36,5,33,30
196,2, ,9:43,3,1,0,0,0,0,0,0,0,51,11,44,28,52,35,53,15,36,5,33,30
197,2,0,9:43,4,0,51,12,3,0,0,0,0,51,11,44,28,52,35,12,26,61,5,33,30
198,2,0,9:34,7,0,52,0,3,60,2,0,0,51,11,44,28,52,35,12,26,61,5,33,30
199,2, ,9:16,3,1,0,0,0,0,0,0,0,51,11,44,5,52,35,12,26,61,5,33,30
200,2,0,9:16,4,1,13,16,3,0,0,0,0,13,93,96,5,23,35,16,59,21,6,77,30
201,2,0,9:13,7,1,77,0,3,66,2,0,0,13,93,96,5,23,35,16,59,21,6,77,30
202,2,0,9:11,5,1,6,93,3,0,0,0,0,13,93,96,5,23,35,16,59,21,6,77,30
203,2, ,8:43,3,2,0,0,0,0,0,0,0,13,93,96,5,23,35,16,59,21,6,77,30
204,2,0,8:43,4,0,90,15,1,0,0,0,0,51,90,8,4,24,35,53,15,36,4,25,30
205,2, ,8:35,3,2,0,0,0,0,0,0,0,51,90,8,4,24,35,53,15,36,4,25,30
206,2,0,8:35,4,0,51,36,1,0,0,0,0,51,90,8,4,24,35,53,15,36,4,25,30
207,2, ,8:09,3,6,0,0,0,0,0,0,0,51,90,8,4,24,35,53,15,36,4,25,30
