# 2011/04/24 
# PHI , BUF 
# 5 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,18,10,21,25,41,49,20,63,21,3,17,30
2,1,0,20:00,4,0,18,20,1,0,0,0,0,18,10,21,25,41,49,20,63,21,3,17,30
3,1,0,19:45,5,0,10,3,3,0,0,0,0,18,10,21,25,41,49,20,63,21,3,17,30
4,1,0,19:43,5,0,21,63,3,0,0,0,0,18,10,21,25,41,49,20,63,21,3,17,30
5,1,0,19:40,1,1,21,0,3,41,1,0,0,18,10,21,25,41,49,20,63,21,3,17,30
6,1,0,19:33,5,1,63,21,3,0,0,0,0,18,10,21,25,41,49,20,63,21,3,17,30
7,1,0,19:05,5,1,28,19,3,0,0,0,0,48,19,22,5,44,49,28,42,36,34,57,30
8,1,0,18:45,7,1,57,0,3,61,1,0,0,48,19,22,5,44,49,28,42,36,34,57,30
9,1,0,18:41,5,1,28,19,3,0,0,0,0,48,19,22,5,44,49,28,42,36,34,57,30
10,1,0,18:39,6,1,28,19,3,0,0,0,0,48,19,22,5,44,49,28,42,36,34,57,30
11,1,0,18:39,6,0,19,28,2,0,0,0,0,48,19,22,5,44,49,42,36,34,57,30,0
12,1,0,18:39,4,1,28,19,3,0,0,0,0,28,21,5,44,49,0,19,26,3,17,30,0
13,1,0,18:29,1,0,21,0,3,66,0,0,0,28,21,5,44,49,0,19,26,3,17,30,0
14,1, ,18:28,3,1,0,0,0,0,0,0,0,28,21,5,44,49,0,19,26,3,17,30,0
15,1,0,18:28,4,0,28,19,3,0,0,0,0,28,21,5,44,49,0,19,26,3,17,30,0
16,1,0,18:18,13,0,21,3,2,0,0,0,0,28,21,5,44,49,0,19,26,3,17,30,0
17,1,0,18:10,1,0,5,0,3,28,3,0,0,28,21,5,44,49,0,19,26,3,34,30,0
18,1,0,17:59,1,0,21,0,3,71,0,0,0,18,21,25,41,49,0,20,63,34,57,30,0
19,1,0,17:47,2,1,20,0,3,30,1,63,57,18,21,25,41,49,0,20,63,34,57,30,0
20,1,0,17:47,4,1,18,20,1,0,0,0,0,18,10,25,41,49,0,20,63,3,17,30,0
21,1,0,17:39,9,1,3,0,2,0,0,0,0,18,10,25,41,49,0,20,63,3,17,30,0
22,1,0,17:35,1,0,10,0,3,16,1,0,0,18,10,25,41,49,0,20,63,3,17,30,0
23,1,0,17:24,13,1,3,25,2,0,0,0,0,18,10,25,41,49,0,20,63,3,17,30,0
24,1, ,17:23,3,4,0,0,0,0,0,0,0,18,10,25,41,49,0,20,63,3,17,30,0
25,1,0,17:23,4,1,28,21,3,0,0,0,0,28,21,5,44,49,0,42,21,34,57,30,0
26,1, ,17:19,3,1,0,0,0,0,0,0,0,28,21,5,44,49,0,42,21,34,57,30,0
27,1,0,17:19,4,0,28,21,2,0,0,0,0,28,21,5,44,49,0,42,21,34,57,30,0
28,1,0,17:05,9,0,44,0,2,0,0,0,0,28,21,5,44,49,0,42,21,34,57,30,0
29,1,0,16:59,13,0,21,34,2,0,0,0,0,28,21,5,44,49,0,42,21,34,57,30,0
30,1,0,16:53,1,0,5,0,3,12,5,0,0,28,21,5,44,49,0,42,21,34,57,30,0
31,1, ,16:52,3,1,0,0,0,0,0,0,0,28,21,5,44,49,0,42,21,34,57,30,0
32,1,0,16:52,4,0,48,19,3,0,0,0,0,48,22,6,41,49,0,19,22,4,6,30,0
33,1,0,16:41,8,1,19,0,2,0,0,0,0,48,22,25,41,49,0,19,22,4,6,30,0
34,1,0,16:40,1,0,41,0,3,59,2,0,0,48,22,25,41,49,0,19,22,4,6,30,0
35,1,0,16:18,5,1,6,22,2,0,0,0,0,48,19,22,25,41,49,19,22,26,4,6,30
36,1, ,16:05,3,0,0,0,0,0,0,0,0,48,19,22,6,41,49,19,22,26,4,6,30
37,1,0,16:05,4,1,11,37,3,0,0,0,0,11,36,13,5,6,49,8,25,37,34,57,30
38,1,0,15:49,5,1,8,13,3,0,0,0,0,11,36,13,5,6,49,8,25,37,34,57,30
39,1,0,15:49,7,1,25,0,3,18,5,0,0,11,36,13,5,6,49,8,25,37,34,57,30
40,1,0,15:33,5,0,13,34,2,0,0,0,0,11,36,13,6,26,49,8,25,37,6,34,30
41,1,0,15:20,9,1,8,0,2,0,0,0,0,11,36,13,5,41,49,8,21,37,4,6,30
42,1,0,15:17,7,0,5,0,3,65,2,0,0,11,36,13,5,41,49,8,21,37,4,6,30
43,1,0,14:32,8,1,17,0,2,0,0,0,0,28,93,21,25,26,49,20,63,22,3,17,30
44,1,0,14:11,13,0,48,22,2,0,0,0,0,18,48,10,5,44,49,19,22,26,3,17,30
45,1,0,14:05,5,0,5,22,1,0,0,0,0,18,48,10,5,44,49,19,22,26,3,17,30
46,1,0,13:37,7,0,93,0,3,41,1,0,0,28,93,21,5,6,49,28,42,36,34,57,30
47,1,0,13:20,5,1,36,93,3,0,0,0,0,28,93,21,5,6,49,28,42,36,4,6,30
48,1,0,13:10,9,0,28,0,2,0,0,0,0,28,93,21,5,6,49,28,42,36,4,6,30
49,1,0,13:05,5,0,28,28,2,0,0,0,0,28,93,21,5,6,49,28,42,36,4,6,30
50,1,0,12:58,13,1,42,28,2,0,0,0,0,28,93,21,5,6,49,28,42,36,4,6,30
51,1,0,12:37,1,0,22,0,3,49,1,0,0,48,19,22,25,26,49,8,25,37,34,57,30
52,1, ,12:30,3,0,0,0,0,0,0,0,0,48,19,22,25,26,49,8,25,37,34,57,30
53,1,0,12:30,4,0,11,37,1,0,0,0,0,11,36,13,25,41,49,8,25,37,4,6,30
54,1, ,12:23,3,10,0,0,0,0,0,0,0,11,36,13,25,41,49,8,25,37,4,6,30
55,1,0,12:23,4,0,11,8,1,0,0,0,0,11,36,13,6,41,49,8,25,37,4,6,30
56,1,0,12:13,5,1,6,36,2,0,0,0,0,11,36,13,6,41,49,8,25,37,4,6,30
57,1,0,12:10,6,0,13,8,3,0,0,0,0,11,36,13,6,41,49,8,25,37,4,6,30
58,1,-1,12:10,4,0,11,19,2,0,0,0,0,11,36,5,44,49,0,19,21,26,17,57,30
59,1,1,11:50,1,1,21,0,3,12,5,0,0,11,36,5,44,49,0,19,21,26,17,57,30
60,1,1,11:30,5,1,26,6,3,0,0,0,0,18,10,6,41,49,0,19,21,26,17,57,30
61,1,1,11:19,2,1,26,0,3,13,5,57,17,18,10,6,41,49,0,19,21,26,17,57,30
62,1,0,11:19,4,0,28,20,1,0,0,0,0,28,93,21,25,26,49,8,20,63,3,17,30
63,1,0,10:52,13,0,93,6,2,0,0,0,0,28,93,21,25,26,49,8,20,63,3,6,30
64,1,0,10:48,1,0,93,0,3,25,1,0,0,28,93,21,25,26,49,8,20,63,3,6,30
65,1,0,10:45,1,0,93,0,3,16,3,0,0,28,93,21,25,26,49,8,20,63,3,6,30
66,1,0,10:41,1,0,26,0,3,43,1,0,0,28,93,21,25,26,49,8,20,63,3,6,30
67,1,0,10:05,13,1,34,41,2,0,0,0,0,48,19,22,6,41,49,28,42,36,34,57,30
68,1, ,9:55,3,9,0,0,0,0,0,0,0,48,19,22,6,41,49,28,42,36,34,57,30
69,1,0,9:55,6,1,42,48,3,0,0,0,0,48,19,22,6,41,49,28,42,36,34,57,30
70,1,-1,9:55,4,1,28,28,2,0,0,0,0,48,28,21,20,41,49,28,25,34,57,30,0
71,1, ,9:42,3,10,0,0,0,0,0,0,0,48,28,21,20,41,49,28,25,34,57,30,0
72,1,-1,9:42,4,1,28,28,2,0,0,0,0,48,28,21,20,41,49,28,25,34,57,30,0
73,1,1,9:33,5,0,21,25,3,0,0,0,0,48,28,21,20,41,49,28,25,34,57,30,0
74,1,-1,9:15,5,1,6,21,2,0,0,0,0,48,28,21,20,41,49,19,21,4,6,30,0
75,1,1,9:10,5,0,48,4,3,0,0,0,0,48,28,21,20,41,49,19,21,4,6,30,0
76,1, ,7:48,3,11,0,0,0,0,0,0,0,28,93,21,5,25,49,42,36,37,3,17,30
77,1,0,7:48,4,0,11,21,1,0,0,0,0,11,36,13,5,25,49,20,63,21,3,17,30
78,1,0,7:43,1,0,13,0,3,52,2,0,0,11,36,13,5,25,49,20,63,21,3,17,30
79,1,0,7:32,5,0,5,63,2,0,0,0,0,11,36,13,5,25,49,20,63,21,3,17,30
80,1,0,7:16,1,0,25,0,3,54,2,0,0,48,13,22,25,41,49,19,21,26,3,6,30
81,1, ,7:15,3,1,0,0,0,0,0,0,0,48,13,22,25,41,49,19,21,26,3,6,30
82,1,0,7:15,4,1,22,28,2,0,0,0,0,48,19,22,41,44,49,28,42,36,34,57,30
83,1,0,6:52,8,1,34,0,2,0,0,0,0,48,19,22,41,44,49,28,42,36,34,57,30
84,1,0,6:40,7,0,19,0,3,44,5,0,0,48,19,22,41,44,49,28,42,36,34,57,30
85,1, ,6:39,3,0,0,0,0,0,0,0,0,48,19,22,41,44,49,28,42,36,34,57,30
86,1,0,6:39,4,1,18,37,2,0,0,0,0,18,10,28,5,25,49,8,25,37,3,17,30
87,1,0,6:31,5,1,3,10,2,0,0,0,0,18,10,28,5,25,49,8,25,37,3,17,30
88,1,0,6:23,7,0,10,0,3,17,5,0,0,18,10,28,5,25,49,8,25,37,3,17,30
89,1,0,6:15,5,0,18,37,3,0,0,0,0,18,10,28,5,25,49,8,25,37,3,17,30
90,1,0,6:11,5,1,8,5,2,0,0,0,0,18,10,28,5,25,49,8,25,37,3,17,30
91,1,0,5:50,7,0,18,0,3,51,2,0,0,18,10,28,25,41,49,20,63,25,4,6,30
92,1,0,5:36,1,1,4,0,3,36,3,0,0,48,19,22,41,44,49,20,63,21,4,6,30
93,1,0,5:30,7,1,4,0,3,30,6,0,0,48,19,22,41,44,49,20,63,21,4,6,30
94,1,0,5:15,7,0,41,0,3,57,2,0,0,48,19,22,41,44,49,20,63,21,4,6,30
95,1,0,5:09,1,0,19,0,3,32,1,0,0,48,19,22,41,44,49,20,63,21,4,6,30
96,1,0,5:07,2,0,48,0,3,14,1,19,22,48,19,22,41,44,49,20,63,21,4,6,30
97,1,0,5:07,4,0,28,19,1,0,0,0,0,28,93,21,5,25,49,19,22,26,3,17,30
98,1,0,4:57,13,1,19,25,2,0,0,0,0,28,93,21,5,25,49,19,22,26,3,17,30
99,1, ,4:44,3,0,0,0,0,0,0,0,0,28,93,21,5,25,49,19,22,26,3,17,30
100,1,0,4:44,4,1,28,19,2,0,0,0,0,28,93,21,5,44,49,19,22,26,3,17,30
101,1,0,4:34,1,0,21,0,3,26,0,0,0,28,93,21,5,44,49,19,22,26,3,17,30
102,1,0,4:21,9,1,17,0,3,0,0,0,0,28,93,21,5,44,49,19,22,26,3,17,30
103,1,0,3:47,6,1,19,28,2,0,0,0,0,18,48,10,19,41,44,28,42,36,4,6,30
104,1,-1,3:47,4,1,28,28,2,0,0,0,0,28,19,21,20,41,49,28,25,34,57,30,0
105,1,1,3:28,5,0,28,28,2,0,0,0,0,28,19,21,20,41,49,28,25,34,57,30,0
106,1,1,3:12,13,1,21,41,2,0,0,0,0,28,19,21,20,41,49,21,25,6,57,30,0
107,1,1,2:44,7,0,19,0,3,17,5,0,0,18,93,19,22,44,49,21,37,4,6,30,0
108,1,1,2:34,7,0,19,0,3,56,2,0,0,18,93,19,22,44,49,21,37,4,6,30,0
109,1,1,2:28,1,0,44,0,3,55,2,0,0,18,93,19,22,44,49,21,37,4,6,30,0
110,1, ,2:26,3,1,0,0,0,0,0,0,0,18,93,19,22,44,49,21,37,4,6,30,0
111,1,-1,2:26,4,1,18,28,2,0,0,0,0,18,48,28,20,44,49,28,36,34,57,30,0
112,1, ,2:22,3,3,0,0,0,0,0,0,0,18,48,28,20,44,49,28,36,34,57,30,0
113,1,-1,2:22,6,1,34,0,2,0,0,0,0,18,48,28,20,44,49,28,36,34,57,30,0
114,1,1,2:22,4,0,18,28,3,0,0,0,0,18,48,28,20,44,49,28,6,57,30,0,0
115,1,1,2:08,7,0,20,0,3,15,5,0,0,18,48,28,20,44,49,28,6,57,30,0,0
116,1,1,2:01,1,0,44,0,3,57,2,0,0,18,48,28,20,44,49,28,6,57,30,0,0
117,1,1,1:58,6,0,20,57,0,0,0,0,0,18,48,28,20,44,49,28,6,57,30,0,0
118,1,-1,1:58,4,1,28,28,3,0,0,0,0,48,28,21,44,49,0,28,6,57,30,0,0
119,1,-1,1:57,1,1,28,0,3,29,1,0,0,48,28,21,44,49,0,28,6,57,30,0,0
120,1, ,1:56,3,1,0,0,0,0,0,0,0,48,28,21,44,49,0,28,6,57,30,0,0
121,1,-1,1:56,4,1,28,28,3,0,0,0,0,28,21,41,44,49,0,28,3,17,30,0,0
122,1,0,1:46,6,0,41,17,3,0,0,0,0,28,21,41,44,49,0,19,28,3,17,30,0
123,1,1,1:46,4,1,11,21,3,0,0,0,0,11,5,44,49,0,0,21,26,17,57,30,0
124,1,1,1:11,7,1,21,0,3,15,1,0,0,11,5,44,49,0,0,21,26,17,57,30,0
125,1,1,0:55,9,1,57,0,3,0,0,0,0,11,5,44,49,0,0,21,26,17,57,30,0
126,1,1,0:33,2,1,26,0,1,90,1,57,17,18,6,25,49,0,0,21,26,17,57,30,0
127,1,0,0:33,4,1,11,28,1,0,0,0,0,11,36,25,26,49,0,28,42,3,4,30,0
128,1,1,0:06,1,1,42,0,3,65,1,0,0,11,36,5,25,49,0,28,42,22,3,4,30
129,1, ,0:00,11,0,0,0,0,0,0,0,0,11,36,5,25,49,0,28,42,22,3,4,30
130,2, ,20:00,10,0,0,0,0,0,0,0,0,18,10,5,44,33,0,20,63,21,3,17,30
131,2,-1,20:00,4,0,18,20,1,0,0,0,0,18,10,5,44,33,0,20,63,21,3,17,30
132,2,0,19:25,1,1,63,0,3,13,6,0,0,28,93,21,25,41,33,20,63,21,4,6,30
133,2,0,19:17,1,0,28,0,3,44,1,0,0,28,93,21,25,41,33,20,21,26,4,6,30
134,2, ,19:16,3,1,0,0,0,0,0,0,0,28,93,21,25,41,33,20,21,26,4,6,30
135,2,0,19:16,4,0,28,19,3,0,0,0,0,28,93,21,6,26,33,19,22,26,4,6,30
136,2,0,19:11,2,0,21,0,3,31,0,28,0,28,93,21,6,26,33,19,22,26,4,6,30
137,2,0,19:11,4,1,28,19,1,0,0,0,0,28,93,21,25,41,33,19,22,26,4,6,30
138,2, ,19:08,3,2,0,0,0,0,0,0,0,28,93,21,25,41,33,19,22,26,4,6,30
139,2,0,19:08,4,1,28,19,1,0,0,0,0,28,93,21,25,41,33,19,22,26,4,6,30
140,2,0,18:05,13,1,42,26,2,0,0,0,0,48,19,22,6,26,33,28,42,36,34,57,30
141,2,0,18:00,1,1,57,0,3,63,1,0,0,48,19,22,6,26,33,28,42,36,34,57,30
142,2,0,17:59,5,1,36,22,2,0,0,0,0,48,19,22,6,26,33,28,42,36,34,57,30
143,2,0,17:55,5,0,6,28,3,0,0,0,0,48,19,22,6,26,33,28,42,36,34,57,30
144,2,0,17:53,1,1,42,0,3,16,1,0,0,48,19,22,6,26,33,28,42,36,34,57,30
145,2,0,17:50,1,1,28,0,3,13,6,0,0,48,19,22,6,26,33,28,42,36,34,57,30
146,2, ,17:49,3,1,0,0,0,0,0,0,0,48,19,22,6,26,33,28,42,36,34,57,30
147,2,0,17:49,4,1,18,37,3,0,0,0,0,18,10,13,5,44,33,8,25,37,3,17,30
148,2,0,17:28,1,0,5,0,3,57,1,0,0,18,10,13,5,44,33,8,25,37,3,17,30
149,2, ,17:27,3,1,0,0,0,0,0,0,0,18,10,13,5,44,33,8,25,37,3,17,30
150,2,0,17:27,4,1,28,21,2,0,0,0,0,18,10,28,25,41,33,20,63,21,3,17,30
151,2,0,16:51,9,1,20,0,3,0,0,0,0,18,10,28,25,41,33,20,63,21,3,17,30
152,2,0,16:43,13,0,10,20,2,0,0,0,0,18,10,28,25,41,33,20,63,21,3,17,30
153,2,0,16:24,1,0,18,0,3,20,5,0,0,18,10,28,25,41,33,20,63,21,3,17,30
154,2,0,16:22,1,0,18,0,3,17,1,0,0,18,10,28,25,41,33,20,63,21,3,17,30
155,2, ,16:19,3,0,0,0,0,0,0,0,0,18,10,28,25,41,33,20,63,21,3,17,30
156,2,0,16:19,4,1,22,21,2,0,0,0,0,48,19,22,5,44,33,20,63,21,3,17,30
157,2,0,16:05,9,0,19,0,2,0,0,0,0,48,19,22,5,44,33,20,63,21,3,17,30
158,2,0,15:09,13,0,48,6,2,0,0,0,0,48,19,22,6,41,33,28,42,36,4,6,30
159,2, ,14:53,3,6,0,0,0,0,0,0,0,11,36,13,5,44,33,28,42,22,4,6,30
160,2,0,14:53,4,1,28,28,2,0,0,0,0,28,93,21,5,44,33,28,42,22,4,6,30
161,2, ,14:34,3,2,0,0,0,0,0,0,0,28,93,21,5,25,33,19,22,26,3,17,30
162,2,0,14:34,4,0,28,19,1,0,0,0,0,28,93,21,25,41,33,19,22,26,3,17,30
163,2,0,14:26,1,0,21,0,3,57,0,0,0,28,93,21,25,41,33,19,22,26,3,17,30
164,2,0,14:06,13,1,26,41,2,0,0,0,0,28,93,21,25,41,33,19,22,26,3,17,30
165,2,0,14:02,1,1,22,0,3,17,1,0,0,28,93,21,25,41,33,19,22,26,3,17,30
166,2,0,13:57,1,1,22,0,3,10,6,0,0,28,93,21,25,41,33,19,22,26,3,17,30
167,2,0,13:41,13,1,63,6,2,0,0,0,0,11,36,13,6,26,33,20,63,21,4,6,30
168,2,0,13:38,5,0,6,63,3,0,0,0,0,11,36,13,6,26,33,20,63,21,4,6,30
169,2,0,13:15,1,1,21,0,3,40,1,0,0,11,36,13,6,26,33,20,63,21,4,34,30
170,2, ,13:14,3,0,0,0,0,0,0,0,0,11,36,13,6,26,33,20,63,21,4,34,30
171,2,0,13:14,4,0,18,37,2,0,0,0,0,18,10,21,25,41,33,8,25,37,3,17,30
172,2,0,12:32,9,0,25,0,2,0,0,0,0,18,10,21,5,25,33,8,25,37,3,17,30
173,2,0,12:14,1,0,21,0,3,9,0,0,0,18,10,21,5,44,33,8,28,25,3,17,30
174,2, ,12:12,3,1,0,0,0,0,0,0,0,18,10,21,5,44,33,8,28,25,3,17,30
175,2,0,12:12,6,1,3,21,3,0,0,0,0,18,10,21,5,44,33,8,28,25,3,17,30
176,2,1,12:12,4,0,48,19,3,0,0,0,0,48,28,21,20,41,33,19,21,34,57,30,0
177,2,1,12:02,1,0,20,0,3,61,2,0,0,48,28,21,20,41,33,19,21,34,57,30,0
178,2,1,11:57,1,0,48,0,3,18,6,0,0,48,28,21,20,41,33,19,21,34,57,30,0
179,2,1,11:17,2,0,48,0,3,41,2,41,28,48,28,21,20,41,33,19,21,34,57,30,0
180,2,0,11:17,4,1,18,21,1,0,0,0,0,18,10,13,5,25,33,20,63,21,4,6,30
181,2,0,11:04,5,0,13,4,1,0,0,0,0,18,10,13,5,25,33,20,63,21,4,6,30
182,2,0,11:01,1,0,10,0,3,14,6,0,0,18,10,13,5,25,33,20,63,21,4,6,30
183,2,0,10:51,7,0,18,0,3,28,1,0,0,18,10,13,5,25,33,20,63,21,4,6,30
184,2,0,10:04,7,1,22,0,3,34,1,0,0,28,93,21,41,44,33,19,22,26,3,17,30
185,2,0,9:57,7,1,26,0,3,12,1,0,0,28,93,21,41,44,33,19,22,26,3,17,30
186,2,0,9:52,13,1,3,28,2,0,0,0,0,28,93,21,41,44,33,19,22,26,3,17,30
187,2,0,9:32,7,0,21,0,3,36,0,0,0,28,93,21,5,25,33,19,22,26,3,17,30
188,2, ,9:09,3,6,0,0,0,0,0,0,0,48,19,22,5,25,33,28,42,36,34,57,30
189,2,0,9:09,4,1,48,36,3,0,0,0,0,48,19,22,5,25,33,28,42,36,34,57,30
190,2,0,8:40,9,0,19,0,2,0,0,0,0,48,19,22,6,41,33,28,42,36,34,57,30
191,2, ,8:36,3,0,0,0,0,0,0,0,0,48,19,22,6,41,33,28,42,36,34,57,30
192,2,0,8:36,4,0,18,21,1,0,0,0,0,18,10,21,25,41,33,20,63,21,34,57,30
193,2,0,8:26,1,0,10,0,3,48,3,0,0,18,10,21,25,41,33,20,63,21,34,57,30
194,2, ,8:25,3,1,0,0,0,0,0,0,0,18,10,21,25,41,33,20,63,21,34,57,30
195,2,0,8:25,4,0,18,20,3,0,0,0,0,18,10,21,25,41,33,20,63,21,3,17,30
196,2,0,8:10,1,1,63,0,3,16,1,0,0,18,10,21,25,41,33,20,63,21,3,17,30
197,2,0,8:08,4,0,11,19,2,0,0,0,0,11,36,13,5,44,33,19,22,26,4,6,30
198,2,0,7:57,1,1,19,0,3,41,1,0,0,11,36,13,5,44,33,19,22,26,4,6,30
199,2,0,7:36,5,0,5,19,3,0,0,0,0,11,36,13,5,44,33,19,36,26,4,6,30
200,2,0,7:30,5,1,36,11,2,0,0,0,0,11,36,13,5,44,33,19,42,36,4,6,30
201,2,0,7:28,1,0,13,0,3,23,1,0,0,11,36,13,5,25,33,19,42,36,4,6,30
202,2, ,7:27,3,1,0,0,0,0,0,0,0,11,36,13,5,25,33,19,42,36,4,6,30
203,2,0,7:27,4,0,28,28,3,0,0,0,0,28,93,21,25,41,33,28,42,36,3,17,30
204,2,0,7:21,9,0,33,0,3,0,0,0,0,28,93,21,25,41,33,28,42,36,3,17,30
205,2,0,7:17,1,1,28,0,3,64,1,0,0,28,93,21,25,41,33,28,42,36,3,17,30
206,2,0,7:13,13,1,28,41,2,0,0,0,0,28,93,21,25,41,33,28,42,36,3,17,30
207,2, ,7:12,3,4,0,0,0,0,0,0,0,28,93,21,25,41,33,28,42,36,3,17,30
208,2,0,7:12,4,1,28,28,3,0,0,0,0,18,10,28,25,41,33,28,42,36,3,17,30
209,2,0,7:09,1,1,3,0,3,58,2,0,0,18,10,28,25,41,33,28,42,36,3,17,30
210,2,0,6:54,6,0,10,36,3,0,0,0,0,18,10,28,25,41,33,28,42,36,3,17,30
