# 2011/10/08 
# PHI , N.J 
# 3 , 0 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,28,68,21,5,44,30,15,9,26,5,7,30
2,1,0,20:00,4,0,28,26,1,0,0,0,0,28,68,21,5,44,30,15,9,26,5,7,30
3,1,0,19:33,6,1,15,44,1,0,0,0,0,28,68,21,5,44,30,15,9,26,5,7,30
4,1,1,19:33,4,0,93,8,3,0,0,0,0,48,93,21,25,44,30,8,16,24,28,30,0
5,1,1,19:18,7,0,48,0,3,43,1,0,0,48,93,21,25,44,30,8,16,24,28,30,0
6,1,1,18:50,1,0,44,0,3,61,2,0,0,48,93,21,25,44,30,8,16,24,28,30,0
7,1,-1,18:31,13,0,25,24,2,0,0,0,0,48,93,21,25,44,30,8,16,24,28,30,0
8,1,1,18:27,1,0,93,0,3,13,4,0,0,48,93,21,25,44,30,8,16,24,28,30,0
9,1,1,18:05,7,0,25,0,3,34,3,0,0,48,93,21,25,44,30,8,16,24,28,30,0
10,1,-1,17:39,5,1,29,68,2,0,0,0,0,17,28,68,20,41,30,9,26,6,29,30,0
11,1,0,17:24,1,1,9,0,3,37,3,0,0,17,28,68,20,41,30,15,9,26,6,29,30
12,1,0,17:17,1,0,17,0,3,30,3,0,0,17,28,68,20,41,30,15,9,26,6,29,30
13,1,0,17:09,1,0,68,0,3,16,5,0,0,17,28,68,5,6,30,15,9,26,6,29,30
14,1, ,17:09,3,1,0,0,0,0,0,0,0,17,28,68,5,6,30,11,17,21,5,7,30
15,1,0,17:09,4,1,27,11,2,0,0,0,0,27,28,20,44,30,,11,17,21,5,7,30
16,1, ,16:57,3,2,0,0,0,0,0,0,0,27,28,20,44,30,,11,17,21,5,7,30
17,1,0,16:57,4,1,27,11,1,0,0,0,0,27,28,20,44,30,,11,17,21,24,28,30
18,1,0,16:38,5,1,28,27,1,0,0,0,0,27,28,20,44,30,,11,17,21,24,28,30
19,1,0,16:36,5,1,21,15,3,0,0,0,0,27,36,15,5,25,30,11,17,21,24,28,30
20,1,0,16:33,1,1,17,0,3,58,2,0,0,27,36,15,5,25,30,11,17,21,24,28,30
21,1,0,15:53,1,0,20,0,3,55,3,0,0,14,24,19,20,25,30,14,16,23,7,29,30
22,1,0,15:52,5,1,23,25,1,0,0,0,0,14,24,19,20,25,30,14,16,23,7,29,30
23,1, ,15:47,3,6,0,0,0,0,0,0,0,14,24,19,20,25,30,14,16,23,7,29,30
24,1,0,15:47,4,1,28,23,2,0,0,0,0,28,68,21,5,44,30,14,16,23,7,29,30
25,1, ,15:43,3,2,0,0,0,0,0,0,0,28,68,21,5,44,30,14,16,23,7,29,30
26,1,0,15:43,4,1,28,26,1,0,0,0,0,28,68,21,5,44,30,15,9,26,7,29,30
27,1, ,15:13,3,2,0,0,0,0,0,0,0,28,68,21,5,44,30,15,9,26,7,29,30
28,1,0,15:13,4,0,48,8,1,0,0,0,0,48,17,93,6,41,30,8,12,17,5,6,30
29,1,0,15:02,8,0,6,0,2,0,0,0,0,48,17,93,6,41,30,8,12,17,5,6,30
30,1,0,14:49,1,0,41,0,3,62,2,0,0,48,17,93,6,41,30,8,12,17,5,6,30
31,1,0,14:46,1,0,48,0,3,9,1,0,0,48,17,93,6,41,30,8,12,17,5,6,30
32,1,0,14:38,1,0,41,0,3,69,1,0,0,48,17,93,6,41,30,8,12,17,5,6,30
33,1,0,13:54,13,0,25,28,2,0,0,0,0,27,36,15,20,25,30,11,21,22,24,28,30
34,1,0,13:45,1,0,20,0,3,71,1,0,0,27,36,15,20,25,30,11,21,22,24,28,30
35,1,0,13:33,5,0,36,22,3,0,0,0,0,27,36,15,20,25,30,11,21,22,24,28,30
36,1,0,13:23,1,1,11,0,1,84,2,0,0,27,36,15,20,25,30,11,21,22,24,28,30
37,1,0,13:21,6,0,36,22,3,0,0,0,0,27,36,15,20,25,30,11,21,22,24,28,30
38,1, ,13:21,3,9,0,0,0,0,0,0,0,14,27,20,44,30,0,11,21,22,24,28,30
39,1,-1,13:21,4,0,27,26,2,0,0,0,0,14,27,20,44,30,0,23,9,17,26,5,30
40,1,-1,12:55,5,0,44,26,2,0,0,0,0,14,27,20,44,30,0,23,9,17,26,5,30
41,1,-1,12:44,13,1,5,20,2,0,0,0,0,14,27,20,44,30,0,23,9,17,26,5,30
42,1,1,12:26,1,1,9,0,3,15,0,0,0,14,27,20,44,30,0,23,9,17,26,5,30
43,1,1,12:20,7,1,26,0,3,22,3,0,0,14,27,20,44,30,0,23,9,17,26,5,30
44,1,-1,12:12,13,1,26,14,2,0,0,0,0,14,27,20,44,30,0,23,9,17,26,5,30
45,1,0,11:08,5,1,7,36,2,0,0,0,0,36,17,28,5,25,30,8,12,15,7,29,30
46,1,0,10:46,1,0,25,0,3,44,3,0,0,48,93,21,6,25,30,16,15,21,24,28,30
47,1,0,10:40,8,1,16,0,2,0,0,0,0,48,93,21,6,25,30,14,16,21,24,28,30
48,1,0,10:35,13,0,48,24,2,0,0,0,0,48,93,21,6,25,30,14,16,21,24,28,30
