# 2011/10/13 
# L.A , N.J 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,10,25,23,8,33,32,16,12,17,7,29,30
2,1,0,20:00,4,1,10,16,1,0,0,0,0,10,25,23,8,33,32,16,12,17,7,29,30
3,1,0,19:45,7,1,29,0,3,61,1,0,0,10,25,23,8,33,32,16,12,17,7,29,30
4,1,0,19:01,1,0,3,0,3,45,1,0,0,11,14,12,3,7,32,15,9,26,5,6,30
5,1, ,19:00,3,1,0,0,0,0,0,0,0,11,14,12,3,7,32,15,9,26,5,6,30
6,1,0,19:00,4,0,11,26,3,0,0,0,0,11,14,12,3,7,32,15,9,26,5,6,30
7,1,0,18:52,9,0,12,0,3,0,0,0,0,11,14,12,3,7,32,15,9,26,5,6,30
8,1,0,18:41,7,1,9,0,3,25,3,0,0,11,14,12,3,7,32,15,9,26,5,6,30
9,1,0,18:29,8,1,5,0,1,0,0,0,0,11,14,12,3,7,32,15,9,26,5,6,30
10,1,0,18:26,1,1,9,0,3,30,3,0,0,11,14,12,3,7,32,15,9,26,5,6,30
11,1,0,18:13,2,0,12,0,3,10,6,14,11,11,14,12,2,27,32,8,23,21,5,6,30
12,1,0,18:13,4,0,28,8,1,0,0,0,0,28,15,47,2,27,32,8,23,21,24,28,30
13,1,0,17:56,5,0,47,8,3,0,0,0,0,28,15,47,2,27,32,8,23,21,24,28,30
14,1,0,17:35,1,1,28,0,3,51,2,0,0,28,15,17,2,27,32,8,23,21,24,28,30
15,1, ,17:34,3,1,0,0,0,0,0,0,0,22,13,17,3,7,32,8,23,21,24,28,30
16,1,0,17:34,4,0,22,11,2,0,0,0,0,22,13,17,3,7,32,10,11,25,7,29,30
17,1,0,17:13,6,1,25,17,1,0,0,0,0,10,11,23,3,8,32,10,11,25,7,29,30
18,1,1,17:13,4,0,10,26,3,0,0,0,0,10,11,23,3,8,32,9,26,24,28,30,0
19,1,-1,17:08,13,0,23,28,2,0,0,0,0,10,11,23,3,8,32,9,26,24,28,30,0
20,1,-1,15:56,8,1,16,0,2,0,0,0,0,28,14,12,2,27,32,8,16,6,7,30,0
21,1,-1,15:14,5,1,28,12,2,0,0,0,0,28,14,12,2,27,32,11,17,24,28,30,0
22,1,0,15:03,5,0,25,25,3,0,0,0,0,14,25,12,2,27,32,11,25,17,24,28,30
23,1,0,14:25,8,1,6,0,1,0,0,0,0,22,13,17,2,7,32,8,23,21,5,6,30
24,1, ,13:55,3,0,0,0,0,0,0,0,0,11,14,12,8,33,32,15,9,26,7,29,30
25,1,0,13:55,4,0,11,26,1,0,0,0,0,11,14,12,8,33,32,15,9,26,7,29,30
26,1, ,13:47,3,3,0,0,0,0,0,0,0,11,14,12,8,33,32,15,9,26,7,29,30
27,1,0,13:47,4,0,11,26,1,0,0,0,0,11,14,12,8,33,32,15,9,26,5,6,30
28,1,0,13:32,1,1,5,0,3,61,2,0,0,11,14,12,8,33,32,15,9,26,5,6,30
29,1,0,13:22,13,0,11,6,2,0,0,0,0,11,14,12,8,33,32,15,9,26,5,6,30
30,1,0,13:15,1,0,14,0,3,44,2,0,0,11,14,12,8,33,32,15,9,26,5,6,30
31,1,0,12:27,5,0,47,5,3,0,0,0,0,28,15,47,3,7,32,16,12,17,5,28,30
32,1,0,12:08,9,1,17,0,1,0,0,0,0,28,25,23,3,7,32,8,23,17,24,28,30
33,1,0,11:41,5,1,23,27,1,0,0,0,0,10,25,23,3,27,32,8,23,21,7,29,30
34,1,0,11:36,13,0,23,7,2,0,0,0,0,10,25,23,2,27,32,8,23,21,7,29,30
35,1,0,11:17,1,0,27,0,3,59,2,0,0,10,25,23,2,27,32,8,23,21,7,29,30
36,1,0,10:59,5,1,25,27,3,0,0,0,0,22,13,17,2,27,32,10,11,25,5,6,30
37,1,0,10:57,5,1,10,2,3,0,0,0,0,22,13,17,2,27,32,10,11,25,5,6,30
38,1,0,10:47,5,1,25,13,1,0,0,0,0,22,13,17,27,33,32,10,11,25,5,6,30
39,1,0,10:15,1,1,11,0,3,68,1,0,0,22,13,17,8,33,32,10,11,15,24,28,30
40,1, ,10:14,3,1,0,0,0,0,0,0,0,11,14,12,3,7,32,10,11,15,24,28,30
41,1,0,10:14,4,1,11,26,3,0,0,0,0,11,14,12,3,7,32,15,9,26,24,28,30
42,1,0,10:10,1,1,24,0,3,43,3,0,0,11,14,12,3,7,32,15,9,26,24,28,30
43,1,0,9:58,7,0,11,0,3,36,3,0,0,11,14,12,3,7,32,15,9,26,24,28,30
44,1,0,9:05,13,0,10,29,2,0,0,0,0,10,25,23,8,33,32,16,12,17,7,29,30
45,1,0,8:59,1,0,25,0,3,33,2,0,0,10,25,23,8,33,32,16,12,17,7,29,30
46,1,0,8:53,7,0,23,0,3,15,5,0,0,10,25,23,8,33,32,16,12,17,7,29,30
47,1,0,8:40,1,0,25,0,3,21,1,0,0,10,25,23,8,33,32,16,12,17,7,29,30
48,1,0,8:38,1,0,23,0,3,8,1,0,0,10,25,23,8,33,32,16,12,17,7,29,30
49,1, ,8:37,3,0,0,0,0,0,0,0,0,10,25,23,8,33,32,16,12,17,7,29,30
50,1,0,8:37,4,0,28,8,3,0,0,0,0,28,15,47,2,27,32,8,23,21,24,28,30
51,1,0,8:33,1,0,2,0,3,63,2,0,0,28,15,47,2,27,32,8,23,21,24,28,30
52,1,0,8:26,1,0,27,0,3,25,1,0,0,28,15,47,2,27,32,8,23,21,24,28,30
53,1,0,7:59,5,1,23,27,1,0,0,0,0,28,15,47,2,27,32,8,23,21,24,28,30
54,1, ,7:57,3,0,0,0,0,0,0,0,0,22,13,17,3,7,32,8,23,21,24,28,30
55,1,0,7:57,4,0,22,11,1,0,0,0,0,22,13,17,3,7,32,10,11,25,5,6,30
56,1,0,7:49,5,1,11,7,3,0,0,0,0,22,13,17,3,7,32,10,11,25,5,6,30
57,1,0,7:48,1,1,10,0,3,44,2,0,0,22,13,17,3,7,32,10,11,25,5,6,30
58,1, ,7:47,3,1,0,0,0,0,0,0,0,11,14,12,8,33,32,10,11,25,5,6,30
59,1,0,7:47,4,0,14,26,2,0,0,0,0,11,14,12,8,33,32,15,9,26,5,6,30
60,1,0,7:46,1,1,9,0,3,25,1,0,0,11,14,12,8,33,32,15,9,26,5,6,30
61,1,0,7:05,1,1,26,0,3,37,2,0,0,11,14,12,8,33,32,15,9,26,5,6,30
62,1,0,7:00,1,1,9,0,3,12,4,0,0,11,14,12,8,33,32,15,9,26,5,6,30
63,1,0,6:58,1,1,15,0,3,20,1,0,0,11,14,12,8,33,32,15,9,26,5,6,30
64,1,0,6:57,2,1,26,0,3,14,1,15,9,11,14,12,8,33,32,15,9,26,5,6,30
65,1,0,6:57,4,1,10,16,1,0,0,0,0,10,25,23,3,7,32,16,12,17,7,29,30
66,1,0,6:28,13,1,7,7,2,0,0,0,0,10,25,23,3,7,32,16,12,17,7,29,30
67,1,0,6:03,9,0,23,0,1,0,0,0,0,10,25,23,3,7,32,8,23,21,7,29,30
68,1,0,5:34,1,1,23,0,3,31,3,0,0,28,15,47,2,27,32,8,23,21,24,28,30
69,1,0,5:30,1,1,24,0,3,56,2,0,0,28,15,47,2,27,32,8,23,21,24,28,30
70,1, ,5:29,3,0,0,0,0,0,0,0,0,28,15,47,2,27,32,8,23,21,24,28,30
71,1,0,5:29,4,0,28,16,2,0,0,0,0,28,15,47,8,33,32,16,12,17,24,28,30
72,1, ,5:20,3,6,0,0,0,0,0,0,0,28,15,47,8,33,32,16,12,17,24,28,30
73,1,0,5:20,4,1,28,16,3,0,0,0,0,28,15,47,8,33,32,16,12,17,24,28,30
74,1,0,5:15,7,1,28,0,3,60,2,0,0,28,15,47,8,33,32,16,12,17,24,28,30
75,1,0,5:12,1,1,12,0,3,30,3,0,0,28,15,47,8,33,32,16,12,17,24,28,30
76,1,0,4:30,5,1,5,13,2,0,0,0,0,22,13,17,2,27,32,10,11,25,5,6,30
77,1,0,3:56,13,1,11,2,2,0,0,0,0,22,13,17,2,27,32,10,11,25,5,6,30
78,1,0,3:48,5,1,25,13,1,0,0,0,0,22,13,17,2,27,32,10,11,25,5,6,30
79,1,0,3:10,8,1,7,0,1,0,0,0,0,10,25,23,3,7,32,15,9,26,7,29,30
80,1,0,2:43,13,0,7,15,2,0,0,0,0,10,25,23,3,7,32,15,9,26,7,29,30
81,1, ,2:02,3,2,0,0,0,0,0,0,0,28,15,47,3,7,32,8,23,21,24,28,30
82,1,0,2:02,4,0,28,16,1,0,0,0,0,28,15,47,3,7,32,16,12,17,5,6,30
83,1,0,1:38,5,0,7,16,2,0,0,0,0,28,15,47,3,7,32,16,12,17,5,6,30
84,1,0,1:24,5,0,47,12,3,0,0,0,0,28,15,47,3,7,32,16,12,17,5,6,30
85,1,0,0:52,1,0,23,0,3,45,3,0,0,10,25,23,8,33,32,15,9,26,7,29,30
86,1,0,0:35,1,1,9,0,3,19,6,0,0,10,25,23,8,33,32,15,9,26,7,29,30
87,1, ,0:34,3,1,0,0,0,0,0,0,0,11,14,12,2,7,32,15,9,26,7,29,30
88,1,0,0:34,4,1,11,8,3,0,0,0,0,11,14,12,2,7,32,8,23,17,5,6,30
89,1,0,0:08,1,0,7,0,3,63,2,0,0,11,14,12,2,7,32,8,23,17,5,6,30
90,1, ,0:06,3,1,0,0,0,0,0,0,0,10,25,23,3,8,32,8,23,17,5,6,30
91,1,0,0:06,4,0,10,11,3,0,0,0,0,10,25,23,3,8,32,11,23,17,6,7,30
92,1, ,0:00,11,0,0,0,0,0,0,0,0,10,25,23,3,8,32,11,23,17,6,7,30
93,2, ,20:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2,0,20:00,4,0,10,16,1,0,0,0,0,10,25,23,8,33,32,16,12,17,7,29,1
95,2,0,19:32,9,1,29,0,2,0,0,0,0,10,25,23,8,33,32,16,12,17,7,29,1
