# 2011/10/27 
# T.B , NSH 
# 3 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,44,9,12,2,77,32,13,22,25,8,51,35
2,1,0,20:00,4,1,44,13,1,0,0,0,0,44,9,12,2,77,32,13,22,25,8,51,35
3,1,0,18:58,7,1,74,0,3,30,1,0,0,4,14,26,7,13,32,12,15,74,6,20,35
4,1,0,18:41,1,1,12,0,3,22,1,0,0,4,14,26,7,13,32,12,15,74,6,20,35
5,1,0,18:04,1,0,16,0,3,27,1,0,0,91,16,12,2,77,32,11,33,24,8,51,35
6,1, ,18:03,3,1,0,0,0,0,0,0,0,91,16,12,2,77,32,11,33,24,8,51,35
7,1,0,18:03,4,1,91,11,2,0,0,0,0,91,16,12,47,97,32,11,33,24,8,51,35
8,1, ,17:47,3,1,0,0,0,0,0,0,0,91,16,12,47,97,32,11,33,24,8,51,35
9,1,0,17:47,1,0,12,0,3,45,1,0,0,91,16,12,47,97,32,11,33,24,8,51,35
10,1,0,17:47,4,1,19,5,2,0,0,0,0,19,44,9,47,97,32,5,18,27,7,38,35
11,1,0,17:26,5,0,47,5,2,0,0,0,0,19,44,9,47,97,32,5,18,27,7,38,35
12,1,0,17:16,1,0,44,0,3,34,1,0,0,19,44,9,47,97,32,5,18,27,7,38,35
13,1, ,17:14,3,1,0,0,0,0,0,0,0,19,44,9,7,13,32,5,18,27,7,38,35
14,1,0,17:14,4,1,49,13,2,0,0,0,0,11,49,18,7,13,32,13,22,25,6,20,35
15,1,0,16:52,5,1,20,49,2,0,0,0,0,11,49,18,7,13,32,13,22,25,6,20,35
16,1,0,16:31,5,1,22,13,3,0,0,0,0,11,49,18,7,13,32,12,13,22,8,51,35
17,1,0,16:21,7,0,14,0,1,66,1,0,0,4,14,26,2,77,32,12,15,74,8,51,35
18,1,0,16:12,9,1,51,0,1,0,0,0,0,4,14,26,2,77,32,12,15,74,8,51,35
19,1,0,15:50,13,0,2,8,2,0,0,0,0,4,14,26,2,77,32,12,15,74,8,51,35
20,1,0,15:26,5,0,12,33,2,0,0,0,0,91,16,12,47,97,32,11,33,24,6,20,35
21,1,0,15:10,5,0,97,33,2,0,0,0,0,91,16,12,47,97,32,11,33,24,6,20,35
22,1,0,14:25,5,1,13,13,3,0,0,0,0,19,44,9,7,13,32,13,22,25,7,38,35
23,1,0,14:15,1,1,38,0,3,53,1,0,0,19,44,9,7,13,32,13,22,25,7,38,35
24,1,0,14:15,5,1,13,13,3,0,0,0,0,19,44,9,7,13,32,13,22,25,7,38,35
25,1, ,14:14,3,1,0,0,0,0,0,0,0,4,14,26,2,77,32,13,22,25,7,38,35
26,1,0,14:14,4,1,4,12,3,0,0,0,0,4,14,26,2,77,32,12,15,74,6,20,35
27,1,0,14:11,1,1,6,0,3,50,1,0,0,4,14,26,2,77,32,12,15,74,6,20,35
