# 2011/11/26 
# FLA , T.B 
# 1 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,18,12,20,7,43,25,91,16,12,47,97,32
2,1,0,20:00,4,0,18,91,1,0,0,0,0,18,12,20,7,43,25,91,16,12,47,97,32
3,1,0,19:42,1,0,20,0,3,48,1,0,0,18,12,20,7,43,25,91,16,12,47,97,32
4,1,0,19:40,8,0,20,0,3,0,0,0,0,18,12,20,7,43,25,91,16,12,47,97,32
5,1,0,19:25,5,1,91,7,3,0,0,0,0,18,12,20,7,43,25,91,16,12,47,97,32
6,1,0,18:58,9,0,25,0,2,0,0,0,0,9,32,14,51,52,25,42,44,18,2,77,32
7,1,0,18:23,5,1,4,52,3,0,0,0,0,18,12,20,44,52,25,4,42,26,7,13,32
8,1,0,18:02,5,0,18,7,3,0,0,0,0,18,12,20,51,55,25,4,14,26,7,13,32
9,1,0,17:56,1,1,14,0,3,13,5,0,0,13,82,16,51,55,25,4,14,26,7,13,32
10,1,0,17:53,2,1,26,0,3,13,0,14,7,13,82,16,51,55,25,4,14,26,7,13,32
11,1,0,17:53,4,0,8,19,1,0,0,0,0,27,63,8,7,43,25,11,19,22,47,97,32
12,1,0,17:30,5,1,19,43,2,0,0,0,0,27,63,8,7,43,25,11,19,22,47,97,32
13,1,0,17:21,5,1,22,43,3,0,0,0,0,27,63,8,7,43,25,11,19,22,47,97,32
14,1,0,17:17,13,1,47,8,2,0,0,0,0,27,63,8,7,43,25,11,19,22,47,97,32
15,1,0,16:44,1,1,12,0,3,59,2,0,0,18,12,20,44,55,25,91,16,12,2,77,32
16,1, ,16:34,3,6,0,0,0,0,0,0,0,18,12,20,44,55,25,91,16,12,2,77,32
17,1,0,16:34,4,1,18,91,3,0,0,0,0,18,12,20,51,55,25,91,16,12,7,13,32
18,1,0,16:28,1,0,20,0,3,54,1,0,0,18,12,20,51,52,25,91,16,12,7,13,32
19,1,0,16:26,13,1,7,51,2,0,0,0,0,18,12,20,51,52,25,91,16,12,7,13,32
20,1,0,15:46,8,0,14,0,3,0,0,0,0,9,32,14,51,52,25,42,44,18,2,77,32
21,1,0,15:44,7,0,9,0,3,26,1,0,0,9,32,14,51,52,25,42,44,18,2,77,32
22,1,0,15:43,1,0,52,0,3,34,3,0,0,9,32,14,51,52,25,42,44,18,2,77,32
23,1, ,15:42,3,1,0,0,0,0,0,0,0,9,32,14,51,52,25,42,44,18,2,77,32
24,1,0,15:42,4,1,82,4,2,0,0,0,0,13,82,16,7,43,25,4,14,26,2,77,32
25,1,0,15:17,7,1,14,0,3,29,5,0,0,9,82,16,7,43,25,4,14,26,47,97,32
