# 2011/11/26 
# WSH , BUF 
# 1 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,20,8,27,74,29,55,29,26,3,44,1
2,1,0,20:00,4,1,19,55,1,0,0,0,0,19,20,8,27,74,29,55,29,26,3,44,1
3,1,0,19:35,1,0,74,0,3,68,1,0,0,19,20,8,27,74,29,55,29,26,3,44,1
4,1,0,19:27,9,0,19,0,3,0,0,0,0,19,20,8,27,74,29,55,29,26,3,44,1
5,1,0,19:10,1,1,42,0,3,60,3,0,0,21,42,25,6,44,29,9,42,54,10,17,1
6,1, ,19:08,3,1,0,0,0,0,0,0,0,21,42,25,6,44,29,9,42,54,10,17,1
7,1,0,19:08,4,0,21,9,2,0,0,0,0,21,42,25,6,44,29,9,42,54,10,17,1
8,1,0,18:52,5,1,54,44,3,0,0,0,0,21,42,25,6,44,29,9,42,54,10,17,1
9,1,0,18:42,13,0,25,10,2,0,0,0,0,21,42,25,6,44,29,9,42,54,10,17,1
10,1,0,18:40,5,0,21,17,3,0,0,0,0,21,42,25,6,44,29,9,42,54,10,17,1
11,1,0,18:34,1,1,9,0,3,39,1,0,0,90,28,25,6,44,29,9,42,54,10,17,1
12,1,0,18:26,8,1,23,0,2,0,0,0,0,90,22,28,55,81,29,58,72,23,33,81,1
13,1,0,18:19,5,1,33,28,2,0,0,0,0,90,22,28,55,81,29,58,72,23,33,81,1
14,1,0,17:59,1,0,22,0,3,47,2,0,0,90,22,28,55,81,29,58,72,23,33,81,1
15,1, ,17:58,3,4,0,0,0,0,0,0,0,90,22,28,55,81,29,58,72,23,33,81,1
16,1,0,17:58,4,1,15,37,2,0,0,0,0,15,26,85,55,81,29,28,78,37,10,17,1
17,1,0,17:39,6,0,55,28,2,0,0,0,0,15,26,85,55,81,29,28,78,37,10,17,1
18,1,-1,17:39,4,0,15,29,2,0,0,0,0,15,21,27,74,29,0,42,29,26,10,17,1
19,1,-1,17:25,5,0,15,29,3,0,0,0,0,15,21,27,74,29,0,42,29,26,10,17,1
20,1,1,17:10,9,1,10,0,3,0,0,0,0,26,22,27,74,29,0,42,29,26,10,17,1
21,1,1,16:53,1,1,29,0,3,42,2,0,0,26,22,6,44,29,0,42,29,26,10,17,1
22,1,-1,16:48,13,1,42,6,2,0,0,0,0,26,22,6,44,29,0,42,29,26,10,17,1
23,1,1,16:38,1,1,10,0,3,52,2,0,0,26,22,6,44,29,0,42,29,26,10,17,1
24,1,1,16:37,1,1,26,0,3,10,1,0,0,26,22,6,44,29,0,42,29,26,10,17,1
25,1,-1,16:16,13,1,10,22,2,0,0,0,0,26,22,6,44,29,0,42,29,26,10,17,1
26,1,0,15:24,5,0,8,33,3,0,0,0,0,19,20,8,27,74,29,9,72,23,3,33,1
27,1,0,15:03,1,0,19,0,1,77,1,0,0,19,20,8,27,81,29,28,72,23,3,44,1
28,1, ,15:01,3,1,0,0,0,0,0,0,0,19,20,8,27,81,29,28,72,23,3,44,1
29,1,0,15:01,4,1,90,28,2,0,0,0,0,90,22,28,55,81,29,28,78,23,10,17,1
30,1,0,14:52,9,1,10,0,2,0,0,0,0,90,22,28,55,81,29,28,78,23,10,17,1
31,1,0,14:48,7,0,81,0,3,49,2,0,0,90,22,28,55,81,29,28,78,37,10,17,1
32,1,0,14:37,5,1,37,81,3,0,0,0,0,90,22,28,55,81,29,28,78,37,10,17,1
33,1,0,14:15,7,0,85,0,3,14,3,0,0,15,26,85,27,74,29,28,42,54,10,81,1
34,1, ,14:14,3,4,0,0,0,0,0,0,0,15,26,85,27,74,29,28,42,54,10,81,1
35,1,0,14:14,4,1,85,9,1,0,0,0,0,15,26,85,6,44,29,9,42,54,33,81,1
36,1, ,14:03,3,6,0,0,0,0,0,0,0,15,26,85,6,44,29,9,42,54,33,81,1
37,1,0,14:03,4,0,20,9,3,0,0,0,0,19,20,8,6,44,29,9,42,54,33,81,1
38,1,0,14:01,1,0,6,0,3,62,2,0,0,19,20,8,6,44,29,9,42,54,33,81,1
39,1, ,14:00,3,1,0,0,0,0,0,0,0,19,20,8,6,44,29,9,42,54,33,81,1
40,1,0,14:00,4,1,19,55,2,0,0,0,0,19,20,8,6,44,29,55,29,26,3,44,1
41,1, ,13:51,3,6,0,0,0,0,0,0,0,19,20,8,6,44,29,55,29,26,3,44,1
42,1,0,13:51,4,1,42,55,2,0,0,0,0,21,42,25,27,74,29,55,29,26,3,44,1
43,1,0,13:27,5,0,21,44,2,0,0,0,0,21,42,25,27,74,29,55,29,26,3,44,1
44,1,0,13:13,9,1,26,0,2,0,0,0,0,21,42,25,27,74,29,55,29,26,3,44,1
45,1,0,13:07,5,0,25,29,3,0,0,0,0,21,42,25,27,74,29,55,29,26,3,44,1
46,1, ,12:24,3,0,0,0,0,0,0,0,0,19,20,8,6,44,29,58,72,23,10,17,1
47,1,0,12:24,4,0,90,9,2,0,0,0,0,90,22,28,27,74,29,9,42,54,10,17,1
48,1,0,12:19,5,1,54,74,3,0,0,0,0,90,22,28,27,74,29,9,42,54,10,17,1
49,1,0,12:11,5,1,42,90,2,0,0,0,0,90,22,28,27,74,29,9,42,54,10,17,1
50,1,0,11:54,1,0,22,0,3,32,6,0,0,90,22,28,27,74,29,9,42,54,10,17,1
51,1, ,11:53,3,1,0,0,0,0,0,0,0,90,22,28,27,74,29,9,42,54,10,17,1
52,1,0,11:53,4,1,26,28,2,0,0,0,0,15,26,85,55,81,29,28,78,37,33,81,1
53,1,0,11:28,5,0,55,78,2,0,0,0,0,15,26,85,55,81,29,28,78,37,33,81,1
54,1,0,11:22,5,0,81,37,2,0,0,0,0,15,26,85,55,81,29,28,78,37,33,81,1
55,1,0,10:43,5,1,10,21,2,0,0,0,0,21,42,25,27,74,29,55,29,26,10,17,1
56,1,0,10:40,7,0,42,0,3,26,1,0,0,21,42,25,27,74,29,55,29,26,10,17,1
57,1,0,10:34,13,0,74,26,2,0,0,0,0,21,42,25,27,74,29,55,29,26,10,17,1
58,1,0,10:30,1,1,29,0,3,33,1,0,0,21,42,25,27,74,29,55,29,26,10,17,1
59,1,0,10:04,1,1,10,0,3,50,1,0,0,19,20,8,27,74,29,55,29,26,3,10,1
60,1,0,9:17,5,1,23,44,3,0,0,0,0,19,20,8,6,44,29,58,72,23,3,44,1
61,1,0,9:15,5,1,58,8,3,0,0,0,0,19,20,8,6,44,29,58,72,23,3,44,1
62,1,0,9:13,2,1,72,0,3,18,2,58,0,19,20,8,6,44,29,58,72,23,3,44,1
63,1,0,9:13,4,1,90,9,1,0,0,0,0,90,22,28,55,81,29,9,42,54,10,17,1
64,1,0,9:01,1,1,54,0,3,48,1,0,0,90,22,28,55,81,29,9,42,54,10,17,1
65,1, ,9:00,3,0,0,0,0,0,0,0,0,90,22,28,55,81,29,9,42,54,10,17,1
66,1,0,9:00,4,0,90,9,2,0,0,0,0,90,22,28,27,74,29,9,42,54,10,17,1
67,1,0,8:10,13,1,3,21,2,0,0,0,0,21,42,25,55,81,29,55,29,26,3,33,1
68,1,0,7:46,5,0,21,81,3,0,0,0,0,21,42,25,27,74,29,55,29,26,33,81,1
69,1,0,7:39,5,1,81,21,2,0,0,0,0,21,42,25,27,74,29,55,29,26,33,81,1
70,1,0,7:36,1,0,21,0,3,9,6,0,0,21,42,25,27,74,29,55,29,26,33,81,1
71,1,0,7:20,5,1,81,74,2,0,0,0,0,19,42,25,27,74,29,55,29,26,33,81,1
72,1,0,7:17,1,0,8,0,3,41,1,0,0,19,20,8,44,74,29,28,78,37,33,81,1
73,1,0,7:04,8,1,81,0,2,0,0,0,0,19,20,8,6,44,29,28,78,37,33,81,1
74,1,0,6:08,1,1,58,0,3,44,3,0,0,15,26,85,6,44,29,58,72,23,3,10,1
75,1,0,5:55,5,0,15,3,2,0,0,0,0,15,26,85,6,44,29,58,72,23,3,10,1
76,1,0,5:46,5,1,72,85,2,0,0,0,0,26,85,28,55,81,29,58,72,23,3,10,1
77,1, ,5:05,3,0,0,0,0,0,0,0,0,90,22,28,27,74,29,9,42,54,10,17,1
78,1,0,5:05,4,0,21,55,2,0,0,0,0,21,42,25,6,44,29,55,29,26,10,81,1
79,1,0,4:54,5,1,81,25,1,0,0,0,0,21,42,25,6,44,29,55,29,26,10,81,1
80,1, ,4:52,3,6,0,0,0,0,0,0,0,21,42,25,6,44,29,55,29,26,10,17,1
81,1,0,4:52,4,1,21,55,3,0,0,0,0,21,42,25,6,44,29,55,29,26,10,17,1
82,1,0,4:45,5,0,25,29,2,0,0,0,0,21,42,25,6,44,29,55,29,26,10,17,1
83,1,0,4:38,1,1,26,0,3,52,3,0,0,21,42,25,6,44,29,55,29,26,10,17,1
84,1,0,4:37,2,1,29,0,3,8,2,26,10,21,42,25,6,44,29,55,29,26,10,17,1
85,1,0,4:37,4,0,19,28,1,0,0,0,0,19,20,8,55,81,29,28,78,37,3,44,1
86,1,0,4:19,5,0,20,78,2,0,0,0,0,19,20,8,55,81,29,28,78,37,3,44,1
87,1,0,4:13,5,1,78,55,3,0,0,0,0,19,20,8,55,81,29,28,78,37,3,44,1
88,1,0,3:46,5,0,8,28,2,0,0,0,0,19,20,8,55,81,29,28,78,37,3,44,1
89,1,0,3:42,13,1,44,19,2,0,0,0,0,19,20,8,55,81,29,28,78,37,3,44,1
90,1, ,3:10,3,10,0,0,0,0,0,0,0,90,22,28,27,74,29,58,72,23,10,17,1
91,1,0,3:10,4,1,90,72,2,0,0,0,0,90,22,28,27,74,29,58,72,23,10,17,1
92,1,0,2:37,5,0,27,23,2,0,0,0,0,90,22,28,27,74,29,9,54,23,10,17,1
93,1, ,2:26,3,6,0,0,0,0,0,0,0,90,22,28,27,74,29,9,54,23,33,81,1
94,1,0,2:26,4,0,90,9,2,0,0,0,0,90,22,28,27,74,29,9,42,54,33,81,1
95,1,0,1:33,5,1,54,6,3,0,0,0,0,15,26,85,6,55,29,9,42,54,3,44,1
96,1,0,0:54,5,0,27,29,2,0,0,0,0,21,42,25,27,74,29,55,29,26,10,17,1
97,1,0,0:31,9,0,44,0,2,0,0,0,0,19,20,8,44,81,29,55,78,26,10,17,1
98,1, ,0:24,3,2,0,0,0,0,0,0,0,19,20,8,44,81,29,28,78,37,10,17,1
99,1,0,0:24,4,0,19,78,1,0,0,0,0,19,20,8,44,81,29,28,78,37,3,44,1
100,1, ,0:00,11,0,0,0,0,0,0,0,0,19,20,8,44,81,29,28,78,37,3,44,1
101,2, ,20:00,10,0,0,0,0,0,0,0,0,19,20,8,27,74,29,55,29,26,3,44,1
102,2,0,20:00,4,0,19,55,1,0,0,0,0,19,20,8,27,74,29,55,29,26,3,44,1
103,2,0,19:35,1,1,55,0,3,39,2,0,0,19,20,8,27,74,29,55,29,26,3,44,1
104,2,0,19:23,13,1,44,74,2,0,0,0,0,19,20,8,27,74,29,55,29,26,3,44,1
105,2,0,19:19,13,1,55,74,2,0,0,0,0,19,20,8,27,74,29,55,29,26,3,44,1
106,2,0,19:10,9,0,8,0,2,0,0,0,0,19,20,8,6,55,29,55,29,26,3,44,1
107,2,0,18:51,5,0,42,3,1,0,0,0,0,21,42,25,6,55,29,9,54,26,3,44,1
108,2,0,18:26,9,0,29,0,3,0,0,0,0,90,22,42,6,55,29,9,42,54,10,17,1
109,2,0,18:11,8,1,10,0,3,0,0,0,0,90,22,28,44,81,29,9,42,54,10,17,1
110,2,0,17:48,5,1,81,28,3,0,0,0,0,90,22,28,44,81,29,58,72,23,10,81,1
