# 2011/12/17 
# BOS , PHI 
# 6 , 0 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,23,49,67,33,44,30,48,17,24,25,41,30
2,1,0,20:00,4,1,23,48,1,0,0,0,0,23,49,67,33,44,30,48,17,24,25,41,30
3,1,0,19:33,2,0,67,0,3,10,0,49,0,23,49,67,14,44,30,48,17,24,25,41,30
4,1, ,19:33,3,0,0,0,0,0,0,0,0,19,37,63,33,55,30,48,17,24,25,41,30
5,1,0,19:33,4,0,37,14,1,0,0,0,0,19,37,63,33,55,30,14,68,19,25,43,30
6,1,0,19:16,5,0,33,68,2,0,0,0,0,19,37,63,33,55,30,14,68,19,25,43,30
7,1,0,19:04,5,1,14,63,3,0,0,0,0,19,37,63,33,55,30,14,68,19,25,43,30
8,1,0,18:46,1,0,19,0,3,53,3,0,0,19,37,63,33,55,30,14,68,19,43,44,30
9,1, ,18:45,3,1,0,0,0,0,0,0,0,19,37,63,33,55,30,14,68,19,43,44,30
10,1,0,18:45,4,0,46,27,3,0,0,0,0,46,18,17,21,54,30,27,93,21,5,44,30
11,1,0,18:42,1,0,17,0,3,43,3,0,0,46,18,17,21,54,30,27,93,21,5,44,30
12,1,0,18:24,1,0,46,0,3,40,3,0,0,46,18,17,21,54,30,27,93,21,5,44,30
13,1,0,18:15,5,0,21,93,2,0,0,0,0,46,18,17,21,54,30,27,93,21,5,44,30
14,1,0,18:06,13,1,93,21,2,0,0,0,0,46,18,17,21,54,30,27,93,21,5,44,30
15,1,0,18:03,1,1,21,0,3,8,0,0,0,46,18,17,21,54,30,27,93,21,5,44,30
16,1,0,17:56,8,1,27,0,3,0,0,0,0,46,18,17,21,54,30,27,93,21,5,44,30
17,1,0,17:54,5,1,21,17,3,0,0,0,0,46,18,17,21,54,30,27,93,21,5,44,30
18,1,0,17:50,7,1,5,0,3,40,6,0,0,46,18,17,21,54,30,27,93,21,5,44,30
19,1, ,17:50,3,1,0,0,0,0,0,0,0,46,18,17,21,54,30,36,29,45,41,46,30
20,1,0,17:50,4,0,22,36,2,0,0,0,0,52,20,22,33,55,30,36,29,45,41,46,30
21,1,0,17:47,6,0,33,45,2,0,0,0,0,52,20,22,33,55,30,36,29,45,41,46,30
22,1,0,17:47,6,1,45,33,3,0,0,0,0,52,20,22,55,30,0,36,29,45,41,46,30
23,1,0,17:47,4,0,23,14,2,0,0,0,0,23,20,22,14,55,30,14,36,29,41,46,30
24,1,0,17:40,5,0,44,29,2,0,0,0,0,52,20,22,14,44,30,14,36,29,41,46,30
25,1, ,17:39,3,3,0,0,0,0,0,0,0,52,20,22,14,44,30,14,36,29,41,46,30
26,1,0,17:39,4,1,22,14,1,0,0,0,0,52,20,22,14,44,30,14,36,29,41,46,30
27,1,0,17:25,5,0,52,46,3,0,0,0,0,52,20,22,14,44,30,14,36,29,41,46,30
28,1,0,17:13,1,0,14,0,3,56,2,0,0,52,20,22,14,44,30,14,36,29,41,46,30
29,1,0,17:11,1,0,44,0,3,58,1,0,0,52,20,22,14,44,30,14,36,29,41,46,30
30,1,0,17:10,2,0,20,0,3,7,1,44,14,52,20,22,14,44,30,14,36,29,41,46,30
31,1, ,17:10,3,0,0,0,0,0,0,0,0,23,49,67,21,54,30,48,17,24,25,43,30
32,1,0,17:10,4,0,23,48,1,0,0,0,0,23,49,67,21,54,30,48,17,24,25,43,30
33,1,0,16:57,5,0,49,25,3,0,0,0,0,23,49,67,21,54,30,48,17,24,25,43,30
34,1, ,16:07,3,3,0,0,0,0,0,0,0,37,63,22,44,55,30,14,68,19,5,44,30
35,1,0,16:07,4,0,37,14,2,0,0,0,0,37,63,22,44,55,30,14,68,19,5,44,30
36,1,0,15:52,1,0,63,0,3,7,1,0,0,37,63,22,44,55,30,14,68,19,5,44,30
37,1,0,15:44,1,1,14,0,3,34,3,0,0,37,63,22,44,55,30,14,68,19,5,44,30
38,1,0,15:43,5,0,22,14,2,0,0,0,0,37,63,22,44,55,30,14,68,19,5,44,30
39,1,0,15:34,5,0,22,44,3,0,0,0,0,46,63,22,21,55,30,14,68,19,5,44,30
40,1, ,15:06,3,4,0,0,0,0,0,0,0,46,18,17,21,55,30,27,93,21,25,43,30
41,1,0,15:06,4,1,46,27,1,0,0,0,0,46,18,17,14,21,30,27,93,21,25,43,30
42,1,0,14:44,8,1,93,0,2,0,0,0,0,46,18,17,14,21,30,27,93,21,25,43,30
