# 2011/12/26 
# COL , MIN 
# 4 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,37,23,92,5,6,1,9,22,15,6,46,32
2,1,0,20:00,4,1,37,9,1,0,0,0,0,37,23,92,5,6,1,9,22,15,6,46,32
3,1,0,19:53,5,0,5,22,1,0,0,0,0,37,23,92,5,6,1,9,22,15,6,46,32
4,1,0,19:31,5,0,6,46,3,0,0,0,0,37,23,92,5,6,1,9,22,15,6,46,32
5,1,0,19:23,6,0,5,22,2,0,0,0,0,37,23,92,5,6,1,9,22,15,3,55,32
6,1,-1,19:23,4,0,16,7,2,0,0,0,0,16,34,3,8,1,0,7,21,79,3,6,32
7,1,1,19:17,5,1,79,3,3,0,0,0,0,16,34,3,8,1,0,7,21,79,3,6,32
8,1,-1,18:43,8,0,92,0,2,0,0,0,0,16,92,3,8,1,0,7,21,79,3,6,32
9,1,1,17:43,9,1,15,0,3,0,0,0,0,26,37,3,8,1,0,9,96,22,15,46,32
10,1,0,16:56,6,1,25,26,2,0,0,0,0,9,26,23,22,46,1,43,25,15,2,55,32
11,1,1,16:56,4,0,37,21,3,0,0,0,0,9,37,23,92,46,1,14,21,2,55,32,0
12,1,1,16:53,1,0,46,0,3,51,1,0,0,9,37,23,92,46,1,14,21,2,55,32,0
13,1, ,16:51,3,1,0,0,0,0,0,0,0,9,37,23,92,46,1,14,21,2,55,32,0
14,1,-1,16:51,4,1,37,21,2,0,0,0,0,9,37,23,92,46,1,14,21,2,55,32,0
15,1,1,16:13,1,0,23,0,3,45,1,0,0,9,37,23,92,46,1,14,21,2,55,32,0
16,1, ,16:12,3,1,0,0,0,0,0,0,0,9,37,23,92,46,1,14,21,2,55,32,0
17,1,-1,16:12,4,1,26,7,2,0,0,0,0,26,34,39,6,22,1,7,22,44,46,32,0
18,1,1,15:42,7,0,6,0,3,60,2,0,0,26,34,39,6,22,1,7,22,44,46,32,0
19,1,1,15:30,7,0,39,0,3,57,2,0,0,26,34,39,6,22,1,7,22,44,46,32,0
20,1, ,15:28,3,4,0,0,0,0,0,0,0,26,34,39,6,22,1,7,22,44,46,32,0
21,1,1,15:28,4,0,37,43,3,0,0,0,0,9,37,23,92,46,1,21,43,2,55,32,0
22,1,0,14:38,6,0,55,42,3,0,0,0,0,12,7,55,3,8,1,9,14,15,6,46,32
23,1,0,14:38,6,0,55,46,1,0,0,0,0,12,7,3,8,1,0,9,14,15,6,46,32
24,1, ,14:38,3,0,0,0,0,0,0,0,0,12,7,3,8,1,0,9,14,15,6,46,32
25,1,1,14:38,4,1,16,9,3,0,0,0,0,16,34,3,8,1,0,9,21,96,15,3,32
26,1,1,14:32,9,1,96,0,3,0,0,0,0,16,34,3,8,1,0,9,21,96,15,3,32
27,1,1,13:46,1,1,9,0,3,39,1,0,0,16,92,6,8,1,0,9,21,96,15,3,32
28,1,-1,13:31,13,1,3,16,2,0,0,0,0,16,92,6,8,1,0,9,21,96,15,3,32
29,1,-1,13:18,13,1,3,8,2,0,0,0,0,16,92,6,8,1,0,7,79,22,3,6,32
30,1,1,13:13,9,1,3,0,3,0,0,0,0,16,92,6,8,1,0,7,79,22,3,6,32
31,1,1,12:40,9,1,6,0,1,0,0,0,0,26,39,3,5,1,0,7,79,22,2,6,32
32,1,-1,11:57,8,0,12,0,2,0,0,0,0,12,37,6,8,1,0,9,21,96,15,6,32
33,1,-1,11:52,1,0,12,0,3,11,6,0,0,12,37,6,8,1,0,9,21,96,15,6,32
34,1, ,11:51,3,1,0,0,0,0,0,0,0,16,7,3,5,1,0,9,21,96,15,6,32
35,1,-1,11:51,4,0,16,9,3,0,0,0,0,16,7,3,5,1,0,9,21,96,15,3,32
36,1,1,11:03,1,1,9,0,3,54,2,0,0,39,92,3,5,1,0,9,21,96,15,3,32
37,1,1,11:01,5,1,9,5,3,0,0,0,0,39,92,3,5,1,0,9,21,96,15,3,32
38,1,1,10:29,2,1,96,0,3,11,1,15,21,39,92,3,5,1,0,9,21,96,15,55,32
39,1,1,10:29,4,1,37,7,1,0,0,0,0,26,37,6,8,1,0,7,79,22,3,6,32
40,1,-1,10:07,5,0,6,79,2,0,0,0,0,26,37,6,8,1,0,7,79,22,3,6,32
41,1,1,9:44,9,1,22,0,3,0,0,0,0,16,34,6,8,1,0,7,79,22,3,6,32
42,1,0,9:35,1,0,16,0,3,40,1,0,0,16,34,42,22,46,1,7,79,22,3,6,32
43,1,0,9:26,1,0,46,0,3,20,3,0,0,16,34,42,22,46,1,7,14,79,3,6,32
44,1,0,9:17,7,0,16,0,3,46,2,0,0,16,34,42,22,46,1,7,14,79,3,6,32
45,1,0,9:12,8,1,6,0,2,0,0,0,0,16,34,42,22,46,1,7,14,79,3,6,32
46,1, ,9:05,3,6,0,0,0,0,0,0,0,16,34,42,22,46,1,7,14,79,3,6,32
47,1,0,9:05,4,1,9,7,2,0,0,0,0,9,12,23,5,6,1,7,14,79,3,6,32
