# 2012/01/03 
# NYI , CAR 
# 4 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,91,21,26,3,47,20,16,59,21,28,44,30
2,1,0,20:00,4,1,91,16,1,0,0,0,0,91,21,26,3,47,20,16,59,21,28,44,30
3,1,0,19:51,5,0,3,21,2,0,0,0,0,91,21,26,3,47,20,16,59,21,28,44,30
4,1,0,19:23,9,0,21,0,2,0,0,0,0,91,11,21,3,47,20,12,59,21,8,44,30
5,1,0,19:05,1,0,21,0,3,33,1,0,0,51,11,21,4,27,20,12,19,22,8,44,30
6,1, ,19:03,3,3,0,0,0,0,0,0,0,51,11,21,4,27,20,12,19,22,8,44,30
7,1,0,19:03,4,0,51,15,3,0,0,0,0,51,11,15,4,27,20,15,23,36,4,6,30
8,1,0,19:00,13,0,27,23,2,0,0,0,0,51,11,15,4,27,20,15,23,36,4,6,30
9,1, ,18:55,3,10,0,0,0,0,0,0,0,51,11,15,4,27,20,15,23,36,4,6,30
10,1,0,18:55,4,0,51,36,1,0,0,0,0,51,11,15,4,27,20,15,23,36,4,6,30
11,1,0,18:21,13,1,36,24,2,0,0,0,0,51,15,40,2,24,20,15,23,36,4,6,30
12,1,0,18:14,1,0,12,0,3,54,2,0,0,12,40,17,2,24,20,37,13,14,5,8,30
13,1, ,18:13,3,1,0,0,0,0,0,0,0,12,40,17,2,24,20,37,13,14,5,8,30
14,1,0,18:13,4,0,12,12,3,0,0,0,0,12,40,17,2,24,20,12,19,22,5,8,30
15,1,0,17:56,5,0,17,8,3,0,0,0,0,12,40,17,2,24,20,12,19,22,5,8,30
16,1,0,17:42,13,0,24,5,2,0,0,0,0,12,40,17,2,24,20,12,19,22,5,8,30
17,1,0,17:38,13,0,2,22,2,0,0,0,0,12,40,17,2,24,20,12,19,22,5,8,30
18,1,0,17:34,7,0,12,0,3,17,5,0,0,12,40,17,2,24,20,12,19,22,5,8,30
19,1,0,17:30,1,0,40,0,3,45,3,0,0,12,40,17,2,24,20,12,19,22,5,8,30
20,1, ,17:29,3,1,0,0,0,0,0,0,0,12,40,17,2,24,20,12,19,22,5,8,30
21,1,0,17:29,6,1,5,17,2,0,0,0,0,12,40,17,2,24,20,12,19,22,5,8,30
22,1,1,17:29,4,0,91,16,3,0,0,0,0,51,91,15,26,2,20,12,16,4,6,30,0
23,1,1,17:08,1,0,91,0,3,32,1,0,0,51,91,15,26,2,20,12,16,4,6,30,0
24,1,1,16:59,13,1,12,2,2,0,0,0,0,51,91,15,26,2,20,12,16,4,6,30,0
25,1,1,16:35,1,0,2,0,3,59,2,0,0,51,91,15,26,2,20,12,16,4,44,30,0
26,1,1,16:29,1,0,51,0,3,9,1,0,0,51,91,15,26,2,20,12,16,4,44,30,0
27,1,1,16:20,2,0,26,0,3,21,3,91,51,51,91,15,26,2,20,12,16,4,44,30,0
28,1,0,16:20,4,1,16,36,1,0,0,0,0,16,25,36,3,47,20,15,23,36,5,8,30
29,1,0,15:56,1,1,15,0,3,9,5,0,0,16,25,36,3,47,20,15,23,36,5,8,30
30,1, ,15:52,3,3,0,0,0,0,0,0,0,16,25,36,3,47,20,15,23,36,5,8,30
31,1,0,15:52,4,1,15,37,3,0,0,0,0,12,11,15,4,27,20,37,13,14,28,44,30
32,1,0,15:49,2,1,13,0,3,29,5,44,14,12,11,15,4,27,20,37,13,14,28,44,30
33,1,0,15:49,4,0,91,16,1,0,0,0,0,91,21,26,4,27,20,16,59,21,28,44,30
34,1,0,15:28,13,1,21,27,2,0,0,0,0,91,21,26,4,27,20,16,59,21,28,44,30
35,1,0,15:26,7,1,59,0,3,34,2,0,0,91,21,26,4,27,20,16,59,21,28,44,30
36,1, ,15:25,3,8,0,0,0,0,0,0,0,91,21,26,4,27,20,16,59,21,28,44,30
37,1,0,15:25,4,0,12,12,2,0,0,0,0,12,40,17,3,47,20,12,19,22,4,6,30
38,1, ,15:16,3,6,0,0,0,0,0,0,0,12,40,17,3,47,20,12,19,22,4,6,30
39,1,0,15:16,4,1,12,12,3,0,0,0,0,12,40,17,3,47,20,12,19,22,4,6,30
40,1,0,15:11,1,1,19,0,3,30,3,0,0,12,40,17,3,47,20,12,19,22,4,6,30
41,1,0,14:25,5,0,25,5,3,0,0,0,0,16,25,36,2,24,20,37,13,14,5,8,30
42,1, ,12:36,3,6,0,0,0,0,0,0,0,51,15,26,4,27,20,12,19,22,4,6,30
43,1,0,12:36,4,0,26,12,2,0,0,0,0,51,15,26,4,27,20,12,19,22,4,6,30
44,1,0,12:22,5,1,19,27,3,0,0,0,0,51,15,26,4,27,20,12,19,22,4,6,30
45,1,0,11:45,5,0,3,21,2,0,0,0,0,91,21,26,3,47,20,12,22,21,5,8,30
46,1,0,11:30,5,1,59,3,3,0,0,0,0,91,40,17,3,47,20,16,59,21,28,44,30
47,1, ,11:23,3,6,0,0,0,0,0,0,0,91,40,17,3,47,20,16,59,21,28,44,30
48,1,0,11:23,4,1,91,36,3,0,0,0,0,91,40,17,3,47,20,15,23,36,28,44,30
49,1,0,11:20,13,1,28,40,2,0,0,0,0,91,40,17,3,47,20,15,23,36,28,44,30
50,1, ,11:19,3,0,0,0,0,0,0,0,0,91,40,17,3,47,20,15,23,36,28,44,30
51,1,0,11:19,4,1,12,36,3,0,0,0,0,12,40,17,2,24,20,15,23,36,5,8,30
52,1,0,11:11,13,0,2,23,3,0,0,0,0,12,40,17,2,24,20,15,23,36,5,8,30
53,1,0,10:32,5,0,12,15,1,0,0,0,0,12,40,17,4,27,20,37,15,21,5,8,30
54,1,0,10:07,5,0,25,13,2,0,0,0,0,16,25,36,4,27,20,37,13,14,4,6,30
55,1,0,9:54,9,1,4,0,2,0,0,0,0,16,25,36,4,27,20,37,13,14,4,6,30
56,1, ,9:22,3,6,0,0,0,0,0,0,0,91,21,26,3,47,20,12,19,22,28,44,30
57,1,0,9:22,4,1,91,12,3,0,0,0,0,91,21,26,3,47,20,12,19,22,28,44,30
