# 2012/01/10 
# DET , NYI 
# 1 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,26,51,40,5,18,29,91,21,26,3,47,20
2,1,0,20:00,4,1,40,91,1,0,0,0,0,26,51,40,5,18,29,91,21,26,3,47,20
3,1,0,19:45,8,1,26,0,3,0,0,0,0,26,51,40,5,18,29,91,21,26,3,47,20
4,1,0,19:36,8,0,51,0,2,0,0,0,0,26,51,40,5,18,29,91,21,26,3,47,20
5,1,0,19:29,1,0,18,0,3,60,2,0,0,26,51,40,5,18,29,91,21,26,3,47,20
6,1,0,19:26,1,0,40,0,3,31,1,0,0,26,51,40,5,18,29,91,21,26,3,47,20
7,1,0,19:04,9,1,27,0,2,0,0,0,0,93,11,44,23,55,29,51,11,15,2,27,20
8,1,0,19:01,5,1,51,11,2,0,0,0,0,93,11,44,23,55,29,51,11,15,2,27,20
9,1,0,18:44,9,1,2,0,2,0,0,0,0,43,11,44,23,55,29,51,11,15,2,27,20
10,1,0,18:30,1,1,12,0,1,81,5,0,0,43,8,20,23,55,29,12,15,40,2,27,20
11,1,0,18:19,5,1,17,20,3,0,0,0,0,43,8,20,23,55,29,12,40,17,4,24,20
12,1,0,18:05,7,0,20,0,3,47,1,0,0,8,20,40,4,52,29,12,40,17,4,24,20
13,1,0,17:58,1,0,40,0,3,32,6,0,0,8,20,40,4,52,29,12,40,17,4,24,20
14,1,0,17:32,5,1,36,5,2,0,0,0,0,26,51,40,5,18,29,25,36,29,3,47,20
15,1,0,17:08,1,1,29,0,3,46,2,0,0,26,44,40,5,18,29,25,36,29,3,47,20
16,1,0,16:55,1,1,91,0,3,34,1,0,0,93,11,44,18,55,29,91,25,36,2,27,20
17,1,0,16:45,13,1,26,55,2,0,0,0,0,93,11,44,18,55,29,91,21,26,2,27,20
18,1,0,16:24,1,1,91,0,3,23,1,0,0,93,11,44,23,55,29,91,21,26,2,27,20
19,1, ,16:24,3,1,0,0,0,0,0,0,0,93,11,44,23,55,29,91,21,26,2,27,20
20,1,0,16:24,4,0,43,51,2,0,0,0,0,43,48,96,4,52,29,51,11,15,4,24,20
21,1,0,16:10,13,0,43,4,2,0,0,0,0,43,48,96,4,52,29,51,11,15,4,24,20
22,1,0,15:56,1,1,11,0,3,52,2,0,0,43,48,96,4,52,29,51,11,15,4,24,20
23,1,0,15:43,7,0,48,0,3,13,5,0,0,43,48,96,5,18,29,51,15,40,4,24,20
24,1,0,15:37,7,0,5,0,3,62,2,0,0,43,48,96,5,18,29,51,15,40,4,24,20
25,1,0,15:17,9,0,93,0,1,0,0,0,0,93,8,20,5,18,29,12,40,17,4,47,20
26,1,0,15:12,1,1,40,0,3,10,6,0,0,93,8,20,5,18,29,12,40,17,3,47,20
27,1,0,14:54,1,1,40,0,3,32,1,0,0,51,8,20,23,55,29,12,40,17,3,47,20
28,1, ,14:54,3,1,0,0,0,0,0,0,0,51,8,20,23,55,29,12,40,17,3,47,20
