# 2012/01/10 
# OTT , PIT 
# 5 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,7,11,22,2,55,41,71,14,18,5,44,1
2,1,0,20:00,4,1,7,71,1,0,0,0,0,7,11,22,2,55,41,71,14,18,5,44,1
3,1,0,19:28,1,1,14,0,3,26,3,0,0,7,11,22,2,55,41,71,14,18,5,44,1
4,1,0,19:07,5,1,44,7,2,0,0,0,0,7,11,22,4,39,41,71,14,18,5,44,1
5,1,0,18:47,5,1,25,39,2,0,0,0,0,14,19,9,4,39,41,25,48,9,4,47,1
6,1,0,18:38,13,1,9,4,2,0,0,0,0,14,19,9,4,39,41,25,48,9,4,47,1
7,1,0,18:32,1,1,25,0,3,33,3,0,0,14,19,9,4,39,41,25,48,9,4,47,1
8,1, ,18:29,3,4,0,0,0,0,0,0,0,15,25,71,5,17,41,25,48,9,4,47,1
9,1,0,18:29,4,1,15,12,3,0,0,0,0,15,25,71,5,17,41,12,24,26,2,6,1
10,1,0,18:25,7,1,2,0,3,57,3,0,0,15,25,71,5,17,41,12,24,26,2,6,1
11,1,0,18:03,13,1,6,71,2,0,0,0,0,15,25,71,5,17,41,12,24,26,2,6,1
12,1,0,17:57,13,1,12,15,2,0,0,0,0,15,25,71,5,17,41,12,24,26,2,6,1
13,1,0,17:45,1,1,6,0,3,58,2,0,0,15,25,71,5,17,41,12,24,26,2,6,1
14,1,0,17:26,13,1,45,4,2,0,0,0,0,15,25,71,4,39,41,46,27,45,2,6,1
15,1, ,17:25,3,4,0,0,0,0,0,0,0,15,25,71,4,39,41,46,27,45,2,6,1
16,1,0,17:25,4,1,28,46,3,0,0,0,0,28,16,23,4,39,41,46,27,45,5,44,1
17,1, ,17:11,3,2,0,0,0,0,0,0,0,28,16,23,4,39,41,46,27,45,5,44,1
18,1,0,17:11,4,1,23,46,1,0,0,0,0,28,16,23,4,39,41,46,27,45,5,44,1
19,1,0,16:45,1,0,23,0,3,60,1,0,0,7,28,23,2,55,41,71,27,14,5,44,1
20,1,0,16:34,8,0,2,0,2,0,0,0,0,7,11,22,2,55,41,71,14,18,4,47,1
21,1,0,15:56,7,1,4,0,3,44,1,0,0,7,11,22,2,55,41,71,14,18,4,47,1
22,1,0,15:43,7,1,4,0,3,57,1,0,0,7,11,22,2,55,41,71,14,18,4,47,1
23,1,0,15:31,9,1,14,0,3,0,0,0,0,19,11,22,2,55,41,71,14,18,4,5,1
24,1,0,15:26,1,1,5,0,3,45,3,0,0,19,11,22,2,55,41,71,14,18,5,44,1
25,1,0,15:07,5,1,9,2,3,0,0,0,0,14,19,9,2,17,41,25,48,9,5,44,1
26,1,0,14:53,7,1,5,0,3,59,1,0,0,14,19,9,2,17,41,25,48,9,5,44,1
27,1,0,14:47,13,1,25,2,2,0,0,0,0,14,19,9,2,17,41,25,48,9,5,44,1
28,1,0,14:36,1,0,9,0,3,10,5,0,0,14,19,9,2,17,41,25,48,9,5,44,1
29,1,0,14:25,13,0,17,9,2,0,0,0,0,14,19,9,5,17,41,25,48,9,5,44,1
30,1,0,14:13,5,1,25,14,2,0,0,0,0,14,15,9,5,17,41,25,48,9,5,44,1
31,1,0,14:11,13,0,5,9,2,0,0,0,0,14,15,9,5,17,41,25,48,9,5,44,1
32,1,0,14:10,5,1,5,15,2,0,0,0,0,14,15,9,5,17,41,25,48,9,5,44,1
33,1,0,13:49,13,0,4,2,2,0,0,0,0,15,25,71,4,39,41,12,24,26,2,6,1
34,1,0,13:42,7,1,12,0,3,40,2,0,0,15,25,71,4,39,41,12,24,26,2,6,1
35,1,0,13:26,5,0,25,6,3,0,0,0,0,15,25,23,4,39,41,12,24,26,2,6,1
36,1,0,13:16,13,0,25,2,2,0,0,0,0,15,25,23,4,39,41,12,24,26,2,6,1
37,1,0,12:50,5,1,2,28,2,0,0,0,0,28,16,23,5,17,41,46,27,45,2,6,1
38,1,0,12:38,1,1,46,0,3,17,1,0,0,28,16,23,5,17,41,46,27,45,4,47,1
39,1,0,12:26,5,1,46,17,3,0,0,0,0,28,16,23,5,17,41,46,27,45,4,47,1
40,1,0,12:19,6,0,5,46,2,0,0,0,0,28,16,23,5,17,41,46,27,45,4,47,1
41,1, ,12:19,3,9,0,0,0,0,0,0,0,28,16,23,17,41,0,46,27,45,4,47,1
42,1,1,12:19,4,1,28,71,3,0,0,0,0,28,23,2,17,41,0,71,14,18,26,2,1
43,1, ,11:37,3,5,0,0,0,0,0,0,0,15,22,2,17,41,0,71,14,18,26,2,1
44,1,1,11:37,4,1,11,71,2,0,0,0,0,11,9,4,55,41,0,71,14,18,26,2,1
45,1,-1,11:19,9,0,9,0,2,0,0,0,0,11,9,4,55,41,0,71,14,18,26,2,1
46,1,-1,11:00,13,1,47,55,2,0,0,0,0,15,22,4,55,41,0,25,71,18,4,47,1
47,1,1,10:33,1,1,9,0,3,42,1,0,0,9,23,2,4,41,0,25,71,9,4,47,1
48,1,-1,10:23,1,0,23,0,3,25,1,0,0,9,23,2,4,41,0,25,71,9,4,47,1
49,1,0,9:58,1,1,48,0,3,41,1,0,0,9,23,2,5,17,41,25,48,9,5,44,1
50,1,0,9:48,5,1,48,5,3,0,0,0,0,19,9,2,5,17,41,25,48,9,5,44,1
51,1,0,9:41,1,1,48,0,3,38,3,0,0,14,19,11,2,17,41,25,48,12,5,44,1
52,1,0,9:33,1,0,19,0,3,45,1,0,0,14,19,11,2,17,41,25,48,12,5,44,1
53,1,0,8:48,1,0,25,0,3,9,4,0,0,7,25,71,2,55,41,71,27,24,5,6,1
54,1,0,8:47,2,0,25,0,3,9,1,7,71,7,25,71,2,55,41,71,27,24,5,6,1
55,1,0,8:47,4,1,15,71,1,0,0,0,0,15,16,22,2,55,41,71,14,18,4,6,1
56,1,0,8:39,13,0,16,4,2,0,0,0,0,15,16,22,2,55,41,71,14,18,4,6,1
57,1,0,8:28,9,1,18,0,2,0,0,0,0,15,16,22,2,55,41,71,14,18,4,6,1
58,1,0,8:14,8,1,14,0,3,0,0,0,0,15,16,22,2,55,41,71,14,18,4,6,1
59,1, ,8:08,3,0,0,0,0,0,0,0,0,15,16,22,2,55,41,71,14,18,4,6,1
60,1,0,8:08,4,1,22,71,1,0,0,0,0,7,11,22,2,55,41,71,14,18,2,44,1
61,1, ,7:46,3,6,0,0,0,0,0,0,0,7,11,22,2,55,41,71,14,18,2,44,1
62,1,0,7:46,4,0,19,71,3,0,0,0,0,14,19,9,4,39,41,71,14,18,2,44,1
63,1,0,7:42,13,0,9,44,2,0,0,0,0,14,19,9,4,39,41,71,14,18,2,44,1
64,1,0,7:32,5,1,44,4,2,0,0,0,0,14,19,9,4,39,41,71,18,26,2,44,1
65,1,0,6:50,5,1,45,5,3,0,0,0,0,15,25,71,5,17,41,46,45,26,4,6,1
66,1, ,6:45,3,2,0,0,0,0,0,0,0,15,25,71,5,17,41,46,45,26,4,6,1
67,1,0,6:45,4,1,15,45,1,0,0,0,0,15,25,71,5,17,41,46,45,26,4,6,1
68,1,0,6:14,5,1,46,15,3,0,0,0,0,15,25,71,5,17,41,46,45,26,4,6,1
69,1,0,5:57,2,0,16,0,3,18,1,71,0,15,16,71,2,55,41,25,48,9,5,6,1
70,1, ,5:57,3,0,0,0,0,0,0,0,0,15,16,71,2,55,41,25,48,9,5,44,1
71,1,0,5:57,4,0,28,9,1,0,0,0,0,28,16,23,5,17,41,48,9,24,5,44,1
72,1,0,5:28,7,1,48,0,3,31,5,0,0,28,16,23,5,17,41,48,9,24,5,44,1
73,1,0,5:28,5,1,24,28,3,0,0,0,0,28,16,23,5,17,41,48,9,24,5,44,1
74,1,0,4:47,5,1,27,4,3,0,0,0,0,7,11,22,4,39,41,25,12,27,2,4,1
75,1, ,4:43,3,0,0,0,0,0,0,0,0,7,11,22,4,39,41,25,12,27,2,4,1
76,1,0,4:43,4,1,19,71,3,0,0,0,0,14,19,9,4,39,41,71,14,18,2,4,1
77,1,0,3:58,9,1,2,0,2,0,0,0,0,7,11,9,2,55,41,71,14,18,2,4,1
78,1,0,3:23,13,0,2,4,2,0,0,0,0,7,11,22,2,55,41,71,45,18,2,4,1
79,1,0,2:31,7,1,27,0,3,38,1,0,0,15,25,71,5,17,41,46,27,45,5,6,1
80,1,0,1:55,5,1,9,28,3,0,0,0,0,28,16,23,5,17,41,25,48,9,2,6,1
81,1,0,1:30,8,1,9,0,2,0,0,0,0,19,28,23,4,39,41,25,48,9,2,6,1
82,1,0,1:09,5,1,12,14,1,0,0,0,0,14,19,9,4,39,41,12,24,26,2,44,1
83,1,0,1:04,5,0,39,12,2,0,0,0,0,14,19,9,4,39,41,12,24,26,2,44,1
84,1,0,0:50,8,1,24,0,2,0,0,0,0,14,19,11,2,55,41,12,24,26,2,44,1
85,1,0,0:02,1,1,18,0,3,57,1,0,0,7,11,22,2,55,41,71,14,18,4,5,1
86,1, ,0:00,11,0,0,0,0,0,0,0,0,7,11,22,2,55,41,71,14,18,4,5,1
87,2, ,20:00,10,0,0,0,0,0,0,0,0,7,11,22,2,55,41,25,48,9,5,44,1
88,2,0,20:00,4,1,7,9,1,0,0,0,0,7,11,22,2,55,41,25,48,9,5,44,1
89,2,0,19:33,5,0,2,48,3,0,0,0,0,7,11,22,2,55,41,25,48,9,5,44,1
90,2,0,19:30,13,1,9,55,2,0,0,0,0,7,11,22,2,55,41,25,48,9,5,44,1
91,2,0,18:45,2,0,19,0,3,7,6,14,4,14,19,9,4,39,41,71,14,18,2,4,1
92,2,0,18:45,4,0,15,12,1,0,0,0,0,15,25,71,4,39,41,12,45,24,2,4,29
93,2, ,18:04,3,3,0,0,0,0,0,0,0,15,25,71,5,39,41,12,45,24,6,44,29
94,2,0,18:04,4,1,19,71,3,0,0,0,0,14,19,9,5,17,41,71,14,18,6,44,29
95,2,0,17:56,1,1,14,0,3,10,1,0,0,14,19,9,5,17,41,71,14,18,6,44,29
96,2, ,17:55,3,8,0,0,0,0,0,0,0,14,19,9,5,17,41,71,14,18,6,44,29
97,2,0,17:55,6,0,9,18,0,0,0,0,0,14,19,9,5,17,41,71,14,18,6,44,29
98,2,0,17:55,6,1,18,9,3,0,0,0,0,14,19,5,17,41,0,71,14,18,6,44,29
99,2,0,17:55,4,0,7,71,2,0,0,0,0,7,11,2,55,41,0,71,14,6,44,29,0
100,2, ,17:33,3,0,0,0,0,0,0,0,0,7,11,2,55,41,0,71,14,6,44,29,0
101,2,0,17:33,4,0,15,9,2,0,0,0,0,15,22,2,55,41,0,9,26,6,44,29,0
102,2,0,17:20,5,1,44,2,3,0,0,0,0,15,22,2,55,41,0,9,26,6,44,29,0
103,2,0,16:58,5,1,44,22,3,0,0,0,0,15,22,2,55,41,0,9,26,6,44,29,0
104,2,0,16:49,1,1,6,0,3,8,6,0,0,15,22,2,55,41,0,48,9,2,6,29,0
105,2,0,16:35,1,1,9,0,3,42,3,0,0,19,71,4,55,41,0,48,9,2,6,29,0
106,2, ,16:33,3,1,0,0,0,0,0,0,0,19,71,4,55,41,0,48,9,2,4,29,0
107,2,0,16:33,4,1,19,71,3,0,0,0,0,19,71,4,17,41,0,48,71,2,4,29,0
