# 2012/01/15 
# L.A , EDM 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,10,28,25,2,3,32,12,16,55,24,44,40
2,1,0,20:00,4,1,28,12,1,0,0,0,0,10,28,25,2,3,32,12,16,55,24,44,40
3,1,0,19:29,5,1,16,3,3,0,0,0,0,10,28,25,2,3,32,12,16,55,24,44,40
4,1, ,19:03,3,2,0,0,0,0,0,0,0,11,14,23,2,3,32,10,57,28,5,58,40
5,1,0,19:03,4,0,11,10,1,0,0,0,0,11,14,23,26,33,32,10,57,28,5,58,40
6,1, ,19:01,3,10,0,0,0,0,0,0,0,11,14,23,26,33,32,10,57,28,5,58,40
7,1,0,19:01,4,1,11,10,1,0,0,0,0,11,14,23,26,33,32,10,57,28,5,58,40
8,1,0,18:22,7,1,28,0,3,40,1,0,0,11,14,23,26,33,32,10,57,28,25,33,40
9,1,0,17:47,5,0,48,4,2,0,0,0,0,22,48,15,7,8,32,89,83,4,25,33,40
10,1,0,17:41,7,1,25,0,3,17,0,0,0,22,48,15,7,8,32,89,83,4,25,33,40
11,1,0,17:38,8,1,83,0,3,0,0,0,0,22,48,15,7,8,32,89,83,4,25,33,40
12,1,0,17:34,1,1,4,0,3,12,1,0,0,22,48,15,7,8,32,89,83,4,5,58,40
13,1,0,17:30,1,1,58,0,3,64,1,0,0,22,48,15,7,8,32,89,83,4,5,58,40
14,1,0,17:07,5,1,55,7,3,0,0,0,0,24,47,13,7,8,32,12,16,55,5,58,40
15,1,0,16:59,8,1,12,0,3,0,0,0,0,24,47,13,7,8,32,12,16,55,5,58,40
16,1,0,16:58,1,1,12,0,3,14,6,0,0,24,47,13,7,8,32,12,16,55,5,58,40
17,1,0,16:12,1,0,28,0,3,50,2,0,0,10,28,25,2,3,32,42,91,94,24,44,40
18,1, ,16:11,3,0,0,0,0,0,0,0,0,10,28,25,2,3,32,42,91,94,24,44,40
19,1,0,16:11,4,0,28,42,3,0,0,0,0,10,28,25,2,3,32,42,91,94,24,44,40
20,1,0,16:04,13,0,28,24,2,0,0,0,0,10,28,25,2,3,32,42,91,94,24,44,40
21,1,0,16:02,5,0,28,91,3,0,0,0,0,10,28,25,2,3,32,42,91,94,24,44,40
22,1, ,15:54,3,0,0,0,0,0,0,0,0,10,28,25,2,3,32,42,91,94,24,44,40
