# 2012/01/17 
# EDM , COL 
# 2 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,12,16,55,24,44,40,9,24,40,3,5,30
2,1,0,20:00,4,CBJ,12,24,1,0,0,0,0,12,16,55,24,44,40,9,24,40,3,5,30
3,1,0,19:43,5,0,16,3,3,0,0,0,0,12,16,55,24,44,40,9,24,40,3,5,30
4,1,0,19:41,7,0,12,0,3,36,1,0,0,12,16,55,24,44,40,9,24,40,3,5,30
5,1,0,19:35,1,0,12,0,3,52,1,0,0,12,16,55,24,44,40,9,24,40,3,5,30
6,1,0,19:09,5,0,5,22,2,0,0,0,0,89,83,94,5,24,40,16,22,61,6,51,30
7,1,0,18:59,7,CBJ,51,0,3,43,1,0,0,89,83,94,5,24,40,16,22,61,6,51,30
8,1,0,18:42,5,0,89,19,3,0,0,0,0,89,83,94,5,58,40,16,19,33,6,51,30
9,1,0,18:25,5,0,5,33,2,0,0,0,0,89,28,94,5,58,40,19,50,33,3,4,30
10,1,0,18:02,5,CBJ,33,33,3,0,0,0,0,10,57,28,25,33,40,50,33,25,3,4,30
11,1,0,17:57,13,CBJ,33,33,2,0,0,0,0,10,57,28,25,33,40,50,33,25,3,4,30
12,1,0,17:33,9,CBJ,25,0,2,0,0,0,0,10,57,91,25,33,40,50,15,25,3,4,30
13,1,0,17:30,1,0,91,0,3,18,1,0,0,42,91,94,25,33,40,9,26,15,5,58,30
14,1,0,17:24,5,CBJ,15,25,3,0,0,0,0,42,91,94,25,33,40,9,26,15,5,58,30
15,1,0,16:53,5,CBJ,24,24,3,0,0,0,0,42,91,94,24,44,40,9,24,40,5,58,30
16,1,0,16:34,5,0,55,6,2,0,0,0,0,12,16,55,24,44,40,9,24,40,6,51,30
17,1,0,16:16,5,CBJ,51,16,2,0,0,0,0,12,16,55,5,58,40,16,22,61,6,51,30
18,1,0,15:53,1,0,58,0,3,49,2,0,0,10,57,28,5,58,40,16,22,61,6,51,30
19,1, ,15:51,3,1,0,0,0,0,0,0,0,10,57,28,5,58,40,16,22,61,6,51,30
20,1,0,15:51,4,CBJ,10,50,2,0,0,0,0,10,57,28,5,58,40,19,50,33,3,4,30
21,1, ,15:44,3,10,0,0,0,0,0,0,0,10,57,28,5,58,40,19,50,33,3,4,30
22,1,0,15:44,4,CBJ,10,50,2,0,0,0,0,10,57,28,24,44,40,19,50,33,3,4,30
23,1,0,15:41,5,0,28,4,3,0,0,0,0,10,57,28,24,44,40,19,50,33,3,4,30
24,1,0,15:32,5,CBJ,3,57,2,0,0,0,0,10,57,28,24,44,40,19,50,33,3,4,30
25,1,0,14:57,5,0,55,19,3,0,0,0,0,42,55,91,25,33,40,19,50,33,3,4,30
26,1,0,14:38,8,CBJ,25,0,1,0,0,0,0,42,55,91,25,33,40,26,15,25,5,58,30
27,1,0,14:31,1,CBJ,25,0,3,10,1,0,0,89,55,91,25,33,40,26,15,25,5,58,30
28,1,0,14:24,13,CBJ,58,55,2,0,0,0,0,89,55,91,25,33,40,26,15,25,5,58,30
29,1,0,14:19,5,0,33,15,2,0,0,0,0,89,55,91,25,33,40,26,15,25,5,58,30
30,1,0,13:51,8,CBJ,58,0,2,0,0,0,0,89,83,94,5,58,40,16,22,61,5,58,30
31,1,0,13:22,7,0,83,0,3,17,3,0,0,89,83,94,5,58,40,16,22,61,6,51,30
32,1,0,12:59,2,0,57,0,3,8,5,12,28,12,57,28,24,44,40,9,16,40,3,4,30
33,1,0,12:59,4,0,12,24,1,0,0,0,0,12,57,28,25,33,40,9,24,40,5,58,30
34,1,0,12:14,9,CBJ,5,0,2,0,0,0,0,42,91,94,24,44,40,19,50,33,5,58,30
35,1,0,12:00,5,0,42,33,2,0,0,0,0,42,91,94,24,44,40,19,50,33,3,4,30
36,1,0,11:46,5,0,42,33,3,0,0,0,0,42,91,94,24,44,40,19,50,33,3,4,30
37,1,0,11:38,5,CBJ,50,91,1,0,0,0,0,42,91,94,24,44,40,19,50,33,3,4,30
38,1,0,11:10,2,0,55,0,3,12,1,58,83,89,83,55,5,58,40,26,15,25,6,51,30
39,1, ,11:10,3,0,0,0,0,0,0,0,0,89,83,55,5,58,40,26,15,25,6,51,30
40,1,0,11:10,4,CBJ,12,26,1,0,0,0,0,12,16,55,5,58,40,26,15,25,5,58,30
41,1,0,10:12,9,CBJ,16,0,3,0,0,0,0,10,57,28,5,58,40,16,22,61,3,4,30
42,1,0,9:53,5,CBJ,61,28,1,0,0,0,0,10,57,28,5,58,40,16,22,61,3,4,30
43,1,0,9:49,5,CBJ,3,57,2,0,0,0,0,57,89,28,24,44,40,16,22,61,3,4,30
44,1, ,9:07,3,0,0,0,0,0,0,0,0,12,89,83,24,44,40,50,33,40,6,51,30
45,1,0,9:07,4,0,89,15,2,0,0,0,0,12,89,83,24,44,40,26,15,25,6,51,30
46,1,0,8:54,5,CBJ,15,24,3,0,0,0,0,12,89,83,24,44,40,26,15,25,6,51,30
47,1,0,8:02,5,CBJ,24,57,3,0,0,0,0,10,57,28,25,33,40,9,24,40,5,58,30
48,1,0,8:02,5,CBJ,40,10,3,0,0,0,0,10,57,28,25,33,40,9,24,40,5,58,30
49,1,0,7:50,13,0,57,58,2,0,0,0,0,10,57,28,24,44,40,9,24,40,5,58,30
50,1, ,7:42,3,6,0,0,0,0,0,0,0,10,57,28,24,44,40,9,24,40,5,58,30
51,1,0,7:42,4,0,42,24,3,0,0,0,0,42,91,94,5,58,40,9,24,40,5,58,30
52,1,0,7:28,1,0,58,0,3,59,1,0,0,42,91,94,5,58,40,9,24,40,5,58,30
53,1,0,7:22,1,0,94,0,3,9,1,0,0,42,91,94,5,58,40,9,24,40,5,58,30
54,1,0,7:21,5,CBJ,24,5,2,0,0,0,0,42,91,94,5,58,40,9,24,40,5,58,30
55,1,0,7:11,7,0,5,0,3,63,2,0,0,42,91,94,5,58,40,9,24,40,5,58,30
56,1,0,6:52,1,CBJ,3,0,3,59,2,0,0,42,16,91,24,58,40,16,22,61,3,4,30
57,1,0,6:16,5,CBJ,4,55,2,0,0,0,0,10,12,55,25,44,40,16,19,33,3,4,30
