# 2012/01/23 
# STL , DET 
# 1 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,74,42,57,5,22,41,26,51,40,5,18,35
2,1,0,20:00,4,1,42,40,1,0,0,0,0,74,42,57,5,22,41,26,51,40,5,18,35
3,1,0,18:50,1,0,21,0,3,34,6,0,0,17,21,36,27,28,41,13,93,44,5,23,35
4,1, ,18:49,3,1,0,0,0,0,0,0,0,17,21,36,27,28,41,13,93,44,5,23,35
5,1,0,18:49,4,1,21,13,2,0,0,0,0,17,21,36,27,28,41,13,93,44,23,55,35
6,1,0,18:32,1,0,36,0,3,40,1,0,0,17,21,36,27,28,41,13,93,44,23,55,35
7,1,0,18:17,5,1,13,21,2,0,0,0,0,17,21,36,27,28,41,13,93,44,23,55,35
8,1,0,18:04,5,1,43,12,3,0,0,0,0,12,26,32,4,46,41,43,93,11,22,52,35
9,1,0,17:48,7,1,43,0,1,74,1,0,0,12,26,32,4,46,41,43,11,20,22,52,35
10,1, ,17:47,3,8,0,0,0,0,0,0,0,12,26,32,4,46,41,43,11,20,22,52,35
11,1,0,17:47,4,0,44,8,2,0,0,0,0,44,15,25,5,22,41,48,8,96,22,52,35
12,1,0,17:31,8,1,8,0,2,0,0,0,0,44,15,25,5,22,41,48,8,96,22,52,35
13,1,0,17:27,5,1,8,5,3,0,0,0,0,44,15,25,5,22,41,48,8,96,22,52,35
14,1,0,17:19,1,0,44,0,3,37,3,0,0,44,15,25,5,22,41,48,8,96,22,52,35
15,1,0,17:16,9,1,52,0,2,0,0,0,0,44,15,25,5,22,41,48,8,96,22,52,35
16,1,0,17:11,5,0,25,22,3,0,0,0,0,44,15,25,5,22,41,48,8,96,22,52,35
17,1,0,17:09,1,1,8,0,3,44,1,0,0,44,15,25,5,22,41,48,8,96,22,52,35
18,1, ,17:08,3,1,0,0,0,0,0,0,0,44,15,25,5,22,41,48,8,96,22,52,35
19,1,0,17:08,4,1,42,40,3,0,0,0,0,74,42,57,27,28,41,26,51,40,5,18,35
20,1,0,17:04,5,0,28,51,2,0,0,0,0,74,42,57,27,28,41,26,51,40,5,18,35
21,1,0,16:10,7,0,4,0,3,41,1,0,0,17,21,36,4,46,41,26,51,40,5,18,35
22,1,0,15:37,5,0,12,23,3,0,0,0,0,12,26,32,27,28,41,13,93,44,23,55,35
23,1,0,15:31,5,1,23,12,2,0,0,0,0,12,26,32,27,28,41,13,93,44,23,55,35
24,1,0,15:13,1,1,13,0,3,40,1,0,0,12,15,26,27,28,41,13,93,44,23,55,35
25,1,0,14:50,7,0,44,0,3,8,5,0,0,44,15,25,5,22,41,13,11,20,23,55,35
26,1,0,14:43,5,0,22,20,2,0,0,0,0,44,15,25,5,22,41,43,11,20,18,52,35
27,1,0,14:30,8,0,42,0,1,0,0,0,0,74,42,57,4,46,41,43,11,20,18,52,35
28,1,0,13:39,7,1,51,0,3,6,4,0,0,74,42,57,4,46,41,26,51,40,5,23,35
29,1,0,13:27,7,0,42,0,3,13,6,0,0,17,36,42,4,46,41,26,51,40,5,23,35
30,1,0,13:22,8,1,44,0,1,0,0,0,0,17,21,36,4,46,41,51,44,40,5,23,35
31,1,0,13:20,1,1,40,0,3,28,6,0,0,17,21,36,4,46,41,51,44,40,5,23,35
32,1, ,13:19,3,0,0,0,0,0,0,0,0,17,21,36,4,46,41,51,44,40,5,23,35
33,1,0,13:19,4,1,21,93,3,0,0,0,0,17,21,36,27,28,41,13,93,44,23,55,35
34,1,0,13:15,1,1,23,0,3,59,2,0,0,17,21,36,27,28,41,13,93,44,23,55,35
35,1,0,13:09,9,1,13,0,3,0,0,0,0,17,21,36,27,28,41,13,93,44,23,55,35
36,1,0,12:33,8,1,13,0,1,0,0,0,0,74,42,57,27,28,41,13,93,44,5,18,35
37,1,0,12:04,9,1,18,0,1,0,0,0,0,44,15,25,5,22,41,26,51,40,5,18,35
38,1,0,11:33,5,1,43,25,3,0,0,0,0,44,15,25,5,22,41,43,11,20,22,52,35
39,1,0,10:54,5,0,26,20,3,0,0,0,0,12,26,32,4,46,41,11,8,20,23,52,35
40,1,0,10:48,2,0,12,0,3,22,1,26,32,12,26,32,4,46,41,48,11,8,5,55,35
41,1,0,10:47,4,0,21,93,1,0,0,0,0,17,21,36,27,28,41,13,93,44,5,55,35
42,1,0,10:27,1,0,36,0,3,52,1,0,0,17,21,36,27,28,41,13,93,44,5,55,35
43,1,0,10:18,5,0,36,55,3,0,0,0,0,17,21,36,27,28,41,13,93,44,5,55,35
44,1,0,9:36,7,0,57,0,3,21,3,0,0,74,42,57,5,22,41,26,51,40,5,52,35
45,1,0,9:28,1,0,57,0,3,22,3,0,0,74,42,57,5,22,41,26,51,40,5,52,35
46,1,0,9:06,13,1,23,4,2,0,0,0,0,44,15,25,4,46,41,26,51,40,23,52,35
47,1,0,8:42,7,0,12,0,3,17,1,0,0,12,15,25,4,46,41,48,8,96,23,52,35
48,1,0,8:35,5,1,8,46,1,0,0,0,0,12,15,25,4,46,41,48,8,96,23,52,35
49,1,0,8:18,7,1,96,0,3,14,5,0,0,12,26,32,4,46,41,48,8,96,18,55,35
50,1,0,8:06,5,0,22,96,2,0,0,0,0,26,42,32,4,22,41,48,8,96,18,55,35
51,1,0,7:49,1,1,11,0,3,40,1,0,0,26,42,32,4,22,41,43,11,20,18,55,35
52,1,0,7:31,5,0,22,43,2,0,0,0,0,26,42,32,4,22,41,43,11,20,18,55,35
53,1,0,7:22,1,1,11,0,3,49,3,0,0,17,26,42,22,27,41,43,11,20,5,23,35
54,1, ,7:21,3,0,0,0,0,0,0,0,0,17,26,42,22,27,41,43,11,20,5,23,35
