# 2012/01/24 
# WPG , NYR 
# 0 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,22,15,4,29,31,17,22,24,4,32,30
2,1,0,20:00,4,0,19,22,1,0,0,0,0,19,22,15,4,29,31,17,22,24,4,32,30
3,1,0,19:48,5,1,4,22,2,0,0,0,0,19,22,15,4,29,31,17,22,24,4,32,30
4,1,0,19:37,5,0,19,4,3,0,0,0,0,19,22,15,4,29,31,17,22,24,4,32,30
5,1,0,19:25,1,0,4,0,3,54,3,0,0,19,22,15,4,29,31,17,22,24,4,32,30
6,1,0,18:50,9,1,5,0,2,0,0,0,0,18,20,26,5,12,31,19,8,26,5,27,30
7,1,0,18:47,1,0,12,0,3,55,2,0,0,18,20,26,5,12,31,19,8,26,5,27,30
8,1,0,18:47,5,1,8,20,2,0,0,0,0,18,20,26,5,12,31,19,8,26,5,27,30
9,1, ,18:47,3,8,0,0,0,0,0,0,0,18,20,26,5,12,31,19,8,26,5,27,30
10,1,0,18:47,4,1,18,19,2,0,0,0,0,18,20,26,5,12,31,19,8,26,5,27,30
11,1, ,18:43,3,3,0,0,0,0,0,0,0,18,20,26,5,12,31,19,8,26,5,27,30
12,1,0,18:43,4,1,18,19,2,0,0,0,0,18,20,26,5,12,31,19,8,26,5,27,30
13,1,0,18:22,9,0,18,0,2,0,0,0,0,18,26,16,5,12,31,19,8,26,5,27,30
14,1,0,18:06,1,1,19,0,3,35,3,0,0,18,26,16,6,12,31,19,8,26,5,27,30
15,1, ,18:06,3,1,0,0,0,0,0,0,0,18,26,16,6,12,31,19,8,26,5,27,30
16,1,0,18:06,4,0,19,21,2,0,0,0,0,19,80,16,6,39,31,21,10,62,5,27,30
17,1,0,17:22,1,1,5,0,3,39,2,0,0,13,80,16,6,39,31,21,10,62,5,27,30
18,1, ,17:22,3,1,0,0,0,0,0,0,0,13,80,16,6,39,31,21,10,62,5,27,30
19,1,0,17:22,4,1,19,34,3,0,0,0,0,19,22,15,5,12,31,34,42,71,18,41,30
20,1,0,17:00,5,0,28,34,1,0,0,0,0,21,28,22,5,12,31,34,42,71,18,41,30
21,1,0,16:45,5,0,28,18,3,0,0,0,0,21,28,17,5,12,31,34,42,71,18,41,30
22,1,0,16:15,13,1,24,18,2,0,0,0,0,18,20,26,4,29,31,17,22,24,4,32,30
23,1,0,15:57,9,0,29,0,2,0,0,0,0,18,20,26,4,29,31,17,22,24,4,32,30
24,1,0,15:55,1,1,32,0,3,48,2,0,0,18,20,26,4,29,31,17,22,24,4,32,30
25,1,0,15:55,2,1,24,0,3,8,3,32,22,18,20,26,4,29,31,17,22,24,4,32,30
26,1,0,15:55,4,1,80,19,1,0,0,0,0,13,80,16,6,39,31,19,8,26,5,27,30
27,1,0,14:43,13,0,4,27,2,0,0,0,0,18,20,26,4,29,31,21,10,62,5,27,30
28,1,0,14:38,13,0,4,27,2,0,0,0,0,18,20,26,4,29,31,21,10,62,5,27,30
29,1,0,14:33,9,0,4,0,2,0,0,0,0,18,20,26,4,29,31,21,10,62,4,32,30
30,1,0,14:22,5,1,32,18,2,0,0,0,0,18,20,26,4,29,31,21,10,62,4,32,30
31,1,0,14:16,5,0,18,10,3,0,0,0,0,18,20,26,4,29,31,21,10,62,4,32,30
32,1,0,13:46,6,1,71,22,1,0,0,0,0,19,22,15,5,12,31,34,42,71,18,41,30
33,1,0,13:46,6,0,22,71,1,0,0,0,0,19,22,15,5,12,31,34,42,18,41,30,0
34,1, ,13:46,3,9,0,0,0,0,0,0,0,19,15,5,12,31,0,34,42,18,41,30,0
35,1,0,13:46,4,1,19,22,2,0,0,0,0,19,17,15,5,12,31,17,22,24,18,41,30
36,1, ,13:39,3,10,0,0,0,0,0,0,0,19,17,15,5,12,31,17,22,24,18,41,30
37,1,0,13:39,4,0,19,22,1,0,0,0,0,19,17,15,5,12,31,17,22,24,18,41,30
38,1, ,13:21,3,2,0,0,0,0,0,0,0,19,17,15,5,12,31,17,22,24,18,41,30
