# 2012/02/02 
# MIN , COL 
# 1 , 0 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,21,25,15,46,55,32,26,88,39,3,8,35
2,1,0,20:00,4,0,21,26,1,0,0,0,0,21,25,15,46,55,32,26,88,39,3,8,35
3,1,0,19:29,9,1,39,0,1,0,0,0,0,21,25,15,46,55,32,26,88,39,3,8,35
4,1, ,19:18,3,6,0,0,0,0,0,0,0,7,10,22,39,55,32,26,23,39,3,8,35
5,1,0,19:18,4,0,7,37,2,0,0,0,0,7,10,22,39,46,32,37,23,92,6,27,35
6,1,0,19:09,5,0,39,92,2,0,0,0,0,7,10,22,39,46,32,37,23,92,6,27,35
7,1,0,18:39,8,1,27,0,1,0,0,0,0,14,43,10,5,44,32,37,23,92,6,27,35
8,1,0,18:00,5,0,45,44,2,0,0,0,0,14,43,45,4,5,32,12,16,34,44,46,35
9,1,0,17:53,7,0,43,0,1,70,2,0,0,14,43,45,4,5,32,12,16,34,44,46,35
10,1,0,17:15,13,1,55,39,2,0,0,0,0,36,41,28,39,44,32,17,7,55,3,8,35
11,1,0,16:54,7,1,26,0,3,39,1,0,0,36,25,15,39,44,32,26,88,39,6,27,35
12,1,0,16:12,5,0,4,23,2,0,0,0,0,21,25,15,4,5,32,26,23,39,44,46,35
13,1,0,15:28,9,1,3,0,2,0,0,0,0,7,10,22,46,55,32,34,37,92,3,8,35
14,1,0,15:28,5,1,3,10,2,0,0,0,0,7,10,22,46,55,32,34,37,92,3,8,35
15,1,0,15:09,7,1,8,0,3,56,2,0,0,14,43,10,46,55,32,16,34,92,3,8,35
16,1,0,15:06,5,0,14,3,2,0,0,0,0,14,43,10,46,55,32,16,34,92,3,8,35
17,1, ,15:00,3,5,0,0,0,0,0,0,0,14,43,10,46,55,32,12,16,34,3,8,35
18,1,0,15:00,4,0,43,16,1,0,0,0,0,14,43,45,39,44,32,12,16,34,44,46,35
19,1,0,14:52,5,1,12,44,3,0,0,0,0,14,43,45,39,44,32,12,16,34,44,46,35
20,1,0,14:43,13,1,12,14,2,0,0,0,0,14,43,45,39,44,32,12,16,34,44,46,35
21,1,0,14:25,5,1,17,44,3,0,0,0,0,14,36,45,39,44,32,12,16,17,44,46,35
22,1,0,14:21,5,1,55,45,3,0,0,0,0,14,36,45,39,44,32,17,7,55,6,27,35
23,1,0,14:17,1,1,7,0,3,9,0,0,0,14,36,45,39,44,32,17,7,55,6,27,35
24,1,0,14:14,13,1,55,39,2,0,0,0,0,14,36,45,39,44,32,17,7,55,6,27,35
25,1, ,14:01,3,6,0,0,0,0,0,0,0,36,41,28,4,5,32,17,7,55,6,27,35
26,1,0,14:01,4,0,21,7,3,0,0,0,0,21,25,15,4,5,32,17,7,55,6,27,35
27,1,0,13:56,2,0,5,0,3,53,2,15,21,21,25,15,4,5,32,17,7,55,6,27,35
28,1,0,13:56,4,1,21,26,1,0,0,0,0,21,25,15,4,5,32,26,88,39,3,8,35
29,1,0,13:31,13,1,8,4,2,0,0,0,0,21,25,15,4,5,32,26,88,39,3,8,35
30,1,0,13:16,1,0,25,0,3,61,1,0,0,21,25,15,46,55,32,26,88,39,3,8,35
31,1,0,12:57,8,0,22,0,1,0,0,0,0,7,10,22,46,55,32,12,16,34,44,46,35
32,1,0,12:29,1,1,46,0,3,65,2,0,0,7,10,22,46,55,32,12,16,34,44,46,35
33,1,0,12:25,13,1,44,7,2,0,0,0,0,7,10,22,46,55,32,12,16,34,44,46,35
34,1, ,12:02,3,9,0,0,0,0,0,0,0,14,43,45,39,44,32,37,23,92,6,27,35
