# 2012/02/03 
# WPG , FLA 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,22,15,4,6,50,9,32,14,44,51,30
2,1,0,20:00,4,1,19,9,1,0,0,0,0,19,22,15,4,6,50,9,32,14,44,51,30
3,1,0,19:31,13,1,14,4,2,0,0,0,0,19,22,15,4,6,50,9,32,14,44,51,30
4,1,0,19:25,5,0,15,14,1,0,0,0,0,19,22,15,4,6,50,9,32,14,44,51,30
5,1,0,18:44,1,1,20,0,3,44,3,0,0,18,26,16,33,39,50,57,26,20,43,52,30
6,1,0,18:19,8,1,52,0,1,0,0,0,0,18,26,16,33,39,50,13,18,82,4,52,30
7,1,0,18:13,8,0,18,0,2,0,0,0,0,18,26,16,33,39,50,10,21,22,4,23,30
8,1,0,17:59,7,1,4,0,3,63,1,0,0,18,26,16,33,39,50,10,18,82,4,23,30
9,1,0,17:47,1,1,18,0,3,14,6,0,0,18,26,16,33,39,50,13,18,82,4,23,30
10,1, ,17:45,3,1,0,0,0,0,0,0,0,18,26,16,33,39,50,13,18,82,4,23,30
11,1,0,17:45,4,1,21,10,3,0,0,0,0,8,21,20,5,29,50,10,21,22,4,23,30
12,1,0,17:07,5,0,5,21,2,0,0,0,0,8,21,20,5,29,50,10,21,22,4,23,30
13,1,0,16:57,13,0,8,4,2,0,0,0,0,8,21,20,4,29,50,10,21,32,4,23,30
14,1,0,16:15,1,0,17,0,3,52,2,0,0,13,80,17,4,6,50,9,32,14,44,51,30
15,1,0,15:28,5,0,26,43,3,0,0,0,0,18,26,16,33,39,50,57,26,20,43,52,30
16,1,0,15:23,1,0,26,0,3,64,2,0,0,18,26,16,33,39,50,57,26,20,43,52,30
17,1,0,15:19,5,1,52,16,2,0,0,0,0,18,26,16,33,39,50,57,26,20,43,52,30
18,1,0,15:08,13,0,39,57,2,0,0,0,0,18,26,16,33,39,50,57,26,20,43,52,30
19,1, ,15:08,3,4,0,0,0,0,0,0,0,18,26,16,33,39,50,57,26,20,43,52,30
20,1,0,15:08,4,0,19,18,3,0,0,0,0,19,22,15,5,29,50,13,18,82,4,23,30
