# 2012/02/04 
# L.A , CAR 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,14,23,3,33,45,16,14,36,5,6,30
2,1,0,20:00,4,0,11,16,1,0,0,0,0,11,14,23,3,33,45,16,14,36,5,6,30
3,1,0,19:26,5,0,23,36,2,0,0,0,0,11,14,23,3,33,45,16,14,36,28,44,30
4,1,0,19:04,5,0,13,12,3,0,0,0,0,22,48,13,7,8,45,12,19,15,28,44,30
5,1,0,18:58,13,1,15,8,2,0,0,0,0,22,48,13,7,8,45,12,19,15,28,44,30
6,1,0,18:47,5,1,19,8,3,0,0,0,0,22,48,13,7,8,45,19,53,15,28,44,30
7,1,0,18:41,1,0,22,0,3,31,3,0,0,22,48,13,7,8,45,53,15,36,28,44,30
8,1, ,18:40,3,1,0,0,0,0,0,0,0,22,48,13,7,8,45,53,15,36,28,44,30
9,1,0,18:40,4,0,28,12,3,0,0,0,0,10,28,25,2,27,45,12,19,15,4,8,30
10,1,0,18:33,13,0,10,4,2,0,0,0,0,10,28,25,2,27,45,12,19,15,4,8,30
11,1,0,18:19,1,0,10,0,3,12,5,0,0,10,28,25,2,27,45,12,19,15,4,8,30
12,1, ,18:18,3,1,0,0,0,0,0,0,0,10,28,25,2,27,45,12,19,15,4,8,30
13,1,0,18:18,4,0,24,20,3,0,0,0,0,24,15,47,2,27,45,20,37,13,28,44,30
14,1,0,18:10,5,1,37,2,1,0,0,0,0,24,15,47,2,27,45,20,37,13,28,44,30
15,1,0,17:40,6,0,2,37,2,0,0,0,0,24,15,47,2,27,45,20,37,13,28,44,30
16,1,-1,17:40,4,0,10,20,2,0,0,0,0,10,28,8,33,45,0,12,20,37,53,28,30
17,1, ,17:37,3,10,0,0,0,0,0,0,0,10,28,8,33,45,0,12,20,37,53,28,30
18,1,-1,17:37,4,0,10,20,1,0,0,0,0,10,22,8,33,45,0,12,20,37,53,28,30
19,1,-1,16:26,8,0,11,0,3,0,0,0,0,11,28,3,7,45,0,13,15,36,8,28,30
20,1,1,15:52,1,1,15,0,3,12,6,0,0,28,15,8,33,45,0,13,15,36,4,8,30
21,1,-1,15:45,13,1,8,15,2,0,0,0,0,28,15,8,33,45,0,13,15,36,4,8,30
22,1,0,15:38,8,0,15,0,2,0,0,0,0,28,15,2,8,33,45,13,15,36,4,8,30
23,1,0,15:32,6,1,13,8,3,0,0,0,0,28,15,2,8,33,45,13,15,36,4,8,30
24,1,-1,15:32,4,1,11,16,2,0,0,0,0,11,14,23,3,8,45,16,39,5,6,30,0
25,1,-1,15:07,13,0,3,5,2,0,0,0,0,11,14,23,3,8,45,16,39,5,6,30,0
26,1,1,15:02,2,0,11,0,3,23,3,14,3,11,14,23,3,8,45,16,39,5,6,30,0
27,1,0,15:02,4,0,48,53,1,0,0,0,0,22,48,13,3,33,45,53,21,36,28,44,30
28,1,0,14:51,9,1,53,0,2,0,0,0,0,22,48,13,3,33,45,53,21,36,28,44,30
29,1,0,14:38,13,0,48,44,2,0,0,0,0,22,48,13,3,33,45,53,21,36,28,44,30
30,1, ,14:25,3,8,0,0,0,0,0,0,0,22,48,13,3,33,45,53,21,36,28,44,30
31,1,0,14:25,4,0,10,12,2,0,0,0,0,10,28,25,2,27,45,12,19,15,4,8,30
32,1,0,13:52,1,0,28,0,3,41,1,0,0,24,28,25,2,27,45,12,19,15,4,8,30
33,1, ,13:50,3,0,0,0,0,0,0,0,0,24,28,25,2,27,45,12,19,15,4,8,30
34,1,0,13:50,4,1,24,37,2,0,0,0,0,24,15,47,7,8,45,20,37,13,4,8,30
35,1,0,13:30,13,0,47,13,2,0,0,0,0,24,15,47,7,8,45,20,37,13,4,8,30
36,1,0,12:50,5,0,11,16,2,0,0,0,0,11,14,23,7,8,45,16,14,39,5,6,30
37,1,0,12:06,7,0,23,0,3,9,6,0,0,11,14,23,2,27,45,16,15,39,5,6,30
38,1,0,12:05,7,0,11,0,3,11,1,0,0,11,14,23,2,27,45,16,15,39,5,6,30
39,1,0,11:58,1,0,14,0,3,54,1,0,0,11,14,23,2,27,45,16,15,39,5,6,30
40,1,0,11:44,1,0,2,0,3,40,1,0,0,22,48,13,2,27,45,12,19,15,5,44,30
41,1,0,11:37,5,0,2,19,2,0,0,0,0,22,48,13,2,27,45,12,19,15,28,44,30
42,1, ,11:35,3,0,0,0,0,0,0,0,0,22,48,13,2,27,45,12,19,15,28,44,30
43,1,0,11:35,4,1,48,12,1,0,0,0,0,22,48,13,3,33,45,12,19,15,28,44,30
44,1,0,10:52,13,0,48,28,2,0,0,0,0,22,48,13,3,33,45,53,15,36,28,44,30
45,1, ,10:51,3,4,0,0,0,0,0,0,0,22,48,13,3,33,45,53,15,36,28,44,30
