# 2012/02/05 
# BOS , WSH 
# 4 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,37,63,21,54,30,21,26,20,27,74,29
2,1,0,20:00,4,1,37,21,1,0,0,0,0,19,37,63,21,54,30,21,26,20,27,74,29
3,1,0,19:43,13,0,21,20,2,0,0,0,0,19,37,63,21,54,30,21,26,20,27,74,29
4,1,0,19:27,1,0,19,0,3,44,1,0,0,19,37,63,21,54,30,21,26,20,27,74,29
5,1,0,19:21,9,1,74,0,2,0,0,0,0,19,37,63,21,54,30,21,26,20,27,74,29
6,1,0,19:20,13,0,19,27,2,0,0,0,0,19,37,63,21,54,30,21,26,20,27,74,29
7,1, ,19:16,3,0,0,0,0,0,0,0,0,19,37,63,21,54,30,21,26,20,27,74,29
8,1,0,19:16,4,0,46,15,3,0,0,0,0,46,38,67,14,44,30,15,22,25,6,55,29
9,1,0,19:01,5,0,44,6,3,0,0,0,0,46,38,67,14,44,30,15,22,25,6,55,29
10,1, ,18:30,3,1,0,0,0,0,0,0,0,46,38,67,33,55,30,15,22,25,6,55,29
11,1,0,18:30,1,0,38,0,3,41,6,0,0,46,38,67,33,55,30,15,22,25,6,55,29
12,1,0,18:30,4,1,49,90,2,0,0,0,0,23,49,17,33,55,30,90,28,8,27,74,29
13,1,0,17:59,13,0,49,74,2,0,0,0,0,23,49,17,33,55,30,90,28,8,27,74,29
14,1,0,17:55,5,0,23,27,3,0,0,0,0,23,49,17,33,55,30,90,28,8,27,74,29
15,1,0,17:44,7,0,49,0,3,43,6,0,0,23,49,17,33,55,30,90,28,8,27,74,29
16,1,0,17:42,5,1,8,55,2,0,0,0,0,23,49,17,33,55,30,90,28,8,27,74,29
17,1,0,17:39,13,0,55,74,2,0,0,0,0,23,49,17,33,55,30,90,28,8,27,74,29
18,1,0,17:26,5,1,8,33,3,0,0,0,0,23,49,17,33,55,30,90,28,8,44,81,29
19,1, ,17:18,3,10,0,0,0,0,0,0,0,11,20,22,21,55,30,23,85,42,44,81,29
20,1,0,17:18,4,1,22,23,2,0,0,0,0,11,20,22,21,54,30,23,85,42,44,81,29
21,1,0,16:58,13,0,11,44,2,0,0,0,0,11,20,22,21,54,30,23,85,42,44,81,29
22,1,0,16:44,5,1,81,20,2,0,0,0,0,11,20,22,21,54,30,23,85,42,44,81,29
23,1, ,15:56,3,2,0,0,0,0,0,0,0,19,37,63,33,55,30,21,26,20,27,74,29
24,1,0,15:56,4,0,37,21,1,0,0,0,0,19,37,63,14,44,30,21,26,20,27,74,29
25,1,0,15:21,13,0,63,27,2,0,0,0,0,19,37,63,14,44,30,21,26,20,27,74,29
26,1,0,15:05,13,0,63,27,2,0,0,0,0,19,37,63,14,44,30,21,26,20,27,74,29
27,1,0,14:59,13,0,19,27,2,0,0,0,0,19,37,63,14,44,30,21,26,20,27,74,29
28,1, ,14:45,3,6,0,0,0,0,0,0,0,19,37,63,14,44,30,21,26,20,27,74,29
29,1,0,14:45,4,0,46,21,3,0,0,0,0,46,38,67,33,55,30,21,26,20,27,74,29
30,1,0,14:35,5,0,55,26,3,0,0,0,0,46,38,67,33,55,30,21,26,20,6,27,29
31,1,0,14:33,13,0,38,27,2,0,0,0,0,46,38,67,33,55,30,21,26,20,6,27,29
32,1,0,13:19,1,1,15,0,3,42,2,0,0,23,49,17,21,54,30,15,28,8,44,81,29
33,1, ,13:18,3,0,0,0,0,0,0,0,0,23,49,17,21,54,30,15,28,8,44,81,29
34,1,0,13:18,4,1,37,21,3,0,0,0,0,19,37,63,21,54,30,21,26,20,27,74,29
35,1, ,13:02,3,6,0,0,0,0,0,0,0,19,37,63,21,54,30,21,26,20,27,74,29
36,1,0,13:02,4,0,37,21,2,0,0,0,0,19,37,63,21,54,30,21,26,20,27,74,29
37,1,0,12:46,5,1,26,21,3,0,0,0,0,19,37,63,21,54,30,21,26,20,27,74,29
38,1,0,12:35,1,0,21,0,3,62,2,0,0,19,37,63,14,21,30,21,26,20,27,74,29
39,1, ,12:35,3,1,0,0,0,0,0,0,0,19,37,63,14,21,30,21,26,20,27,74,29
40,1,0,12:35,4,0,11,90,3,0,0,0,0,11,20,22,14,44,30,90,28,8,44,81,29
41,1,0,12:30,13,0,44,28,2,0,0,0,0,11,20,22,14,44,30,90,28,8,44,81,29
42,1,0,12:15,9,1,90,0,3,0,0,0,0,11,49,20,33,55,30,90,28,8,44,81,29
43,1,0,11:30,8,1,28,0,3,0,0,0,0,23,49,17,33,55,30,15,28,25,6,55,29
44,1,0,11:15,1,0,22,0,1,93,2,0,0,11,20,22,14,44,30,15,22,25,6,55,29
45,1, ,11:05,3,6,0,0,0,0,0,0,0,11,20,22,14,44,30,15,22,25,6,55,29
