# 2012/02/11 
# NSH , BOS 
# 3 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,27,57,6,20,35,23,49,17,14,44,30
2,1,0,20:00,4,1,20,23,1,0,0,0,0,11,27,57,6,20,35,23,49,17,14,44,30
3,1,0,19:33,5,0,6,17,2,0,0,0,0,11,27,57,6,20,35,23,49,17,14,44,30
4,1,0,19:30,1,1,17,0,3,10,1,0,0,11,27,57,6,20,35,23,49,17,14,44,30
5,1,0,19:29,1,1,17,0,3,11,1,0,0,11,27,57,6,20,35,23,49,17,14,44,30
6,1,0,19:29,1,1,17,0,3,9,1,0,0,11,27,57,6,20,35,23,49,17,14,44,30
7,1,0,18:58,1,1,55,0,3,69,2,0,0,12,10,74,20,59,35,19,37,63,33,55,30
8,1, ,18:58,3,1,0,0,0,0,0,0,0,12,10,74,20,59,35,19,37,63,33,55,30
9,1,0,18:58,4,0,12,37,2,0,0,0,0,12,10,74,8,59,35,19,37,63,33,55,30
10,1,0,18:51,5,0,12,55,2,0,0,0,0,12,10,74,8,59,35,19,37,63,33,55,30
11,1,0,18:42,13,1,19,59,2,0,0,0,0,12,10,74,8,59,35,19,37,63,33,55,30
12,1,0,18:21,7,1,33,0,3,63,3,0,0,12,10,74,8,59,35,19,37,63,33,55,30
13,1, ,17:51,3,2,0,0,0,0,0,0,0,15,18,22,38,51,35,46,38,67,21,54,30
14,1,0,17:51,4,1,25,11,1,0,0,0,0,13,33,25,6,20,35,11,20,22,21,54,30
15,1,0,17:32,1,0,20,0,3,45,2,0,0,13,33,25,6,20,35,11,20,22,21,54,30
16,1,0,17:27,1,0,20,0,3,25,6,0,0,13,33,25,6,20,35,11,20,22,21,54,30
17,1, ,17:21,3,6,0,0,0,0,0,0,0,13,33,25,6,20,35,11,20,22,21,54,30
18,1,0,17:21,4,1,11,11,2,0,0,0,0,11,27,57,8,59,35,11,20,22,21,54,30
19,1,0,16:55,13,1,22,59,2,0,0,0,0,11,27,57,8,59,35,23,17,22,14,44,30
20,1,0,16:43,5,0,27,44,3,0,0,0,0,11,27,57,6,20,35,23,49,17,14,44,30
21,1,0,16:30,13,1,17,20,2,0,0,0,0,12,27,57,6,20,35,23,49,17,14,44,30
22,1, ,16:19,3,1,0,0,0,0,0,0,0,12,27,57,6,20,35,23,49,17,14,44,30
23,1,0,16:19,1,1,14,0,3,58,3,0,0,12,27,57,6,20,35,23,49,17,14,44,30
24,1,0,16:19,4,1,12,19,3,0,0,0,0,12,10,74,6,20,35,19,37,63,33,55,30
