# 2012/02/16 
# WPG , MIN 
# 4 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,18,26,16,33,39,50,9,10,15,6,46,32
2,1,0,20:00,4,0,18,9,1,0,0,0,0,18,26,16,33,39,50,9,10,15,6,46,32
3,1,0,19:51,1,0,26,0,3,50,3,0,0,18,26,16,33,39,50,9,10,15,6,46,32
4,1,0,19:35,6,1,9,16,0,0,0,0,0,18,26,16,33,39,50,9,10,15,6,46,32
5,1,-1,19:35,4,1,18,7,2,0,0,0,0,18,26,16,33,39,50,7,21,39,55,32,0
6,1,1,18:53,7,0,18,0,3,11,5,0,0,18,26,16,33,39,50,14,21,2,5,32,0
7,1,-1,18:37,9,1,2,0,2,0,0,0,0,18,26,16,33,39,50,14,21,2,5,32,0
8,1,-1,17:51,13,0,14,55,2,0,0,0,0,13,80,14,9,29,50,7,22,39,55,32,0
9,1,0,16:58,8,1,10,0,1,0,0,0,0,19,22,15,5,12,50,9,10,15,2,5,32
10,1,0,16:49,7,1,9,0,3,42,1,0,0,8,80,15,5,12,50,9,10,15,2,5,32
11,1,0,16:41,5,0,5,10,2,0,0,0,0,8,80,15,5,12,50,9,10,15,2,5,32
12,1,0,16:36,7,1,2,0,3,41,3,0,0,8,80,15,5,12,50,9,10,15,2,5,32
13,1,0,16:21,13,0,9,55,2,0,0,0,0,8,13,9,6,29,50,7,21,25,2,55,32
14,1,0,15:53,8,1,21,0,3,0,0,0,0,8,13,9,6,29,50,7,21,25,39,55,32
15,1, ,15:32,3,4,0,0,0,0,0,0,0,8,13,9,6,33,50,7,21,25,39,55,32
16,1,0,15:32,4,0,18,26,1,0,0,0,0,18,26,16,33,39,50,26,27,22,6,46,32
17,1, ,15:26,3,2,0,0,0,0,0,0,0,18,26,16,33,39,50,26,27,22,6,46,32
18,1,0,15:26,4,0,18,27,1,0,0,0,0,18,26,16,33,39,50,26,27,22,6,46,32
19,1,0,14:55,5,0,33,22,1,0,0,0,0,18,26,16,33,39,50,26,27,22,6,46,32
20,1,0,14:42,13,0,33,6,2,0,0,0,0,18,26,16,12,33,50,27,22,15,2,6,32
21,1,0,14:19,13,0,12,2,2,0,0,0,0,80,14,20,5,12,50,27,10,15,2,6,32
22,1,0,14:15,13,1,15,5,2,0,0,0,0,80,14,20,5,12,50,27,10,15,2,6,32
23,1, ,14:13,3,4,0,0,0,0,0,0,0,80,14,20,5,12,50,9,10,15,2,39,32
24,1,0,14:13,4,1,19,43,3,0,0,0,0,19,22,15,6,29,50,14,43,28,5,46,32
25,1,0,13:55,5,1,46,22,3,0,0,0,0,19,22,15,6,29,50,14,43,28,5,46,32
26,1,0,13:32,5,0,15,46,3,0,0,0,0,19,22,15,5,6,50,14,43,28,5,46,32
27,1,0,13:13,5,0,5,14,3,0,0,0,0,13,19,9,5,12,50,14,43,28,5,46,32
28,1,0,12:57,1,0,9,0,3,31,1,0,0,8,13,9,5,12,50,9,10,15,39,55,32
29,1,0,12:48,8,0,13,0,2,0,0,0,0,8,13,9,5,12,50,9,10,15,39,55,32
30,1,0,12:16,9,0,8,0,3,0,0,0,0,8,13,9,33,39,50,9,10,15,2,39,32
31,1,0,12:10,2,1,10,0,3,9,5,9,15,8,13,9,33,39,50,9,10,15,2,5,32
32,1,0,12:10,4,1,18,21,1,0,0,0,0,18,26,16,6,29,50,7,21,25,6,46,32
33,1, ,12:00,3,0,0,0,0,0,0,0,0,18,26,16,6,29,50,7,21,25,6,46,32
34,1,0,12:00,4,1,18,21,2,0,0,0,0,18,26,16,6,29,50,7,21,25,6,46,32
35,1,0,11:38,5,1,21,18,3,0,0,0,0,18,26,16,6,29,50,7,21,25,6,46,32
36,1,0,11:09,5,0,9,39,3,0,0,0,0,8,13,9,5,12,50,26,27,22,39,55,32
37,1,0,10:32,8,1,55,0,2,0,0,0,0,8,13,14,5,12,50,26,27,22,39,55,32
38,1,0,10:14,13,1,15,80,2,0,0,0,0,80,14,20,12,39,50,9,10,15,2,5,32
39,1,0,10:11,1,1,9,0,3,15,2,0,0,80,14,20,12,39,50,9,10,15,2,5,32
40,1, ,10:09,3,1,0,0,0,0,0,0,0,80,14,20,12,39,50,9,10,15,2,5,32
41,1,0,10:09,4,1,19,9,3,0,0,0,0,19,22,15,33,39,50,9,10,15,2,5,32
42,1,0,9:41,5,0,15,2,3,0,0,0,0,19,22,15,33,39,50,9,10,15,2,5,32
43,1,0,9:30,9,0,33,0,1,0,0,0,0,19,22,15,6,33,50,14,43,15,5,6,32
44,1,0,8:59,13,1,43,19,2,0,0,0,0,19,22,15,6,33,50,14,43,28,6,46,32
45,1,0,8:43,6,0,22,46,2,0,0,0,0,19,22,15,6,33,50,14,43,28,6,46,32
46,1, ,8:43,3,9,0,0,0,0,0,0,0,19,15,6,33,50,0,43,25,28,6,46,32
47,1,1,8:43,4,1,19,21,3,0,0,0,0,19,15,5,6,50,0,7,9,21,15,46,32
48,1,1,8:14,1,1,15,0,3,24,5,0,0,19,15,5,6,50,0,7,9,21,15,46,32
49,1, ,8:12,3,1,0,0,0,0,0,0,0,19,15,5,6,50,0,7,9,21,15,46,32
50,1,1,8:12,4,1,18,21,3,0,0,0,0,18,16,12,29,50,0,7,9,21,15,46,32
51,1,1,8:09,9,1,9,0,3,0,0,0,0,18,16,12,29,50,0,7,9,21,15,46,32
52,1,1,7:43,1,1,46,0,3,56,2,0,0,18,16,12,29,50,0,7,9,21,15,46,32
53,1,1,7:38,1,1,15,0,3,47,2,0,0,18,16,12,29,50,0,7,9,21,15,46,32
54,1, ,7:37,3,1,0,0,0,0,0,0,0,18,16,12,29,50,0,26,10,22,6,39,32
55,1,1,7:37,4,1,19,26,3,0,0,0,0,19,15,5,6,50,0,26,10,22,6,39,32
56,1,-1,7:24,13,1,10,5,2,0,0,0,0,19,15,5,6,50,0,26,10,22,6,39,32
57,1, ,6:17,3,2,0,0,0,0,0,0,0,8,14,9,33,39,50,14,27,25,2,5,32
58,1,0,6:17,4,1,8,27,1,0,0,0,0,8,13,9,33,39,50,14,27,25,2,5,32
59,1,0,6:04,13,1,5,39,2,0,0,0,0,8,13,9,33,39,50,27,25,15,2,5,32
60,1,0,5:29,1,0,9,0,3,37,1,0,0,8,13,9,6,29,50,9,10,15,39,55,32
61,1,0,5:05,1,0,16,0,3,32,1,0,0,18,26,16,6,29,50,9,10,15,39,55,32
62,1, ,5:04,3,0,0,0,0,0,0,0,0,18,26,16,6,29,50,9,10,15,39,55,32
63,1,0,5:04,4,0,16,9,3,0,0,0,0,18,26,16,33,39,50,9,10,15,6,46,32
64,1, ,4:50,3,6,0,0,0,0,0,0,0,18,26,16,33,39,50,9,10,15,6,46,32
65,1,0,4:50,4,0,18,9,3,0,0,0,0,18,26,16,33,39,50,9,10,15,6,46,32
66,1, ,4:48,3,8,0,0,0,0,0,0,0,18,26,16,33,39,50,9,10,15,6,46,32
67,1,0,4:48,4,1,18,9,2,0,0,0,0,18,26,16,33,39,50,9,10,15,6,46,32
68,1, ,4:39,3,6,0,0,0,0,0,0,0,18,26,16,33,39,50,9,10,15,6,46,32
69,1,0,4:39,4,1,18,9,2,0,0,0,0,18,26,16,33,39,50,9,10,15,6,46,32
70,1, ,4:32,3,2,0,0,0,0,0,0,0,18,26,16,33,39,50,9,10,15,6,46,32
71,1,0,4:32,4,1,19,43,3,0,0,0,0,19,22,15,5,12,50,14,43,28,2,5,32
72,1,0,4:17,13,0,22,43,2,0,0,0,0,19,22,15,5,12,50,14,43,28,2,5,32
73,1,0,4:01,5,1,28,12,3,0,0,0,0,19,22,15,5,12,50,14,43,28,2,5,32
74,1, ,3:54,3,8,0,0,0,0,0,0,0,19,22,15,5,12,50,14,43,28,2,5,32
75,1,0,3:54,4,1,80,27,3,0,0,0,0,80,14,20,6,29,50,26,27,22,39,55,32
76,1,0,3:45,5,1,26,29,3,0,0,0,0,80,14,20,6,29,50,26,27,22,39,55,32
77,1,0,3:34,1,0,20,0,3,37,3,0,0,80,14,20,6,29,50,26,27,22,39,55,32
78,1,0,3:27,1,0,80,0,3,21,1,0,0,80,14,20,6,29,50,26,27,22,39,55,32
79,1, ,3:26,3,1,0,0,0,0,0,0,0,80,14,20,6,29,50,26,27,22,39,55,32
80,1,0,3:26,4,1,80,21,2,0,0,0,0,80,14,20,6,29,50,7,21,25,39,55,32
81,1,0,3:08,1,1,25,0,3,62,2,0,0,80,14,20,6,29,50,7,21,25,39,55,32
82,1, ,3:07,3,1,0,0,0,0,0,0,0,80,14,20,6,29,50,7,21,25,39,55,32
83,1,0,3:07,4,1,22,9,3,0,0,0,0,19,22,15,33,39,50,9,10,15,2,5,32
84,1, ,2:39,3,2,0,0,0,0,0,0,0,19,22,15,33,39,50,9,10,15,2,5,32
85,1,0,2:39,4,0,18,21,1,0,0,0,0,18,26,16,33,39,50,7,21,25,6,46,32
86,1,0,1:23,13,1,26,33,2,0,0,0,0,18,26,9,33,39,50,26,27,22,39,55,32
87,1,0,1:13,2,0,9,0,3,12,1,26,33,8,26,9,5,12,50,26,27,22,39,55,32
88,1,0,1:13,4,0,8,9,1,0,0,0,0,8,13,9,5,12,50,9,10,15,2,5,32
89,1,0,0:51,1,0,9,0,3,18,6,0,0,8,13,9,6,29,50,9,10,15,2,5,32
90,1,0,0:34,13,1,9,29,2,0,0,0,0,8,13,9,6,29,50,9,10,15,6,46,32
91,1,0,0:18,7,0,19,0,1,80,1,0,0,19,22,15,6,29,50,21,25,15,6,46,32
92,1, ,0:00,11,0,0,0,0,0,0,0,0,19,22,15,6,29,50,7,21,25,6,46,32
93,2, ,20:00,10,0,0,0,0,0,0,0,0,18,26,16,33,39,50,9,10,15,6,46,32
94,2,0,20:00,4,1,18,9,1,0,0,0,0,18,26,16,33,39,50,9,10,15,6,46,32
95,2,0,19:28,8,1,9,0,3,0,0,0,0,18,26,16,33,39,50,9,10,15,6,46,32
96,2,0,19:12,7,1,6,0,3,60,2,0,0,18,26,16,33,39,50,9,10,15,6,46,32
97,2,0,18:54,5,1,15,26,2,0,0,0,0,18,26,16,5,12,50,9,25,15,39,55,32
98,2,0,18:33,8,0,15,0,1,0,0,0,0,19,22,15,5,12,50,7,21,25,39,55,32
99,2,0,18:20,13,0,19,39,2,0,0,0,0,19,22,15,5,12,50,7,21,25,39,55,32
100,2,0,18:16,1,0,12,0,3,59,1,0,0,19,22,15,5,12,50,7,21,25,39,55,32
101,2, ,18:15,3,1,0,0,0,0,0,0,0,19,22,15,5,12,50,7,21,25,39,55,32
102,2,0,18:15,4,1,14,7,2,0,0,0,0,80,14,20,6,29,50,7,21,25,2,5,32
103,2,0,18:03,1,0,80,0,3,55,3,0,0,80,14,20,6,29,50,7,21,25,2,5,32
104,2,0,17:36,13,0,20,21,2,0,0,0,0,80,14,20,6,29,50,7,21,25,2,5,32
105,2,0,17:00,2,0,9,0,3,19,0,13,8,8,13,9,5,12,50,26,27,22,6,46,32
106,2,0,17:00,4,1,8,9,1,0,0,0,0,8,13,9,33,39,50,9,10,15,6,46,32
107,2,0,16:27,13,1,10,33,2,0,0,0,0,19,22,15,33,39,50,9,10,15,6,46,32
108,2, ,16:26,3,4,0,0,0,0,0,0,0,19,22,15,33,39,50,9,10,15,39,55,32
109,2,0,16:26,4,0,18,27,2,0,0,0,0,18,26,16,33,39,50,26,27,22,39,55,32
110,2,0,15:54,13,0,12,39,2,0,0,0,0,18,26,16,5,12,50,26,27,22,39,55,32
111,2,0,15:12,5,1,28,9,1,0,0,0,0,8,13,9,5,12,50,14,43,28,2,5,32
112,2,0,14:53,5,1,5,9,2,0,0,0,0,8,13,9,6,29,50,7,14,43,5,46,32
113,2,0,14:36,5,1,5,13,2,0,0,0,0,8,13,9,6,29,50,7,14,21,5,46,32
114,2,0,14:10,8,1,25,0,3,0,0,0,0,80,14,20,33,39,50,7,21,25,5,46,32
115,2,0,13:52,13,0,20,55,2,0,0,0,0,80,14,20,33,39,50,7,21,25,2,55,32
116,2,0,13:44,1,0,20,0,3,28,2,0,0,80,14,20,33,39,50,7,21,25,2,55,32
117,2,0,13:17,5,1,15,22,1,0,0,0,0,19,22,15,33,39,50,9,10,15,2,46,32
118,2,0,12:58,5,0,6,9,2,0,0,0,0,19,22,15,6,29,50,9,10,15,2,46,32
119,2,0,12:43,5,0,16,46,3,0,0,0,0,19,26,16,6,29,50,9,10,15,6,46,32
