# 2012/02/18 
# TOR , VAN 
# 2 , 6 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,42,81,19,3,59,34,17,7,21,2,3,1
2,1,0,20:00,4,1,42,17,1,0,0,0,0,42,81,19,3,59,34,17,7,21,2,3,1
3,1,0,19:31,5,1,3,19,2,0,0,0,0,42,81,19,4,24,34,17,7,21,2,3,1
4,1, ,19:11,3,2,0,0,0,0,0,0,0,81,84,19,4,24,34,33,14,22,2,6,1
5,1,0,19:11,4,0,84,33,1,0,0,0,0,84,16,41,3,51,34,33,14,22,6,23,1
6,1,0,18:29,8,0,16,0,2,0,0,0,0,84,16,41,4,51,34,33,36,22,8,23,1
7,1, ,18:26,3,2,0,0,0,0,0,0,0,84,9,41,4,24,34,33,36,22,8,23,1
8,1,0,18:26,4,1,12,9,1,0,0,0,0,12,15,9,4,24,34,9,36,20,8,29,1
9,1,0,18:09,5,0,9,29,1,0,0,0,0,12,15,9,4,24,34,9,36,20,8,29,1
10,1,0,17:55,7,1,9,0,3,25,2,0,0,12,15,9,4,24,34,9,36,20,8,29,1
11,1,0,17:31,5,1,34,15,2,0,0,0,0,12,15,9,2,51,34,27,40,34,2,3,1
12,1,0,17:01,13,1,27,20,2,0,0,0,0,20,47,18,2,51,34,27,40,34,2,3,1
13,1, ,16:50,3,6,0,0,0,0,0,0,0,20,47,18,2,51,34,17,7,21,2,3,1
14,1,0,16:50,4,1,20,17,3,0,0,0,0,20,47,18,2,51,34,17,7,21,6,23,1
15,1,0,16:46,7,1,7,0,3,32,2,0,0,20,47,18,2,51,34,17,7,21,6,23,1
16,1,0,16:36,7,1,23,0,3,68,2,0,0,20,47,18,2,51,34,17,7,21,6,23,1
17,1,0,16:29,1,1,6,0,3,56,2,0,0,20,47,18,2,51,34,17,7,21,6,23,1
18,1, ,16:29,3,1,0,0,0,0,0,0,0,20,47,18,2,51,34,17,7,21,6,23,1
19,1,0,16:29,4,0,42,33,2,0,0,0,0,42,81,19,3,59,34,33,14,22,2,3,1
20,1,0,16:16,13,0,19,3,2,0,0,0,0,42,81,19,3,59,34,33,14,22,2,3,1
21,1,0,15:59,13,1,22,59,2,0,0,0,0,42,81,19,3,59,34,33,14,22,2,3,1
22,1,0,15:46,5,0,59,3,2,0,0,0,0,42,81,19,3,59,34,33,14,22,2,3,1
23,1,0,15:05,9,1,29,0,2,0,0,0,0,84,16,41,4,24,34,9,36,20,8,29,1
24,1,0,15:03,1,0,84,0,3,39,1,0,0,84,16,41,4,24,34,9,36,20,8,29,1
25,1, ,15:03,3,4,0,0,0,0,0,0,0,84,16,41,4,24,34,9,36,20,8,29,1
26,1,0,15:03,4,0,12,27,3,0,0,0,0,12,15,9,4,24,34,27,40,34,8,29,1
27,1, ,14:55,3,2,0,0,0,0,0,0,0,12,15,9,4,24,34,27,40,34,8,29,1
28,1,0,14:55,4,0,12,40,1,0,0,0,0,12,15,9,4,24,34,27,40,34,8,29,1
29,1,0,14:40,1,0,24,0,3,38,1,0,0,12,15,9,4,24,34,27,40,34,8,29,1
30,1,0,14:34,5,0,15,34,3,0,0,0,0,12,15,9,4,24,34,27,40,34,8,29,1
31,1,0,14:22,9,1,6,0,2,0,0,0,0,12,15,9,2,51,34,27,40,7,6,29,1
32,1,0,13:53,5,0,18,7,3,0,0,0,0,20,47,18,2,51,34,17,7,21,6,23,1
33,1,0,13:32,1,1,7,0,3,8,0,0,0,20,47,18,2,51,34,17,7,21,3,23,1
34,1,0,13:18,7,1,3,0,3,63,2,0,0,20,47,18,2,51,34,17,7,21,3,23,1
35,1,0,13:18,5,0,2,17,2,0,0,0,0,20,47,18,2,51,34,17,7,21,3,23,1
36,1,0,13:04,1,1,17,0,3,64,1,0,0,20,47,18,2,51,34,17,7,21,3,23,1
37,1,0,12:30,5,1,3,59,2,0,0,0,0,42,81,19,3,59,34,33,14,22,2,3,1
38,1,0,12:19,7,0,81,0,3,38,1,0,0,42,81,19,3,59,34,33,14,22,2,3,1
