# 2012/02/21 
# S.J , COL 
# 3 , 6 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,39,57,29,44,88,31,26,50,15,4,23,1
2,1,0,20:00,4,CBJ,39,50,1,0,0,0,0,39,57,29,44,88,31,26,50,15,4,23,1
3,1,0,19:52,5,0,29,4,3,0,0,0,0,39,57,29,44,88,31,26,50,15,4,23,1
4,1, ,19:48,3,2,0,0,0,0,0,0,0,39,57,29,44,88,31,26,50,15,4,23,1
5,1,0,19:48,4,CBJ,12,7,1,0,0,0,0,8,12,19,5,22,31,7,17,22,6,51,1
6,1,0,19:29,13,0,12,6,2,0,0,0,0,8,12,19,5,22,31,7,17,22,6,51,1
7,1,0,19:21,1,CBJ,7,0,3,47,1,0,0,8,12,19,5,22,31,7,17,22,6,51,1
8,1, ,19:19,3,1,0,0,0,0,0,0,0,8,12,19,5,22,31,7,17,22,6,51,1
9,1,0,19:19,4,0,12,18,2,0,0,0,0,8,12,19,60,61,31,16,18,61,4,23,1
10,1,0,19:09,5,CBJ,16,19,2,0,0,0,0,8,12,19,22,60,31,16,18,61,4,23,1
11,1,0,18:54,5,CBJ,61,57,3,0,0,0,0,39,57,29,22,60,31,16,18,61,4,23,1
12,1,0,18:45,1,0,29,0,3,27,1,0,0,39,57,29,22,60,31,16,18,61,4,23,1
13,1,0,18:37,13,0,57,4,2,0,0,0,0,39,57,29,22,88,31,16,18,61,4,23,1
14,1,0,18:35,5,CBJ,18,57,2,0,0,0,0,39,57,29,22,88,31,16,18,61,4,23,1
15,1,0,17:36,1,0,78,0,3,42,2,0,0,26,78,10,60,61,31,7,9,19,14,58,1
16,1,0,16:53,1,0,26,0,3,71,1,0,0,26,69,29,5,22,31,7,17,22,4,23,1
17,1,0,16:50,5,CBJ,4,69,2,0,0,0,0,26,69,29,5,22,31,7,17,22,4,23,1
18,1,0,16:44,1,0,29,0,3,15,1,0,0,26,69,29,5,22,31,7,17,22,4,23,1
19,1,0,16:43,1,0,69,0,3,13,1,0,0,26,69,29,5,22,31,7,17,22,4,23,1
20,1, ,16:05,3,10,0,0,0,0,0,0,0,39,57,29,44,88,31,26,50,15,6,51,1
21,1,0,16:05,4,0,8,50,1,0,0,0,0,8,12,19,5,22,31,26,50,15,6,51,1
22,1,0,15:32,1,CBJ,50,0,3,43,2,0,0,8,12,19,5,22,31,26,50,15,51,58,1
23,1,0,15:07,1,CBJ,14,0,3,55,2,0,0,18,78,64,44,88,31,16,18,61,14,58,1
24,1,0,15:06,1,CBJ,18,0,3,10,6,0,0,18,78,64,44,88,31,16,18,61,14,58,1
25,1,0,15:05,2,CBJ,18,0,3,11,1,14,16,18,78,64,44,88,31,16,18,61,14,58,1
26,1,0,15:05,4,0,18,16,1,0,0,0,0,18,78,64,44,88,31,16,18,61,14,58,1
27,1,0,14:36,8,0,10,0,1,0,0,0,0,18,26,10,44,61,31,16,18,61,14,58,1
28,1,0,14:34,1,0,10,0,3,32,1,0,0,18,26,10,44,61,31,16,18,61,14,58,1
29,1, ,14:32,3,1,0,0,0,0,0,0,0,18,26,10,44,61,31,9,19,24,4,23,1
30,1,0,14:32,4,0,26,24,3,0,0,0,0,26,69,10,60,61,31,9,19,24,4,23,1
31,1,0,14:28,1,0,10,0,3,42,1,0,0,26,69,10,60,61,31,9,19,24,4,23,1
32,1,0,13:59,5,CBJ,9,26,3,0,0,0,0,26,69,10,60,61,31,9,19,24,4,23,1
33,1, ,13:37,3,0,0,0,0,0,0,0,0,8,12,19,5,22,31,19,24,22,6,23,1
34,1,0,13:37,6,0,8,6,3,0,0,0,0,8,12,19,5,22,31,19,24,22,6,23,1
35,1,-1,13:37,4,0,18,7,2,0,0,0,0,12,18,5,22,31,0,7,16,17,22,51,1
36,1,1,13:09,2,CBJ,7,0,3,25,1,22,17,12,18,5,22,31,0,7,16,17,22,51,1
37,1,0,13:09,4,CBJ,39,50,1,0,0,0,0,39,57,29,44,88,31,26,50,15,4,23,1
38,1,0,12:50,5,0,29,15,1,0,0,0,0,39,57,29,44,88,31,26,50,15,4,23,1
