# 2012/02/28 
# L.A , MIN 
# 4 , 0 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,14,23,26,33,45,21,10,15,6,46,32
2,1,0,20:00,4,0,11,21,1,0,0,0,0,11,14,23,26,33,45,21,10,15,6,46,32
3,1,0,19:50,7,1,21,0,3,16,6,0,0,11,14,23,26,33,45,21,10,15,6,46,32
4,1,0,19:47,1,1,10,0,3,36,1,0,0,11,14,23,26,33,45,21,10,15,6,46,32
5,1,0,19:39,9,0,14,0,3,0,0,0,0,11,14,23,26,33,45,21,10,15,6,46,32
6,1,0,19:30,13,1,6,26,2,0,0,0,0,11,14,23,26,33,45,21,10,15,6,46,32
7,1,0,19:19,7,0,23,0,3,50,1,0,0,11,14,23,26,33,45,21,10,15,6,46,32
8,1,0,19:16,2,0,14,0,3,18,0,26,23,11,14,23,26,33,45,21,10,15,6,46,32
9,1,0,19:16,4,1,10,7,1,0,0,0,0,10,77,74,7,8,45,7,17,22,44,77,32
10,1,0,18:18,5,0,25,20,3,0,0,0,0,22,28,25,2,27,45,14,26,25,20,39,32
11,1,0,17:55,5,1,25,25,1,0,0,0,0,22,28,25,2,27,45,14,26,25,6,46,32
12,1,0,17:51,5,0,2,6,1,0,0,0,0,22,24,15,2,27,45,14,26,25,6,46,32
13,1,0,17:14,1,0,33,0,3,57,2,0,0,24,71,15,26,33,45,43,41,19,6,46,32
14,1, ,17:13,3,1,0,0,0,0,0,0,0,24,71,15,26,33,45,43,41,19,6,46,32
15,1,0,17:13,4,0,11,21,3,0,0,0,0,11,14,23,7,8,45,21,10,15,44,77,32
