# 2012/02/28 
# NYI , WSH 
# 2 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,91,15,26,2,24,20,21,26,20,27,74,30
2,1,0,20:00,4,0,91,21,1,0,0,0,0,91,15,26,2,24,20,21,26,20,27,74,30
3,1,0,19:34,1,1,21,0,3,14,6,0,0,91,15,26,2,24,20,21,26,20,27,74,30
4,1,0,19:03,13,0,47,52,2,0,0,0,0,12,51,41,3,47,20,85,28,25,52,55,30
5,1,0,19:02,1,0,41,0,3,17,2,0,0,12,51,41,3,47,20,85,28,25,52,55,30
6,1, ,19:01,3,1,0,0,0,0,0,0,0,12,51,41,3,47,20,85,28,25,52,55,30
7,1,0,19:01,4,0,53,90,3,0,0,0,0,53,21,40,3,47,20,23,90,8,52,55,30
8,1,0,18:35,13,0,3,8,2,0,0,0,0,53,21,40,3,47,20,23,90,8,52,55,30
9,1, ,18:31,3,2,0,0,0,0,0,0,0,53,21,40,3,47,20,23,90,8,52,55,30
10,1,0,18:29,4,0,16,15,3,0,0,0,0,16,17,29,4,27,20,15,83,42,6,81,30
11,1,0,18:22,8,1,15,0,2,0,0,0,0,16,17,29,4,27,20,15,83,42,6,81,30
12,1,0,18:19,5,0,17,83,3,0,0,0,0,16,17,29,4,27,20,15,83,42,6,81,30
13,1,0,18:09,5,0,27,42,2,0,0,0,0,16,17,29,4,27,20,15,83,42,6,81,30
14,1,0,17:51,5,0,27,42,2,0,0,0,0,16,17,29,4,27,20,15,83,42,6,81,30
15,1,0,17:43,7,1,6,0,3,57,1,0,0,16,17,29,4,27,20,15,83,42,6,81,30
16,1,0,17:38,5,1,83,17,3,0,0,0,0,16,17,29,4,27,20,15,83,42,6,81,30
17,1,0,17:27,13,1,81,16,2,0,0,0,0,16,17,29,4,27,20,15,83,42,6,81,30
18,1,0,17:20,1,1,83,0,3,18,6,0,0,16,17,29,4,27,20,15,83,20,6,81,30
19,1,0,17:07,7,1,20,0,3,36,1,0,0,16,15,26,4,27,20,21,26,20,6,27,30
20,1, ,17:05,3,1,0,0,0,0,0,0,0,16,15,26,4,27,20,21,26,20,6,27,30
21,1,0,17:05,1,1,20,0,3,5,1,0,0,16,15,26,4,27,20,21,26,20,6,27,30
22,1,0,17:05,4,1,91,21,3,0,0,0,0,91,15,26,2,24,20,21,26,20,27,74,30
23,1,0,16:39,5,1,21,91,1,0,0,0,0,91,15,26,2,24,20,21,26,20,27,74,30
24,1,0,16:35,9,1,21,0,2,0,0,0,0,91,15,26,2,24,20,21,26,20,27,74,30
25,1,0,16:28,7,0,24,0,3,25,1,0,0,91,15,26,2,24,20,21,26,20,27,74,30
26,1,0,15:47,7,0,12,0,3,11,6,0,0,12,51,41,3,47,20,85,28,25,52,55,30
27,1,0,15:46,2,0,12,0,3,9,1,51,47,12,51,41,3,47,20,85,28,25,52,55,30
28,1,0,15:46,4,1,53,23,1,0,0,0,0,53,21,40,3,47,20,23,90,8,6,81,30
29,1,0,15:31,1,1,6,0,3,10,6,0,0,53,21,40,3,47,20,23,90,8,6,81,30
30,1, ,15:31,3,1,0,0,0,0,0,0,0,53,21,40,3,47,20,23,90,8,6,81,30
31,1,0,15:31,4,1,53,90,3,0,0,0,0,53,21,40,4,27,20,23,90,8,6,81,30
32,1,0,15:15,13,1,8,27,2,0,0,0,0,53,21,40,4,27,20,23,90,8,6,81,30
33,1,0,14:39,6,0,21,8,2,0,0,0,0,53,21,40,4,27,20,23,90,28,8,6,81
34,1,1,14:39,4,1,12,21,3,0,0,0,0,12,29,3,47,20,0,21,90,20,8,52,30
35,1,1,14:32,9,1,90,0,3,0,0,0,0,12,29,3,47,20,0,21,90,20,8,52,30
36,1,1,13:26,1,1,28,0,3,24,1,0,0,12,29,4,24,20,0,85,28,8,25,52,30
37,1,1,13:23,5,1,25,12,3,0,0,0,0,12,29,4,24,20,0,85,28,8,25,52,30
38,1, ,13:12,3,10,0,0,0,0,0,0,0,12,29,4,24,20,0,85,28,8,25,52,30
39,1,-1,13:12,4,0,51,85,2,0,0,0,0,51,40,27,47,20,0,85,28,25,6,74,30
40,1,-1,12:53,8,0,40,0,1,0,0,0,0,51,40,27,47,20,0,85,28,25,6,74,30
41,1,0,12:31,13,0,91,74,2,0,0,0,0,91,21,26,2,3,20,15,83,28,6,74,30
42,1,0,12:15,5,1,15,15,3,0,0,0,0,91,15,26,2,3,20,15,83,42,27,81,30
43,1,0,12:14,8,1,15,0,3,0,0,0,0,91,15,26,2,3,20,15,83,42,27,81,30
44,1,0,11:50,13,1,42,3,2,0,0,0,0,91,15,26,2,3,20,90,42,8,27,81,30
45,1,0,10:43,5,1,28,41,3,0,0,0,0,12,51,41,4,27,20,85,28,25,52,55,30
46,1,0,10:21,13,0,41,6,2,0,0,0,0,12,51,41,3,47,20,85,28,25,6,81,30
47,1,0,10:11,5,1,25,51,3,0,0,0,0,12,51,41,3,47,20,85,28,25,74,81,30
48,1,0,10:02,8,1,85,0,1,0,0,0,0,12,51,41,3,47,20,85,28,25,74,81,30
49,1,0,9:36,6,0,24,42,2,0,0,0,0,53,21,40,2,24,20,15,83,42,27,74,30
50,1, ,9:36,3,9,0,0,0,0,0,0,0,53,21,40,2,20,0,15,83,42,27,74,30
51,1,1,9:36,4,1,51,21,3,0,0,0,0,51,40,4,27,20,0,21,90,20,8,52,30
52,1,1,8:06,1,1,6,0,3,53,2,0,0,12,29,3,47,20,0,23,28,25,6,74,30
53,1, ,7:35,3,0,0,0,0,0,0,0,0,16,26,2,4,24,20,23,83,28,6,74,30
54,1,0,7:35,4,0,91,21,1,0,0,0,0,91,15,26,2,24,20,21,26,20,27,81,30
55,1,0,6:48,9,1,74,0,2,0,0,0,0,91,15,26,3,47,20,15,83,42,27,74,30
56,1,0,6:33,5,1,27,15,2,0,0,0,0,91,15,26,3,47,20,15,83,42,27,74,30
57,1,0,6:25,9,1,27,0,2,0,0,0,0,91,15,26,3,47,20,15,83,42,27,74,30
