# 2012/03/06 
# MTL , CGY 
# 4 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,14,71,27,26,76,31,18,12,40,4,27,34
2,1,0,20:00,4,1,14,18,1,0,0,0,0,14,71,27,26,76,31,18,12,40,4,27,34
3,1,0,19:51,5,0,27,18,1,0,0,0,0,14,71,27,26,76,31,18,12,40,4,27,34
4,1,0,19:32,5,0,71,27,2,0,0,0,0,14,71,27,26,76,31,18,12,40,4,27,34
5,1,0,19:06,5,0,74,48,2,0,0,0,0,15,63,25,68,74,31,8,26,48,6,7,34
6,1,0,19:01,5,1,26,15,3,0,0,0,0,15,63,25,68,74,31,8,26,48,6,7,34
7,1,0,18:51,1,0,74,0,3,65,1,0,0,15,63,25,68,74,31,8,26,48,6,7,34
8,1, ,18:51,3,1,0,0,0,0,0,0,0,15,63,25,68,74,31,8,26,48,6,7,34
9,1,0,18:51,4,0,51,25,3,0,0,0,0,51,67,72,17,22,31,13,25,20,5,23,34
10,1,0,18:44,1,0,22,0,3,60,1,0,0,51,67,72,17,22,31,13,25,20,5,23,34
11,1,0,18:22,1,1,25,0,3,43,1,0,0,51,67,72,17,22,31,13,25,20,5,23,34
12,1, ,18:20,3,1,0,0,0,0,0,0,0,51,67,72,17,22,31,13,25,20,5,23,34
13,1,0,18:20,4,1,81,15,3,0,0,0,0,53,57,81,68,74,31,15,16,51,6,7,34
14,1,0,18:16,1,1,6,0,3,58,1,0,0,53,57,81,68,74,31,15,16,51,6,7,34
15,1,0,18:01,5,0,74,15,1,0,0,0,0,53,57,81,68,74,31,15,16,51,6,7,34
16,1, ,17:58,3,2,0,0,0,0,0,0,0,53,57,81,68,74,31,15,16,51,6,7,34
17,1,0,17:58,4,0,81,51,1,0,0,0,0,53,57,81,68,74,31,15,16,51,4,27,34
18,1,0,17:45,1,0,68,0,3,63,1,0,0,53,57,81,68,74,31,15,16,51,4,27,34
19,1,0,17:12,8,1,18,0,3,0,0,0,0,14,71,27,26,76,31,18,12,40,4,27,34
20,1,0,17:05,5,1,12,26,3,0,0,0,0,14,71,27,26,76,31,18,12,40,4,27,34
21,1,0,16:48,7,1,12,0,3,32,6,0,0,14,71,27,26,76,31,18,12,40,4,27,34
22,1,0,16:24,1,0,14,0,3,40,2,0,0,14,71,27,17,22,31,18,12,40,4,5,34
23,1,0,15:59,1,0,72,0,3,42,1,0,0,51,67,72,17,22,31,13,25,20,5,23,34
24,1,0,15:51,1,1,23,0,3,32,3,0,0,51,67,72,17,22,31,13,25,20,5,23,34
25,1, ,15:44,3,2,0,0,0,0,0,0,0,51,67,72,17,22,31,13,25,20,5,23,34
26,1,0,15:44,4,1,15,48,1,0,0,0,0,15,63,25,68,74,31,8,26,48,6,7,34
27,1,0,15:25,8,0,15,0,3,0,0,0,0,15,63,25,68,74,31,8,26,48,6,7,34
28,1,0,15:20,7,0,25,0,3,25,5,0,0,15,63,25,68,74,31,8,26,48,6,7,34
29,1,0,14:52,8,0,76,0,2,0,0,0,0,53,57,81,26,76,31,16,20,51,4,27,34
30,1,0,14:33,1,1,20,0,3,47,3,0,0,53,57,81,17,22,31,16,20,51,4,27,34
31,1,0,14:29,5,0,53,27,2,0,0,0,0,53,57,81,17,22,31,16,20,51,4,27,34
32,1,0,13:58,7,0,71,0,3,32,1,0,0,14,71,27,26,76,31,12,16,20,4,27,34
33,1,0,13:41,9,0,76,0,1,0,0,0,0,14,71,27,26,76,31,18,12,40,5,23,34
34,1,0,13:28,13,1,40,26,2,0,0,0,0,14,71,27,26,76,31,18,12,40,5,23,34
35,1,0,13:11,1,0,67,0,3,14,1,0,0,51,67,72,68,74,31,18,12,40,5,23,34
36,1,0,13:06,5,1,18,51,2,0,0,0,0,51,67,72,68,74,31,18,12,40,5,23,34
37,1,0,12:51,13,0,68,27,2,0,0,0,0,51,67,72,68,74,31,13,25,20,4,27,34
38,1,0,12:32,13,1,13,68,2,0,0,0,0,15,63,25,68,74,31,13,25,20,4,7,34
39,1,0,12:27,5,1,20,68,3,0,0,0,0,15,63,25,68,74,31,13,25,20,4,7,34
40,1,0,12:19,1,1,25,0,3,45,2,0,0,15,63,25,17,74,31,13,25,20,4,7,34
41,1,0,11:41,8,1,6,0,1,0,0,0,0,57,81,25,17,22,31,8,26,48,6,7,34
42,1,0,11:35,1,1,48,0,3,25,6,0,0,53,57,81,17,22,31,8,26,48,6,7,34
43,1,0,11:19,13,1,6,81,2,0,0,0,0,53,57,81,17,22,31,8,26,51,6,7,34
44,1,0,11:18,1,1,6,0,3,50,1,0,0,53,57,81,17,22,31,8,26,51,6,7,34
45,1, ,11:17,3,0,0,0,0,0,0,0,0,53,57,81,17,22,31,8,26,51,6,7,34
