# 2012/03/21 
# DET , NYR 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,14,51,40,23,55,29,17,21,24,4,18,30
2,1,0,20:00,4,1,51,21,1,0,0,0,0,14,51,40,23,55,29,17,21,24,4,18,30
3,1,0,19:42,5,1,17,23,3,0,0,0,0,14,51,40,23,55,29,17,21,24,4,18,30
4,1,0,19:08,7,1,17,0,3,17,3,0,0,14,51,40,23,55,29,17,21,10,5,18,30
5,1,0,18:49,5,0,26,10,2,0,0,0,0,13,26,44,18,27,29,19,10,62,5,27,30
6,1,0,18:17,5,0,18,62,2,0,0,0,0,13,44,20,18,27,29,19,10,62,5,27,30
7,1, ,17:26,3,1,0,0,0,0,0,0,0,11,8,20,2,37,29,19,36,42,41,53,30
8,1,0,17:26,1,0,37,0,3,15,1,0,0,11,8,20,2,37,29,19,36,42,41,53,30
9,1,0,17:26,4,0,48,34,3,0,0,0,0,48,39,96,2,37,29,34,71,8,41,53,30
10,1,0,17:22,1,0,37,0,3,50,1,0,0,48,39,96,2,37,29,34,71,8,41,53,30
11,1,0,17:17,1,0,96,0,3,9,1,0,0,48,39,96,2,37,29,34,71,8,41,53,30
12,1,0,17:08,1,1,8,0,3,16,1,0,0,48,39,96,2,37,29,34,71,8,41,53,30
13,1,0,16:56,5,0,96,53,3,0,0,0,0,48,39,96,2,37,29,34,71,8,41,53,30
14,1,0,16:51,7,0,48,0,3,27,2,0,0,48,39,96,2,37,29,34,71,8,41,53,30
15,1, ,16:48,3,6,0,0,0,0,0,0,0,48,39,96,2,37,29,34,71,8,41,53,30
16,1,0,16:48,4,0,40,71,3,0,0,0,0,14,51,40,18,23,29,34,71,8,41,53,30
17,1,0,16:30,7,0,14,0,3,7,3,0,0,14,51,40,18,23,29,34,71,8,41,53,30
18,1,0,16:24,2,0,40,0,3,41,1,18,14,14,51,40,18,23,29,34,71,8,41,53,30
19,1,0,16:24,4,0,13,21,1,0,0,0,0,13,26,44,18,23,29,17,21,24,5,27,30
20,1,0,16:13,8,1,5,0,1,0,0,0,0,13,26,44,18,23,29,17,21,24,5,27,30
21,1,0,15:51,5,1,24,13,3,0,0,0,0,13,26,44,18,23,29,17,21,24,5,27,30
22,1, ,15:49,3,8,0,0,0,0,0,0,0,13,26,44,18,23,29,17,21,24,5,27,30
23,1,0,15:49,4,0,40,21,2,0,0,0,0,14,51,40,23,55,29,17,21,24,4,18,30
24,1,0,15:25,13,1,17,37,2,0,0,0,0,14,51,40,2,37,29,17,21,24,4,18,30
25,1,0,14:53,13,0,37,24,2,0,0,0,0,14,51,40,2,37,29,17,21,24,4,18,30
26,1,0,14:48,1,1,21,0,1,70,1,0,0,13,26,44,2,37,29,21,10,62,41,53,30
27,1,0,14:16,7,0,23,0,3,54,1,0,0,13,26,44,23,55,29,19,10,62,5,27,30
28,1, ,13:42,3,0,0,0,0,0,0,0,0,13,26,44,18,27,29,19,10,62,5,27,30
29,1,0,13:42,4,0,8,19,1,0,0,0,0,11,8,20,2,37,29,19,10,62,41,53,30
30,1,0,13:32,1,0,20,0,3,35,1,0,0,11,8,20,23,55,29,19,10,62,41,53,30
31,1,0,13:17,5,0,11,41,3,0,0,0,0,11,8,20,23,55,29,19,10,62,41,53,30
32,1,0,13:08,13,0,20,41,2,0,0,0,0,11,8,20,23,55,29,19,10,62,41,53,30
33,1,0,12:52,8,1,24,0,3,0,0,0,0,14,20,40,23,55,29,17,21,24,4,18,30
