# 2012/03/22 
# CGY , MIN 
# 2 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,13,25,20,5,23,34,9,10,15,4,77,37
2,1,0,20:00,4,0,13,9,1,0,0,0,0,13,25,20,5,23,34,9,10,15,4,77,37
3,1,0,19:36,9,1,4,0,2,0,0,0,0,13,25,20,5,23,34,9,10,15,4,77,37
4,1,0,19:33,1,0,25,0,3,46,1,0,0,13,25,20,5,23,34,9,10,15,4,77,37
5,1,0,18:50,1,0,18,0,3,28,1,0,0,18,12,40,27,33,34,14,21,25,6,46,37
6,1,0,18:46,13,0,33,21,2,0,0,0,0,18,12,40,27,33,34,14,21,25,6,46,37
7,1,0,18:39,13,1,25,33,2,0,0,0,0,18,12,40,27,33,34,7,26,25,38,39,37
8,1,0,18:32,13,1,26,33,2,0,0,0,0,18,12,40,27,33,34,7,26,22,38,39,37
9,1,0,18:24,1,0,12,0,3,45,1,0,0,19,12,10,4,44,34,7,26,22,38,39,37
10,1, ,18:22,3,1,0,0,0,0,0,0,0,19,12,10,4,44,34,7,26,22,38,39,37
11,1,0,18:22,4,1,19,7,2,0,0,0,0,19,22,10,4,44,34,7,26,22,4,77,37
12,1,0,18:10,5,1,22,44,3,0,0,0,0,19,22,10,4,44,34,7,26,22,4,77,37
13,1,0,17:24,13,1,19,57,2,0,0,0,0,15,16,57,27,33,34,43,41,19,38,39,37
14,1,0,17:18,13,1,39,57,2,0,0,0,0,15,16,57,27,33,34,43,41,19,38,39,37
15,1,0,17:16,7,0,15,0,3,42,1,0,0,15,16,57,27,33,34,43,41,19,38,39,37
16,1, ,17:15,3,1,0,0,0,0,0,0,0,15,16,57,27,33,34,43,41,19,38,39,37
17,1,0,17:15,5,0,57,41,2,0,0,0,0,15,16,57,27,33,34,43,41,19,4,77,37
18,1,0,17:15,4,1,16,43,2,0,0,0,0,15,16,57,27,33,34,43,41,19,4,77,37
19,1,0,17:03,1,1,43,0,3,17,1,0,0,13,15,16,27,33,34,43,41,19,4,77,37
20,1, ,17:02,3,1,0,0,0,0,0,0,0,13,25,20,5,23,34,43,41,19,4,77,37
21,1,0,17:02,4,1,25,9,3,0,0,0,0,13,25,20,5,23,34,9,10,15,6,46,37
22,1,0,16:59,1,1,6,0,3,64,1,0,0,13,25,20,5,23,34,9,10,15,6,46,37
23,1,0,16:07,1,1,25,0,3,30,1,0,0,18,12,40,4,44,34,14,21,25,4,77,37
24,1,0,15:51,9,0,40,0,3,0,0,0,0,18,12,40,4,44,34,14,21,25,4,77,37
25,1,0,15:21,1,0,19,0,3,53,1,0,0,19,22,10,4,23,34,7,26,22,38,39,37
26,1, ,15:07,3,10,0,0,0,0,0,0,0,19,22,10,5,23,34,7,26,22,38,39,37
27,1,0,15:07,4,1,19,7,1,0,0,0,0,19,22,10,5,23,34,7,26,22,38,39,37
28,1,0,14:46,5,1,22,5,3,0,0,0,0,19,22,10,5,23,34,7,26,22,38,39,37
29,1,0,14:44,13,0,10,39,2,0,0,0,0,19,22,10,5,23,34,7,26,22,38,39,37
30,1,0,14:35,1,0,19,0,3,39,2,0,0,19,22,10,5,23,34,7,26,22,38,39,37
31,1, ,14:31,3,8,0,0,0,0,0,0,0,19,22,10,5,23,34,7,26,22,38,39,37
32,1,0,14:31,4,0,57,43,3,0,0,0,0,15,16,57,27,33,34,43,41,19,4,77,37
33,1,0,14:16,9,1,19,0,2,0,0,0,0,15,16,57,27,33,34,43,41,19,4,77,37
34,1,0,13:59,5,0,27,43,2,0,0,0,0,15,16,57,27,33,34,43,41,19,4,77,37
35,1, ,13:49,3,0,0,0,0,0,0,0,0,16,25,57,4,44,34,43,41,19,4,77,37
36,1,0,13:49,4,0,13,21,3,0,0,0,0,13,25,20,4,44,34,14,21,25,6,46,37
37,1,0,13:17,9,1,25,0,3,0,0,0,0,13,25,20,4,44,34,14,21,25,6,46,37
38,1,0,12:48,1,0,18,0,3,21,6,0,0,18,12,40,5,23,34,9,10,15,4,77,37
39,1, ,12:45,3,1,0,0,0,0,0,0,0,18,12,40,5,23,34,9,10,15,4,77,37
40,1,0,12:45,4,1,12,9,2,0,0,0,0,18,12,40,5,23,34,9,10,15,4,77,37
41,1,0,12:37,9,1,9,0,2,0,0,0,0,18,12,40,5,23,34,9,10,15,4,77,37
42,1,0,12:34,1,0,12,0,3,18,1,0,0,18,12,40,5,23,34,9,10,15,4,77,37
43,1,0,12:32,6,1,9,18,2,0,0,0,0,18,12,40,5,23,34,9,10,15,4,77,37
44,1,-1,12:32,4,1,12,7,2,0,0,0,0,13,18,12,40,5,34,7,22,6,46,37,0
45,1,1,12:03,6,0,40,46,3,0,0,0,0,13,18,12,40,5,34,7,22,6,46,37,0
46,1,0,12:03,4,1,13,21,3,0,0,0,0,13,20,4,44,34,0,21,15,38,39,37,0
47,1,0,11:35,13,1,21,44,2,0,0,0,0,13,20,4,44,34,0,21,15,38,39,37,0
48,1,0,11:18,13,1,38,13,2,0,0,0,0,13,20,4,44,34,0,21,15,38,39,37,0
49,1,0,11:01,1,0,5,0,3,63,2,0,0,22,10,5,23,34,0,7,10,38,77,37,0
50,1,0,10:40,1,0,10,0,3,59,2,0,0,22,10,5,23,34,0,7,10,38,77,37,0
51,1,-1,10:21,1,0,10,0,3,32,1,0,0,22,10,5,23,34,0,7,9,10,38,77,37
52,1,0,9:30,1,0,44,0,3,51,3,0,0,18,12,40,4,44,34,26,22,15,6,46,37
53,1,0,9:03,6,1,4,0,2,0,0,0,0,18,15,16,23,27,34,14,21,25,4,39,37
54,1, ,9:03,3,9,0,0,0,0,0,0,0,18,15,16,23,27,34,14,21,25,39,37,0
55,1,1,9:03,4,0,13,7,3,0,0,0,0,13,22,20,4,44,34,7,22,39,77,37,0
56,1,1,8:40,9,0,13,0,3,0,0,0,0,13,22,20,4,44,34,7,22,39,77,37,0
57,1,-1,8:19,13,0,4,21,2,0,0,0,0,13,12,22,4,44,34,14,21,6,38,37,0
58,1,1,7:45,1,0,12,0,3,15,3,0,0,18,12,40,5,33,34,43,41,39,77,37,0
59,1, ,7:41,3,8,0,0,0,0,0,0,0,18,12,40,5,33,34,43,41,39,77,37,0
60,1,1,7:41,4,0,18,21,3,0,0,0,0,18,12,40,5,33,34,14,21,39,77,37,0
61,1,1,7:24,1,0,33,0,3,59,2,0,0,18,12,40,5,33,34,14,21,39,77,37,0
62,1,1,7:16,7,0,33,0,3,60,2,0,0,18,12,40,5,33,34,14,21,39,77,37,0
63,1,0,6:40,9,1,9,0,1,0,0,0,0,19,25,10,23,27,34,9,10,15,6,38,37
64,1,0,6:25,13,1,6,19,2,0,0,0,0,19,15,10,23,27,34,9,10,15,6,38,37
65,1,0,5:55,1,0,16,0,3,36,1,0,0,15,16,57,4,44,34,9,10,15,6,38,37
66,1, ,5:53,3,0,0,0,0,0,0,0,0,15,16,57,4,44,34,9,10,15,6,38,37
67,1,0,5:53,4,0,57,43,3,0,0,0,0,15,16,57,4,44,34,43,41,19,4,39,37
68,1,0,5:50,7,0,44,0,3,62,2,0,0,15,16,57,4,44,34,43,41,19,4,39,37
69,1,0,5:20,5,0,16,39,3,0,0,0,0,15,16,57,4,44,34,43,41,19,4,39,37
70,1,0,5:16,7,1,19,0,3,27,1,0,0,15,16,57,4,44,34,43,41,19,4,39,37
